"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_1NwtzgWV3DcBCca","standard","1","LP","5.5010771219302","0","5.502","5.886","5.886","0.384","3","3"
"2","R_1NwtzgWV3DcBCca","standard","2","LP","8.51632916846187","6.887","15.404","15.845","8.958","0.441","3","6"
"3","R_1NwtzgWV3DcBCca","standard","3","LP","5.5010771219302","16.846","22.348","23.012","6.166","0.664","3","9"
"4","R_1NwtzgWV3DcBCca","standard","4","LP","0.264713485566566","24.015","24.279","29.773","5.758","5.494","3","12"
"5","R_1NwtzgWV3DcBCca","standard","5","LP","5.5010771219302","30.775","36.277","36.661","5.886","0.384","3","15"
"6","R_1NwtzgWV3DcBCca","standard","6","LP","5.5010771219302","37.662","43.164","43.557","5.895","0.393","3","18"
"7","R_1NwtzgWV3DcBCca","standard","7","LP","30","44.559","74.56","74.908","30.349","0.348","3","21"
"8","R_1NwtzgWV3DcBCca","standard","8","LP","3.49090909090909","75.91","79.401","79.772","3.862","0.371","3","24"
"9","R_1NwtzgWV3DcBCca","standard","9","LP","8.51632916846187","80.774","89.291","89.705","8.931","0.414","3","27"
"10","R_1NwtzgWV3DcBCca","standard","10","LP","13.0392072382594","90.708","NaN","100.357","9.649","NaN","0","27"
"11","R_1NwtzgWV3DcBCca","standard","11","LP","2.15079707022835","101.358","103.508","104.285","2.927","0.777","3","30"
"12","R_1NwtzgWV3DcBCca","standard","12","LP","5.5010771219302","105.287","110.789","111.18","5.893","0.391","3","33"
"13","R_1NwtzgWV3DcBCca","standard","13","LP","30","112.183","NaN","121.468","9.285","NaN","0","33"
"14","R_1NwtzgWV3DcBCca","standard","14","LP","2.15079707022835","122.47","124.621","125.069","2.599","0.448","3","36"
"15","R_1NwtzgWV3DcBCca","standard","15","LP","0.661783713916415","126.07","126.732","127.3","1.23","0.568","3","39"
"16","R_1NwtzgWV3DcBCca","standard","16","LP","3.49090909090909","128.302","131.792","132.181","3.879","0.389","3","42"
"17","R_1NwtzgWV3DcBCca","standard","17","LP","0.661783713916415","133.183","133.846","134.513","1.33","0.667","3","45"
"18","R_1NwtzgWV3DcBCca","standard","18","LP","3.49090909090909","135.514","139.005","139.389","3.875","0.384","3","48"
"19","R_1NwtzgWV3DcBCca","standard","19","LP","2.15079707022835","140.39","142.541","142.964","2.574","0.423","3","51"
"20","R_1NwtzgWV3DcBCca","standard","20","LP","2.15079707022835","143.966","146.117","146.5","2.534","0.383","3","54"
"21","R_1NwtzgWV3DcBCca","standard","21","LP","30","147.501","NaN","157.277","9.776","NaN","0","54"
"22","R_1NwtzgWV3DcBCca","standard","22","LP","0.661783713916415","158.289","158.951","159.372","1.083","0.421","3","57"
"23","R_1NwtzgWV3DcBCca","standard","23","LP","0.264713485566566","160.373","160.638","161.085","0.712","0.447","3","60"
"24","R_1NwtzgWV3DcBCca","standard","24","LP","1.25738905644119","162.086","163.344","163.749","1.663","0.405","3","63"
"25","R_1NwtzgWV3DcBCca","standard","25","LP","1.25738905644119","164.75","166.008","166.429","1.679","0.421","3","66"
"26","R_1NwtzgWV3DcBCca","standard","26","LP","5.5010771219302","167.43","NaN","172.677","5.247","NaN","0","66"
"27","R_1NwtzgWV3DcBCca","standard","27","LP","1.25738905644119","173.677","174.936","175.3","1.623","0.364","3","69"
"28","R_1NwtzgWV3DcBCca","standard","28","LP","2.15079707022835","176.303","178.454","178.828","2.525","0.374","3","72"
"29","R_1NwtzgWV3DcBCca","standard","29","LP","1.25738905644119","179.83","181.088","181.548","1.718","0.46","3","75"
"30","R_1NwtzgWV3DcBCca","standard","30","LP","8.51632916846187","182.551","NaN","185.692","3.141","NaN","0","75"
"31","R_1NwtzgWV3DcBCca","standard","31","LP","3.49090909090909","186.694","190.185","190.581","3.887","0.396","3","78"
"32","R_1NwtzgWV3DcBCca","standard","32","LP","8.51632916846187","191.581","NaN","196.268","4.687","NaN","0","78"
"33","R_1NwtzgWV3DcBCca","standard","33","LP","5.5010771219302","197.27","NaN","202.492","5.222","NaN","0","78"
"34","R_1NwtzgWV3DcBCca","standard","34","LP","3.49090909090909","203.493","206.984","207.42","3.927","0.436","3","81"
"35","R_1NwtzgWV3DcBCca","standard","35","LP","5.5010771219302","208.421","213.924","214.316","5.895","0.392","3","84"
"36","R_1NwtzgWV3DcBCca","standard","36","LP","1.25738905644119","215.317","216.575","217.052","1.735","0.477","3","87"
"37","R_1NwtzgWV3DcBCca","standard","37","LP","0.661783713916415","218.054","218.716","219.228","1.174","0.512","3","90"
"38","R_1NwtzgWV3DcBCca","standard","38","LP","3.49090909090909","220.23","223.721","224.101","3.871","0.38","3","93"
"39","R_1NwtzgWV3DcBCca","standard","39","LP","2.15079707022835","225.101","227.253","227.685","2.584","0.432","3","96"
"40","R_1NwtzgWV3DcBCca","standard","40","LP","0.264713485566566","228.685","228.951","229.436","0.751","0.485","3","99"
"41","R_1NwtzgWV3DcBCca","standard","41","LP","2.15079707022835","230.437","232.588","232.956","2.519","0.368","3","102"
"42","R_1NwtzgWV3DcBCca","standard","42","LP","8.51632916846187","233.957","NaN","239.517","5.56","NaN","0","102"
"43","R_1NwtzgWV3DcBCca","standard","43","LP","0.264713485566566","240.517","240.783","241.212","0.695","0.429","3","105"
"44","R_1NwtzgWV3DcBCca","standard","44","LP","0.264713485566566","242.213","242.478","242.869","0.656","0.391","3","108"
"45","R_1NwtzgWV3DcBCca","standard","45","LP","2.15079707022835","243.869","246.021","246.453","2.584","0.432","3","111"
"46","R_1NwtzgWV3DcBCca","standard","46","LP","2.15079707022835","247.453","249.605","250.005","2.552","0.4","3","114"
"47","R_1NwtzgWV3DcBCca","standard","47","LP","0.264713485566566","251.006","251.272","251.7","0.694","0.428","3","117"
"48","R_1NwtzgWV3DcBCca","standard","48","LP","19.8235243429556","252.701","NaN","259.829","7.128","NaN","0","117"
"49","R_1NwtzgWV3DcBCca","standard","49","LP","3.49090909090909","260.83","NaN","261.709","0.879","NaN","0","117"
"50","R_1NwtzgWV3DcBCca","standard","50","LP","8.51632916846187","262.71","NaN","268.861","6.151","NaN","0","117"
"51","R_1NwtzgWV3DcBCca","standard","51","LP","19.8235243429556","269.862","NaN","275.62","5.758","NaN","0","117"
"52","R_1NwtzgWV3DcBCca","standard","52","LP","0.264713485566566","276.622","276.887","277.292","0.67","0.405","3","120"
"53","R_1NwtzgWV3DcBCca","standard","53","LP","1.25738905644119","278.302","279.561","279.997","1.695","0.436","3","123"
"54","R_1NwtzgWV3DcBCca","standard","54","LP","3.49090909090909","280.998","284.49","284.876","3.878","0.386","3","126"
"55","R_1NwtzgWV3DcBCca","standard","55","LP","8.51632916846187","285.878","294.396","294.828","8.95","0.432","3","129"
"56","R_1NwtzgWV3DcBCca","standard","56","LP","8.51632916846187","295.829","NaN","301.365","5.536","NaN","0","129"
"57","R_1NwtzgWV3DcBCca","standard","57","LP","0.264713485566566","302.366","302.631","303.028","0.662","0.397","3","132"
"58","R_1NwtzgWV3DcBCca","standard","58","LP","0.661783713916415","304.03","304.692","305.156","1.126","0.464","3","135"
"59","R_1NwtzgWV3DcBCca","standard","59","LP","30","306.157","NaN","311.164","5.007","NaN","0","135"
"60","R_1NwtzgWV3DcBCca","standard","60","LP","19.8235243429556","312.165","NaN","316.461","4.296","NaN","0","135"
"61","R_1NwtzgWV3DcBCca","standard","61","LP","8.51632916846187","317.462","NaN","322.252","4.79","NaN","0","135"
"62","R_1NwtzgWV3DcBCca","standard","62","LP","30","323.254","NaN","330.254","7","NaN","0","135"
"63","R_1NwtzgWV3DcBCca","standard","63","LP","1.25738905644119","331.254","332.513","332.988","1.734","0.475","3","138"
"64","R_1NwtzgWV3DcBCca","standard","64","LP","13.0392072382594","333.989","NaN","340.3","6.311","NaN","0","138"
