"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_1PRwpevfu6TxNrN","discrete","1","LP","0.264713485566566","0","0.27","3.775","3.775","3.505","3","3"
"2","R_1PRwpevfu6TxNrN","discrete","2","LP","2.15079707022835","4.782","6.94","7.62","2.838","0.68","3","6"
"3","R_1PRwpevfu6TxNrN","discrete","3","LP","0.661783713916415","8.623","9.287","10.053","1.43","0.766","3","9"
"4","R_1PRwpevfu6TxNrN","discrete","4","LP","0.264713485566566","11.062","11.328","11.817","0.755","0.489","3","12"
"5","R_1PRwpevfu6TxNrN","discrete","5","LP","8.51632916846187","12.831","21.354","21.71","8.879","0.356","3","15"
"6","R_1PRwpevfu6TxNrN","discrete","6","LP","1.25738905644119","22.725","23.99","35.687","12.962","11.697","3","18"
"7","R_1PRwpevfu6TxNrN","discrete","7","LP","13.0392072382594","36.695","NaN","46.331","9.636","NaN","0","18"
"8","R_1PRwpevfu6TxNrN","discrete","8","LP","13.0392072382594","47.334","60.373","60.647","13.313","0.274","3","21"
"9","R_1PRwpevfu6TxNrN","discrete","9","LP","30","61.647","NaN","75.273","13.626","NaN","0","21"
"10","R_1PRwpevfu6TxNrN","discrete","10","LP","3.49090909090909","76.278","79.78","80.189","3.911","0.409","3","24"
"11","R_1PRwpevfu6TxNrN","discrete","11","LP","30","81.19","NaN","101.5","20.31","NaN","0","24"
"12","R_1PRwpevfu6TxNrN","discrete","12","LP","30","102.502","NaN","122.76","20.258","NaN","0","24"
"13","R_1PRwpevfu6TxNrN","discrete","13","LP","0.661783713916415","123.765","124.43","124.844","1.079","0.414","3","27"
"14","R_1PRwpevfu6TxNrN","discrete","14","LP","19.8235243429556","125.846","NaN","139.32","13.474","NaN","0","27"
"15","R_1PRwpevfu6TxNrN","discrete","15","LP","1.25738905644119","140.331","141.59","141.949","1.618","0.359","3","30"
"16","R_1PRwpevfu6TxNrN","discrete","16","LP","2.15079707022835","142.958","145.111","145.471","2.513","0.36","3","33"
"17","R_1PRwpevfu6TxNrN","discrete","17","LP","0.661783713916415","146.478","147.147","147.571","1.093","0.424","3","36"
"18","R_1PRwpevfu6TxNrN","discrete","18","LP","0.264713485566566","148.578","148.844","149.276","0.698","0.432","3","39"
"19","R_1PRwpevfu6TxNrN","discrete","19","LP","1.25738905644119","150.278","151.548","151.95","1.672","0.402","3","42"
"20","R_1PRwpevfu6TxNrN","discrete","20","LP","0.264713485566566","152.977","153.246","153.742","0.765","0.496","3","45"
"21","R_1PRwpevfu6TxNrN","discrete","21","LP","1.25738905644119","154.75","156.008","156.395","1.645","0.387","3","48"
"22","R_1PRwpevfu6TxNrN","discrete","22","LP","30","157.398","NaN","166.616","9.218","NaN","0","48"
"23","R_1PRwpevfu6TxNrN","discrete","23","LP","2.15079707022835","167.624","169.783","170.181","2.557","0.398","3","51"
"24","R_1PRwpevfu6TxNrN","discrete","24","LP","0.661783713916415","171.181","171.846","172.31","1.129","0.464","3","54"
"25","R_1PRwpevfu6TxNrN","discrete","25","LP","13.0392072382594","173.322","NaN","182.76","9.438","NaN","0","54"
"26","R_1PRwpevfu6TxNrN","discrete","26","LP","30","183.773","NaN","197.878","14.105","NaN","0","54"
"27","R_1PRwpevfu6TxNrN","discrete","27","LP","2.15079707022835","198.886","201.046","201.45","2.564","0.404","3","57"
"28","R_1PRwpevfu6TxNrN","discrete","28","LP","19.8235243429556","202.454","NaN","216.323","13.869","NaN","0","57"
"29","R_1PRwpevfu6TxNrN","discrete","29","LP","13.0392072382594","217.326","NaN","226.74","9.414","NaN","0","57"
"30","R_1PRwpevfu6TxNrN","discrete","30","LP","30","227.742","NaN","242.698","14.956","NaN","0","57"
"31","R_1PRwpevfu6TxNrN","discrete","31","LP","8.51632916846187","243.702","252.225","252.607","8.905","0.382","3","60"
"32","R_1PRwpevfu6TxNrN","discrete","32","LP","0.264713485566566","253.607","253.878","254.362","0.755","0.484","3","63"
"33","R_1PRwpevfu6TxNrN","discrete","33","LP","30","255.366","285.388","285.7","30.334","0.312","3","66"
"34","R_1PRwpevfu6TxNrN","discrete","34","LP","13.0392072382594","286.702","NaN","297.681","10.979","NaN","0","66"
"35","R_1PRwpevfu6TxNrN","discrete","35","LP","3.49090909090909","298.686","302.187","302.595","3.909","0.408","3","69"
"36","R_1PRwpevfu6TxNrN","discrete","36","LP","19.8235243429556","303.599","NaN","317.659","14.06","NaN","0","69"
"37","R_1PRwpevfu6TxNrN","discrete","37","LP","3.49090909090909","318.663","322.159","322.618","3.955","0.459","3","72"
"38","R_1PRwpevfu6TxNrN","discrete","38","LP","1.25738905644119","323.624","324.885","325.269","1.645","0.384","3","75"
"39","R_1PRwpevfu6TxNrN","discrete","39","LP","3.49090909090909","326.27","329.766","330.13","3.86","0.364","3","78"
"40","R_1PRwpevfu6TxNrN","discrete","40","LP","0.661783713916415","331.131","331.798","332.249","1.118","0.451","3","81"
"41","R_1PRwpevfu6TxNrN","discrete","41","LP","5.5010771219302","333.255","338.758","339.141","5.886","0.383","3","84"
"42","R_1PRwpevfu6TxNrN","discrete","42","LP","2.15079707022835","340.142","342.294","342.648","2.506","0.354","3","87"
"43","R_1PRwpevfu6TxNrN","discrete","43","LP","19.8235243429556","343.654","NaN","357.283","13.629","NaN","0","87"
"44","R_1PRwpevfu6TxNrN","discrete","44","LP","30","358.286","NaN","371.924","13.638","NaN","0","87"
"45","R_1PRwpevfu6TxNrN","discrete","45","LP","30","372.93","NaN","386.625","13.695","NaN","0","87"
"46","R_1PRwpevfu6TxNrN","discrete","46","LP","2.15079707022835","387.631","389.791","390.169","2.538","0.378","3","90"
"47","R_1PRwpevfu6TxNrN","discrete","47","LP","0.264713485566566","391.174","391.446","391.837","0.663","0.391","3","93"
"48","R_1PRwpevfu6TxNrN","discrete","48","LP","8.51632916846187","392.848","401.375","401.766","8.918","0.391","3","96"
"49","R_1PRwpevfu6TxNrN","discrete","49","LP","19.8235243429556","402.788","NaN","417.005","14.217","NaN","0","96"
"50","R_1PRwpevfu6TxNrN","discrete","50","LP","30","418.006","NaN","438.473","20.467","NaN","0","96"
"51","R_1PRwpevfu6TxNrN","discrete","51","LP","5.5010771219302","439.479","444.983","445.571","6.092","0.588","3","99"
"52","R_1PRwpevfu6TxNrN","discrete","52","LP","8.51632916846187","446.574","455.094","455.926","9.352","0.832","3","102"
"53","R_1PRwpevfu6TxNrN","discrete","53","LP","30","456.931","NaN","471.325","14.394","NaN","0","102"
"54","R_1PRwpevfu6TxNrN","discrete","54","LP","1.25738905644119","472.327","473.59","474.099","1.772","0.509","3","105"
"55","R_1PRwpevfu6TxNrN","discrete","55","LP","30","475.102","NaN","489.796","14.694","NaN","0","105"
"56","R_1PRwpevfu6TxNrN","discrete","56","LP","19.8235243429556","490.798","510.631","510.97","20.172","0.339","3","108"
"57","R_1PRwpevfu6TxNrN","discrete","57","LP","0.661783713916415","511.975","512.638","513.21","1.235","0.572","3","111"
"58","R_1PRwpevfu6TxNrN","discrete","58","LP","13.0392072382594","514.228","527.27","527.669","13.441","0.399","3","114"
"59","R_1PRwpevfu6TxNrN","discrete","59","LP","30","528.678","NaN","549.041","20.363","NaN","0","114"
"60","R_1PRwpevfu6TxNrN","discrete","60","LP","0.661783713916415","550.047","550.714","551.062","1.015","0.348","3","117"
"61","R_1PRwpevfu6TxNrN","discrete","61","LP","8.51632916846187","552.084","560.612","560.996","8.912","0.384","3","120"
"62","R_1PRwpevfu6TxNrN","discrete","62","LP","2.15079707022835","561.998","564.15","564.591","2.593","0.441","3","123"
"63","R_1PRwpevfu6TxNrN","discrete","63","LP","1.25738905644119","565.611","566.87","567.212","1.601","0.342","3","126"
"64","R_1PRwpevfu6TxNrN","discrete","64","LP","5.5010771219302","568.22","573.731","574.161","5.941","0.43","3","129"
"65","R_1PRwpevfu6TxNrN","discrete","65","LP","2.15079707022835","575.172","577.322","578.378","3.206","1.056","3","132"
"66","R_1PRwpevfu6TxNrN","discrete","66","LP","30","579.387","NaN","592.932","13.545","NaN","0","132"
"67","R_1PRwpevfu6TxNrN","discrete","67","LP","0.264713485566566","593.944","594.209","594.553","0.609","0.344","3","135"
"68","R_1PRwpevfu6TxNrN","discrete","68","LP","0.661783713916415","595.558","596.231","596.603","1.045","0.372","3","138"
"69","R_1PRwpevfu6TxNrN","discrete","69","LP","13.0392072382594","597.606","610.647","610.967","13.361","0.32","3","141"
"70","R_1PRwpevfu6TxNrN","discrete","70","LP","8.51632916846187","611.974","620.494","620.853","8.879","0.359","3","144"
"71","R_1PRwpevfu6TxNrN","discrete","71","LP","5.5010771219302","621.861","627.365","627.745","5.884","0.38","3","147"
"72","R_1PRwpevfu6TxNrN","discrete","72","LP","1.25738905644119","628.75","630.012","630.398","1.648","0.386","3","150"
"73","R_1PRwpevfu6TxNrN","discrete","73","LP","19.8235243429556","631.406","NaN","645.511","14.105","NaN","0","150"
"74","R_1PRwpevfu6TxNrN","discrete","74","LP","0.661783713916415","646.53","647.198","647.526","0.996","0.328","3","153"
"75","R_1PRwpevfu6TxNrN","discrete","75","LP","0.661783713916415","648.531","649.198","649.554","1.023","0.356","3","156"
"76","R_1PRwpevfu6TxNrN","discrete","76","LP","0.264713485566566","650.575","650.846","651.222","0.647","0.376","3","159"
"77","R_1PRwpevfu6TxNrN","discrete","77","LP","8.51632916846187","652.222","660.741","661.106","8.884","0.365","3","162"
"78","R_1PRwpevfu6TxNrN","discrete","78","LP","13.0392072382594","662.113","675.157","675.588","13.475","0.431","3","165"
"79","R_1PRwpevfu6TxNrN","discrete","79","LP","19.8235243429556","676.589","NaN","690.197","13.608","NaN","0","165"
"80","R_1PRwpevfu6TxNrN","discrete","80","LP","0.661783713916415","691.21","691.891","692.614","1.404","0.723","3","168"
"81","R_1PRwpevfu6TxNrN","discrete","81","LP","13.0392072382594","693.616","706.662","706.948","13.332","0.286","3","171"
"82","R_1PRwpevfu6TxNrN","discrete","82","LP","13.0392072382594","707.95","720.998","721.347","13.397","0.349","3","174"
"83","R_1PRwpevfu6TxNrN","discrete","83","LP","0.264713485566566","722.35","722.631","723.598","1.248","0.967","3","177"
"84","R_1PRwpevfu6TxNrN","discrete","84","LP","3.49090909090909","724.611","728.102","728.543","3.932","0.441","3","180"
"85","R_1PRwpevfu6TxNrN","discrete","85","LP","19.8235243429556","729.548","NaN","743.308","13.76","NaN","0","180"
"86","R_1PRwpevfu6TxNrN","discrete","86","LP","5.5010771219302","744.32","749.829","750.451","6.131","0.622","3","183"
"87","R_1PRwpevfu6TxNrN","discrete","87","LP","8.51632916846187","751.454","759.974","760.345","8.891","0.371","3","186"
"88","R_1PRwpevfu6TxNrN","discrete","88","LP","1.25738905644119","761.351","762.617","763.682","2.331","1.065","3","189"
"89","R_1PRwpevfu6TxNrN","discrete","89","LP","5.5010771219302","764.685","770.19","770.529","5.844","0.339","3","192"
"90","R_1PRwpevfu6TxNrN","discrete","90","LP","30","771.531","NaN","785.133","13.602","NaN","0","192"
"91","R_1PRwpevfu6TxNrN","discrete","91","LP","2.15079707022835","786.155","788.315","788.634","2.479","0.319","3","195"
"92","R_1PRwpevfu6TxNrN","discrete","92","LP","13.0392072382594","789.637","802.689","802.977","13.34","0.288","3","198"
"93","R_1PRwpevfu6TxNrN","discrete","93","LP","13.0392072382594","803.982","817.031","817.326","13.344","0.295","3","201"
"94","R_1PRwpevfu6TxNrN","discrete","94","LP","30","818.331","NaN","831.853","13.522","NaN","0","201"
"95","R_1PRwpevfu6TxNrN","discrete","95","LP","5.5010771219302","832.853","838.358","838.746","5.893","0.388","3","204"
"96","R_1PRwpevfu6TxNrN","discrete","96","LP","2.15079707022835","839.75","841.902","842.24","2.49","0.338","3","207"
"97","R_1PRwpevfu6TxNrN","discrete","97","LP","30","843.245","NaN","856.769","13.524","NaN","0","207"
"98","R_1PRwpevfu6TxNrN","discrete","98","LP","19.8235243429556","857.774","NaN","871.04","13.266","NaN","0","207"
