"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_1PZPQEDnf9ypAbi","standard","1","LP","30","0","30.002","30.375","30.375","0.373","3","3"
"2","R_1PZPQEDnf9ypAbi","standard","2","LP","8.51632916846187","31.376","39.896","40.206","8.83","0.31","3","6"
"3","R_1PZPQEDnf9ypAbi","standard","3","LP","13.0392072382594","41.208","54.25","54.775","13.567","0.525","3","9"
"4","R_1PZPQEDnf9ypAbi","standard","4","LP","8.51632916846187","55.777","64.297","64.759","8.982","0.462","3","12"
"5","R_1PZPQEDnf9ypAbi","standard","5","LP","5.5010771219302","65.769","71.273","71.679","5.91","0.406","3","15"
"6","R_1PZPQEDnf9ypAbi","standard","6","LP","2.15079707022835","72.682","74.834","75.287","2.605","0.453","3","18"
"7","R_1PZPQEDnf9ypAbi","standard","7","LP","13.0392072382594","76.289","89.329","89.807","13.518","0.478","3","21"
"8","R_1PZPQEDnf9ypAbi","standard","8","LP","0.661783713916415","90.809","91.473","91.951","1.142","0.478","3","24"
"9","R_1PZPQEDnf9ypAbi","standard","9","LP","30","92.953","NaN","110.239","17.286","NaN","0","24"
"10","R_1PZPQEDnf9ypAbi","standard","10","LP","8.51632916846187","111.241","119.761","120.175","8.934","0.414","3","27"
"11","R_1PZPQEDnf9ypAbi","standard","11","LP","0.264713485566566","121.177","121.449","121.919","0.742","0.47","3","30"
"12","R_1PZPQEDnf9ypAbi","standard","12","LP","0.264713485566566","122.922","123.194","123.663","0.741","0.469","3","33"
"13","R_1PZPQEDnf9ypAbi","standard","13","LP","2.15079707022835","124.666","126.817","127.839","3.173","1.022","3","36"
"14","R_1PZPQEDnf9ypAbi","standard","14","LP","5.5010771219302","128.841","134.346","134.735","5.894","0.389","3","39"
"15","R_1PZPQEDnf9ypAbi","standard","15","LP","1.25738905644119","135.737","137.001","137.327","1.59","0.326","3","42"
"16","R_1PZPQEDnf9ypAbi","standard","16","LP","13.0392072382594","138.328","151.369","151.807","13.479","0.438","3","45"
"17","R_1PZPQEDnf9ypAbi","standard","17","LP","2.15079707022835","152.81","154.961","155.415","2.605","0.454","3","48"
"18","R_1PZPQEDnf9ypAbi","standard","18","LP","2.15079707022835","156.417","158.569","158.919","2.502","0.35","3","51"
"19","R_1PZPQEDnf9ypAbi","standard","19","LP","19.8235243429556","159.921","NaN","177.711","17.79","NaN","0","51"
