"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_1PaYRIOh5etLsXK","discrete","1","LP","5.5010771219302","0","5.502","5.94","5.94","0.438","3","3"
"2","R_1PaYRIOh5etLsXK","discrete","2","LP","1.25738905644119","6.953","8.219","8.873","1.92","0.654","3","6"
"3","R_1PaYRIOh5etLsXK","discrete","3","LP","19.8235243429556","9.885","NaN","23.401","13.516","NaN","0","6"
"4","R_1PaYRIOh5etLsXK","discrete","4","LP","5.5010771219302","24.416","29.93","30.294","5.878","0.364","3","9"
"5","R_1PaYRIOh5etLsXK","discrete","5","LP","0.264713485566566","31.295","31.564","32.323","1.028","0.759","3","12"
"6","R_1PaYRIOh5etLsXK","discrete","6","LP","13.0392072382594","33.33","NaN","42.399","9.069","NaN","0","12"
"7","R_1PaYRIOh5etLsXK","discrete","7","LP","30","43.411","NaN","52.548","9.137","NaN","0","12"
"8","R_1PaYRIOh5etLsXK","discrete","8","LP","3.49090909090909","53.56","57.059","57.451","3.891","0.392","3","15"
"9","R_1PaYRIOh5etLsXK","discrete","9","LP","1.25738905644119","58.46","59.725","60.093","1.633","0.368","3","18"
"10","R_1PaYRIOh5etLsXK","discrete","10","LP","19.8235243429556","61.107","NaN","66.968","5.861","NaN","0","18"
"11","R_1PaYRIOh5etLsXK","discrete","11","LP","0.264713485566566","67.974","68.241","68.669","0.695","0.428","3","21"
"12","R_1PaYRIOh5etLsXK","discrete","12","LP","1.25738905644119","69.673","70.943","71.409","1.736","0.466","3","24"
"13","R_1PaYRIOh5etLsXK","discrete","13","LP","3.49090909090909","72.423","75.922","76.014","3.591","0.092","3","27"
"14","R_1PaYRIOh5etLsXK","discrete","14","LP","8.51632916846187","77.022","NaN","81.084","4.062","NaN","0","27"
"15","R_1PaYRIOh5etLsXK","discrete","15","LP","2.15079707022835","82.088","84.254","84.727","2.639","0.473","3","30"
"16","R_1PaYRIOh5etLsXK","discrete","16","LP","2.15079707022835","85.737","87.903","88.29","2.553","0.387","3","33"
"17","R_1PaYRIOh5etLsXK","discrete","17","LP","0.264713485566566","89.303","89.569","90.1","0.797","0.531","3","36"
"18","R_1PaYRIOh5etLsXK","discrete","18","LP","3.49090909090909","91.103","NaN","93.935","2.832","NaN","0","36"
"19","R_1PaYRIOh5etLsXK","discrete","19","LP","8.51632916846187","94.952","NaN","99.093","4.141","NaN","0","36"
"20","R_1PaYRIOh5etLsXK","discrete","20","LP","19.8235243429556","100.101","NaN","104.35","4.249","NaN","0","36"
"21","R_1PaYRIOh5etLsXK","discrete","21","LP","30","105.367","NaN","125.816","20.449","NaN","0","36"
"22","R_1PaYRIOh5etLsXK","discrete","22","LP","3.49090909090909","126.828","130.329","130.775","3.947","0.446","3","39"
"23","R_1PaYRIOh5etLsXK","discrete","23","LP","8.51632916846187","131.776","NaN","137.829","6.053","NaN","0","39"
"24","R_1PaYRIOh5etLsXK","discrete","24","LP","19.8235243429556","138.843","NaN","145.054","6.211","NaN","0","39"
"25","R_1PaYRIOh5etLsXK","discrete","25","LP","1.25738905644119","146.059","147.326","147.757","1.698","0.431","3","42"
"26","R_1PaYRIOh5etLsXK","discrete","26","LP","5.5010771219302","148.758","154.273","154.726","5.968","0.453","3","45"
"27","R_1PaYRIOh5etLsXK","discrete","27","LP","2.15079707022835","155.74","157.906","158.455","2.715","0.549","3","48"
"28","R_1PaYRIOh5etLsXK","discrete","28","LP","1.25738905644119","159.456","160.722","161.072","1.616","0.35","3","51"
"29","R_1PaYRIOh5etLsXK","discrete","29","LP","3.49090909090909","162.089","165.588","165.957","3.868","0.369","3","54"
"30","R_1PaYRIOh5etLsXK","discrete","30","LP","1.25738905644119","166.971","168.237","168.678","1.707","0.441","3","57"
"31","R_1PaYRIOh5etLsXK","discrete","31","LP","0.661783713916415","169.688","170.354","170.907","1.219","0.553","3","60"
"32","R_1PaYRIOh5etLsXK","discrete","32","LP","5.5010771219302","171.919","177.435","177.866","5.947","0.431","3","63"
"33","R_1PaYRIOh5etLsXK","discrete","33","LP","0.661783713916415","178.869","179.535","180.001","1.132","0.466","3","66"
