"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_1gI8zAy4mVCLsSW","standard","1","LP","0.661783713916415","0.004","0.686","1.119","1.115","0.433","3","3"
"2","R_1gI8zAy4mVCLsSW","standard","2","LP","0.661783713916415","2.126","2.794","3.104","0.978","0.31","3","6"
"3","R_1gI8zAy4mVCLsSW","standard","3","LP","19.8235243429556","4.113","NaN","14.943","10.83","NaN","0","6"
"4","R_1gI8zAy4mVCLsSW","standard","4","LP","30","15.951","NaN","35.837","19.886","NaN","0","6"
"5","R_1gI8zAy4mVCLsSW","standard","5","LP","1.25738905644119","36.841","38.114","38.558","1.717","0.444","3","9"
"6","R_1gI8zAy4mVCLsSW","standard","6","LP","13.0392072382594","39.588","NaN","41.852","2.264","NaN","0","9"
"7","R_1gI8zAy4mVCLsSW","standard","7","LP","2.15079707022835","42.853","45.009","45.373","2.52","0.364","3","12"
"8","R_1gI8zAy4mVCLsSW","standard","8","LP","13.0392072382594","46.375","NaN","53.022","6.647","NaN","0","12"
"9","R_1gI8zAy4mVCLsSW","standard","9","LP","30","54.032","NaN","60.478","6.446","NaN","0","12"
"10","R_1gI8zAy4mVCLsSW","standard","10","LP","1.25738905644119","61.491","NaN","62.205","0.714","NaN","0","12"
"11","R_1gI8zAy4mVCLsSW","standard","11","LP","1.25738905644119","63.21","64.473","65.119","1.909","0.646","3","15"
"12","R_1gI8zAy4mVCLsSW","standard","12","LP","1.25738905644119","66.124","67.402","68.318","2.194","0.916","3","18"
"13","R_1gI8zAy4mVCLsSW","standard","13","LP","2.15079707022835","69.335","71.498","71.934","2.599","0.436","3","21"
"14","R_1gI8zAy4mVCLsSW","standard","14","LP","30","72.941","NaN","80.941","8","NaN","0","21"
"15","R_1gI8zAy4mVCLsSW","standard","15","LP","0.661783713916415","81.956","82.622","82.957","1.001","0.335","3","24"
"16","R_1gI8zAy4mVCLsSW","standard","16","LP","1.25738905644119","83.969","NaN","84.828","0.859","NaN","0","24"
"17","R_1gI8zAy4mVCLsSW","standard","17","LP","1.25738905644119","85.853","87.116","87.453","1.6","0.337","3","27"
"18","R_1gI8zAy4mVCLsSW","standard","18","LP","3.49090909090909","88.465","NaN","91.022","2.557","NaN","0","27"
"19","R_1gI8zAy4mVCLsSW","standard","19","LP","8.51632916846187","92.049","NaN","94.765","2.716","NaN","0","27"
"20","R_1gI8zAy4mVCLsSW","standard","20","LP","8.51632916846187","95.773","NaN","99.454","3.681","NaN","0","27"
"21","R_1gI8zAy4mVCLsSW","standard","21","LP","3.49090909090909","100.466","NaN","102.669","2.203","NaN","0","27"
"22","R_1gI8zAy4mVCLsSW","standard","22","LP","30","103.684","NaN","107.292","3.608","NaN","0","27"
"23","R_1gI8zAy4mVCLsSW","standard","23","LP","30","108.311","NaN","110.396","2.085","NaN","0","27"
"24","R_1gI8zAy4mVCLsSW","standard","24","LP","1.25738905644119","111.408","112.676","113.022","1.614","0.346","3","30"
"25","R_1gI8zAy4mVCLsSW","standard","25","LP","3.49090909090909","114.025","NaN","115.998","1.973","NaN","0","30"
"26","R_1gI8zAy4mVCLsSW","standard","26","LP","3.49090909090909","117.019","NaN","119.454","2.435","NaN","0","30"
"27","R_1gI8zAy4mVCLsSW","standard","27","LP","3.49090909090909","120.468","NaN","123.616","3.148","NaN","0","30"
"28","R_1gI8zAy4mVCLsSW","standard","28","LP","30","124.617","NaN","132.684","8.067","NaN","0","30"
