"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_1gnICDMZzNm7BLi","discrete","1","LP","30","0","NaN","20.339","20.339","NaN","0","0"
"2","R_1gnICDMZzNm7BLi","discrete","2","LP","1.25738905644119","21.341","22.605","23.128","1.787","0.523","3","3"
"3","R_1gnICDMZzNm7BLi","discrete","3","LP","13.0392072382594","24.13","37.175","37.507","13.377","0.332","3","6"
"4","R_1gnICDMZzNm7BLi","discrete","4","LP","19.8235243429556","38.521","NaN","52.642","14.121","NaN","0","6"
"5","R_1gnICDMZzNm7BLi","discrete","5","LP","3.49090909090909","53.658","57.155","57.532","3.874","0.377","3","9"
"6","R_1gnICDMZzNm7BLi","discrete","6","LP","13.0392072382594","58.539","71.59","71.982","13.443","0.392","3","12"
"7","R_1gnICDMZzNm7BLi","discrete","7","LP","2.15079707022835","72.989","75.142","75.65","2.661","0.508","3","15"
"8","R_1gnICDMZzNm7BLi","discrete","8","LP","13.0392072382594","76.656","89.703","89.98","13.324","0.277","3","18"
"9","R_1gnICDMZzNm7BLi","discrete","9","LP","2.15079707022835","90.991","93.142","94.435","3.444","1.293","3","21"
"10","R_1gnICDMZzNm7BLi","discrete","10","LP","13.0392072382594","95.442","108.488","108.791","13.349","0.303","3","24"
"11","R_1gnICDMZzNm7BLi","discrete","11","LP","1.25738905644119","109.806","111.075","111.856","2.05","0.781","3","27"
"12","R_1gnICDMZzNm7BLi","discrete","12","LP","1.25738905644119","112.872","114.131","115.251","2.379","1.12","3","30"
"13","R_1gnICDMZzNm7BLi","discrete","13","LP","8.51632916846187","116.275","124.806","125.108","8.833","0.302","3","33"
"14","R_1gnICDMZzNm7BLi","discrete","14","LP","13.0392072382594","126.108","NaN","135.995","9.887","NaN","0","33"
"15","R_1gnICDMZzNm7BLi","discrete","15","LP","13.0392072382594","137.006","NaN","146.025","9.019","NaN","0","33"
"16","R_1gnICDMZzNm7BLi","discrete","16","LP","0.264713485566566","147.041","147.323","147.806","0.765","0.483","3","36"
"17","R_1gnICDMZzNm7BLi","discrete","17","LP","1.25738905644119","148.807","150.074","150.447","1.64","0.373","3","39"
"18","R_1gnICDMZzNm7BLi","discrete","18","LP","0.661783713916415","151.458","152.12","152.565","1.107","0.445","3","42"
"19","R_1gnICDMZzNm7BLi","discrete","19","LP","1.25738905644119","153.575","154.841","155.178","1.603","0.337","3","45"
"20","R_1gnICDMZzNm7BLi","discrete","20","LP","3.49090909090909","156.19","159.688","159.997","3.807","0.309","3","48"
"21","R_1gnICDMZzNm7BLi","discrete","21","LP","0.661783713916415","161.007","161.69","162.127","1.12","0.437","3","51"
"22","R_1gnICDMZzNm7BLi","discrete","22","LP","0.264713485566566","163.131","163.407","163.739","0.608","0.332","3","54"
"23","R_1gnICDMZzNm7BLi","discrete","23","LP","13.0392072382594","164.742","NaN","170.946","6.204","NaN","0","54"
"24","R_1gnICDMZzNm7BLi","discrete","24","LP","5.5010771219302","171.947","177.459","177.793","5.846","0.334","3","57"
"25","R_1gnICDMZzNm7BLi","discrete","25","LP","30","178.807","NaN","184.815","6.008","NaN","0","57"
"26","R_1gnICDMZzNm7BLi","discrete","26","LP","1.25738905644119","185.819","187.089","187.575","1.756","0.486","3","60"
"27","R_1gnICDMZzNm7BLi","discrete","27","LP","19.8235243429556","188.589","NaN","194.564","5.975","NaN","0","60"
"28","R_1gnICDMZzNm7BLi","discrete","28","LP","2.15079707022835","195.575","197.731","198.329","2.754","0.598","3","63"
"29","R_1gnICDMZzNm7BLi","discrete","29","LP","30","199.331","NaN","203.389","4.058","NaN","0","63"
"30","R_1gnICDMZzNm7BLi","discrete","30","LP","13.0392072382594","204.407","NaN","208.553","4.146","NaN","0","63"
"31","R_1gnICDMZzNm7BLi","discrete","31","LP","5.5010771219302","209.557","NaN","213.648","4.091","NaN","0","63"
"32","R_1gnICDMZzNm7BLi","discrete","32","LP","3.49090909090909","214.657","218.154","218.492","3.835","0.338","3","66"
"33","R_1gnICDMZzNm7BLi","discrete","33","LP","13.0392072382594","219.505","NaN","223.531","4.026","NaN","0","66"
"34","R_1gnICDMZzNm7BLi","discrete","34","LP","8.51632916846187","224.538","NaN","228.617","4.079","NaN","0","66"
"35","R_1gnICDMZzNm7BLi","discrete","35","LP","0.661783713916415","229.641","230.322","231.556","1.915","1.234","3","69"
"36","R_1gnICDMZzNm7BLi","discrete","36","LP","0.264713485566566","232.575","232.858","233.412","0.837","0.554","3","72"
"37","R_1gnICDMZzNm7BLi","discrete","37","LP","8.51632916846187","234.419","NaN","240.563","6.144","NaN","0","72"
"38","R_1gnICDMZzNm7BLi","discrete","38","LP","2.15079707022835","241.573","243.73","244.108","2.535","0.378","3","75"
"39","R_1gnICDMZzNm7BLi","discrete","39","LP","13.0392072382594","245.12","NaN","249.129","4.009","NaN","0","75"
"40","R_1gnICDMZzNm7BLi","discrete","40","LP","5.5010771219302","250.138","NaN","254.104","3.966","NaN","0","75"
"41","R_1gnICDMZzNm7BLi","discrete","41","LP","0.661783713916415","255.121","255.791","256.318","1.197","0.527","3","78"
"42","R_1gnICDMZzNm7BLi","discrete","42","LP","3.49090909090909","257.322","260.818","261.153","3.831","0.335","3","81"
"43","R_1gnICDMZzNm7BLi","discrete","43","LP","19.8235243429556","262.154","NaN","266.118","3.964","NaN","0","81"
"44","R_1gnICDMZzNm7BLi","discrete","44","LP","3.49090909090909","267.121","NaN","269.85","2.729","NaN","0","81"
"45","R_1gnICDMZzNm7BLi","discrete","45","LP","3.49090909090909","270.873","NaN","273.654","2.781","NaN","0","81"
"46","R_1gnICDMZzNm7BLi","discrete","46","LP","5.5010771219302","274.673","NaN","277.404","2.731","NaN","0","81"
"47","R_1gnICDMZzNm7BLi","discrete","47","LP","3.49090909090909","278.407","NaN","281.131","2.724","NaN","0","81"
"48","R_1gnICDMZzNm7BLi","discrete","48","LP","1.25738905644119","282.138","283.405","283.853","1.715","0.448","3","84"
"49","R_1gnICDMZzNm7BLi","discrete","49","LP","19.8235243429556","284.873","NaN","289.401","4.528","NaN","0","84"
"50","R_1gnICDMZzNm7BLi","discrete","50","LP","19.8235243429556","290.408","NaN","293.465","3.057","NaN","0","84"
"51","R_1gnICDMZzNm7BLi","discrete","51","LP","1.25738905644119","294.474","295.738","296.211","1.737","0.473","3","87"
"52","R_1gnICDMZzNm7BLi","discrete","52","LP","2.15079707022835","297.219","299.376","299.734","2.515","0.358","3","90"
"53","R_1gnICDMZzNm7BLi","discrete","53","LP","2.15079707022835","300.738","302.891","303.33","2.592","0.439","3","93"
"54","R_1gnICDMZzNm7BLi","discrete","54","LP","8.51632916846187","304.339","NaN","307.251","2.912","NaN","0","93"
"55","R_1gnICDMZzNm7BLi","discrete","55","LP","8.51632916846187","308.273","NaN","311.983","3.71","NaN","0","93"
"56","R_1gnICDMZzNm7BLi","discrete","56","LP","2.15079707022835","312.992","315.143","315.619","2.627","0.476","3","96"
"57","R_1gnICDMZzNm7BLi","discrete","57","LP","3.49090909090909","316.627","320.124","320.518","3.891","0.394","3","99"
