"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_1j9OZSGkY65axrr","discrete","1","LP","3.49090909090909","0.001","3.499","30.693","30.692","27.194","3","3"
"2","R_1j9OZSGkY65axrr","discrete","2","LP","5.5010771219302","31.705","37.209","37.676","5.971","0.467","3","6"
"3","R_1j9OZSGkY65axrr","discrete","3","LP","5.5010771219302","38.693","44.211","44.549","5.856","0.338","3","9"
"4","R_1j9OZSGkY65axrr","discrete","4","LP","5.5010771219302","45.554","51.066","51.476","5.922","0.41","3","12"
"5","R_1j9OZSGkY65axrr","discrete","5","LP","19.8235243429556","52.497","NaN","58.733","6.236","NaN","0","12"
"6","R_1j9OZSGkY65axrr","discrete","6","LP","5.5010771219302","59.738","65.24","65.699","5.961","0.459","3","15"
"7","R_1j9OZSGkY65axrr","discrete","7","LP","2.15079707022835","66.706","68.859","69.347","2.641","0.488","3","18"
"8","R_1j9OZSGkY65axrr","discrete","8","LP","13.0392072382594","70.354","NaN","76.388","6.034","NaN","0","18"
"9","R_1j9OZSGkY65axrr","discrete","9","LP","8.51632916846187","77.394","NaN","83.373","5.979","NaN","0","18"
"10","R_1j9OZSGkY65axrr","discrete","10","LP","1.25738905644119","84.378","85.64","86.083","1.705","0.443","3","21"
"11","R_1j9OZSGkY65axrr","discrete","11","LP","2.15079707022835","87.09","89.242","89.644","2.554","0.402","3","24"
"12","R_1j9OZSGkY65axrr","discrete","12","LP","5.5010771219302","90.651","96.154","96.451","5.8","0.297","3","27"
"13","R_1j9OZSGkY65axrr","discrete","13","LP","0.264713485566566","97.463","97.731","100.178","2.715","2.447","3","30"
"14","R_1j9OZSGkY65axrr","discrete","14","LP","30","101.186","NaN","107.147","5.961","NaN","0","30"
"15","R_1j9OZSGkY65axrr","discrete","15","LP","1.25738905644119","108.154","109.417","109.876","1.722","0.459","3","33"
"16","R_1j9OZSGkY65axrr","discrete","16","LP","30","110.882","NaN","117.012","6.13","NaN","0","33"
"17","R_1j9OZSGkY65axrr","discrete","17","LP","2.15079707022835","118.015","120.169","120.562","2.547","0.393","3","36"
"18","R_1j9OZSGkY65axrr","discrete","18","LP","2.15079707022835","121.569","123.724","124.098","2.529","0.374","3","39"
"19","R_1j9OZSGkY65axrr","discrete","19","LP","1.25738905644119","125.118","126.378","126.802","1.684","0.424","3","42"
"20","R_1j9OZSGkY65axrr","discrete","20","LP","30","127.809","NaN","134.091","6.282","NaN","0","42"
"21","R_1j9OZSGkY65axrr","discrete","21","LP","2.15079707022835","135.1","137.258","137.941","2.841","0.683","3","45"
"22","R_1j9OZSGkY65axrr","discrete","22","LP","1.25738905644119","138.946","140.207","140.739","1.793","0.532","3","48"
"23","R_1j9OZSGkY65axrr","discrete","23","LP","0.661783713916415","141.74","142.408","142.946","1.206","0.538","3","51"
"24","R_1j9OZSGkY65axrr","discrete","24","LP","0.264713485566566","143.953","144.225","144.588","0.635","0.363","3","54"
"25","R_1j9OZSGkY65axrr","discrete","25","LP","1.25738905644119","145.593","146.859","147.299","1.706","0.44","3","57"
"26","R_1j9OZSGkY65axrr","discrete","26","LP","30","148.305","NaN","154.419","6.114","NaN","0","57"
"27","R_1j9OZSGkY65axrr","discrete","27","LP","0.264713485566566","155.424","155.689","156.62","1.196","0.931","3","60"
"28","R_1j9OZSGkY65axrr","discrete","28","LP","0.264713485566566","157.625","157.897","158.546","0.921","0.649","3","63"
"29","R_1j9OZSGkY65axrr","discrete","29","LP","30","159.553","NaN","165.396","5.843","NaN","0","63"
"30","R_1j9OZSGkY65axrr","discrete","30","LP","0.661783713916415","166.401","167.077","167.46","1.059","0.383","3","66"
"31","R_1j9OZSGkY65axrr","discrete","31","LP","0.661783713916415","168.465","169.129","169.508","1.043","0.379","3","69"
"32","R_1j9OZSGkY65axrr","discrete","32","LP","13.0392072382594","170.511","NaN","176.299","5.788","NaN","0","69"
