"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_1jJS259bxAFHp0O","discrete","1","LP","1.25738905644119","0","1.258","1.771","1.771","0.513","3","3"
"2","R_1jJS259bxAFHp0O","discrete","2","LP","19.8235243429556","2.773","NaN","11.98","9.207","NaN","0","3"
"3","R_1jJS259bxAFHp0O","discrete","3","LP","1.25738905644119","12.98","14.239","14.716","1.736","0.477","3","6"
"4","R_1jJS259bxAFHp0O","discrete","4","LP","30","15.717","NaN","25.029","9.312","NaN","0","6"
"5","R_1jJS259bxAFHp0O","discrete","5","LP","5.5010771219302","26.03","31.531","32.011","5.981","0.48","3","9"
"6","R_1jJS259bxAFHp0O","discrete","6","LP","3.49090909090909","33.013","36.504","36.963","3.95","0.459","3","12"
"7","R_1jJS259bxAFHp0O","discrete","7","LP","8.51632916846187","37.965","46.481","46.828","8.863","0.347","3","15"
"8","R_1jJS259bxAFHp0O","discrete","8","LP","13.0392072382594","47.829","NaN","56.548","8.719","NaN","0","15"
"9","R_1jJS259bxAFHp0O","discrete","9","LP","0.661783713916415","57.549","58.21","59.38","1.831","1.17","3","18"
"10","R_1jJS259bxAFHp0O","discrete","10","LP","0.661783713916415","60.381","61.042","61.715","1.334","0.673","3","21"
"11","R_1jJS259bxAFHp0O","discrete","11","LP","3.49090909090909","62.716","66.207","66.732","4.016","0.525","3","24"
"12","R_1jJS259bxAFHp0O","discrete","12","LP","5.5010771219302","67.733","73.234","73.644","5.911","0.41","3","27"
"13","R_1jJS259bxAFHp0O","discrete","13","LP","0.264713485566566","74.644","74.908","75.668","1.024","0.76","3","30"
"14","R_1jJS259bxAFHp0O","discrete","14","LP","0.661783713916415","76.668","77.329","78.076","1.408","0.747","3","33"
"15","R_1jJS259bxAFHp0O","discrete","15","LP","8.51632916846187","79.076","NaN","84.916","5.84","NaN","0","33"
"16","R_1jJS259bxAFHp0O","discrete","16","LP","0.661783713916415","85.917","86.579","87.091","1.174","0.512","3","36"
"17","R_1jJS259bxAFHp0O","discrete","17","LP","8.51632916846187","88.092","NaN","94.444","6.352","NaN","0","36"
"18","R_1jJS259bxAFHp0O","discrete","18","LP","1.25738905644119","95.444","96.701","97.212","1.768","0.511","3","39"
"19","R_1jJS259bxAFHp0O","discrete","19","LP","3.49090909090909","98.212","101.703","102.132","3.92","0.429","3","42"
"20","R_1jJS259bxAFHp0O","discrete","20","LP","0.661783713916415","103.132","103.793","104.484","1.352","0.691","3","45"
"21","R_1jJS259bxAFHp0O","discrete","21","LP","0.661783713916415","105.485","106.146","106.94","1.455","0.794","3","48"
"22","R_1jJS259bxAFHp0O","discrete","22","LP","5.5010771219302","107.94","113.442","113.78","5.84","0.338","3","51"
"23","R_1jJS259bxAFHp0O","discrete","23","LP","0.661783713916415","114.781","115.442","115.956","1.175","0.514","3","54"
"24","R_1jJS259bxAFHp0O","discrete","24","LP","0.661783713916415","116.956","117.618","118.012","1.056","0.394","3","57"
"25","R_1jJS259bxAFHp0O","discrete","25","LP","3.49090909090909","119.012","122.502","122.947","3.935","0.445","3","60"
"26","R_1jJS259bxAFHp0O","discrete","26","LP","8.51632916846187","123.948","NaN","130.132","6.184","NaN","0","60"
"27","R_1jJS259bxAFHp0O","discrete","27","LP","0.264713485566566","131.133","131.398","131.964","0.831","0.566","3","63"
"28","R_1jJS259bxAFHp0O","discrete","28","LP","2.15079707022835","132.964","135.115","135.5","2.536","0.385","3","66"
"29","R_1jJS259bxAFHp0O","discrete","29","LP","5.5010771219302","136.501","142.003","142.404","5.903","0.401","3","69"
"30","R_1jJS259bxAFHp0O","discrete","30","LP","3.49090909090909","143.405","146.896","147.228","3.823","0.332","3","72"
"31","R_1jJS259bxAFHp0O","discrete","31","LP","3.49090909090909","148.229","151.72","152.156","3.927","0.436","3","75"
"32","R_1jJS259bxAFHp0O","discrete","32","LP","30","153.157","NaN","159.42","6.263","NaN","0","75"
"33","R_1jJS259bxAFHp0O","discrete","33","LP","19.8235243429556","160.421","NaN","166.612","6.191","NaN","0","75"
"34","R_1jJS259bxAFHp0O","discrete","34","LP","3.49090909090909","167.613","171.105","171.444","3.831","0.339","3","78"
"35","R_1jJS259bxAFHp0O","discrete","35","LP","2.15079707022835","172.444","174.594","175.02","2.576","0.426","3","81"
"36","R_1jJS259bxAFHp0O","discrete","36","LP","5.5010771219302","176.02","181.522","181.972","5.952","0.45","3","84"
"37","R_1jJS259bxAFHp0O","discrete","37","LP","0.661783713916415","182.972","183.634","184.468","1.496","0.834","3","87"
"38","R_1jJS259bxAFHp0O","discrete","38","LP","0.264713485566566","185.468","185.733","186.3","0.832","0.567","3","90"
"39","R_1jJS259bxAFHp0O","discrete","39","LP","2.15079707022835","187.301","189.452","189.9","2.599","0.448","3","93"
"40","R_1jJS259bxAFHp0O","discrete","40","LP","8.51632916846187","190.901","NaN","197.028","6.127","NaN","0","93"
"41","R_1jJS259bxAFHp0O","discrete","41","LP","19.8235243429556","198.029","NaN","204.22","6.191","NaN","0","93"
"42","R_1jJS259bxAFHp0O","discrete","42","LP","3.49090909090909","205.221","208.711","209.14","3.919","0.429","3","96"
"43","R_1jJS259bxAFHp0O","discrete","43","LP","2.15079707022835","210.141","212.291","212.692","2.551","0.401","3","99"
"44","R_1jJS259bxAFHp0O","discrete","44","LP","3.49090909090909","213.694","217.184","217.564","3.87","0.38","3","102"
"45","R_1jJS259bxAFHp0O","discrete","45","LP","0.661783713916415","218.565","219.227","219.724","1.159","0.497","3","105"
"46","R_1jJS259bxAFHp0O","discrete","46","LP","2.15079707022835","220.724","222.874","223.292","2.568","0.418","3","108"
"47","R_1jJS259bxAFHp0O","discrete","47","LP","19.8235243429556","224.293","NaN","230.46","6.167","NaN","0","108"
"48","R_1jJS259bxAFHp0O","discrete","48","LP","19.8235243429556","231.461","NaN","237.82","6.359","NaN","0","108"
"49","R_1jJS259bxAFHp0O","discrete","49","LP","0.264713485566566","238.821","239.087","239.58","0.759","0.493","3","111"
