"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_1juFzgDlmVQ8RNO","discrete","1","LP","19.8235243429556","0.001","NaN","1.315","1.314","NaN","0","0"
"2","R_1juFzgDlmVQ8RNO","discrete","2","LP","5.5010771219302","2.323","7.825","8.338","6.015","0.513","3","3"
"3","R_1juFzgDlmVQ8RNO","discrete","3","LP","2.15079707022835","9.341","11.503","11.921","2.58","0.418","3","6"
"4","R_1juFzgDlmVQ8RNO","discrete","4","LP","13.0392072382594","12.931","25.979","26.578","13.647","0.599","3","9"
"5","R_1juFzgDlmVQ8RNO","discrete","5","LP","8.51632916846187","27.599","NaN","28.759","1.16","NaN","0","9"
"6","R_1juFzgDlmVQ8RNO","discrete","6","LP","3.49090909090909","29.771","NaN","29.88","0.109","NaN","0","9"
"7","R_1juFzgDlmVQ8RNO","discrete","7","LP","0.264713485566566","30.882","31.155","32.495","1.613","1.34","3","12"
"8","R_1juFzgDlmVQ8RNO","discrete","8","LP","19.8235243429556","33.507","NaN","33.847","0.34","NaN","0","12"
"9","R_1juFzgDlmVQ8RNO","discrete","9","LP","19.8235243429556","34.853","NaN","35.711","0.858","NaN","0","12"
"10","R_1juFzgDlmVQ8RNO","discrete","10","LP","1.25738905644119","36.717","NaN","37.088","0.371","NaN","0","12"
"11","R_1juFzgDlmVQ8RNO","discrete","11","LP","0.661783713916415","38.098","NaN","38.544","0.446","NaN","0","12"
"12","R_1juFzgDlmVQ8RNO","discrete","12","LP","2.15079707022835","39.547","41.712","42.056","2.509","0.344","3","15"
"13","R_1juFzgDlmVQ8RNO","discrete","13","LP","30","43.072","NaN","47.04","3.968","NaN","0","15"
"14","R_1juFzgDlmVQ8RNO","discrete","14","LP","8.51632916846187","48.043","56.562","56.944","8.901","0.382","3","18"
"15","R_1juFzgDlmVQ8RNO","discrete","15","LP","30","57.947","NaN","59.031","1.084","NaN","0","18"
"16","R_1juFzgDlmVQ8RNO","discrete","16","LP","5.5010771219302","60.034","65.537","66.023","5.989","0.486","3","21"
"17","R_1juFzgDlmVQ8RNO","discrete","17","LP","3.49090909090909","67.038","70.53","70.928","3.89","0.398","3","24"
"18","R_1juFzgDlmVQ8RNO","discrete","18","LP","30","71.93","101.934","102.441","30.511","0.507","3","27"
"19","R_1juFzgDlmVQ8RNO","discrete","19","LP","3.49090909090909","103.458","NaN","105.656","2.198","NaN","0","27"
"20","R_1juFzgDlmVQ8RNO","discrete","20","LP","0.661783713916415","106.661","107.327","108.585","1.924","1.258","3","30"
"21","R_1juFzgDlmVQ8RNO","discrete","21","LP","2.15079707022835","109.588","111.747","113.404","3.816","1.657","3","33"
"22","R_1juFzgDlmVQ8RNO","discrete","22","LP","30","114.412","NaN","124.914","10.502","NaN","0","33"
