"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_1lxUGE5FSomvHJA","standard","1","LP","8.51632916846187","0.001","NaN","1.525","1.524","NaN","0","0"
"2","R_1lxUGE5FSomvHJA","standard","2","LP","30","2.53","NaN","3.826","1.296","NaN","0","0"
"3","R_1lxUGE5FSomvHJA","standard","3","LP","30","4.835","NaN","5.436","0.601","NaN","0","0"
"4","R_1lxUGE5FSomvHJA","standard","4","LP","5.5010771219302","6.443","11.947","12.989","6.546","1.042","3","3"
"5","R_1lxUGE5FSomvHJA","standard","5","LP","0.264713485566566","13.994","14.267","15.378","1.384","1.111","3","6"
"6","R_1lxUGE5FSomvHJA","standard","6","LP","5.5010771219302","16.386","NaN","21.228","4.842","NaN","0","6"
"7","R_1lxUGE5FSomvHJA","standard","7","LP","0.661783713916415","22.234","22.898","26.323","4.089","3.425","3","9"
"8","R_1lxUGE5FSomvHJA","standard","8","LP","19.8235243429556","27.33","NaN","33.177","5.847","NaN","0","9"
"9","R_1lxUGE5FSomvHJA","standard","9","LP","13.0392072382594","34.187","NaN","42.322","8.135","NaN","0","9"
"10","R_1lxUGE5FSomvHJA","standard","10","LP","19.8235243429556","43.33","NaN","45.012","1.682","NaN","0","9"
"11","R_1lxUGE5FSomvHJA","standard","11","LP","1.25738905644119","46.016","NaN","47.269","1.253","NaN","0","9"
"12","R_1lxUGE5FSomvHJA","standard","12","LP","3.49090909090909","48.275","NaN","48.944","0.669","NaN","0","9"
"13","R_1lxUGE5FSomvHJA","standard","13","LP","8.51632916846187","49.946","58.466","59.034","9.088","0.568","3","12"
"14","R_1lxUGE5FSomvHJA","standard","14","LP","30","60.044","NaN","67.667","7.623","NaN","0","12"
"15","R_1lxUGE5FSomvHJA","standard","15","LP","30","68.674","NaN","79.904","11.23","NaN","0","12"
"16","R_1lxUGE5FSomvHJA","standard","16","LP","0.264713485566566","80.908","81.178","81.936","1.028","0.758","3","15"
"17","R_1lxUGE5FSomvHJA","standard","17","LP","13.0392072382594","82.938","NaN","86.715","3.777","NaN","0","15"
"18","R_1lxUGE5FSomvHJA","standard","18","LP","13.0392072382594","87.722","NaN","94.313","6.591","NaN","0","15"
"19","R_1lxUGE5FSomvHJA","standard","19","LP","5.5010771219302","95.322","NaN","100.302","4.98","NaN","0","15"
"20","R_1lxUGE5FSomvHJA","standard","20","LP","1.25738905644119","101.306","NaN","102.024","0.718","NaN","0","15"
"21","R_1lxUGE5FSomvHJA","standard","21","LP","1.25738905644119","103.028","NaN","103.424","0.396","NaN","0","15"
"22","R_1lxUGE5FSomvHJA","standard","22","LP","0.661783713916415","104.431","NaN","104.873","0.442","NaN","0","15"
"23","R_1lxUGE5FSomvHJA","standard","23","LP","5.5010771219302","105.883","NaN","106.427","0.544","NaN","0","15"
"24","R_1lxUGE5FSomvHJA","standard","24","LP","30","107.43","NaN","117.983","10.553","NaN","0","15"
"25","R_1lxUGE5FSomvHJA","standard","25","LP","3.49090909090909","118.987","122.483","126.022","7.035","3.539","3","18"
"26","R_1lxUGE5FSomvHJA","standard","26","LP","1.25738905644119","127.026","128.291","133.767","6.741","5.476","3","21"
"27","R_1lxUGE5FSomvHJA","standard","27","LP","0.264713485566566","134.778","135.046","136.727","1.949","1.681","3","24"
"28","R_1lxUGE5FSomvHJA","standard","28","LP","30","137.728","NaN","141.849","4.121","NaN","0","24"
"29","R_1lxUGE5FSomvHJA","standard","29","LP","8.51632916846187","142.858","NaN","151.226","8.368","NaN","0","24"
"30","R_1lxUGE5FSomvHJA","standard","30","LP","13.0392072382594","152.235","NaN","156.436","4.201","NaN","0","24"
"31","R_1lxUGE5FSomvHJA","standard","31","LP","2.15079707022835","157.45","159.603","164.426","6.976","4.823","3","27"
"32","R_1lxUGE5FSomvHJA","standard","32","LP","2.15079707022835","165.427","NaN","166.272","0.845","NaN","0","27"
"33","R_1lxUGE5FSomvHJA","standard","33","LP","5.5010771219302","167.274","172.779","178.109","10.835","5.33","3","30"
