"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_1mOsdCWMAxWpBfE","discrete","1","LP","30","0","NaN","13.651","13.651","NaN","0","0"
"2","R_1mOsdCWMAxWpBfE","discrete","2","LP","0.264713485566566","14.654","14.922","15.521","0.867","0.599","3","3"
"3","R_1mOsdCWMAxWpBfE","discrete","3","LP","0.661783713916415","16.524","17.191","17.663","1.139","0.472","3","6"
"4","R_1mOsdCWMAxWpBfE","discrete","4","LP","0.661783713916415","18.666","19.328","19.717","1.051","0.389","3","9"
"5","R_1mOsdCWMAxWpBfE","discrete","5","LP","1.25738905644119","20.717","21.975","22.229","1.512","0.254","3","12"
"6","R_1mOsdCWMAxWpBfE","discrete","6","LP","13.0392072382594","23.235","NaN","26.333","3.098","NaN","0","12"
"7","R_1mOsdCWMAxWpBfE","discrete","7","LP","2.15079707022835","27.338","29.492","29.908","2.57","0.416","3","15"
"8","R_1mOsdCWMAxWpBfE","discrete","8","LP","0.264713485566566","30.909","31.176","31.709","0.8","0.533","3","18"
"9","R_1mOsdCWMAxWpBfE","discrete","9","LP","0.661783713916415","32.711","33.376","33.729","1.018","0.353","3","21"
"10","R_1mOsdCWMAxWpBfE","discrete","10","LP","19.8235243429556","34.734","NaN","37.376","2.642","NaN","0","21"
"11","R_1mOsdCWMAxWpBfE","discrete","11","LP","1.25738905644119","38.38","39.639","40.031","1.651","0.392","3","24"
"12","R_1mOsdCWMAxWpBfE","discrete","12","LP","19.8235243429556","41.033","NaN","45.257","4.224","NaN","0","24"
"13","R_1mOsdCWMAxWpBfE","discrete","13","LP","0.661783713916415","46.263","46.925","47.411","1.148","0.486","3","27"
"14","R_1mOsdCWMAxWpBfE","discrete","14","LP","2.15079707022835","48.413","50.564","50.912","2.499","0.348","3","30"
"15","R_1mOsdCWMAxWpBfE","discrete","15","LP","2.15079707022835","51.915","54.067","54.449","2.534","0.382","3","33"
"16","R_1mOsdCWMAxWpBfE","discrete","16","LP","3.49090909090909","55.453","58.948","59.211","3.758","0.263","3","36"
"17","R_1mOsdCWMAxWpBfE","discrete","17","LP","0.661783713916415","60.212","60.877","61.375","1.163","0.498","3","39"
"18","R_1mOsdCWMAxWpBfE","discrete","18","LP","19.8235243429556","62.379","NaN","66.644","4.265","NaN","0","39"
"19","R_1mOsdCWMAxWpBfE","discrete","19","LP","8.51632916846187","67.649","NaN","69.035","1.386","NaN","0","39"
"20","R_1mOsdCWMAxWpBfE","discrete","20","LP","3.49090909090909","70.041","73.536","73.996","3.955","0.46","3","42"
"21","R_1mOsdCWMAxWpBfE","discrete","21","LP","8.51632916846187","74.999","NaN","80.43","5.431","NaN","0","42"
"22","R_1mOsdCWMAxWpBfE","discrete","22","LP","30","81.434","NaN","84.926","3.492","NaN","0","42"
"23","R_1mOsdCWMAxWpBfE","discrete","23","LP","5.5010771219302","85.93","NaN","88.72","2.79","NaN","0","42"
"24","R_1mOsdCWMAxWpBfE","discrete","24","LP","8.51632916846187","89.72","NaN","90.241","0.521","NaN","0","42"
"25","R_1mOsdCWMAxWpBfE","discrete","25","LP","30","91.242","NaN","94.859","3.617","NaN","0","42"
"26","R_1mOsdCWMAxWpBfE","discrete","26","LP","5.5010771219302","95.862","101.365","101.794","5.932","0.429","3","45"
"27","R_1mOsdCWMAxWpBfE","discrete","27","LP","30","102.799","NaN","109.242","6.443","NaN","0","45"
"28","R_1mOsdCWMAxWpBfE","discrete","28","LP","30","110.247","NaN","114.393","4.146","NaN","0","45"
"29","R_1mOsdCWMAxWpBfE","discrete","29","LP","8.51632916846187","115.396","NaN","119.603","4.207","NaN","0","45"
"30","R_1mOsdCWMAxWpBfE","discrete","30","LP","0.661783713916415","120.606","121.271","121.676","1.07","0.405","3","48"
"31","R_1mOsdCWMAxWpBfE","discrete","31","LP","19.8235243429556","122.682","NaN","128.74","6.058","NaN","0","48"
"32","R_1mOsdCWMAxWpBfE","discrete","32","LP","0.661783713916415","129.746","130.409","130.848","1.102","0.439","3","51"
"33","R_1mOsdCWMAxWpBfE","discrete","33","LP","5.5010771219302","131.854","NaN","136.116","4.262","NaN","0","51"
"34","R_1mOsdCWMAxWpBfE","discrete","34","LP","19.8235243429556","137.116","NaN","141.35","4.234","NaN","0","51"
"35","R_1mOsdCWMAxWpBfE","discrete","35","LP","3.49090909090909","142.355","145.85","146.251","3.896","0.401","3","54"
"36","R_1mOsdCWMAxWpBfE","discrete","36","LP","3.49090909090909","147.255","150.749","151.202","3.947","0.453","3","57"
"37","R_1mOsdCWMAxWpBfE","discrete","37","LP","1.25738905644119","152.206","153.466","154.189","1.983","0.723","3","60"
"38","R_1mOsdCWMAxWpBfE","discrete","38","LP","3.49090909090909","155.19","158.685","159.028","3.838","0.343","3","63"
"39","R_1mOsdCWMAxWpBfE","discrete","39","LP","2.15079707022835","160.031","162.185","162.626","2.595","0.441","3","66"
"40","R_1mOsdCWMAxWpBfE","discrete","40","LP","0.661783713916415","163.631","164.293","164.671","1.04","0.378","3","69"
"41","R_1mOsdCWMAxWpBfE","discrete","41","LP","30","165.674","NaN","169.829","4.155","NaN","0","69"
"42","R_1mOsdCWMAxWpBfE","discrete","42","LP","2.15079707022835","170.834","172.989","173.362","2.528","0.373","3","72"
"43","R_1mOsdCWMAxWpBfE","discrete","43","LP","13.0392072382594","174.368","NaN","180.423","6.055","NaN","0","72"
"44","R_1mOsdCWMAxWpBfE","discrete","44","LP","0.661783713916415","181.426","182.091","182.713","1.287","0.622","3","75"
"45","R_1mOsdCWMAxWpBfE","discrete","45","LP","8.51632916846187","183.715","NaN","190.045","6.33","NaN","0","75"
"46","R_1mOsdCWMAxWpBfE","discrete","46","LP","0.264713485566566","191.048","191.313","191.765","0.717","0.452","3","78"
"47","R_1mOsdCWMAxWpBfE","discrete","47","LP","3.49090909090909","192.769","196.261","196.649","3.88","0.388","3","81"
"48","R_1mOsdCWMAxWpBfE","discrete","48","LP","0.264713485566566","197.655","197.92","198.436","0.781","0.516","3","84"
"49","R_1mOsdCWMAxWpBfE","discrete","49","LP","0.661783713916415","199.442","200.104","200.446","1.004","0.342","3","87"
"50","R_1mOsdCWMAxWpBfE","discrete","50","LP","0.661783713916415","201.451","202.113","202.464","1.013","0.351","3","90"
"51","R_1mOsdCWMAxWpBfE","discrete","51","LP","3.49090909090909","203.465","206.96","207.346","3.881","0.386","3","93"
"52","R_1mOsdCWMAxWpBfE","discrete","52","LP","30","208.348","NaN","212.008","3.66","NaN","0","93"
