"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_1pAweK4abSd0rGC","discrete","1","LP","0.661783713916415","0","0.666","1.186","1.186","0.52","3","3"
"2","R_1pAweK4abSd0rGC","discrete","2","LP","30","2.21","NaN","22.986","20.776","NaN","0","3"
"3","R_1pAweK4abSd0rGC","discrete","3","LP","19.8235243429556","23.997","43.821","44.124","20.127","0.303","3","6"
"4","R_1pAweK4abSd0rGC","discrete","4","LP","3.49090909090909","45.129","48.623","48.988","3.859","0.365","3","9"
"5","R_1pAweK4abSd0rGC","discrete","5","LP","5.5010771219302","50","55.52","55.836","5.836","0.316","3","12"
"6","R_1pAweK4abSd0rGC","discrete","6","LP","8.51632916846187","56.839","65.361","65.667","8.828","0.306","3","15"
"7","R_1pAweK4abSd0rGC","discrete","7","LP","0.264713485566566","66.672","66.943","67.523","0.851","0.58","3","18"
"8","R_1pAweK4abSd0rGC","discrete","8","LP","30","68.527","NaN","89.03","20.503","NaN","0","18"
"9","R_1pAweK4abSd0rGC","discrete","9","LP","13.0392072382594","90.05","103.1","103.39","13.34","0.29","3","21"
"10","R_1pAweK4abSd0rGC","discrete","10","LP","19.8235243429556","104.41","NaN","118.302","13.892","NaN","0","21"
"11","R_1pAweK4abSd0rGC","discrete","11","LP","1.25738905644119","119.31","120.589","120.92","1.61","0.331","3","24"
"12","R_1pAweK4abSd0rGC","discrete","12","LP","8.51632916846187","121.926","130.456","130.736","8.81","0.28","3","27"
"13","R_1pAweK4abSd0rGC","discrete","13","LP","5.5010771219302","131.743","137.247","137.624","5.881","0.377","3","30"
"14","R_1pAweK4abSd0rGC","discrete","14","LP","13.0392072382594","138.631","151.689","151.976","13.345","0.287","3","33"
"15","R_1pAweK4abSd0rGC","discrete","15","LP","3.49090909090909","152.982","156.479","156.792","3.81","0.313","3","36"
"16","R_1pAweK4abSd0rGC","discrete","16","LP","3.49090909090909","157.8","161.295","161.647","3.847","0.352","3","39"
"17","R_1pAweK4abSd0rGC","discrete","17","LP","30","162.648","NaN","175.872","13.224","NaN","0","39"
"18","R_1pAweK4abSd0rGC","discrete","18","LP","13.0392072382594","176.88","189.928","190.262","13.382","0.334","3","42"
"19","R_1pAweK4abSd0rGC","discrete","19","LP","1.25738905644119","191.274","192.541","192.831","1.557","0.29","3","45"
"20","R_1pAweK4abSd0rGC","discrete","20","LP","0.264713485566566","193.841","194.109","194.534","0.693","0.425","3","48"
"21","R_1pAweK4abSd0rGC","discrete","21","LP","1.25738905644119","195.543","196.821","197.16","1.617","0.339","3","51"
"22","R_1pAweK4abSd0rGC","discrete","22","LP","3.49090909090909","198.17","201.67","201.948","3.778","0.278","3","54"
"23","R_1pAweK4abSd0rGC","discrete","23","LP","8.51632916846187","202.953","211.474","211.826","8.873","0.352","3","57"
"24","R_1pAweK4abSd0rGC","discrete","24","LP","5.5010771219302","212.831","218.34","218.679","5.848","0.339","3","60"
"25","R_1pAweK4abSd0rGC","discrete","25","LP","0.661783713916415","219.688","220.352","220.705","1.017","0.353","3","63"
"26","R_1pAweK4abSd0rGC","discrete","26","LP","8.51632916846187","221.715","230.253","230.578","8.863","0.325","3","66"
"27","R_1pAweK4abSd0rGC","discrete","27","LP","2.15079707022835","231.591","233.743","234.079","2.488","0.336","3","69"
"28","R_1pAweK4abSd0rGC","discrete","28","LP","30","235.102","NaN","248.698","13.596","NaN","0","69"
"29","R_1pAweK4abSd0rGC","discrete","29","LP","1.25738905644119","249.71","250.99","251.325","1.615","0.335","3","72"
"30","R_1pAweK4abSd0rGC","discrete","30","LP","2.15079707022835","252.327","254.49","254.779","2.452","0.289","3","75"
"31","R_1pAweK4abSd0rGC","discrete","31","LP","8.51632916846187","255.784","264.311","264.571","8.787","0.26","3","78"
"32","R_1pAweK4abSd0rGC","discrete","32","LP","1.25738905644119","265.583","266.847","267.238","1.655","0.391","3","81"
"33","R_1pAweK4abSd0rGC","discrete","33","LP","3.49090909090909","268.242","271.749","272.077","3.835","0.328","3","84"
"34","R_1pAweK4abSd0rGC","discrete","34","LP","5.5010771219302","273.08","278.583","278.894","5.814","0.311","3","87"
"35","R_1pAweK4abSd0rGC","discrete","35","LP","2.15079707022835","279.921","282.08","282.361","2.44","0.281","3","90"
"36","R_1pAweK4abSd0rGC","discrete","36","LP","8.51632916846187","283.379","291.913","292.184","8.805","0.271","3","93"
"37","R_1pAweK4abSd0rGC","discrete","37","LP","8.51632916846187","293.196","301.716","302.015","8.819","0.299","3","96"
"38","R_1pAweK4abSd0rGC","discrete","38","LP","2.15079707022835","303.023","305.18","305.51","2.487","0.33","3","99"
"39","R_1pAweK4abSd0rGC","discrete","39","LP","0.661783713916415","306.512","307.176","307.536","1.024","0.36","3","102"
"40","R_1pAweK4abSd0rGC","discrete","40","LP","2.15079707022835","308.543","310.701","310.965","2.422","0.264","3","105"
"41","R_1pAweK4abSd0rGC","discrete","41","LP","0.661783713916415","311.98","312.646","312.97","0.99","0.324","3","108"
"42","R_1pAweK4abSd0rGC","discrete","42","LP","1.25738905644119","313.981","315.247","315.559","1.578","0.312","3","111"
"43","R_1pAweK4abSd0rGC","discrete","43","LP","1.25738905644119","316.576","317.838","318.121","1.545","0.283","3","114"
