"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_1qe9XMehLbaPEWU","discrete","1","LP","0.661783713916415","0.001","0.666","1.478","1.477","0.812","3","3"
"2","R_1qe9XMehLbaPEWU","discrete","2","LP","13.0392072382594","2.497","15.544","15.95","13.453","0.406","3","6"
"3","R_1qe9XMehLbaPEWU","discrete","3","LP","2.15079707022835","16.956","19.114","19.463","2.507","0.349","3","9"
"4","R_1qe9XMehLbaPEWU","discrete","4","LP","5.5010771219302","20.472","25.977","26.402","5.93","0.425","3","12"
"5","R_1qe9XMehLbaPEWU","discrete","5","LP","5.5010771219302","27.408","32.921","33.26","5.852","0.339","3","15"
"6","R_1qe9XMehLbaPEWU","discrete","6","LP","19.8235243429556","34.27","NaN","41.723","7.453","NaN","0","15"
"7","R_1qe9XMehLbaPEWU","discrete","7","LP","30","42.749","NaN","56.691","13.942","NaN","0","15"
"8","R_1qe9XMehLbaPEWU","discrete","8","LP","0.661783713916415","57.699","58.367","58.738","1.039","0.371","3","18"
"9","R_1qe9XMehLbaPEWU","discrete","9","LP","0.264713485566566","59.749","60.029","60.389","0.64","0.36","3","21"
"10","R_1qe9XMehLbaPEWU","discrete","10","LP","19.8235243429556","61.404","NaN","67.72","6.316","NaN","0","21"
"11","R_1qe9XMehLbaPEWU","discrete","11","LP","1.25738905644119","68.723","69.988","70.315","1.592","0.327","3","24"
"12","R_1qe9XMehLbaPEWU","discrete","12","LP","5.5010771219302","71.331","76.841","77.242","5.911","0.401","3","27"
"13","R_1qe9XMehLbaPEWU","discrete","13","LP","19.8235243429556","78.252","NaN","84.559","6.307","NaN","0","27"
"14","R_1qe9XMehLbaPEWU","discrete","14","LP","30","85.569","NaN","92.382","6.813","NaN","0","27"
"15","R_1qe9XMehLbaPEWU","discrete","15","LP","0.661783713916415","93.401","94.073","94.443","1.042","0.37","3","30"
"16","R_1qe9XMehLbaPEWU","discrete","16","LP","2.15079707022835","95.451","97.606","97.944","2.493","0.338","3","33"
"17","R_1qe9XMehLbaPEWU","discrete","17","LP","5.5010771219302","98.954","104.466","104.806","5.852","0.34","3","36"
"18","R_1qe9XMehLbaPEWU","discrete","18","LP","3.49090909090909","105.815","109.319","109.614","3.799","0.295","3","39"
"19","R_1qe9XMehLbaPEWU","discrete","19","LP","30","110.619","NaN","117.116","6.497","NaN","0","39"
"20","R_1qe9XMehLbaPEWU","discrete","20","LP","13.0392072382594","118.136","NaN","122.731","4.595","NaN","0","39"
"21","R_1qe9XMehLbaPEWU","discrete","21","LP","1.25738905644119","123.735","125.001","125.342","1.607","0.341","3","42"
"22","R_1qe9XMehLbaPEWU","discrete","22","LP","30","126.349","NaN","130.658","4.309","NaN","0","42"
"23","R_1qe9XMehLbaPEWU","discrete","23","LP","1.25738905644119","131.685","132.95","133.317","1.632","0.367","3","45"
"24","R_1qe9XMehLbaPEWU","discrete","24","LP","5.5010771219302","134.331","139.846","140.229","5.898","0.383","3","48"
"25","R_1qe9XMehLbaPEWU","discrete","25","LP","3.49090909090909","141.236","144.734","145.238","4.002","0.504","3","51"
"26","R_1qe9XMehLbaPEWU","discrete","26","LP","2.15079707022835","146.248","148.419","148.962","2.714","0.543","3","54"
"27","R_1qe9XMehLbaPEWU","discrete","27","LP","13.0392072382594","149.971","NaN","156.159","6.188","NaN","0","54"
"28","R_1qe9XMehLbaPEWU","discrete","28","LP","19.8235243429556","157.173","NaN","166.288","9.115","NaN","0","54"
"29","R_1qe9XMehLbaPEWU","discrete","29","LP","2.15079707022835","167.297","169.461","169.79","2.493","0.329","3","57"
"30","R_1qe9XMehLbaPEWU","discrete","30","LP","0.264713485566566","170.791","171.084","171.398","0.607","0.314","3","60"
"31","R_1qe9XMehLbaPEWU","discrete","31","LP","0.661783713916415","172.4","173.074","173.382","0.982","0.308","3","63"
"32","R_1qe9XMehLbaPEWU","discrete","32","LP","8.51632916846187","174.398","NaN","180.642","6.244","NaN","0","63"
"33","R_1qe9XMehLbaPEWU","discrete","33","LP","0.264713485566566","181.648","181.924","182.359","0.711","0.435","3","66"
"34","R_1qe9XMehLbaPEWU","discrete","34","LP","8.51632916846187","183.367","NaN","189.349","5.982","NaN","0","66"
"35","R_1qe9XMehLbaPEWU","discrete","35","LP","5.5010771219302","190.351","195.855","196.216","5.865","0.361","3","69"
"36","R_1qe9XMehLbaPEWU","discrete","36","LP","5.5010771219302","197.23","202.741","203.03","5.8","0.289","3","72"
"37","R_1qe9XMehLbaPEWU","discrete","37","LP","30","204.047","NaN","210.721","6.674","NaN","0","72"
"38","R_1qe9XMehLbaPEWU","discrete","38","LP","5.5010771219302","211.731","217.245","217.571","5.84","0.326","3","75"
"39","R_1qe9XMehLbaPEWU","discrete","39","LP","0.264713485566566","218.589","218.859","219.751","1.162","0.892","3","78"
"40","R_1qe9XMehLbaPEWU","discrete","40","LP","5.5010771219302","220.765","226.28","226.577","5.812","0.297","3","81"
"41","R_1qe9XMehLbaPEWU","discrete","41","LP","3.49090909090909","227.585","231.082","231.448","3.863","0.366","3","84"
"42","R_1qe9XMehLbaPEWU","discrete","42","LP","30","232.455","NaN","238.73","6.275","NaN","0","84"
"43","R_1qe9XMehLbaPEWU","discrete","43","LP","13.0392072382594","239.732","NaN","245.48","5.748","NaN","0","84"
"44","R_1qe9XMehLbaPEWU","discrete","44","LP","3.49090909090909","246.499","250.006","250.338","3.839","0.332","3","87"
"45","R_1qe9XMehLbaPEWU","discrete","45","LP","0.264713485566566","251.353","251.619","252.033","0.68","0.414","3","90"
"46","R_1qe9XMehLbaPEWU","discrete","46","LP","13.0392072382594","253.039","NaN","259.033","5.994","NaN","0","90"
"47","R_1qe9XMehLbaPEWU","discrete","47","LP","0.264713485566566","260.041","260.319","260.678","0.637","0.359","3","93"
"48","R_1qe9XMehLbaPEWU","discrete","48","LP","0.264713485566566","261.687","261.959","262.266","0.579","0.307","3","96"
"49","R_1qe9XMehLbaPEWU","discrete","49","LP","8.51632916846187","263.274","NaN","269.265","5.991","NaN","0","96"
"50","R_1qe9XMehLbaPEWU","discrete","50","LP","3.49090909090909","270.275","273.772","274.084","3.809","0.312","3","99"
