"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_1rOX8sL5M8dbAWv","standard","1","LP","2.15079707022835","0.001","2.155","3.512","3.511","1.357","3","3"
"2","R_1rOX8sL5M8dbAWv","standard","2","LP","1.25738905644119","4.516","5.775","6.857","2.341","1.082","3","6"
"3","R_1rOX8sL5M8dbAWv","standard","3","LP","2.15079707022835","7.888","10.041","10.874","2.986","0.833","3","9"
"4","R_1rOX8sL5M8dbAWv","standard","4","LP","13.0392072382594","11.875","24.92","25.722","13.847","0.802","3","12"
"5","R_1rOX8sL5M8dbAWv","standard","5","LP","0.264713485566566","26.722","26.986","27.788","1.066","0.802","3","15"
"6","R_1rOX8sL5M8dbAWv","standard","6","LP","13.0392072382594","28.794","NaN","32.006","3.212","NaN","0","15"
"7","R_1rOX8sL5M8dbAWv","standard","7","LP","30","33.008","NaN","47.01","14.002","NaN","0","15"
"8","R_1rOX8sL5M8dbAWv","standard","8","LP","1.25738905644119","48.01","49.275","49.983","1.973","0.708","3","18"
"9","R_1rOX8sL5M8dbAWv","standard","9","LP","3.49090909090909","50.988","54.489","55.2","4.212","0.711","3","21"
"10","R_1rOX8sL5M8dbAWv","standard","10","LP","8.51632916846187","56.204","64.722","65.175","8.971","0.453","3","24"
"11","R_1rOX8sL5M8dbAWv","standard","11","LP","0.264713485566566","66.188","66.456","67.425","1.237","0.969","3","27"
"12","R_1rOX8sL5M8dbAWv","standard","12","LP","5.5010771219302","68.44","NaN","72.027","3.587","NaN","0","27"
"13","R_1rOX8sL5M8dbAWv","standard","13","LP","1.25738905644119","73.034","74.302","74.954","1.92","0.652","3","30"
"14","R_1rOX8sL5M8dbAWv","standard","14","LP","13.0392072382594","75.962","NaN","79.028","3.066","NaN","0","30"
"15","R_1rOX8sL5M8dbAWv","standard","15","LP","19.8235243429556","80.035","NaN","86.238","6.203","NaN","0","30"
"16","R_1rOX8sL5M8dbAWv","standard","16","LP","8.51632916846187","87.242","NaN","90.637","3.395","NaN","0","30"
"17","R_1rOX8sL5M8dbAWv","standard","17","LP","8.51632916846187","91.645","NaN","93.417","1.772","NaN","0","30"
"18","R_1rOX8sL5M8dbAWv","standard","18","LP","3.49090909090909","94.419","NaN","95.445","1.026","NaN","0","30"
"19","R_1rOX8sL5M8dbAWv","standard","19","LP","30","96.45","NaN","97.718","1.268","NaN","0","30"
"20","R_1rOX8sL5M8dbAWv","standard","20","LP","8.51632916846187","98.719","NaN","99.998","1.279","NaN","0","30"
