"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_214k5ebirwHEiQe","standard","1","LP","13.0392072382594","0","13.042","13.699","13.699","0.657","3","3"
"2","R_214k5ebirwHEiQe","standard","2","LP","13.0392072382594","14.707","27.755","28.234","13.527","0.479","3","6"
"3","R_214k5ebirwHEiQe","standard","3","LP","2.15079707022835","29.24","31.405","33.059","3.819","1.654","3","9"
"4","R_214k5ebirwHEiQe","standard","4","LP","3.49090909090909","34.077","37.58","38.33","4.253","0.75","3","12"
"5","R_214k5ebirwHEiQe","standard","5","LP","5.5010771219302","39.337","44.839","45.225","5.888","0.386","3","15"
"6","R_214k5ebirwHEiQe","standard","6","LP","3.49090909090909","46.226","49.72","50.218","3.992","0.498","3","18"
"7","R_214k5ebirwHEiQe","standard","7","LP","2.15079707022835","51.225","53.378","54.962","3.737","1.584","3","21"
"8","R_214k5ebirwHEiQe","standard","8","LP","0.661783713916415","55.982","56.649","57.314","1.332","0.665","3","24"
"9","R_214k5ebirwHEiQe","standard","9","LP","0.661783713916415","58.319","58.984","59.618","1.299","0.634","3","27"
"10","R_214k5ebirwHEiQe","standard","10","LP","30","60.624","90.633","91.026","30.402","0.393","3","30"
"11","R_214k5ebirwHEiQe","standard","11","LP","30","92.033","122.041","122.555","30.522","0.514","3","33"
"12","R_214k5ebirwHEiQe","standard","12","LP","30","123.564","153.575","154.106","30.542","0.531","3","36"
"13","R_214k5ebirwHEiQe","standard","13","LP","19.8235243429556","155.108","174.937","176.235","21.127","1.298","3","39"
"14","R_214k5ebirwHEiQe","standard","14","LP","8.51632916846187","177.242","185.774","186.951","9.709","1.177","3","42"
"15","R_214k5ebirwHEiQe","standard","15","LP","19.8235243429556","187.958","207.792","208.362","20.404","0.57","3","45"
"16","R_214k5ebirwHEiQe","standard","16","LP","19.8235243429556","209.378","229.212","230.599","21.221","1.387","3","48"
"17","R_214k5ebirwHEiQe","standard","17","LP","2.15079707022835","231.614","233.769","235.842","4.228","2.073","3","51"
"18","R_214k5ebirwHEiQe","standard","18","LP","8.51632916846187","236.855","245.38","246.722","9.867","1.342","3","54"
