"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_21GGrKDX6CaPvPp","standard","1","LP","0.264713485566566","0","0.267","0.719","0.719","0.452","3","3"
"2","R_21GGrKDX6CaPvPp","standard","2","LP","8.51632916846187","1.731","NaN","2.286","0.555","NaN","0","3"
"3","R_21GGrKDX6CaPvPp","standard","3","LP","5.5010771219302","3.294","NaN","5.806","2.512","NaN","0","3"
"4","R_21GGrKDX6CaPvPp","standard","4","LP","8.51632916846187","6.814","15.335","15.739","8.925","0.404","3","6"
"5","R_21GGrKDX6CaPvPp","standard","5","LP","1.25738905644119","16.746","18.018","18.384","1.638","0.366","3","9"
"6","R_21GGrKDX6CaPvPp","standard","6","LP","3.49090909090909","19.407","22.914","23.276","3.869","0.362","3","12"
"7","R_21GGrKDX6CaPvPp","standard","7","LP","3.49090909090909","24.284","27.778","28.116","3.832","0.338","3","15"
"8","R_21GGrKDX6CaPvPp","standard","8","LP","19.8235243429556","29.129","NaN","38.447","9.318","NaN","0","15"
"9","R_21GGrKDX6CaPvPp","standard","9","LP","2.15079707022835","39.451","41.609","42.001","2.55","0.392","3","18"
"10","R_21GGrKDX6CaPvPp","standard","10","LP","0.661783713916415","43.002","43.676","44.063","1.061","0.387","3","21"
"11","R_21GGrKDX6CaPvPp","standard","11","LP","1.25738905644119","45.068","46.333","46.678","1.61","0.345","3","24"
"12","R_21GGrKDX6CaPvPp","standard","12","LP","2.15079707022835","47.684","49.836","50.209","2.525","0.373","3","27"
"13","R_21GGrKDX6CaPvPp","standard","13","LP","30","51.215","NaN","58.497","7.282","NaN","0","27"
"14","R_21GGrKDX6CaPvPp","standard","14","LP","8.51632916846187","59.508","68.043","68.402","8.894","0.359","3","30"
"15","R_21GGrKDX6CaPvPp","standard","15","LP","0.264713485566566","69.41","69.692","70.192","0.782","0.5","3","33"
"16","R_21GGrKDX6CaPvPp","standard","16","LP","5.5010771219302","71.193","76.698","77.07","5.877","0.372","3","36"
"17","R_21GGrKDX6CaPvPp","standard","17","LP","0.264713485566566","78.077","78.344","78.783","0.706","0.439","3","39"
"18","R_21GGrKDX6CaPvPp","standard","18","LP","8.51632916846187","79.802","NaN","86.122","6.32","NaN","0","39"
"19","R_21GGrKDX6CaPvPp","standard","19","LP","3.49090909090909","87.139","90.644","91.038","3.899","0.394","3","42"
"20","R_21GGrKDX6CaPvPp","standard","20","LP","13.0392072382594","92.038","NaN","99.896","7.858","NaN","0","42"
"21","R_21GGrKDX6CaPvPp","standard","21","LP","8.51632916846187","100.919","109.445","109.827","8.908","0.382","3","45"
"22","R_21GGrKDX6CaPvPp","standard","22","LP","5.5010771219302","110.836","116.346","116.713","5.877","0.367","3","48"
"23","R_21GGrKDX6CaPvPp","standard","23","LP","5.5010771219302","117.724","123.238","123.595","5.871","0.357","3","51"
"24","R_21GGrKDX6CaPvPp","standard","24","LP","1.25738905644119","124.614","125.88","126.31","1.696","0.43","3","54"
"25","R_21GGrKDX6CaPvPp","standard","25","LP","30","127.324","NaN","136.37","9.046","NaN","0","54"
"26","R_21GGrKDX6CaPvPp","standard","26","LP","30","137.386","NaN","147.264","9.878","NaN","0","54"
"27","R_21GGrKDX6CaPvPp","standard","27","LP","1.25738905644119","148.269","149.527","149.967","1.698","0.44","3","57"
"28","R_21GGrKDX6CaPvPp","standard","28","LP","3.49090909090909","150.982","154.481","154.848","3.866","0.367","3","60"
"29","R_21GGrKDX6CaPvPp","standard","29","LP","0.264713485566566","155.854","156.119","156.536","0.682","0.417","3","63"
"30","R_21GGrKDX6CaPvPp","standard","30","LP","3.49090909090909","157.546","161.047","161.462","3.916","0.415","3","66"
"31","R_21GGrKDX6CaPvPp","standard","31","LP","19.8235243429556","162.472","NaN","172.632","10.16","NaN","0","66"
"32","R_21GGrKDX6CaPvPp","standard","32","LP","3.49090909090909","173.635","177.13","177.573","3.938","0.443","3","69"
"33","R_21GGrKDX6CaPvPp","standard","33","LP","5.5010771219302","178.594","184.111","184.463","5.869","0.352","3","72"
"34","R_21GGrKDX6CaPvPp","standard","34","LP","0.264713485566566","185.472","185.739","186.151","0.679","0.412","3","75"
"35","R_21GGrKDX6CaPvPp","standard","35","LP","13.0392072382594","187.167","NaN","196.107","8.94","NaN","0","75"
