"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_23UBOpfjECSZZZ3","discrete","1","LP","1.25738905644119","0.001","1.262","2.463","2.462","1.201","3","3"
"2","R_23UBOpfjECSZZZ3","discrete","2","LP","19.8235243429556","3.48","NaN","4.35","0.87","NaN","0","3"
"3","R_23UBOpfjECSZZZ3","discrete","3","LP","19.8235243429556","5.354","NaN","5.947","0.593","NaN","0","3"
"4","R_23UBOpfjECSZZZ3","discrete","4","LP","8.51632916846187","6.962","NaN","7.279","0.317","NaN","0","3"
"5","R_23UBOpfjECSZZZ3","discrete","5","LP","19.8235243429556","8.295","NaN","8.633","0.338","NaN","0","3"
"6","R_23UBOpfjECSZZZ3","discrete","6","LP","19.8235243429556","9.634","NaN","10.49","0.856","NaN","0","3"
"7","R_23UBOpfjECSZZZ3","discrete","7","LP","5.5010771219302","11.498","NaN","11.812","0.314","NaN","0","3"
"8","R_23UBOpfjECSZZZ3","discrete","8","LP","30","12.816","NaN","17.663","4.847","NaN","0","3"
"9","R_23UBOpfjECSZZZ3","discrete","9","LP","30","18.683","NaN","20.226","1.543","NaN","0","3"
"10","R_23UBOpfjECSZZZ3","discrete","10","LP","0.661783713916415","21.23","NaN","21.663","0.433","NaN","0","3"
"11","R_23UBOpfjECSZZZ3","discrete","11","LP","8.51632916846187","22.678","NaN","23.549","0.871","NaN","0","3"
"12","R_23UBOpfjECSZZZ3","discrete","12","LP","13.0392072382594","24.553","37.594","38.435","13.882","0.841","3","6"
"13","R_23UBOpfjECSZZZ3","discrete","13","LP","0.661783713916415","39.443","40.114","41.249","1.806","1.135","3","9"
"14","R_23UBOpfjECSZZZ3","discrete","14","LP","3.49090909090909","42.25","45.746","47.372","5.122","1.626","3","12"
"15","R_23UBOpfjECSZZZ3","discrete","15","LP","8.51632916846187","48.378","56.899","57.616","9.238","0.717","3","15"
"16","R_23UBOpfjECSZZZ3","discrete","16","LP","2.15079707022835","58.616","60.781","61.629","3.013","0.848","3","18"
"17","R_23UBOpfjECSZZZ3","discrete","17","LP","8.51632916846187","62.634","71.153","71.843","9.209","0.69","3","21"
"18","R_23UBOpfjECSZZZ3","discrete","18","LP","30","72.859","102.865","103.637","30.778","0.772","3","24"
"19","R_23UBOpfjECSZZZ3","discrete","19","LP","8.51632916846187","104.642","113.175","115.264","10.622","2.089","3","27"
"20","R_23UBOpfjECSZZZ3","discrete","20","LP","0.264713485566566","116.273","116.543","117.715","1.442","1.172","3","30"
"21","R_23UBOpfjECSZZZ3","discrete","21","LP","0.264713485566566","118.724","118.993","119.905","1.181","0.912","3","33"
"22","R_23UBOpfjECSZZZ3","discrete","22","LP","19.8235243429556","120.914","140.79","142.23","21.316","1.44","3","36"
"23","R_23UBOpfjECSZZZ3","discrete","23","LP","13.0392072382594","143.235","156.914","160.332","17.097","3.418","3","39"
"24","R_23UBOpfjECSZZZ3","discrete","24","LP","13.0392072382594","161.334","174.652","181.731","20.397","7.079","3","42"
"25","R_23UBOpfjECSZZZ3","discrete","25","LP","3.49090909090909","182.739","186.86","197.827","15.088","10.967","3","45"
"26","R_23UBOpfjECSZZZ3","discrete","26","LP","3.49090909090909","198.836","202.859","239.98","41.144","37.121","3","48"
"27","R_23UBOpfjECSZZZ3","discrete","27","LP","5.5010771219302","240.986","246.882","263.848","22.862","16.966","3","51"
"28","R_23UBOpfjECSZZZ3","discrete","28","LP","5.5010771219302","264.849","270.939","278.688","13.839","7.749","3","54"
"29","R_23UBOpfjECSZZZ3","discrete","29","LP","19.8235243429556","279.69","299.518","301.042","21.352","1.524","3","57"
"30","R_23UBOpfjECSZZZ3","discrete","30","LP","30","302.049","332.872","335.89","33.841","3.018","3","60"
"31","R_23UBOpfjECSZZZ3","discrete","31","LP","13.0392072382594","336.892","349.938","351.129","14.237","1.191","3","63"
"32","R_23UBOpfjECSZZZ3","discrete","32","LP","2.15079707022835","352.132","354.29","355.426","3.294","1.136","3","66"
"33","R_23UBOpfjECSZZZ3","discrete","33","LP","8.51632916846187","356.434","364.954","366.481","10.047","1.527","3","69"
"34","R_23UBOpfjECSZZZ3","discrete","34","LP","2.15079707022835","367.489","369.641","370.626","3.137","0.985","3","72"
"35","R_23UBOpfjECSZZZ3","discrete","35","LP","8.51632916846187","371.639","380.162","380.919","9.28","0.757","3","75"
"36","R_23UBOpfjECSZZZ3","discrete","36","LP","1.25738905644119","381.935","383.202","384.261","2.326","1.059","3","78"
"37","R_23UBOpfjECSZZZ3","discrete","37","LP","2.15079707022835","385.281","387.434","388.266","2.985","0.832","3","81"
"38","R_23UBOpfjECSZZZ3","discrete","38","LP","2.15079707022835","389.292","391.468","392.438","3.146","0.97","3","84"
"39","R_23UBOpfjECSZZZ3","discrete","39","LP","5.5010771219302","393.442","398.947","399.689","6.247","0.742","3","87"
"40","R_23UBOpfjECSZZZ3","discrete","40","LP","19.8235243429556","400.699","420.53","421.245","20.546","0.715","3","90"
"41","R_23UBOpfjECSZZZ3","discrete","41","LP","3.49090909090909","422.263","425.764","426.54","4.277","0.776","3","93"
"42","R_23UBOpfjECSZZZ3","discrete","42","LP","13.0392072382594","427.546","440.593","441.42","13.874","0.827","3","96"
"43","R_23UBOpfjECSZZZ3","discrete","43","LP","3.49090909090909","442.425","445.922","446.731","4.306","0.809","3","99"
"44","R_23UBOpfjECSZZZ3","discrete","44","LP","1.25738905644119","447.738","449.009","449.039","1.301","0.03","3","102"
"45","R_23UBOpfjECSZZZ3","discrete","45","LP","0.264713485566566","450.041","450.318","451.6","1.559","1.282","3","105"
"46","R_23UBOpfjECSZZZ3","discrete","46","LP","8.51632916846187","452.602","NaN","453.42","0.818","NaN","0","105"
"47","R_23UBOpfjECSZZZ3","discrete","47","LP","8.51632916846187","454.429","NaN","456.317","1.888","NaN","0","105"
"48","R_23UBOpfjECSZZZ3","discrete","48","LP","30","457.321","NaN","461.622","4.301","NaN","0","105"
"49","R_23UBOpfjECSZZZ3","discrete","49","LP","5.5010771219302","462.625","468.128","469.03","6.405","0.902","3","108"
"50","R_23UBOpfjECSZZZ3","discrete","50","LP","13.0392072382594","470.05","NaN","481.23","11.18","NaN","0","108"
"51","R_23UBOpfjECSZZZ3","discrete","51","LP","2.15079707022835","482.233","484.391","485.06","2.827","0.669","3","111"
"52","R_23UBOpfjECSZZZ3","discrete","52","LP","8.51632916846187","486.068","494.593","495.792","9.724","1.199","3","114"
"53","R_23UBOpfjECSZZZ3","discrete","53","LP","3.49090909090909","496.811","500.305","501.481","4.67","1.176","3","117"
"54","R_23UBOpfjECSZZZ3","discrete","54","LP","30","502.506","532.509","533.62","31.114","1.111","3","120"
"55","R_23UBOpfjECSZZZ3","discrete","55","LP","5.5010771219302","534.625","540.129","541.213","6.588","1.084","3","123"
