"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_23f2nCdcYcp3AfC","discrete","1","LP","3.49090909090909","0","3.503","20.504","20.504","17.001","3","3"
"2","R_23f2nCdcYcp3AfC","discrete","2","LP","30","21.504","NaN","41.763","20.259","NaN","0","3"
"3","R_23f2nCdcYcp3AfC","discrete","3","LP","2.15079707022835","42.766","44.921","45.311","2.545","0.39","3","6"
"4","R_23f2nCdcYcp3AfC","discrete","4","LP","30","46.332","NaN","59.922","13.59","NaN","0","6"
"5","R_23f2nCdcYcp3AfC","discrete","5","LP","3.49090909090909","60.933","64.432","64.824","3.891","0.392","3","9"
"6","R_23f2nCdcYcp3AfC","discrete","6","LP","0.264713485566566","65.833","66.107","66.634","0.801","0.527","3","12"
"7","R_23f2nCdcYcp3AfC","discrete","7","LP","19.8235243429556","67.639","NaN","81.208","13.569","NaN","0","12"
"8","R_23f2nCdcYcp3AfC","discrete","8","LP","0.264713485566566","82.209","82.486","82.942","0.733","0.456","3","15"
"9","R_23f2nCdcYcp3AfC","discrete","9","LP","1.25738905644119","83.943","85.21","85.769","1.826","0.559","3","18"
"10","R_23f2nCdcYcp3AfC","discrete","10","LP","2.15079707022835","86.784","88.943","89.286","2.502","0.343","3","21"
"11","R_23f2nCdcYcp3AfC","discrete","11","LP","2.15079707022835","90.287","92.44","92.791","2.504","0.351","3","24"
"12","R_23f2nCdcYcp3AfC","discrete","12","LP","19.8235243429556","93.799","NaN","102.982","9.183","NaN","0","24"
"13","R_23f2nCdcYcp3AfC","discrete","13","LP","0.264713485566566","103.993","104.263","104.657","0.664","0.394","3","27"
"14","R_23f2nCdcYcp3AfC","discrete","14","LP","3.49090909090909","105.673","109.168","109.559","3.886","0.391","3","30"
"15","R_23f2nCdcYcp3AfC","discrete","15","LP","1.25738905644119","110.568","111.831","112.212","1.644","0.381","3","33"
"16","R_23f2nCdcYcp3AfC","discrete","16","LP","5.5010771219302","113.23","118.735","119.109","5.879","0.374","3","36"
"17","R_23f2nCdcYcp3AfC","discrete","17","LP","1.25738905644119","120.114","121.382","121.752","1.638","0.37","3","39"
"18","R_23f2nCdcYcp3AfC","discrete","18","LP","13.0392072382594","122.762","NaN","132.013","9.251","NaN","0","39"
"19","R_23f2nCdcYcp3AfC","discrete","19","LP","13.0392072382594","133.02","NaN","142.578","9.558","NaN","0","39"
"20","R_23f2nCdcYcp3AfC","discrete","20","LP","30","143.586","NaN","153.135","9.549","NaN","0","39"
"21","R_23f2nCdcYcp3AfC","discrete","21","LP","5.5010771219302","154.139","159.645","160.038","5.899","0.393","3","42"
"22","R_23f2nCdcYcp3AfC","discrete","22","LP","19.8235243429556","161.052","NaN","170.678","9.626","NaN","0","42"
"23","R_23f2nCdcYcp3AfC","discrete","23","LP","30","171.688","NaN","181.35","9.662","NaN","0","42"
"24","R_23f2nCdcYcp3AfC","discrete","24","LP","1.25738905644119","182.359","183.635","184.689","2.33","1.054","3","45"
"25","R_23f2nCdcYcp3AfC","discrete","25","LP","5.5010771219302","185.696","191.204","191.626","5.93","0.422","3","48"
