"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_24hB3fFH9MLFE71","standard","1","LP","30","0.001","NaN","16.508","16.507","NaN","0","0"
"2","R_24hB3fFH9MLFE71","standard","2","LP","30","17.51","NaN","29.044","11.534","NaN","0","0"
"3","R_24hB3fFH9MLFE71","standard","3","LP","19.8235243429556","30.045","49.878","50.285","20.24","0.407","3","3"
"4","R_24hB3fFH9MLFE71","standard","4","LP","2.15079707022835","51.294","53.446","53.798","2.504","0.352","3","6"
"5","R_24hB3fFH9MLFE71","standard","5","LP","19.8235243429556","54.805","NaN","66.499","11.694","NaN","0","6"
"6","R_24hB3fFH9MLFE71","standard","6","LP","2.15079707022835","67.502","69.654","70.005","2.503","0.351","3","9"
"7","R_24hB3fFH9MLFE71","standard","7","LP","30","71.006","NaN","77.217","6.211","NaN","0","9"
"8","R_24hB3fFH9MLFE71","standard","8","LP","0.661783713916415","78.221","78.885","79.217","0.996","0.332","3","12"
"9","R_24hB3fFH9MLFE71","standard","9","LP","1.25738905644119","80.222","81.486","81.809","1.587","0.323","3","15"
"10","R_24hB3fFH9MLFE71","standard","10","LP","2.15079707022835","82.811","84.966","85.268","2.457","0.302","3","18"
"11","R_24hB3fFH9MLFE71","standard","11","LP","13.0392072382594","86.27","NaN","95.122","8.852","NaN","0","18"
"12","R_24hB3fFH9MLFE71","standard","12","LP","1.25738905644119","96.125","97.39","97.713","1.588","0.323","3","21"
"13","R_24hB3fFH9MLFE71","standard","13","LP","30","98.715","NaN","106.712","7.997","NaN","0","21"
"14","R_24hB3fFH9MLFE71","standard","14","LP","0.264713485566566","107.715","107.982","108.339","0.624","0.357","3","24"
"15","R_24hB3fFH9MLFE71","standard","15","LP","8.51632916846187","109.341","NaN","117.028","7.687","NaN","0","24"
"16","R_24hB3fFH9MLFE71","standard","16","LP","5.5010771219302","118.029","NaN","122.859","4.83","NaN","0","24"
"17","R_24hB3fFH9MLFE71","standard","17","LP","1.25738905644119","123.861","125.125","125.447","1.586","0.322","3","27"
"18","R_24hB3fFH9MLFE71","standard","18","LP","5.5010771219302","126.453","NaN","130.834","4.381","NaN","0","27"
"19","R_24hB3fFH9MLFE71","standard","19","LP","8.51632916846187","131.837","NaN","137.301","5.464","NaN","0","27"
"20","R_24hB3fFH9MLFE71","standard","20","LP","30","138.306","NaN","145.572","7.266","NaN","0","27"
"21","R_24hB3fFH9MLFE71","standard","21","LP","19.8235243429556","146.581","NaN","152.335","5.754","NaN","0","27"
"22","R_24hB3fFH9MLFE71","standard","22","LP","2.15079707022835","153.342","155.493","155.858","2.516","0.365","3","30"
"23","R_24hB3fFH9MLFE71","standard","23","LP","8.51632916846187","156.862","NaN","163.479","6.617","NaN","0","30"
"24","R_24hB3fFH9MLFE71","standard","24","LP","19.8235243429556","164.485","NaN","171.035","6.55","NaN","0","30"
"25","R_24hB3fFH9MLFE71","standard","25","LP","0.264713485566566","172.037","172.306","172.799","0.762","0.493","3","33"
"26","R_24hB3fFH9MLFE71","standard","26","LP","1.25738905644119","173.805","175.069","175.384","1.579","0.315","3","36"
"27","R_24hB3fFH9MLFE71","standard","27","LP","1.25738905644119","176.389","177.653","178.026","1.637","0.373","3","39"
"28","R_24hB3fFH9MLFE71","standard","28","LP","5.5010771219302","179.029","NaN","182.705","3.676","NaN","0","39"
"29","R_24hB3fFH9MLFE71","standard","29","LP","8.51632916846187","183.707","NaN","188.02","4.313","NaN","0","39"
"30","R_24hB3fFH9MLFE71","standard","30","LP","3.49090909090909","189.022","192.515","192.875","3.853","0.36","3","42"
"31","R_24hB3fFH9MLFE71","standard","31","LP","0.264713485566566","193.877","194.149","194.614","0.737","0.465","3","45"
"32","R_24hB3fFH9MLFE71","standard","32","LP","0.661783713916415","195.615","196.277","196.631","1.016","0.354","3","48"
"33","R_24hB3fFH9MLFE71","standard","33","LP","30","197.632","NaN","202.079","4.447","NaN","0","48"
"34","R_24hB3fFH9MLFE71","standard","34","LP","30","203.085","NaN","206.665","3.58","NaN","0","48"
"35","R_24hB3fFH9MLFE71","standard","35","LP","1.25738905644119","207.669","208.932","209.287","1.618","0.355","3","51"
"36","R_24hB3fFH9MLFE71","standard","36","LP","2.15079707022835","210.293","212.445","212.776","2.483","0.331","3","54"
"37","R_24hB3fFH9MLFE71","standard","37","LP","0.661783713916415","213.781","214.445","214.79","1.009","0.345","3","57"
"38","R_24hB3fFH9MLFE71","standard","38","LP","1.25738905644119","215.797","217.061","217.468","1.671","0.407","3","60"
"39","R_24hB3fFH9MLFE71","standard","39","LP","0.264713485566566","218.469","218.741","219.115","0.646","0.374","3","63"
"40","R_24hB3fFH9MLFE71","standard","40","LP","0.264713485566566","220.117","220.389","220.737","0.62","0.348","3","66"
"41","R_24hB3fFH9MLFE71","standard","41","LP","2.15079707022835","221.741","223.893","224.278","2.537","0.385","3","69"
"42","R_24hB3fFH9MLFE71","standard","42","LP","8.51632916846187","225.285","NaN","229.193","3.908","NaN","0","69"
"43","R_24hB3fFH9MLFE71","standard","43","LP","0.661783713916415","230.197","230.861","231.186","0.989","0.325","3","72"
"44","R_24hB3fFH9MLFE71","standard","44","LP","2.15079707022835","232.189","234.341","234.653","2.464","0.312","3","75"
"45","R_24hB3fFH9MLFE71","standard","45","LP","3.49090909090909","235.661","239.157","239.504","3.843","0.347","3","78"
"46","R_24hB3fFH9MLFE71","standard","46","LP","30","240.507","NaN","244.161","3.654","NaN","0","78"
"47","R_24hB3fFH9MLFE71","standard","47","LP","30","245.165","NaN","248.318","3.153","NaN","0","78"
"48","R_24hB3fFH9MLFE71","standard","48","LP","8.51632916846187","249.326","NaN","253.118","3.792","NaN","0","78"
"49","R_24hB3fFH9MLFE71","standard","49","LP","8.51632916846187","254.125","NaN","257.809","3.684","NaN","0","78"
"50","R_24hB3fFH9MLFE71","standard","50","LP","3.49090909090909","258.81","262.301","262.638","3.828","0.337","3","81"
"51","R_24hB3fFH9MLFE71","standard","51","LP","2.15079707022835","263.645","265.798","266.135","2.49","0.337","3","84"
"52","R_24hB3fFH9MLFE71","standard","52","LP","1.25738905644119","267.141","268.405","268.773","1.632","0.368","3","87"
"53","R_24hB3fFH9MLFE71","standard","53","LP","13.0392072382594","269.781","NaN","274.522","4.741","NaN","0","87"
"54","R_24hB3fFH9MLFE71","standard","54","LP","19.8235243429556","275.526","NaN","280.866","5.34","NaN","0","87"
"55","R_24hB3fFH9MLFE71","standard","55","LP","0.264713485566566","281.869","282.141","282.545","0.676","0.404","3","90"
"56","R_24hB3fFH9MLFE71","standard","56","LP","13.0392072382594","283.549","NaN","287.123","3.574","NaN","0","90"
"57","R_24hB3fFH9MLFE71","standard","57","LP","19.8235243429556","288.127","NaN","292.662","4.535","NaN","0","90"
"58","R_24hB3fFH9MLFE71","standard","58","LP","1.25738905644119","293.67","294.932","295.268","1.598","0.336","3","93"
"59","R_24hB3fFH9MLFE71","standard","59","LP","3.49090909090909","296.27","299.766","299.866","3.596","0.1","3","96"
"60","R_24hB3fFH9MLFE71","standard","60","LP","2.15079707022835","300.869","303.022","303.375","2.506","0.353","3","99"
"61","R_24hB3fFH9MLFE71","standard","61","LP","1.25738905644119","304.381","305.645","306.005","1.624","0.36","3","102"
"62","R_24hB3fFH9MLFE71","standard","62","LP","19.8235243429556","307.007","NaN","312.848","5.841","NaN","0","102"
"63","R_24hB3fFH9MLFE71","standard","63","LP","3.49090909090909","313.854","317.349","317.642","3.788","0.293","3","105"
"64","R_24hB3fFH9MLFE71","standard","64","LP","2.15079707022835","318.645","320.797","321.13","2.485","0.333","3","108"
"65","R_24hB3fFH9MLFE71","standard","65","LP","30","322.132","NaN","326.707","4.575","NaN","0","108"
"66","R_24hB3fFH9MLFE71","standard","66","LP","8.51632916846187","327.71","NaN","332.306","4.596","NaN","0","108"
"67","R_24hB3fFH9MLFE71","standard","67","LP","19.8235243429556","333.307","NaN","337.838","4.531","NaN","0","108"
"68","R_24hB3fFH9MLFE71","standard","68","LP","19.8235243429556","338.845","NaN","344.252","5.407","NaN","0","108"
"69","R_24hB3fFH9MLFE71","standard","69","LP","1.25738905644119","345.254","346.515","346.937","1.683","0.422","3","111"
"70","R_24hB3fFH9MLFE71","standard","70","LP","0.661783713916415","347.942","348.606","348.978","1.036","0.372","3","114"
"71","R_24hB3fFH9MLFE71","standard","71","LP","2.15079707022835","349.981","352.133","352.482","2.501","0.349","3","117"
"72","R_24hB3fFH9MLFE71","standard","72","LP","5.5010771219302","353.485","NaN","357.092","3.607","NaN","0","117"
"73","R_24hB3fFH9MLFE71","standard","73","LP","5.5010771219302","358.093","NaN","361.971","3.878","NaN","0","117"
"74","R_24hB3fFH9MLFE71","standard","74","LP","19.8235243429556","362.973","NaN","367.704","4.731","NaN","0","117"
"75","R_24hB3fFH9MLFE71","standard","75","LP","0.661783713916415","368.707","369.373","369.793","1.086","0.42","3","120"
"76","R_24hB3fFH9MLFE71","standard","76","LP","0.661783713916415","370.797","371.462","371.821","1.024","0.359","3","123"
"77","R_24hB3fFH9MLFE71","standard","77","LP","1.25738905644119","372.829","374.094","374.46","1.631","0.366","3","126"
"78","R_24hB3fFH9MLFE71","standard","78","LP","3.49090909090909","375.461","378.957","379.332","3.871","0.375","3","129"
"79","R_24hB3fFH9MLFE71","standard","79","LP","0.264713485566566","380.334","380.605","381.042","0.708","0.437","3","132"
"80","R_24hB3fFH9MLFE71","standard","80","LP","5.5010771219302","382.045","387.549","387.912","5.867","0.363","3","135"
"81","R_24hB3fFH9MLFE71","standard","81","LP","3.49090909090909","388.914","392.41","392.756","3.842","0.346","3","138"
"82","R_24hB3fFH9MLFE71","standard","82","LP","0.661783713916415","393.757","394.421","394.822","1.065","0.401","3","141"
"83","R_24hB3fFH9MLFE71","standard","83","LP","2.15079707022835","395.829","397.981","398.475","2.646","0.494","3","144"
"84","R_24hB3fFH9MLFE71","standard","84","LP","19.8235243429556","399.477","NaN","405.226","5.749","NaN","0","144"
"85","R_24hB3fFH9MLFE71","standard","85","LP","5.5010771219302","406.23","411.731","411.859","5.629","0.128","3","147"
"86","R_24hB3fFH9MLFE71","standard","86","LP","8.51632916846187","412.861","NaN","419.063","6.202","NaN","0","147"
"87","R_24hB3fFH9MLFE71","standard","87","LP","8.51632916846187","420.07","NaN","425.957","5.887","NaN","0","147"
"88","R_24hB3fFH9MLFE71","standard","88","LP","19.8235243429556","426.965","NaN","433.064","6.099","NaN","0","147"
"89","R_24hB3fFH9MLFE71","standard","89","LP","8.51632916846187","434.069","NaN","440.216","6.147","NaN","0","147"
"90","R_24hB3fFH9MLFE71","standard","90","LP","0.661783713916415","441.221","441.885","442.261","1.04","0.376","3","150"
"91","R_24hB3fFH9MLFE71","standard","91","LP","1.25738905644119","443.27","444.531","444.919","1.649","0.388","3","153"
"92","R_24hB3fFH9MLFE71","standard","92","LP","3.49090909090909","445.925","449.421","449.774","3.849","0.353","3","156"
"93","R_24hB3fFH9MLFE71","standard","93","LP","8.51632916846187","450.781","NaN","456.642","5.861","NaN","0","156"
"94","R_24hB3fFH9MLFE71","standard","94","LP","13.0392072382594","457.646","NaN","462.959","5.313","NaN","0","156"
"95","R_24hB3fFH9MLFE71","standard","95","LP","5.5010771219302","463.966","NaN","468.774","4.808","NaN","0","156"
"96","R_24hB3fFH9MLFE71","standard","96","LP","5.5010771219302","469.782","475.286","475.443","5.661","0.157","3","159"
"97","R_24hB3fFH9MLFE71","standard","97","LP","8.51632916846187","476.445","NaN","482.777","6.332","NaN","0","159"
