"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_24riQ0morrB8Hi9","standard","1","LP","5.5010771219302","0","5.505","5.951","5.951","0.446","3","3"
"2","R_24riQ0morrB8Hi9","standard","2","LP","2.15079707022835","6.959","9.123","9.599","2.64","0.476","3","6"
"3","R_24riQ0morrB8Hi9","standard","3","LP","30","10.607","40.607","41.011","30.404","0.404","3","9"
"4","R_24riQ0morrB8Hi9","standard","4","LP","0.264713485566566","42.013","42.292","42.714","0.701","0.422","3","12"
"5","R_24riQ0morrB8Hi9","standard","5","LP","0.264713485566566","43.72","43.991","44.371","0.651","0.38","3","15"
"6","R_24riQ0morrB8Hi9","standard","6","LP","30","45.379","NaN","54.341","8.962","NaN","0","15"
"7","R_24riQ0morrB8Hi9","standard","7","LP","1.25738905644119","55.344","56.616","56.948","1.604","0.332","3","18"
"8","R_24riQ0morrB8Hi9","standard","8","LP","8.51632916846187","57.951","66.472","66.775","8.824","0.303","3","21"
"9","R_24riQ0morrB8Hi9","standard","9","LP","19.8235243429556","67.777","NaN","79.752","11.975","NaN","0","21"
"10","R_24riQ0morrB8Hi9","standard","10","LP","1.25738905644119","80.76","82.03","82.328","1.568","0.298","3","24"
"11","R_24riQ0morrB8Hi9","standard","11","LP","0.264713485566566","83.331","83.601","84.168","0.837","0.567","3","27"
"12","R_24riQ0morrB8Hi9","standard","12","LP","2.15079707022835","85.176","87.333","87.656","2.48","0.323","3","30"
"13","R_24riQ0morrB8Hi9","standard","13","LP","5.5010771219302","88.665","NaN","94.073","5.408","NaN","0","30"
"14","R_24riQ0morrB8Hi9","standard","14","LP","30","95.082","NaN","102.13","7.048","NaN","0","30"
"15","R_24riQ0morrB8Hi9","standard","15","LP","13.0392072382594","103.134","NaN","107.043","3.909","NaN","0","30"
"16","R_24riQ0morrB8Hi9","standard","16","LP","2.15079707022835","108.048","110.207","110.667","2.619","0.46","3","33"
"17","R_24riQ0morrB8Hi9","standard","17","LP","0.661783713916415","111.676","112.353","112.651","0.975","0.298","3","36"
"18","R_24riQ0morrB8Hi9","standard","18","LP","0.661783713916415","113.657","114.318","114.667","1.01","0.349","3","39"
"19","R_24riQ0morrB8Hi9","standard","19","LP","19.8235243429556","115.672","NaN","124.701","9.029","NaN","0","39"
"20","R_24riQ0morrB8Hi9","standard","20","LP","1.25738905644119","125.704","126.968","127.285","1.581","0.317","3","42"
"21","R_24riQ0morrB8Hi9","standard","21","LP","19.8235243429556","128.291","NaN","136.942","8.651","NaN","0","42"
"22","R_24riQ0morrB8Hi9","standard","22","LP","0.264713485566566","137.944","138.209","138.542","0.598","0.333","3","45"
