"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_24tJP7VcKK0MPjK","standard","1","LP","3.49090909090909","0","3.498","4.29","4.29","0.792","3","3"
"2","R_24tJP7VcKK0MPjK","standard","2","LP","5.5010771219302","5.321","10.826","11.349","6.028","0.523","3","6"
"3","R_24tJP7VcKK0MPjK","standard","3","LP","2.15079707022835","12.353","14.505","15.465","3.112","0.96","3","9"
"4","R_24tJP7VcKK0MPjK","standard","4","LP","2.15079707022835","16.466","18.621","19.391","2.925","0.77","3","12"
"5","R_24tJP7VcKK0MPjK","standard","5","LP","13.0392072382594","20.393","33.432","34.087","13.694","0.655","3","15"
"6","R_24tJP7VcKK0MPjK","standard","6","LP","3.49090909090909","35.089","38.586","39.253","4.164","0.667","3","18"
"7","R_24tJP7VcKK0MPjK","standard","7","LP","5.5010771219302","40.257","45.761","46.419","6.162","0.658","3","21"
"8","R_24tJP7VcKK0MPjK","standard","8","LP","0.661783713916415","47.425","48.086","49.205","1.78","1.119","3","24"
"9","R_24tJP7VcKK0MPjK","standard","9","LP","2.15079707022835","50.21","52.362","53.04","2.83","0.678","3","27"
"10","R_24tJP7VcKK0MPjK","standard","10","LP","19.8235243429556","54.042","73.865","74.448","20.406","0.583","3","30"
"11","R_24tJP7VcKK0MPjK","standard","11","LP","0.661783713916415","75.45","76.114","76.753","1.303","0.639","3","33"
"12","R_24tJP7VcKK0MPjK","standard","12","LP","0.264713485566566","77.756","78.037","78.62","0.864","0.583","3","36"
"13","R_24tJP7VcKK0MPjK","standard","13","LP","5.5010771219302","79.62","85.122","85.708","6.088","0.586","3","39"
"14","R_24tJP7VcKK0MPjK","standard","14","LP","13.0392072382594","86.712","99.753","100.343","13.631","0.59","3","42"
"15","R_24tJP7VcKK0MPjK","standard","15","LP","2.15079707022835","101.345","103.497","104.219","2.874","0.722","3","45"
"16","R_24tJP7VcKK0MPjK","standard","16","LP","0.264713485566566","105.226","105.508","106.096","0.87","0.588","3","48"
"17","R_24tJP7VcKK0MPjK","standard","17","LP","3.49090909090909","107.097","110.593","111.174","4.077","0.581","3","51"
"18","R_24tJP7VcKK0MPjK","standard","18","LP","0.661783713916415","112.177","112.841","113.418","1.241","0.577","3","54"
"19","R_24tJP7VcKK0MPjK","standard","19","LP","5.5010771219302","114.418","119.92","120.52","6.102","0.6","3","57"
"20","R_24tJP7VcKK0MPjK","standard","20","LP","13.0392072382594","121.522","134.562","135.181","13.659","0.619","3","60"
"21","R_24tJP7VcKK0MPjK","standard","21","LP","0.264713485566566","136.186","136.458","137.148","0.962","0.69","3","63"
"22","R_24tJP7VcKK0MPjK","standard","22","LP","2.15079707022835","138.149","140.306","140.895","2.746","0.589","3","66"
"23","R_24tJP7VcKK0MPjK","standard","23","LP","5.5010771219302","141.898","147.415","148.041","6.143","0.626","3","69"
"24","R_24tJP7VcKK0MPjK","standard","24","LP","5.5010771219302","149.042","154.546","155.158","6.116","0.612","3","72"
"25","R_24tJP7VcKK0MPjK","standard","25","LP","30","156.163","186.174","186.778","30.615","0.604","3","75"
"26","R_24tJP7VcKK0MPjK","standard","26","LP","13.0392072382594","187.786","200.827","201.464","13.678","0.637","3","78"
"27","R_24tJP7VcKK0MPjK","standard","27","LP","0.264713485566566","202.479","202.744","208.398","5.919","5.654","3","81"
"28","R_24tJP7VcKK0MPjK","standard","28","LP","0.264713485566566","209.416","209.682","210.303","0.887","0.621","3","84"
"29","R_24tJP7VcKK0MPjK","standard","29","LP","0.264713485566566","211.307","211.579","212.116","0.809","0.537","3","87"
"30","R_24tJP7VcKK0MPjK","standard","30","LP","8.51632916846187","213.119","221.642","222.243","9.124","0.601","3","90"
"31","R_24tJP7VcKK0MPjK","standard","31","LP","13.0392072382594","223.251","236.291","237.114","13.863","0.823","3","93"
"32","R_24tJP7VcKK0MPjK","standard","32","LP","13.0392072382594","238.12","251.163","251.751","13.631","0.588","3","96"
"33","R_24tJP7VcKK0MPjK","standard","33","LP","2.15079707022835","252.754","254.92","255.514","2.76","0.594","3","99"
"34","R_24tJP7VcKK0MPjK","standard","34","LP","30","256.515","286.523","287.068","30.553","0.545","3","102"
"35","R_24tJP7VcKK0MPjK","standard","35","LP","0.264713485566566","288.075","288.347","288.992","0.917","0.645","3","105"
"36","R_24tJP7VcKK0MPjK","standard","36","LP","0.661783713916415","290.009","290.674","291.189","1.18","0.515","3","108"
"37","R_24tJP7VcKK0MPjK","standard","37","LP","1.25738905644119","292.195","293.459","294.046","1.851","0.587","3","111"
"38","R_24tJP7VcKK0MPjK","standard","38","LP","3.49090909090909","295.05","298.546","299.189","4.139","0.643","3","114"
"39","R_24tJP7VcKK0MPjK","standard","39","LP","19.8235243429556","300.195","320.017","320.902","20.707","0.885","3","117"
"40","R_24tJP7VcKK0MPjK","standard","40","LP","19.8235243429556","321.918","341.743","342.516","20.598","0.773","3","120"
"41","R_24tJP7VcKK0MPjK","standard","41","LP","30","343.522","373.527","374.117","30.595","0.59","3","123"
"42","R_24tJP7VcKK0MPjK","standard","42","LP","1.25738905644119","375.123","376.386","376.981","1.858","0.595","3","126"
