"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_25Nkjamd9l6meAk","discrete","1","LP","8.51632916846187","0.001","8.527","9.279","9.278","0.752","3","3"
"2","R_25Nkjamd9l6meAk","discrete","2","LP","13.0392072382594","10.286","23.331","23.959","13.673","0.628","3","6"
"3","R_25Nkjamd9l6meAk","discrete","3","LP","30","24.973","54.991","55.42","30.447","0.429","3","9"
"4","R_25Nkjamd9l6meAk","discrete","4","LP","5.5010771219302","56.43","61.933","62.446","6.016","0.513","3","12"
"5","R_25Nkjamd9l6meAk","discrete","5","LP","30","63.447","93.463","93.989","30.542","0.526","3","15"
"6","R_25Nkjamd9l6meAk","discrete","6","LP","13.0392072382594","95.011","108.054","108.686","13.675","0.632","3","18"
"7","R_25Nkjamd9l6meAk","discrete","7","LP","0.264713485566566","109.696","109.962","110.957","1.261","0.995","3","21"
"8","R_25Nkjamd9l6meAk","discrete","8","LP","13.0392072382594","111.977","125.023","125.548","13.571","0.525","3","24"
"9","R_25Nkjamd9l6meAk","discrete","9","LP","30","126.559","156.575","157.038","30.479","0.463","3","27"
"10","R_25Nkjamd9l6meAk","discrete","10","LP","5.5010771219302","158.045","163.549","164.138","6.093","0.589","3","30"
"11","R_25Nkjamd9l6meAk","discrete","11","LP","19.8235243429556","165.143","184.977","185.378","20.235","0.401","3","33"
"12","R_25Nkjamd9l6meAk","discrete","12","LP","1.25738905644119","186.399","187.662","188.216","1.817","0.554","3","36"
"13","R_25Nkjamd9l6meAk","discrete","13","LP","0.661783713916415","189.23","189.894","190.298","1.068","0.404","3","39"
"14","R_25Nkjamd9l6meAk","discrete","14","LP","5.5010771219302","191.313","196.827","222.437","31.124","25.61","3","42"
"15","R_25Nkjamd9l6meAk","discrete","15","LP","13.0392072382594","223.443","236.491","237.027","13.584","0.536","3","45"
"16","R_25Nkjamd9l6meAk","discrete","16","LP","30","238.042","268.052","268.389","30.347","0.337","3","48"
"17","R_25Nkjamd9l6meAk","discrete","17","LP","19.8235243429556","269.407","289.241","289.853","20.446","0.612","3","51"
"18","R_25Nkjamd9l6meAk","discrete","18","LP","13.0392072382594","290.874","303.924","304.448","13.574","0.524","3","54"
"19","R_25Nkjamd9l6meAk","discrete","19","LP","8.51632916846187","305.458","313.991","314.467","9.009","0.476","3","57"
"20","R_25Nkjamd9l6meAk","discrete","20","LP","8.51632916846187","315.469","324.001","324.436","8.967","0.435","3","60"
"21","R_25Nkjamd9l6meAk","discrete","21","LP","2.15079707022835","325.441","327.606","341.498","16.057","13.892","3","63"
"22","R_25Nkjamd9l6meAk","discrete","22","LP","19.8235243429556","342.507","362.34","362.755","20.248","0.415","3","66"
"23","R_25Nkjamd9l6meAk","discrete","23","LP","1.25738905644119","363.761","365.023","365.568","1.807","0.545","3","69"
"24","R_25Nkjamd9l6meAk","discrete","24","LP","1.25738905644119","366.589","367.856","368.232","1.643","0.376","3","72"
"25","R_25Nkjamd9l6meAk","discrete","25","LP","8.51632916846187","369.239","377.769","378.447","9.208","0.678","3","75"
"26","R_25Nkjamd9l6meAk","discrete","26","LP","30","379.456","409.463","409.809","30.353","0.346","3","78"
"27","R_25Nkjamd9l6meAk","discrete","27","LP","8.51632916846187","410.82","419.338","419.987","9.167","0.649","3","81"
"28","R_25Nkjamd9l6meAk","discrete","28","LP","30","421.003","451.022","451.44","30.437","0.418","3","84"
"29","R_25Nkjamd9l6meAk","discrete","29","LP","8.51632916846187","452.459","460.987","461.526","9.067","0.539","3","87"
"30","R_25Nkjamd9l6meAk","discrete","30","LP","19.8235243429556","462.534","482.37","482.859","20.325","0.489","3","90"
"31","R_25Nkjamd9l6meAk","discrete","31","LP","30","483.871","513.885","514.254","30.383","0.369","3","93"
"32","R_25Nkjamd9l6meAk","discrete","32","LP","13.0392072382594","515.267","528.312","529.469","14.202","1.157","3","96"
"33","R_25Nkjamd9l6meAk","discrete","33","LP","5.5010771219302","530.484","535.991","536.663","6.179","0.672","3","99"
"34","R_25Nkjamd9l6meAk","discrete","34","LP","0.264713485566566","537.671","537.942","544.32","6.649","6.378","3","102"
"35","R_25Nkjamd9l6meAk","discrete","35","LP","13.0392072382594","545.335","558.384","558.916","13.581","0.532","3","105"
"36","R_25Nkjamd9l6meAk","discrete","36","LP","8.51632916846187","559.918","568.438","568.858","8.94","0.42","3","108"
"37","R_25Nkjamd9l6meAk","discrete","37","LP","0.661783713916415","569.862","570.534","571.114","1.252","0.58","3","111"
"38","R_25Nkjamd9l6meAk","discrete","38","LP","19.8235243429556","572.117","591.951","592.415","20.298","0.464","3","114"
"39","R_25Nkjamd9l6meAk","discrete","39","LP","3.49090909090909","593.416","596.919","597.372","3.956","0.453","3","117"
"40","R_25Nkjamd9l6meAk","discrete","40","LP","8.51632916846187","598.384","606.901","607.323","8.939","0.422","3","120"
"41","R_25Nkjamd9l6meAk","discrete","41","LP","8.51632916846187","608.333","616.85","617.259","8.926","0.409","3","123"
"42","R_25Nkjamd9l6meAk","discrete","42","LP","13.0392072382594","618.271","631.317","632.212","13.941","0.895","3","126"
"43","R_25Nkjamd9l6meAk","discrete","43","LP","0.264713485566566","633.218","633.501","634.265","1.047","0.764","3","129"
"44","R_25Nkjamd9l6meAk","discrete","44","LP","19.8235243429556","635.282","655.113","655.662","20.38","0.549","3","132"
"45","R_25Nkjamd9l6meAk","discrete","45","LP","8.51632916846187","656.671","665.201","665.808","9.137","0.607","3","135"
"46","R_25Nkjamd9l6meAk","discrete","46","LP","8.51632916846187","666.818","675.349","675.804","8.986","0.455","3","138"
"47","R_25Nkjamd9l6meAk","discrete","47","LP","19.8235243429556","676.814","696.648","697.144","20.33","0.496","3","141"
"48","R_25Nkjamd9l6meAk","discrete","48","LP","1.25738905644119","698.148","699.414","699.987","1.839","0.573","3","144"
"49","R_25Nkjamd9l6meAk","discrete","49","LP","8.51632916846187","701.001","709.531","710.037","9.036","0.506","3","147"
"50","R_25Nkjamd9l6meAk","discrete","50","LP","30","711.044","741.045","741.42","30.376","0.375","3","150"
"51","R_25Nkjamd9l6meAk","discrete","51","LP","5.5010771219302","742.428","747.947","748.432","6.004","0.485","3","153"
"52","R_25Nkjamd9l6meAk","discrete","52","LP","8.51632916846187","749.443","757.968","759.213","9.77","1.245","3","156"
"53","R_25Nkjamd9l6meAk","discrete","53","LP","0.661783713916415","760.222","760.897","761.322","1.1","0.425","3","159"
"54","R_25Nkjamd9l6meAk","discrete","54","LP","30","762.33","792.332","792.694","30.364","0.362","3","162"
"55","R_25Nkjamd9l6meAk","discrete","55","LP","2.15079707022835","793.702","795.857","796.317","2.615","0.46","3","165"
"56","R_25Nkjamd9l6meAk","discrete","56","LP","19.8235243429556","797.328","817.161","817.685","20.357","0.524","3","168"
"57","R_25Nkjamd9l6meAk","discrete","57","LP","19.8235243429556","818.695","838.519","839.125","20.43","0.606","3","171"
"58","R_25Nkjamd9l6meAk","discrete","58","LP","2.15079707022835","840.138","842.297","843.043","2.905","0.746","3","174"
"59","R_25Nkjamd9l6meAk","discrete","59","LP","2.15079707022835","844.047","846.221","846.726","2.679","0.505","3","177"
"60","R_25Nkjamd9l6meAk","discrete","60","LP","8.51632916846187","847.744","856.277","856.808","9.064","0.531","3","180"
"61","R_25Nkjamd9l6meAk","discrete","61","LP","30","857.811","887.822","888.957","31.146","1.135","3","183"
"62","R_25Nkjamd9l6meAk","discrete","62","LP","0.661783713916415","889.973","890.637","891.463","1.49","0.826","3","186"
