"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_262VVuU0wsXsKWz","standard","1","LP","0.661783713916415","0","0.664","1.053","1.053","0.389","3","3"
"2","R_262VVuU0wsXsKWz","standard","2","LP","30","2.073","NaN","12.377","10.304","NaN","0","3"
"3","R_262VVuU0wsXsKWz","standard","3","LP","0.661783713916415","13.388","14.053","14.411","1.023","0.358","3","6"
"4","R_262VVuU0wsXsKWz","standard","4","LP","3.49090909090909","15.419","18.91","19.292","3.873","0.382","3","9"
"5","R_262VVuU0wsXsKWz","standard","5","LP","8.51632916846187","20.305","28.829","29.393","9.088","0.564","3","12"
"6","R_262VVuU0wsXsKWz","standard","6","LP","0.661783713916415","30.405","31.074","31.416","1.011","0.342","3","15"
"7","R_262VVuU0wsXsKWz","standard","7","LP","5.5010771219302","32.42","37.924","38.301","5.881","0.377","3","18"
"8","R_262VVuU0wsXsKWz","standard","8","LP","19.8235243429556","39.306","NaN","45.246","5.94","NaN","0","18"
"9","R_262VVuU0wsXsKWz","standard","9","LP","19.8235243429556","46.275","NaN","53.823","7.548","NaN","0","18"
"10","R_262VVuU0wsXsKWz","standard","10","LP","3.49090909090909","54.826","58.326","58.727","3.901","0.401","3","21"
"11","R_262VVuU0wsXsKWz","standard","11","LP","5.5010771219302","59.741","65.259","65.597","5.856","0.338","3","24"
"12","R_262VVuU0wsXsKWz","standard","12","LP","5.5010771219302","66.606","72.108","72.43","5.824","0.322","3","27"
"13","R_262VVuU0wsXsKWz","standard","13","LP","13.0392072382594","73.437","NaN","82.591","9.154","NaN","0","27"
"14","R_262VVuU0wsXsKWz","standard","14","LP","19.8235243429556","83.607","NaN","92.636","9.029","NaN","0","27"
"15","R_262VVuU0wsXsKWz","standard","15","LP","5.5010771219302","93.645","99.151","99.476","5.831","0.325","3","30"
"16","R_262VVuU0wsXsKWz","standard","16","LP","19.8235243429556","100.484","NaN","107.876","7.392","NaN","0","30"
"17","R_262VVuU0wsXsKWz","standard","17","LP","8.51632916846187","108.893","117.409","117.768","8.875","0.359","3","33"
"18","R_262VVuU0wsXsKWz","standard","18","LP","5.5010771219302","118.779","124.294","124.706","5.927","0.412","3","36"
"19","R_262VVuU0wsXsKWz","standard","19","LP","19.8235243429556","125.711","NaN","135.243","9.532","NaN","0","36"
"20","R_262VVuU0wsXsKWz","standard","20","LP","5.5010771219302","136.244","141.763","142.105","5.861","0.342","3","39"
"21","R_262VVuU0wsXsKWz","standard","21","LP","0.661783713916415","143.11","143.778","144.16","1.05","0.382","3","42"
"22","R_262VVuU0wsXsKWz","standard","22","LP","0.264713485566566","145.179","145.445","145.773","0.594","0.328","3","45"
"23","R_262VVuU0wsXsKWz","standard","23","LP","8.51632916846187","146.795","NaN","153.803","7.008","NaN","0","45"
"24","R_262VVuU0wsXsKWz","standard","24","LP","8.51632916846187","154.805","NaN","161.321","6.516","NaN","0","45"
"25","R_262VVuU0wsXsKWz","standard","25","LP","3.49090909090909","162.325","165.821","166.135","3.81","0.314","3","48"
"26","R_262VVuU0wsXsKWz","standard","26","LP","13.0392072382594","167.14","NaN","174.136","6.996","NaN","0","48"
"27","R_262VVuU0wsXsKWz","standard","27","LP","1.25738905644119","175.14","176.412","176.73","1.59","0.318","3","51"
"28","R_262VVuU0wsXsKWz","standard","28","LP","19.8235243429556","177.732","NaN","184.391","6.659","NaN","0","51"
"29","R_262VVuU0wsXsKWz","standard","29","LP","8.51632916846187","185.411","NaN","191.665","6.254","NaN","0","51"
"30","R_262VVuU0wsXsKWz","standard","30","LP","0.264713485566566","192.681","192.949","193.323","0.642","0.374","3","54"
"31","R_262VVuU0wsXsKWz","standard","31","LP","0.264713485566566","194.325","194.598","194.931","0.606","0.333","3","57"
"32","R_262VVuU0wsXsKWz","standard","32","LP","3.49090909090909","195.933","199.428","199.735","3.802","0.307","3","60"
"33","R_262VVuU0wsXsKWz","standard","33","LP","13.0392072382594","200.745","NaN","206.588","5.843","NaN","0","60"
"34","R_262VVuU0wsXsKWz","standard","34","LP","30","207.598","NaN","214.143","6.545","NaN","0","60"
"35","R_262VVuU0wsXsKWz","standard","35","LP","3.49090909090909","215.149","218.645","218.947","3.798","0.302","3","63"
"36","R_262VVuU0wsXsKWz","standard","36","LP","2.15079707022835","219.951","222.114","222.409","2.458","0.295","3","66"
"37","R_262VVuU0wsXsKWz","standard","37","LP","13.0392072382594","223.414","NaN","229.334","5.92","NaN","0","66"
"38","R_262VVuU0wsXsKWz","standard","38","LP","5.5010771219302","230.335","235.843","236.204","5.869","0.361","3","69"
"39","R_262VVuU0wsXsKWz","standard","39","LP","1.25738905644119","237.205","238.484","238.847","1.642","0.363","3","72"
"40","R_262VVuU0wsXsKWz","standard","40","LP","2.15079707022835","239.852","242.018","242.375","2.523","0.357","3","75"
"41","R_262VVuU0wsXsKWz","standard","41","LP","0.661783713916415","243.384","244.068","244.466","1.082","0.398","3","78"
"42","R_262VVuU0wsXsKWz","standard","42","LP","2.15079707022835","245.484","247.636","247.987","2.503","0.351","3","81"
"43","R_262VVuU0wsXsKWz","standard","43","LP","0.264713485566566","248.988","249.271","249.625","0.637","0.354","3","84"
"44","R_262VVuU0wsXsKWz","standard","44","LP","1.25738905644119","250.629","251.901","252.242","1.613","0.341","3","87"
