"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_26eFMdmHnhaFg97","standard","1","LP","1.25738905644119","0.001","1.261","5.797","5.796","4.536","3","3"
"2","R_26eFMdmHnhaFg97","standard","2","LP","3.49090909090909","6.798","10.293","10.684","3.886","0.391","3","6"
"3","R_26eFMdmHnhaFg97","standard","3","LP","0.264713485566566","11.689","11.956","12.719","1.03","0.763","3","9"
"4","R_26eFMdmHnhaFg97","standard","4","LP","13.0392072382594","13.722","NaN","19.288","5.566","NaN","0","9"
"5","R_26eFMdmHnhaFg97","standard","5","LP","0.661783713916415","20.289","20.953","21.287","0.998","0.334","3","12"
"6","R_26eFMdmHnhaFg97","standard","6","LP","1.25738905644119","22.292","23.553","23.888","1.596","0.335","3","15"
"7","R_26eFMdmHnhaFg97","standard","7","LP","5.5010771219302","24.89","NaN","27.053","2.163","NaN","0","15"
"8","R_26eFMdmHnhaFg97","standard","8","LP","0.264713485566566","28.057","28.324","28.685","0.628","0.361","3","18"
"9","R_26eFMdmHnhaFg97","standard","9","LP","30","29.687","NaN","32.236","2.549","NaN","0","18"
"10","R_26eFMdmHnhaFg97","standard","10","LP","19.8235243429556","33.238","53.063","53.498","20.26","0.435","3","21"
"11","R_26eFMdmHnhaFg97","standard","11","LP","1.25738905644119","54.499","55.758","56.084","1.585","0.326","3","24"
"12","R_26eFMdmHnhaFg97","standard","12","LP","0.661783713916415","57.086","57.751","58.149","1.063","0.398","3","27"
"13","R_26eFMdmHnhaFg97","standard","13","LP","5.5010771219302","59.151","NaN","61.151","2","NaN","0","27"
"14","R_26eFMdmHnhaFg97","standard","14","LP","0.661783713916415","62.155","62.817","63.149","0.994","0.332","3","30"
"15","R_26eFMdmHnhaFg97","standard","15","LP","2.15079707022835","64.15","66.303","66.65","2.5","0.347","3","33"
"16","R_26eFMdmHnhaFg97","standard","16","LP","13.0392072382594","67.652","NaN","72.453","4.801","NaN","0","33"
"17","R_26eFMdmHnhaFg97","standard","17","LP","5.5010771219302","73.458","NaN","78.016","4.558","NaN","0","33"
"18","R_26eFMdmHnhaFg97","standard","18","LP","13.0392072382594","79.018","92.059","92.473","13.455","0.414","3","36"
"19","R_26eFMdmHnhaFg97","standard","19","LP","0.264713485566566","93.477","93.742","94.175","0.698","0.433","3","39"
