"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_28AkW1VfMAqgYql","standard","1","LP","13.0392072382594","0","13.041","13.427","13.427","0.386","3","3"
"2","R_28AkW1VfMAqgYql","standard","2","LP","1.25738905644119","14.429","15.694","16.039","1.61","0.345","3","6"
"3","R_28AkW1VfMAqgYql","standard","3","LP","2.15079707022835","17.045","19.208","19.626","2.581","0.418","3","9"
"4","R_28AkW1VfMAqgYql","standard","4","LP","0.661783713916415","20.627","21.308","21.711","1.084","0.403","3","12"
"5","R_28AkW1VfMAqgYql","standard","5","LP","1.25738905644119","22.719","23.992","24.294","1.575","0.302","3","15"
"6","R_28AkW1VfMAqgYql","standard","6","LP","2.15079707022835","25.306","27.476","27.818","2.512","0.342","3","18"
"7","R_28AkW1VfMAqgYql","standard","7","LP","13.0392072382594","28.822","NaN","35.871","7.049","NaN","0","18"
"8","R_28AkW1VfMAqgYql","standard","8","LP","30","36.873","NaN","43.968","7.095","NaN","0","18"
"9","R_28AkW1VfMAqgYql","standard","9","LP","8.51632916846187","44.99","53.519","53.883","8.893","0.364","3","21"
"10","R_28AkW1VfMAqgYql","standard","10","LP","19.8235243429556","54.901","NaN","67.348","12.447","NaN","0","21"
"11","R_28AkW1VfMAqgYql","standard","11","LP","5.5010771219302","68.351","73.867","74.255","5.904","0.388","3","24"
"12","R_28AkW1VfMAqgYql","standard","12","LP","19.8235243429556","75.26","NaN","90.455","15.195","NaN","0","24"
"13","R_28AkW1VfMAqgYql","standard","13","LP","2.15079707022835","91.462","93.613","93.911","2.449","0.298","3","27"
"14","R_28AkW1VfMAqgYql","standard","14","LP","0.264713485566566","94.912","95.195","95.576","0.664","0.381","3","30"
"15","R_28AkW1VfMAqgYql","standard","15","LP","13.0392072382594","96.597","NaN","109.329","12.732","NaN","0","30"
"16","R_28AkW1VfMAqgYql","standard","16","LP","0.661783713916415","110.337","111","111.357","1.02","0.357","3","33"
"17","R_28AkW1VfMAqgYql","standard","17","LP","30","112.376","NaN","126.44","14.064","NaN","0","33"
"18","R_28AkW1VfMAqgYql","standard","18","LP","19.8235243429556","127.452","NaN","146.137","18.685","NaN","0","33"
"19","R_28AkW1VfMAqgYql","standard","19","LP","3.49090909090909","147.145","150.64","151.001","3.856","0.361","3","36"
"20","R_28AkW1VfMAqgYql","standard","20","LP","19.8235243429556","152.017","NaN","169.723","17.706","NaN","0","36"
"21","R_28AkW1VfMAqgYql","standard","21","LP","3.49090909090909","170.729","174.225","174.56","3.831","0.335","3","39"
"22","R_28AkW1VfMAqgYql","standard","22","LP","13.0392072382594","175.579","188.625","188.951","13.372","0.326","3","42"
"23","R_28AkW1VfMAqgYql","standard","23","LP","0.264713485566566","189.954","190.227","190.81","0.856","0.583","3","45"
"24","R_28AkW1VfMAqgYql","standard","24","LP","13.0392072382594","191.811","204.858","205.169","13.358","0.311","3","48"
"25","R_28AkW1VfMAqgYql","standard","25","LP","3.49090909090909","206.18","209.674","210.008","3.828","0.334","3","51"
"26","R_28AkW1VfMAqgYql","standard","26","LP","1.25738905644119","211.012","212.29","212.593","1.581","0.303","3","54"
"27","R_28AkW1VfMAqgYql","standard","27","LP","3.49090909090909","213.604","217.118","217.465","3.861","0.347","3","57"
"28","R_28AkW1VfMAqgYql","standard","28","LP","8.51632916846187","218.487","227.019","227.434","8.947","0.415","3","60"
"29","R_28AkW1VfMAqgYql","standard","29","LP","8.51632916846187","228.437","236.968","237.391","8.954","0.423","3","63"
"30","R_28AkW1VfMAqgYql","standard","30","LP","19.8235243429556","238.4","NaN","255.652","17.252","NaN","0","63"
"31","R_28AkW1VfMAqgYql","standard","31","LP","3.49090909090909","256.665","260.163","260.473","3.808","0.31","3","66"
"32","R_28AkW1VfMAqgYql","standard","32","LP","0.661783713916415","261.48","262.144","262.497","1.017","0.353","3","69"
"33","R_28AkW1VfMAqgYql","standard","33","LP","3.49090909090909","263.509","267.01","267.383","3.874","0.373","3","72"
"34","R_28AkW1VfMAqgYql","standard","34","LP","8.51632916846187","268.4","276.921","277.275","8.875","0.354","3","75"
"35","R_28AkW1VfMAqgYql","standard","35","LP","5.5010771219302","278.3","283.823","284.161","5.861","0.338","3","78"
"36","R_28AkW1VfMAqgYql","standard","36","LP","2.15079707022835","285.175","287.328","287.67","2.495","0.342","3","81"
"37","R_28AkW1VfMAqgYql","standard","37","LP","0.264713485566566","288.675","288.942","289.325","0.65","0.383","3","84"
"38","R_28AkW1VfMAqgYql","standard","38","LP","0.264713485566566","290.328","290.605","290.944","0.616","0.339","3","87"
"39","R_28AkW1VfMAqgYql","standard","39","LP","3.49090909090909","291.953","295.451","295.775","3.822","0.324","3","90"
"40","R_28AkW1VfMAqgYql","standard","40","LP","19.8235243429556","296.79","NaN","314.075","17.285","NaN","0","90"
