"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_28zGEWezK8trAVY","discrete","1","LP","1.25738905644119","0","1.263","3.102","3.102","1.839","3","3"
"2","R_28zGEWezK8trAVY","discrete","2","LP","3.49090909090909","4.105","7.599","8.119","4.014","0.52","3","6"
"3","R_28zGEWezK8trAVY","discrete","3","LP","3.49090909090909","9.122","12.62","13.107","3.985","0.487","3","9"
"4","R_28zGEWezK8trAVY","discrete","4","LP","5.5010771219302","14.125","19.633","20.109","5.984","0.476","3","12"
"5","R_28zGEWezK8trAVY","discrete","5","LP","13.0392072382594","21.109","34.161","34.781","13.672","0.62","3","15"
"6","R_28zGEWezK8trAVY","discrete","6","LP","3.49090909090909","35.79","39.286","39.851","4.061","0.565","3","18"
"7","R_28zGEWezK8trAVY","discrete","7","LP","19.8235243429556","40.854","NaN","54.532","13.678","NaN","0","18"
"8","R_28zGEWezK8trAVY","discrete","8","LP","13.0392072382594","55.541","68.582","69.199","13.658","0.617","3","21"
"9","R_28zGEWezK8trAVY","discrete","9","LP","0.264713485566566","70.21","70.478","71.246","1.036","0.768","3","24"
"10","R_28zGEWezK8trAVY","discrete","10","LP","3.49090909090909","72.254","75.76","76.254","4","0.494","3","27"
"11","R_28zGEWezK8trAVY","discrete","11","LP","13.0392072382594","77.262","90.307","90.71","13.448","0.403","3","30"
"12","R_28zGEWezK8trAVY","discrete","12","LP","0.264713485566566","91.719","92.002","92.542","0.823","0.54","3","33"
"13","R_28zGEWezK8trAVY","discrete","13","LP","1.25738905644119","93.56","94.824","95.252","1.692","0.428","3","36"
"14","R_28zGEWezK8trAVY","discrete","14","LP","30","96.255","NaN","109.943","13.688","NaN","0","36"
"15","R_28zGEWezK8trAVY","discrete","15","LP","8.51632916846187","110.95","119.477","119.909","8.959","0.432","3","39"
"16","R_28zGEWezK8trAVY","discrete","16","LP","5.5010771219302","120.911","126.414","126.902","5.991","0.488","3","42"
"17","R_28zGEWezK8trAVY","discrete","17","LP","30","127.91","NaN","141.452","13.542","NaN","0","42"
"18","R_28zGEWezK8trAVY","discrete","18","LP","8.51632916846187","142.454","150.974","151.453","8.999","0.479","3","45"
"19","R_28zGEWezK8trAVY","discrete","19","LP","30","152.462","NaN","166.08","13.618","NaN","0","45"
"20","R_28zGEWezK8trAVY","discrete","20","LP","0.661783713916415","167.101","167.769","168.214","1.113","0.445","3","48"
"21","R_28zGEWezK8trAVY","discrete","21","LP","3.49090909090909","169.223","172.716","174.132","4.909","1.416","3","51"
"22","R_28zGEWezK8trAVY","discrete","22","LP","0.661783713916415","175.134","175.797","176.294","1.16","0.497","3","54"
"23","R_28zGEWezK8trAVY","discrete","23","LP","0.264713485566566","177.314","177.596","178.026","0.712","0.43","3","57"
"24","R_28zGEWezK8trAVY","discrete","24","LP","8.51632916846187","179.031","187.549","187.973","8.942","0.424","3","60"
"25","R_28zGEWezK8trAVY","discrete","25","LP","3.49090909090909","188.982","192.477","192.922","3.94","0.445","3","63"
"26","R_28zGEWezK8trAVY","discrete","26","LP","5.5010771219302","193.935","199.447","199.845","5.91","0.398","3","66"
"27","R_28zGEWezK8trAVY","discrete","27","LP","30","200.854","NaN","214.51","13.656","NaN","0","66"
"28","R_28zGEWezK8trAVY","discrete","28","LP","3.49090909090909","215.513","219.011","219.826","4.313","0.815","3","69"
"29","R_28zGEWezK8trAVY","discrete","29","LP","0.661783713916415","220.836","221.506","223.957","3.121","2.451","3","72"
"30","R_28zGEWezK8trAVY","discrete","30","LP","30","224.966","NaN","238.574","13.608","NaN","0","72"
"31","R_28zGEWezK8trAVY","discrete","31","LP","5.5010771219302","239.583","245.107","245.523","5.94","0.416","3","75"
"32","R_28zGEWezK8trAVY","discrete","32","LP","5.5010771219302","246.525","252.03","252.419","5.894","0.389","3","78"
"33","R_28zGEWezK8trAVY","discrete","33","LP","8.51632916846187","253.426","261.955","262.301","8.875","0.346","3","81"
"34","R_28zGEWezK8trAVY","discrete","34","LP","1.25738905644119","263.319","264.582","265.051","1.732","0.469","3","84"
