"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_29fYFw0zVQzg04l","standard","1","LP","0.264713485566566","0","0.271","0.704","0.704","0.433","3","3"
"2","R_29fYFw0zVQzg04l","standard","2","LP","0.661783713916415","1.71","2.389","2.671","0.961","0.282","3","6"
"3","R_29fYFw0zVQzg04l","standard","3","LP","30","3.678","33.686","34.088","30.41","0.402","3","9"
"4","R_29fYFw0zVQzg04l","standard","4","LP","1.25738905644119","35.107","36.366","36.778","1.671","0.412","3","12"
"5","R_29fYFw0zVQzg04l","standard","5","LP","0.264713485566566","37.782","38.054","38.36","0.578","0.306","3","15"
"6","R_29fYFw0zVQzg04l","standard","6","LP","8.51632916846187","39.367","47.887","49.098","9.731","1.211","3","18"
"7","R_29fYFw0zVQzg04l","standard","7","LP","0.264713485566566","50.102","50.374","52.277","2.175","1.903","3","21"
"8","R_29fYFw0zVQzg04l","standard","8","LP","19.8235243429556","53.278","73.103","74.158","20.88","1.055","3","24"
"9","R_29fYFw0zVQzg04l","standard","9","LP","0.264713485566566","75.174","75.446","76.917","1.743","1.471","3","27"
"10","R_29fYFw0zVQzg04l","standard","10","LP","0.661783713916415","77.921","78.594","80.08","2.159","1.486","3","30"
"11","R_29fYFw0zVQzg04l","standard","11","LP","2.15079707022835","81.087","83.242","84.464","3.377","1.222","3","33"
"12","R_29fYFw0zVQzg04l","standard","12","LP","5.5010771219302","85.471","90.974","91.906","6.435","0.932","3","36"
"13","R_29fYFw0zVQzg04l","standard","13","LP","0.264713485566566","92.911","93.188","93.548","0.637","0.36","3","39"
"14","R_29fYFw0zVQzg04l","standard","14","LP","5.5010771219302","94.551","100.054","100.732","6.181","0.678","3","42"
"15","R_29fYFw0zVQzg04l","standard","15","LP","1.25738905644119","101.735","NaN","102.908","1.173","NaN","0","42"
"16","R_29fYFw0zVQzg04l","standard","16","LP","13.0392072382594","103.912","116.958","117.445","13.533","0.487","3","45"
"17","R_29fYFw0zVQzg04l","standard","17","LP","30","118.446","NaN","129.171","10.725","NaN","0","45"
"18","R_29fYFw0zVQzg04l","standard","18","LP","2.15079707022835","130.174","132.326","134.291","4.117","1.965","3","48"
"19","R_29fYFw0zVQzg04l","standard","19","LP","0.661783713916415","135.295","135.969","136.834","1.539","0.865","3","51"
"20","R_29fYFw0zVQzg04l","standard","20","LP","0.661783713916415","137.838","138.513","138.981","1.143","0.468","3","54"
"21","R_29fYFw0zVQzg04l","standard","21","LP","8.51632916846187","139.982","148.503","148.84","8.858","0.337","3","57"
