"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_29mgaTRIIYWqMwS","discrete","1","LP","0.661783713916415","0","0.67","6.251","6.251","5.581","3","3"
"2","R_29mgaTRIIYWqMwS","discrete","2","LP","2.15079707022835","7.274","9.434","19.743","12.469","10.309","3","6"
"3","R_29mgaTRIIYWqMwS","discrete","3","LP","0.264713485566566","20.746","21.02","25.263","4.517","4.243","3","9"
"4","R_29mgaTRIIYWqMwS","discrete","4","LP","30","26.281","NaN","37.393","11.112","NaN","0","9"
"5","R_29mgaTRIIYWqMwS","discrete","5","LP","8.51632916846187","38.417","46.945","57.125","18.708","10.18","3","12"
"6","R_29mgaTRIIYWqMwS","discrete","6","LP","3.49090909090909","58.133","61.625","79.039","20.906","17.414","3","15"
"7","R_29mgaTRIIYWqMwS","discrete","7","LP","13.0392072382594","80.055","NaN","90.398","10.343","NaN","0","15"
"8","R_29mgaTRIIYWqMwS","discrete","8","LP","13.0392072382594","91.416","104.464","104.671","13.255","0.207","3","18"
"9","R_29mgaTRIIYWqMwS","discrete","9","LP","3.49090909090909","105.68","109.182","154.062","48.382","44.88","3","21"
"10","R_29mgaTRIIYWqMwS","discrete","10","LP","13.0392072382594","155.08","NaN","162.09","7.01","NaN","0","21"
"11","R_29mgaTRIIYWqMwS","discrete","11","LP","19.8235243429556","163.101","NaN","172.317","9.216","NaN","0","21"
"12","R_29mgaTRIIYWqMwS","discrete","12","LP","0.661783713916415","173.322","173.99","204.116","30.794","30.126","3","24"
"13","R_29mgaTRIIYWqMwS","discrete","13","LP","19.8235243429556","205.134","NaN","214.159","9.025","NaN","0","24"
"14","R_29mgaTRIIYWqMwS","discrete","14","LP","19.8235243429556","215.176","235.02","235.387","20.211","0.367","3","27"
"15","R_29mgaTRIIYWqMwS","discrete","15","LP","0.264713485566566","236.404","236.68","237.293","0.889","0.613","3","30"
"16","R_29mgaTRIIYWqMwS","discrete","16","LP","19.8235243429556","238.306","NaN","247.253","8.947","NaN","0","30"
"17","R_29mgaTRIIYWqMwS","discrete","17","LP","0.264713485566566","248.255","248.526","249.113","0.858","0.587","3","33"
"18","R_29mgaTRIIYWqMwS","discrete","18","LP","13.0392072382594","250.119","263.169","263.429","13.31","0.26","3","36"
"19","R_29mgaTRIIYWqMwS","discrete","19","LP","3.49090909090909","264.434","NaN","266.309","1.875","NaN","0","36"
"20","R_29mgaTRIIYWqMwS","discrete","20","LP","2.15079707022835","267.323","269.491","311.669","44.346","42.178","3","39"
"21","R_29mgaTRIIYWqMwS","discrete","21","LP","5.5010771219302","312.69","318.21","320.927","8.237","2.717","3","42"
"22","R_29mgaTRIIYWqMwS","discrete","22","LP","2.15079707022835","321.939","324.107","324.791","2.852","0.684","3","45"
"23","R_29mgaTRIIYWqMwS","discrete","23","LP","5.5010771219302","325.804","331.317","332.085","6.281","0.768","3","48"
