"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_29n6GGdvZRvgAVV","standard","1","LP","8.51632916846187","0","NaN","5.618","5.618","NaN","0","0"
"2","R_29n6GGdvZRvgAVV","standard","2","LP","8.51632916846187","6.619","NaN","9.474","2.855","NaN","0","0"
"3","R_29n6GGdvZRvgAVV","standard","3","LP","0.264713485566566","10.478","10.763","11.198","0.72","0.435","3","3"
"4","R_29n6GGdvZRvgAVV","standard","4","LP","1.25738905644119","12.206","13.471","13.744","1.538","0.273","3","6"
"5","R_29n6GGdvZRvgAVV","standard","5","LP","0.264713485566566","14.75","15.026","15.485","0.735","0.459","3","9"
"6","R_29n6GGdvZRvgAVV","standard","6","LP","5.5010771219302","16.495","NaN","18.391","1.896","NaN","0","9"
"7","R_29n6GGdvZRvgAVV","standard","7","LP","2.15079707022835","19.4","21.558","21.865","2.465","0.307","3","12"
"8","R_29n6GGdvZRvgAVV","standard","8","LP","3.49090909090909","22.873","26.366","26.655","3.782","0.289","3","15"
"9","R_29n6GGdvZRvgAVV","standard","9","LP","30","27.662","NaN","32.38","4.718","NaN","0","15"
"10","R_29n6GGdvZRvgAVV","standard","10","LP","8.51632916846187","33.382","NaN","33.84","0.458","NaN","0","15"
"11","R_29n6GGdvZRvgAVV","standard","11","LP","0.264713485566566","34.846","35.111","35.405","0.559","0.294","3","18"
"12","R_29n6GGdvZRvgAVV","standard","12","LP","13.0392072382594","36.406","NaN","37.018","0.612","NaN","0","18"
"13","R_29n6GGdvZRvgAVV","standard","13","LP","0.264713485566566","38.021","38.288","38.575","0.554","0.287","3","21"
"14","R_29n6GGdvZRvgAVV","standard","14","LP","0.661783713916415","39.582","40.246","40.515","0.933","0.269","3","24"
"15","R_29n6GGdvZRvgAVV","standard","15","LP","1.25738905644119","41.519","NaN","42.68","1.161","NaN","0","24"
"16","R_29n6GGdvZRvgAVV","standard","16","LP","30","43.686","NaN","45.936","2.25","NaN","0","24"
"17","R_29n6GGdvZRvgAVV","standard","17","LP","8.51632916846187","46.942","NaN","51.758","4.816","NaN","0","24"
"18","R_29n6GGdvZRvgAVV","standard","18","LP","2.15079707022835","52.778","NaN","53.905","1.127","NaN","0","24"
"19","R_29n6GGdvZRvgAVV","standard","19","LP","13.0392072382594","54.91","NaN","55.765","0.855","NaN","0","24"
"20","R_29n6GGdvZRvgAVV","standard","20","LP","5.5010771219302","56.771","NaN","57.704","0.933","NaN","0","24"
"21","R_29n6GGdvZRvgAVV","standard","21","LP","30","58.71","NaN","68.029","9.319","NaN","0","24"
"22","R_29n6GGdvZRvgAVV","standard","22","LP","8.51632916846187","69.044","NaN","71.869","2.825","NaN","0","24"
"23","R_29n6GGdvZRvgAVV","standard","23","LP","2.15079707022835","72.871","NaN","73.936","1.065","NaN","0","24"
"24","R_29n6GGdvZRvgAVV","standard","24","LP","13.0392072382594","74.943","NaN","79.367","4.424","NaN","0","24"
"25","R_29n6GGdvZRvgAVV","standard","25","LP","30","80.375","NaN","84.18","3.805","NaN","0","24"
"26","R_29n6GGdvZRvgAVV","standard","26","LP","1.25738905644119","85.182","86.447","86.807","1.625","0.36","3","27"
"27","R_29n6GGdvZRvgAVV","standard","27","LP","2.15079707022835","87.815","NaN","89.561","1.746","NaN","0","27"
