"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_2ARtKTe5YWer8xA","standard","1","LP","8.51632916846187","0","NaN","5.838","5.838","NaN","0","0"
"2","R_2ARtKTe5YWer8xA","standard","2","LP","0.264713485566566","6.84","7.115","7.873","1.033","0.758","3","3"
"3","R_2ARtKTe5YWer8xA","standard","3","LP","8.51632916846187","8.881","NaN","15.751","6.87","NaN","0","3"
"4","R_2ARtKTe5YWer8xA","standard","4","LP","19.8235243429556","16.753","NaN","26.606","9.853","NaN","0","3"
"5","R_2ARtKTe5YWer8xA","standard","5","LP","0.264713485566566","27.609","27.881","28.573","0.964","0.692","3","6"
"6","R_2ARtKTe5YWer8xA","standard","6","LP","0.661783713916415","29.577","30.24","30.998","1.421","0.758","3","9"
"7","R_2ARtKTe5YWer8xA","standard","7","LP","5.5010771219302","32.001","37.521","38.213","6.212","0.692","3","12"
"8","R_2ARtKTe5YWer8xA","standard","8","LP","8.51632916846187","39.217","47.736","48.59","9.373","0.854","3","15"
"9","R_2ARtKTe5YWer8xA","standard","9","LP","0.661783713916415","49.593","50.257","52.23","2.637","1.973","3","18"
"10","R_2ARtKTe5YWer8xA","standard","10","LP","8.51632916846187","53.233","61.753","62.334","9.101","0.581","3","21"
"11","R_2ARtKTe5YWer8xA","standard","11","LP","30","63.337","NaN","73.422","10.085","NaN","0","21"
"12","R_2ARtKTe5YWer8xA","standard","12","LP","13.0392072382594","74.425","NaN","80.301","5.876","NaN","0","21"
"13","R_2ARtKTe5YWer8xA","standard","13","LP","1.25738905644119","81.305","82.569","83.695","2.39","1.126","3","24"
"14","R_2ARtKTe5YWer8xA","standard","14","LP","13.0392072382594","84.705","NaN","93.038","8.333","NaN","0","24"
"15","R_2ARtKTe5YWer8xA","standard","15","LP","8.51632916846187","94.041","NaN","101.245","7.204","NaN","0","24"
"16","R_2ARtKTe5YWer8xA","standard","16","LP","2.15079707022835","102.249","104.4","105.158","2.909","0.758","3","27"
"17","R_2ARtKTe5YWer8xA","standard","17","LP","30","106.158","NaN","113.534","7.376","NaN","0","27"
"18","R_2ARtKTe5YWer8xA","standard","18","LP","13.0392072382594","114.534","NaN","120.19","5.656","NaN","0","27"
"19","R_2ARtKTe5YWer8xA","standard","19","LP","1.25738905644119","121.193","122.457","123.269","2.076","0.812","3","30"
"20","R_2ARtKTe5YWer8xA","standard","20","LP","8.51632916846187","124.272","NaN","130.873","6.601","NaN","0","30"
"21","R_2ARtKTe5YWer8xA","standard","21","LP","30","131.881","NaN","137.669","5.788","NaN","0","30"
"22","R_2ARtKTe5YWer8xA","standard","22","LP","30","138.673","NaN","143.734","5.061","NaN","0","30"
"23","R_2ARtKTe5YWer8xA","standard","23","LP","0.264713485566566","144.737","145.002","146.008","1.271","1.006","3","33"
"24","R_2ARtKTe5YWer8xA","standard","24","LP","1.25738905644119","147.009","148.272","149.181","2.172","0.909","3","36"
"25","R_2ARtKTe5YWer8xA","standard","25","LP","0.661783713916415","150.185","150.846","151.677","1.492","0.831","3","39"
"26","R_2ARtKTe5YWer8xA","standard","26","LP","1.25738905644119","152.68","153.945","154.782","2.102","0.837","3","42"
"27","R_2ARtKTe5YWer8xA","standard","27","LP","8.51632916846187","155.785","164.304","164.494","8.709","0.19","3","45"
"28","R_2ARtKTe5YWer8xA","standard","28","LP","3.49090909090909","165.496","169.002","169.782","4.286","0.78","3","48"
"29","R_2ARtKTe5YWer8xA","standard","29","LP","0.264713485566566","170.784","171.048","171.798","1.014","0.75","3","51"
"30","R_2ARtKTe5YWer8xA","standard","30","LP","2.15079707022835","172.801","174.953","175.716","2.915","0.763","3","54"
"31","R_2ARtKTe5YWer8xA","standard","31","LP","13.0392072382594","176.722","NaN","187.699","10.977","NaN","0","54"
"32","R_2ARtKTe5YWer8xA","standard","32","LP","0.264713485566566","188.705","188.977","189.994","1.289","1.017","3","57"
"33","R_2ARtKTe5YWer8xA","standard","33","LP","30","191","NaN","195.585","4.585","NaN","0","57"
"34","R_2ARtKTe5YWer8xA","standard","34","LP","1.25738905644119","196.592","197.857","198.586","1.994","0.729","3","60"
"35","R_2ARtKTe5YWer8xA","standard","35","LP","5.5010771219302","199.593","205.111","206.098","6.505","0.987","3","63"
"36","R_2ARtKTe5YWer8xA","standard","36","LP","13.0392072382594","207.11","NaN","215.49","8.38","NaN","0","63"
"37","R_2ARtKTe5YWer8xA","standard","37","LP","1.25738905644119","216.497","217.754","218.849","2.352","1.095","3","66"
"38","R_2ARtKTe5YWer8xA","standard","38","LP","19.8235243429556","219.857","NaN","227.003","7.146","NaN","0","66"
"39","R_2ARtKTe5YWer8xA","standard","39","LP","8.51632916846187","228.004","NaN","231.985","3.981","NaN","0","66"
"40","R_2ARtKTe5YWer8xA","standard","40","LP","5.5010771219302","232.993","238.497","239.282","6.289","0.785","3","69"
"41","R_2ARtKTe5YWer8xA","standard","41","LP","1.25738905644119","240.296","241.56","243.641","3.345","2.081","3","72"
"42","R_2ARtKTe5YWer8xA","standard","42","LP","1.25738905644119","244.649","245.909","248.962","4.313","3.053","3","75"
"43","R_2ARtKTe5YWer8xA","standard","43","LP","1.25738905644119","249.969","251.233","252.507","2.538","1.274","3","78"
"44","R_2ARtKTe5YWer8xA","standard","44","LP","3.49090909090909","253.51","257.002","258.322","4.812","1.32","3","81"
"45","R_2ARtKTe5YWer8xA","standard","45","LP","0.661783713916415","259.328","259.993","260.785","1.457","0.792","3","84"
"46","R_2ARtKTe5YWer8xA","standard","46","LP","1.25738905644119","261.799","263.064","264.041","2.242","0.977","3","87"
"47","R_2ARtKTe5YWer8xA","standard","47","LP","1.25738905644119","265.049","266.312","267.081","2.032","0.769","3","90"
"48","R_2ARtKTe5YWer8xA","standard","48","LP","3.49090909090909","268.089","271.584","272.274","4.185","0.69","3","93"
"49","R_2ARtKTe5YWer8xA","standard","49","LP","3.49090909090909","273.28","276.777","277.53","4.25","0.753","3","96"
"50","R_2ARtKTe5YWer8xA","standard","50","LP","30","278.534","NaN","288.449","9.915","NaN","0","96"
"51","R_2ARtKTe5YWer8xA","standard","51","LP","5.5010771219302","289.457","294.961","296.234","6.777","1.273","3","99"
"52","R_2ARtKTe5YWer8xA","standard","52","LP","0.264713485566566","297.241","297.505","299.01","1.769","1.505","3","102"
"53","R_2ARtKTe5YWer8xA","standard","53","LP","5.5010771219302","300.016","305.52","306.537","6.521","1.017","3","105"
"54","R_2ARtKTe5YWer8xA","standard","54","LP","19.8235243429556","307.544","NaN","316.25","8.706","NaN","0","105"
"55","R_2ARtKTe5YWer8xA","standard","55","LP","5.5010771219302","317.251","322.753","323.593","6.342","0.84","3","108"
"56","R_2ARtKTe5YWer8xA","standard","56","LP","0.661783713916415","324.601","325.265","326.162","1.561","0.897","3","111"
"57","R_2ARtKTe5YWer8xA","standard","57","LP","2.15079707022835","327.168","329.321","330.121","2.953","0.8","3","114"
"58","R_2ARtKTe5YWer8xA","standard","58","LP","1.25738905644119","331.128","332.392","333.217","2.089","0.825","3","117"
