"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_2AXQYjutgpIjsyk","standard","1","LP","13.0392072382594","0.013","NaN","9.757","9.744","NaN","0","0"
"2","R_2AXQYjutgpIjsyk","standard","2","LP","19.8235243429556","10.762","NaN","25.594","14.832","NaN","0","0"
"3","R_2AXQYjutgpIjsyk","standard","3","LP","30","26.602","NaN","44.538","17.936","NaN","0","0"
"4","R_2AXQYjutgpIjsyk","standard","4","LP","0.264713485566566","45.546","45.818","47.704","2.158","1.886","3","3"
"5","R_2AXQYjutgpIjsyk","standard","5","LP","1.25738905644119","48.705","49.969","50.928","2.223","0.959","3","6"
"6","R_2AXQYjutgpIjsyk","standard","6","LP","30","51.929","NaN","63.092","11.163","NaN","0","6"
"7","R_2AXQYjutgpIjsyk","standard","7","LP","0.264713485566566","64.097","64.369","65.025","0.928","0.656","3","9"
"8","R_2AXQYjutgpIjsyk","standard","8","LP","5.5010771219302","66.026","71.53","72.779","6.753","1.249","3","12"
"9","R_2AXQYjutgpIjsyk","standard","9","LP","30","73.785","NaN","85.671","11.886","NaN","0","12"
"10","R_2AXQYjutgpIjsyk","standard","10","LP","3.49090909090909","86.674","NaN","90.104","3.43","NaN","0","12"
"11","R_2AXQYjutgpIjsyk","standard","11","LP","2.15079707022835","91.105","93.257","93.775","2.67","0.518","3","15"
"12","R_2AXQYjutgpIjsyk","standard","12","LP","30","94.777","NaN","98.875","4.098","NaN","0","15"
"13","R_2AXQYjutgpIjsyk","standard","13","LP","30","99.881","NaN","105.146","5.265","NaN","0","15"
"14","R_2AXQYjutgpIjsyk","standard","14","LP","0.661783713916415","106.153","106.818","107.267","1.114","0.449","3","18"
"15","R_2AXQYjutgpIjsyk","standard","15","LP","19.8235243429556","108.274","NaN","111.706","3.432","NaN","0","18"
"16","R_2AXQYjutgpIjsyk","standard","16","LP","19.8235243429556","112.713","NaN","119.945","7.232","NaN","0","18"
"17","R_2AXQYjutgpIjsyk","standard","17","LP","13.0392072382594","120.953","NaN","125.102","4.149","NaN","0","18"
"18","R_2AXQYjutgpIjsyk","standard","18","LP","2.15079707022835","126.106","128.257","128.668","2.562","0.411","3","21"
"19","R_2AXQYjutgpIjsyk","standard","19","LP","19.8235243429556","129.673","149.499","150.064","20.391","0.565","3","24"
"20","R_2AXQYjutgpIjsyk","standard","20","LP","30","151.073","NaN","153.845","2.772","NaN","0","24"
"21","R_2AXQYjutgpIjsyk","standard","21","LP","0.264713485566566","154.849","155.114","155.648","0.799","0.534","3","27"
"22","R_2AXQYjutgpIjsyk","standard","22","LP","3.49090909090909","156.649","NaN","157.504","0.855","NaN","0","27"
"23","R_2AXQYjutgpIjsyk","standard","23","LP","30","158.505","NaN","160.491","1.986","NaN","0","27"
"24","R_2AXQYjutgpIjsyk","standard","24","LP","5.5010771219302","161.497","NaN","163.359","1.862","NaN","0","27"
"25","R_2AXQYjutgpIjsyk","standard","25","LP","0.661783713916415","164.361","165.025","166.187","1.826","1.162","3","30"
"26","R_2AXQYjutgpIjsyk","standard","26","LP","8.51632916846187","167.194","NaN","174.282","7.088","NaN","0","30"
"27","R_2AXQYjutgpIjsyk","standard","27","LP","0.661783713916415","175.29","175.954","176.977","1.687","1.023","3","33"
"28","R_2AXQYjutgpIjsyk","standard","28","LP","0.661783713916415","177.986","178.65","179.821","1.835","1.171","3","36"
