"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_2CIhLs91eoDiqV8","discrete","1","LP","8.51632916846187","0","8.522","9.001","9.001","0.479","3","3"
"2","R_2CIhLs91eoDiqV8","discrete","2","LP","0.264713485566566","10.002","10.273","10.74","0.738","0.467","3","6"
"3","R_2CIhLs91eoDiqV8","discrete","3","LP","2.15079707022835","11.745","13.897","14.265","2.52","0.368","3","9"
"4","R_2CIhLs91eoDiqV8","discrete","4","LP","2.15079707022835","15.273","17.425","17.831","2.558","0.406","3","12"
"5","R_2CIhLs91eoDiqV8","discrete","5","LP","1.25738905644119","18.833","20.097","20.671","1.838","0.574","3","15"
"6","R_2CIhLs91eoDiqV8","discrete","6","LP","19.8235243429556","21.673","NaN","30.881","9.208","NaN","0","15"
"7","R_2CIhLs91eoDiqV8","discrete","7","LP","0.264713485566566","31.889","32.171","32.595","0.706","0.424","3","18"
"8","R_2CIhLs91eoDiqV8","discrete","8","LP","19.8235243429556","33.601","NaN","42.697","9.096","NaN","0","18"
"9","R_2CIhLs91eoDiqV8","discrete","9","LP","0.264713485566566","43.705","43.977","44.341","0.636","0.364","3","21"
"10","R_2CIhLs91eoDiqV8","discrete","10","LP","0.661783713916415","45.343","46.009","46.426","1.083","0.417","3","24"
"11","R_2CIhLs91eoDiqV8","discrete","11","LP","0.661783713916415","47.439","48.105","48.541","1.102","0.436","3","27"
"12","R_2CIhLs91eoDiqV8","discrete","12","LP","0.661783713916415","49.545","50.222","50.746","1.201","0.524","3","30"
"13","R_2CIhLs91eoDiqV8","discrete","13","LP","1.25738905644119","51.762","53.021","53.432","1.67","0.411","3","33"
"14","R_2CIhLs91eoDiqV8","discrete","14","LP","13.0392072382594","54.433","NaN","58.616","4.183","NaN","0","33"
"15","R_2CIhLs91eoDiqV8","discrete","15","LP","1.25738905644119","59.628","60.891","61.196","1.568","0.305","3","36"
"16","R_2CIhLs91eoDiqV8","discrete","16","LP","13.0392072382594","62.202","NaN","66.352","4.15","NaN","0","36"
"17","R_2CIhLs91eoDiqV8","discrete","17","LP","0.264713485566566","67.357","67.621","68.016","0.659","0.395","3","39"
"18","R_2CIhLs91eoDiqV8","discrete","18","LP","0.264713485566566","69.02","69.289","69.712","0.692","0.423","3","42"
"19","R_2CIhLs91eoDiqV8","discrete","19","LP","3.49090909090909","70.715","74.214","74.587","3.872","0.373","3","45"
"20","R_2CIhLs91eoDiqV8","discrete","20","LP","1.25738905644119","75.597","76.857","77.197","1.6","0.34","3","48"
"21","R_2CIhLs91eoDiqV8","discrete","21","LP","1.25738905644119","78.201","79.469","79.812","1.611","0.343","3","51"
"22","R_2CIhLs91eoDiqV8","discrete","22","LP","1.25738905644119","80.821","82.081","82.417","1.596","0.336","3","54"
"23","R_2CIhLs91eoDiqV8","discrete","23","LP","0.661783713916415","83.418","84.082","84.572","1.154","0.49","3","57"
"24","R_2CIhLs91eoDiqV8","discrete","24","LP","2.15079707022835","85.577","87.731","88.077","2.5","0.346","3","60"
"25","R_2CIhLs91eoDiqV8","discrete","25","LP","13.0392072382594","89.081","NaN","93.237","4.156","NaN","0","60"
"26","R_2CIhLs91eoDiqV8","discrete","26","LP","0.264713485566566","94.241","94.506","94.937","0.696","0.431","3","63"
