"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_2EAjdLEoVsNHU3c","discrete","1","LP","3.49090909090909","0.001","3.492","3.965","3.964","0.473","3","3"
"2","R_2EAjdLEoVsNHU3c","discrete","2","LP","13.0392072382594","4.982","NaN","9.128","4.146","NaN","0","3"
"3","R_2EAjdLEoVsNHU3c","discrete","3","LP","5.5010771219302","10.133","NaN","14.049","3.916","NaN","0","3"
"4","R_2EAjdLEoVsNHU3c","discrete","4","LP","8.51632916846187","15.061","NaN","19.049","3.988","NaN","0","3"
"5","R_2EAjdLEoVsNHU3c","discrete","5","LP","8.51632916846187","20.052","NaN","22.367","2.315","NaN","0","3"
"6","R_2EAjdLEoVsNHU3c","discrete","6","LP","13.0392072382594","23.373","36.413","36.856","13.483","0.443","3","6"
"7","R_2EAjdLEoVsNHU3c","discrete","7","LP","1.25738905644119","37.865","39.126","39.519","1.654","0.393","3","9"
"8","R_2EAjdLEoVsNHU3c","discrete","8","LP","3.49090909090909","40.524","NaN","43.181","2.657","NaN","0","9"
"9","R_2EAjdLEoVsNHU3c","discrete","9","LP","0.661783713916415","44.189","44.853","45.221","1.032","0.368","3","12"
"10","R_2EAjdLEoVsNHU3c","discrete","10","LP","0.661783713916415","46.229","46.892","47.264","1.035","0.372","3","15"
"11","R_2EAjdLEoVsNHU3c","discrete","11","LP","13.0392072382594","48.271","NaN","50.879","2.608","NaN","0","15"
"12","R_2EAjdLEoVsNHU3c","discrete","12","LP","0.264713485566566","51.884","52.157","52.577","0.693","0.42","3","18"
"13","R_2EAjdLEoVsNHU3c","discrete","13","LP","3.49090909090909","53.582","NaN","56.177","2.595","NaN","0","18"
"14","R_2EAjdLEoVsNHU3c","discrete","14","LP","13.0392072382594","57.193","NaN","58.39","1.197","NaN","0","18"
"15","R_2EAjdLEoVsNHU3c","discrete","15","LP","0.264713485566566","59.397","59.671","60.123","0.726","0.452","3","21"
"16","R_2EAjdLEoVsNHU3c","discrete","16","LP","0.661783713916415","61.126","61.789","62.139","1.013","0.35","3","24"
"17","R_2EAjdLEoVsNHU3c","discrete","17","LP","1.25738905644119","63.143","NaN","64.199","1.056","NaN","0","24"
"18","R_2EAjdLEoVsNHU3c","discrete","18","LP","1.25738905644119","65.214","NaN","66.24","1.026","NaN","0","24"
"19","R_2EAjdLEoVsNHU3c","discrete","19","LP","0.661783713916415","67.245","67.924","68.289","1.044","0.365","3","27"
"20","R_2EAjdLEoVsNHU3c","discrete","20","LP","2.15079707022835","69.303","NaN","70.349","1.046","NaN","0","27"
"21","R_2EAjdLEoVsNHU3c","discrete","21","LP","1.25738905644119","71.357","NaN","72.254","0.897","NaN","0","27"
"22","R_2EAjdLEoVsNHU3c","discrete","22","LP","13.0392072382594","73.261","NaN","74.196","0.935","NaN","0","27"
"23","R_2EAjdLEoVsNHU3c","discrete","23","LP","8.51632916846187","75.205","NaN","76.212","1.007","NaN","0","27"
"24","R_2EAjdLEoVsNHU3c","discrete","24","LP","5.5010771219302","77.216","NaN","78.285","1.069","NaN","0","27"
"25","R_2EAjdLEoVsNHU3c","discrete","25","LP","19.8235243429556","79.293","NaN","80.378","1.085","NaN","0","27"
"26","R_2EAjdLEoVsNHU3c","discrete","26","LP","8.51632916846187","81.381","NaN","82.417","1.036","NaN","0","27"
"27","R_2EAjdLEoVsNHU3c","discrete","27","LP","0.661783713916415","83.42","84.097","84.409","0.989","0.312","3","30"
"28","R_2EAjdLEoVsNHU3c","discrete","28","LP","0.661783713916415","85.41","86.084","86.169","0.759","0.085","3","33"
"29","R_2EAjdLEoVsNHU3c","discrete","29","LP","1.25738905644119","87.173","NaN","87.999","0.826","NaN","0","33"
"30","R_2EAjdLEoVsNHU3c","discrete","30","LP","13.0392072382594","89.014","NaN","89.957","0.943","NaN","0","33"
