"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_2EFUku8YArcZon7","standard","1","LP","5.5010771219302","0.001","NaN","1.426","1.425","NaN","0","0"
"2","R_2EFUku8YArcZon7","standard","2","LP","3.49090909090909","2.435","5.942","6.397","3.962","0.455","3","3"
"3","R_2EFUku8YArcZon7","standard","3","LP","0.661783713916415","7.405","8.087","8.525","1.12","0.438","3","6"
"4","R_2EFUku8YArcZon7","standard","4","LP","2.15079707022835","9.529","11.687","12.083","2.554","0.396","3","9"
"5","R_2EFUku8YArcZon7","standard","5","LP","19.8235243429556","13.089","NaN","18.299","5.21","NaN","0","9"
"6","R_2EFUku8YArcZon7","standard","6","LP","0.264713485566566","19.308","19.577","19.924","0.616","0.347","3","12"
"7","R_2EFUku8YArcZon7","standard","7","LP","13.0392072382594","20.931","NaN","26.984","6.053","NaN","0","12"
"8","R_2EFUku8YArcZon7","standard","8","LP","3.49090909090909","27.997","31.489","31.806","3.809","0.317","3","15"
"9","R_2EFUku8YArcZon7","standard","9","LP","13.0392072382594","32.813","NaN","37.321","4.508","NaN","0","15"
"10","R_2EFUku8YArcZon7","standard","10","LP","5.5010771219302","38.329","NaN","43.086","4.757","NaN","0","15"
"11","R_2EFUku8YArcZon7","standard","11","LP","1.25738905644119","44.099","45.374","45.839","1.74","0.465","3","18"
"12","R_2EFUku8YArcZon7","standard","12","LP","13.0392072382594","46.855","NaN","54.659","7.804","NaN","0","18"
"13","R_2EFUku8YArcZon7","standard","13","LP","19.8235243429556","55.671","NaN","62.271","6.6","NaN","0","18"
"14","R_2EFUku8YArcZon7","standard","14","LP","0.264713485566566","63.286","63.567","64.038","0.752","0.471","3","21"
"15","R_2EFUku8YArcZon7","standard","15","LP","8.51632916846187","65.042","73.568","73.981","8.939","0.413","3","24"
"16","R_2EFUku8YArcZon7","standard","16","LP","13.0392072382594","74.986","NaN","87.692","12.706","NaN","0","24"
"17","R_2EFUku8YArcZon7","standard","17","LP","0.661783713916415","88.704","89.373","89.74","1.036","0.367","3","27"
"18","R_2EFUku8YArcZon7","standard","18","LP","0.264713485566566","90.758","91.035","91.388","0.63","0.353","3","30"
"19","R_2EFUku8YArcZon7","standard","19","LP","2.15079707022835","92.393","94.544","94.913","2.52","0.369","3","33"
"20","R_2EFUku8YArcZon7","standard","20","LP","1.25738905644119","95.916","97.18","97.564","1.648","0.384","3","36"
"21","R_2EFUku8YArcZon7","standard","21","LP","2.15079707022835","98.581","100.739","101.11","2.529","0.371","3","39"
"22","R_2EFUku8YArcZon7","standard","22","LP","13.0392072382594","102.115","NaN","106.364","4.249","NaN","0","39"
"23","R_2EFUku8YArcZon7","standard","23","LP","5.5010771219302","107.369","NaN","109.287","1.918","NaN","0","39"
"24","R_2EFUku8YArcZon7","standard","24","LP","0.661783713916415","110.297","110.967","111.307","1.01","0.34","3","42"
"25","R_2EFUku8YArcZon7","standard","25","LP","30","112.315","NaN","117.954","5.639","NaN","0","42"
"26","R_2EFUku8YArcZon7","standard","26","LP","13.0392072382594","118.965","NaN","123.53","4.565","NaN","0","42"
"27","R_2EFUku8YArcZon7","standard","27","LP","0.661783713916415","124.538","NaN","125.186","0.648","NaN","0","42"
"28","R_2EFUku8YArcZon7","standard","28","LP","8.51632916846187","126.193","NaN","132.92","6.727","NaN","0","42"
"29","R_2EFUku8YArcZon7","standard","29","LP","19.8235243429556","133.923","NaN","141.878","7.955","NaN","0","42"
"30","R_2EFUku8YArcZon7","standard","30","LP","0.264713485566566","142.893","143.161","143.54","0.647","0.379","3","45"
