"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_2EgdXsk5CT7vu6T","standard","1","LP","3.49090909090909","0","3.498","4.139","4.139","0.641","3","3"
"2","R_2EgdXsk5CT7vu6T","standard","2","LP","8.51632916846187","5.147","13.667","14.066","8.919","0.399","3","6"
"3","R_2EgdXsk5CT7vu6T","standard","3","LP","19.8235243429556","15.074","NaN","23.301","8.227","NaN","0","6"
"4","R_2EgdXsk5CT7vu6T","standard","4","LP","30","24.306","NaN","33.674","9.368","NaN","0","6"
"5","R_2EgdXsk5CT7vu6T","standard","5","LP","0.264713485566566","34.675","34.947","35.542","0.867","0.595","3","9"
"6","R_2EgdXsk5CT7vu6T","standard","6","LP","2.15079707022835","36.547","38.698","39.351","2.804","0.653","3","12"
"7","R_2EgdXsk5CT7vu6T","standard","7","LP","0.264713485566566","40.354","40.628","41.041","0.687","0.413","3","15"
"8","R_2EgdXsk5CT7vu6T","standard","8","LP","1.25738905644119","42.042","43.307","43.678","1.636","0.371","3","18"
"9","R_2EgdXsk5CT7vu6T","standard","9","LP","0.661783713916415","44.683","45.346","45.765","1.082","0.419","3","21"
"10","R_2EgdXsk5CT7vu6T","standard","10","LP","3.49090909090909","46.771","NaN","49.905","3.134","NaN","0","21"
"11","R_2EgdXsk5CT7vu6T","standard","11","LP","19.8235243429556","50.907","NaN","55.627","4.72","NaN","0","21"
"12","R_2EgdXsk5CT7vu6T","standard","12","LP","0.264713485566566","56.634","56.908","57.449","0.815","0.541","3","24"
"13","R_2EgdXsk5CT7vu6T","standard","13","LP","0.661783713916415","58.464","59.131","59.585","1.121","0.454","3","27"
"14","R_2EgdXsk5CT7vu6T","standard","14","LP","1.25738905644119","60.587","61.851","62.181","1.594","0.33","3","30"
"15","R_2EgdXsk5CT7vu6T","standard","15","LP","19.8235243429556","63.186","NaN","66.52","3.334","NaN","0","30"
"16","R_2EgdXsk5CT7vu6T","standard","16","LP","0.661783713916415","67.521","68.186","68.759","1.238","0.573","3","33"
"17","R_2EgdXsk5CT7vu6T","standard","17","LP","0.264713485566566","69.762","70.034","70.548","0.786","0.514","3","36"
"18","R_2EgdXsk5CT7vu6T","standard","18","LP","19.8235243429556","71.552","NaN","74.97","3.418","NaN","0","36"
