"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_2QQhYG6XQSzegRt","standard","1","LP","30","0.001","NaN","24.402","24.401","NaN","0","0"
"2","R_2QQhYG6XQSzegRt","standard","2","LP","1.25738905644119","25.409","26.672","26.926","1.517","0.254","3","3"
"3","R_2QQhYG6XQSzegRt","standard","3","LP","1.25738905644119","27.945","29.245","29.877","1.932","0.632","3","6"
"4","R_2QQhYG6XQSzegRt","standard","4","LP","2.15079707022835","30.883","NaN","32.858","1.975","NaN","0","6"
"5","R_2QQhYG6XQSzegRt","standard","5","LP","8.51632916846187","33.865","NaN","37.193","3.328","NaN","0","6"
"6","R_2QQhYG6XQSzegRt","standard","6","LP","19.8235243429556","38.215","NaN","45.16","6.945","NaN","0","6"
"7","R_2QQhYG6XQSzegRt","standard","7","LP","1.25738905644119","46.161","47.424","48.355","2.194","0.931","3","9"
"8","R_2QQhYG6XQSzegRt","standard","8","LP","1.25738905644119","49.36","50.625","51.463","2.103","0.838","3","12"
"9","R_2QQhYG6XQSzegRt","standard","9","LP","5.5010771219302","52.465","NaN","54.538","2.073","NaN","0","12"
"10","R_2QQhYG6XQSzegRt","standard","10","LP","2.15079707022835","55.549","57.705","58.435","2.886","0.73","3","15"
"11","R_2QQhYG6XQSzegRt","standard","11","LP","0.661783713916415","59.441","60.104","60.822","1.381","0.718","3","18"
"12","R_2QQhYG6XQSzegRt","standard","12","LP","30","61.825","NaN","74.038","12.213","NaN","0","18"
"13","R_2QQhYG6XQSzegRt","standard","13","LP","1.25738905644119","75.041","76.305","77.019","1.978","0.714","3","21"
"14","R_2QQhYG6XQSzegRt","standard","14","LP","5.5010771219302","78.024","83.551","84.271","6.247","0.72","3","24"
"15","R_2QQhYG6XQSzegRt","standard","15","LP","1.25738905644119","85.272","86.536","87.276","2.004","0.74","3","27"
"16","R_2QQhYG6XQSzegRt","standard","16","LP","0.264713485566566","88.28","88.56","89.415","1.135","0.855","3","30"
"17","R_2QQhYG6XQSzegRt","standard","17","LP","8.51632916846187","90.416","NaN","98.49","8.074","NaN","0","30"
"18","R_2QQhYG6XQSzegRt","standard","18","LP","0.264713485566566","99.497","99.767","100.602","1.105","0.835","3","33"
