"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_2R8sjRLi5qOALWJ","standard","1","LP","1.25738905644119","0.003","1.262","1.882","1.879","0.62","3","3"
"2","R_2R8sjRLi5qOALWJ","standard","2","LP","0.661783713916415","2.889","3.569","4.831","1.942","1.262","3","6"
"3","R_2R8sjRLi5qOALWJ","standard","3","LP","5.5010771219302","5.984","NaN","7.541","1.557","NaN","0","6"
"4","R_2R8sjRLi5qOALWJ","standard","4","LP","30","8.542","NaN","14.716","6.174","NaN","0","6"
"5","R_2R8sjRLi5qOALWJ","standard","5","LP","2.15079707022835","15.76","17.933","18.68","2.92","0.747","3","9"
"6","R_2R8sjRLi5qOALWJ","standard","6","LP","2.15079707022835","19.7","21.855","22.628","2.928","0.773","3","12"
"7","R_2R8sjRLi5qOALWJ","standard","7","LP","5.5010771219302","23.631","NaN","27.799","4.168","NaN","0","12"
"8","R_2R8sjRLi5qOALWJ","standard","8","LP","13.0392072382594","28.817","NaN","39.106","10.289","NaN","0","12"
"9","R_2R8sjRLi5qOALWJ","standard","9","LP","3.49090909090909","40.123","43.616","44.239","4.116","0.623","3","15"
"10","R_2R8sjRLi5qOALWJ","standard","10","LP","5.5010771219302","45.249","50.757","51.5","6.251","0.743","3","18"
"11","R_2R8sjRLi5qOALWJ","standard","11","LP","3.49090909090909","52.516","56.018","56.738","4.222","0.72","3","21"
"12","R_2R8sjRLi5qOALWJ","standard","12","LP","8.51632916846187","57.744","NaN","65.757","8.013","NaN","0","21"
"13","R_2R8sjRLi5qOALWJ","standard","13","LP","0.661783713916415","66.767","67.446","68.412","1.645","0.966","3","24"
"14","R_2R8sjRLi5qOALWJ","standard","14","LP","8.51632916846187","69.42","77.941","78.639","9.219","0.698","3","27"
"15","R_2R8sjRLi5qOALWJ","standard","15","LP","19.8235243429556","79.648","NaN","88.669","9.021","NaN","0","27"
"16","R_2R8sjRLi5qOALWJ","standard","16","LP","8.51632916846187","89.734","NaN","96.511","6.777","NaN","0","27"
"17","R_2R8sjRLi5qOALWJ","standard","17","LP","0.661783713916415","97.515","98.181","101.849","4.334","3.668","3","30"
"18","R_2R8sjRLi5qOALWJ","standard","18","LP","0.264713485566566","102.854","103.118","108.835","5.981","5.717","3","33"
"19","R_2R8sjRLi5qOALWJ","standard","19","LP","0.661783713916415","109.837","110.513","113.182","3.345","2.669","3","36"
"20","R_2R8sjRLi5qOALWJ","standard","20","LP","30","114.236","NaN","119.924","5.688","NaN","0","36"
"21","R_2R8sjRLi5qOALWJ","standard","21","LP","30","120.926","NaN","126.973","6.047","NaN","0","36"
"22","R_2R8sjRLi5qOALWJ","standard","22","LP","8.51632916846187","127.974","NaN","133.589","5.615","NaN","0","36"
"23","R_2R8sjRLi5qOALWJ","standard","23","LP","8.51632916846187","134.596","NaN","136.747","2.151","NaN","0","36"
"24","R_2R8sjRLi5qOALWJ","standard","24","LP","19.8235243429556","137.749","NaN","140.933","3.184","NaN","0","36"
"25","R_2R8sjRLi5qOALWJ","standard","25","LP","13.0392072382594","141.941","NaN","147.848","5.907","NaN","0","36"
"26","R_2R8sjRLi5qOALWJ","standard","26","LP","2.15079707022835","148.854","151.012","151.83","2.976","0.818","3","39"
"27","R_2R8sjRLi5qOALWJ","standard","27","LP","0.264713485566566","152.852","153.118","153.929","1.077","0.811","3","42"
"28","R_2R8sjRLi5qOALWJ","standard","28","LP","0.661783713916415","154.984","155.645","156.382","1.398","0.737","3","45"
"29","R_2R8sjRLi5qOALWJ","standard","29","LP","5.5010771219302","157.395","NaN","161.731","4.336","NaN","0","45"
"30","R_2R8sjRLi5qOALWJ","standard","30","LP","5.5010771219302","162.735","168.237","170.04","7.305","1.803","3","48"
"31","R_2R8sjRLi5qOALWJ","standard","31","LP","8.51632916846187","171.046","179.578","180.19","9.144","0.612","3","51"
"32","R_2R8sjRLi5qOALWJ","standard","32","LP","13.0392072382594","181.198","NaN","187.471","6.273","NaN","0","51"
"33","R_2R8sjRLi5qOALWJ","standard","33","LP","0.661783713916415","188.492","189.157","190.097","1.605","0.94","3","54"
"34","R_2R8sjRLi5qOALWJ","standard","34","LP","19.8235243429556","191.101","NaN","195.632","4.531","NaN","0","54"
"35","R_2R8sjRLi5qOALWJ","standard","35","LP","2.15079707022835","196.637","NaN","198.71","2.073","NaN","0","54"
"36","R_2R8sjRLi5qOALWJ","standard","36","LP","2.15079707022835","199.726","201.878","202.661","2.935","0.783","3","57"
"37","R_2R8sjRLi5qOALWJ","standard","37","LP","13.0392072382594","203.678","216.726","227.327","23.649","10.601","3","60"
"38","R_2R8sjRLi5qOALWJ","standard","38","LP","19.8235243429556","228.334","NaN","233.377","5.043","NaN","0","60"
"39","R_2R8sjRLi5qOALWJ","standard","39","LP","2.15079707022835","234.39","236.542","237.375","2.985","0.833","3","63"
"40","R_2R8sjRLi5qOALWJ","standard","40","LP","2.15079707022835","238.446","240.606","242.096","3.65","1.49","3","66"
"41","R_2R8sjRLi5qOALWJ","standard","41","LP","30","243.109","NaN","253.245","10.136","NaN","0","66"
"42","R_2R8sjRLi5qOALWJ","standard","42","LP","1.25738905644119","254.254","255.55","256.4","2.146","0.85","3","69"
"43","R_2R8sjRLi5qOALWJ","standard","43","LP","0.264713485566566","257.408","257.692","258.504","1.096","0.812","3","72"
"44","R_2R8sjRLi5qOALWJ","standard","44","LP","8.51632916846187","259.504","268.024","268.76","9.256","0.736","3","75"
"45","R_2R8sjRLi5qOALWJ","standard","45","LP","13.0392072382594","269.771","NaN","277.733","7.962","NaN","0","75"
"46","R_2R8sjRLi5qOALWJ","standard","46","LP","8.51632916846187","278.792","NaN","281.587","2.795","NaN","0","75"
"47","R_2R8sjRLi5qOALWJ","standard","47","LP","19.8235243429556","282.589","NaN","284.979","2.39","NaN","0","75"
"48","R_2R8sjRLi5qOALWJ","standard","48","LP","30","285.995","NaN","294.394","8.399","NaN","0","75"
"49","R_2R8sjRLi5qOALWJ","standard","49","LP","19.8235243429556","295.396","NaN","299.592","4.196","NaN","0","75"
"50","R_2R8sjRLi5qOALWJ","standard","50","LP","3.49090909090909","300.596","304.093","304.269","3.673","0.176","3","78"
"51","R_2R8sjRLi5qOALWJ","standard","51","LP","1.25738905644119","305.288","306.758","312.032","6.744","5.274","3","81"
"52","R_2R8sjRLi5qOALWJ","standard","52","LP","0.264713485566566","313.036","313.375","314.187","1.151","0.812","3","84"
"53","R_2R8sjRLi5qOALWJ","standard","53","LP","0.264713485566566","315.235","315.514","316.248","1.013","0.734","3","87"
"54","R_2R8sjRLi5qOALWJ","standard","54","LP","1.25738905644119","317.252","318.521","319.156","1.904","0.635","3","90"
"55","R_2R8sjRLi5qOALWJ","standard","55","LP","19.8235243429556","320.171","NaN","327.371","7.2","NaN","0","90"
"56","R_2R8sjRLi5qOALWJ","standard","56","LP","8.51632916846187","328.375","NaN","336.045","7.67","NaN","0","90"
"57","R_2R8sjRLi5qOALWJ","standard","57","LP","30","337.052","NaN","341.584","4.532","NaN","0","90"
"58","R_2R8sjRLi5qOALWJ","standard","58","LP","19.8235243429556","342.736","NaN","346.369","3.633","NaN","0","90"
"59","R_2R8sjRLi5qOALWJ","standard","59","LP","5.5010771219302","347.373","354.489","356.032","8.659","1.543","3","93"
"60","R_2R8sjRLi5qOALWJ","standard","60","LP","2.15079707022835","357.035","359.808","364.599","7.564","4.791","3","96"
"61","R_2R8sjRLi5qOALWJ","standard","61","LP","13.0392072382594","365.605","NaN","369.548","3.943","NaN","0","96"
"62","R_2R8sjRLi5qOALWJ","standard","62","LP","0.264713485566566","370.548","370.821","371.668","1.12","0.847","3","99"
"63","R_2R8sjRLi5qOALWJ","standard","63","LP","8.51632916846187","372.676","NaN","378.779","6.103","NaN","0","99"
"64","R_2R8sjRLi5qOALWJ","standard","64","LP","30","379.781","NaN","392.151","12.37","NaN","0","99"
"65","R_2R8sjRLi5qOALWJ","standard","65","LP","1.25738905644119","393.169","394.428","396.271","3.102","1.843","3","102"
"66","R_2R8sjRLi5qOALWJ","standard","66","LP","13.0392072382594","397.284","NaN","405.421","8.137","NaN","0","102"
"67","R_2R8sjRLi5qOALWJ","standard","67","LP","19.8235243429556","406.438","NaN","410.892","4.454","NaN","0","102"
"68","R_2R8sjRLi5qOALWJ","standard","68","LP","1.25738905644119","411.9","413.164","413.981","2.081","0.817","3","105"
"69","R_2R8sjRLi5qOALWJ","standard","69","LP","5.5010771219302","414.996","420.515","421.272","6.276","0.757","3","108"
"70","R_2R8sjRLi5qOALWJ","standard","70","LP","30","422.283","NaN","433.642","11.359","NaN","0","108"
"71","R_2R8sjRLi5qOALWJ","standard","71","LP","19.8235243429556","434.644","NaN","441.503","6.859","NaN","0","108"
"72","R_2R8sjRLi5qOALWJ","standard","72","LP","0.661783713916415","442.524","443.198","444.147","1.623","0.949","3","111"
"73","R_2R8sjRLi5qOALWJ","standard","73","LP","3.49090909090909","445.183","448.681","449.42","4.237","0.739","3","114"
"74","R_2R8sjRLi5qOALWJ","standard","74","LP","0.264713485566566","450.428","450.701","451.567","1.139","0.866","3","117"
"75","R_2R8sjRLi5qOALWJ","standard","75","LP","19.8235243429556","452.59","NaN","458.883","6.293","NaN","0","117"
"76","R_2R8sjRLi5qOALWJ","standard","76","LP","30","459.897","NaN","461.148","1.251","NaN","0","117"
"77","R_2R8sjRLi5qOALWJ","standard","77","LP","3.49090909090909","462.165","NaN","463.543","1.378","NaN","0","117"
"78","R_2R8sjRLi5qOALWJ","standard","78","LP","30","464.548","NaN","468.566","4.018","NaN","0","117"
"79","R_2R8sjRLi5qOALWJ","standard","79","LP","0.661783713916415","469.582","470.253","474.196","4.614","3.943","3","120"
"80","R_2R8sjRLi5qOALWJ","standard","80","LP","1.25738905644119","475.212","476.476","477.564","2.352","1.088","3","123"
"81","R_2R8sjRLi5qOALWJ","standard","81","LP","30","478.627","NaN","483.348","4.721","NaN","0","123"
"82","R_2R8sjRLi5qOALWJ","standard","82","LP","0.264713485566566","484.438","484.713","487.695","3.257","2.982","3","126"
"83","R_2R8sjRLi5qOALWJ","standard","83","LP","19.8235243429556","488.701","NaN","494.611","5.91","NaN","0","126"
"84","R_2R8sjRLi5qOALWJ","standard","84","LP","19.8235243429556","495.62","NaN","499.485","3.865","NaN","0","126"
"85","R_2R8sjRLi5qOALWJ","standard","85","LP","5.5010771219302","500.501","506.135","506.299","5.798","0.164","3","129"
"86","R_2R8sjRLi5qOALWJ","standard","86","LP","2.15079707022835","507.31","NaN","509.239","1.929","NaN","0","129"
"87","R_2R8sjRLi5qOALWJ","standard","87","LP","8.51632916846187","510.244","NaN","513.321","3.077","NaN","0","129"
