"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_2SeN5zexpMzx541","discrete","1","LP","0.661783713916415","0.001","0.671","8.69","8.689","8.019","3","3"
"2","R_2SeN5zexpMzx541","discrete","2","LP","5.5010771219302","9.692","15.197","15.592","5.9","0.395","3","6"
"3","R_2SeN5zexpMzx541","discrete","3","LP","1.25738905644119","16.597","17.861","18.359","1.762","0.498","3","9"
"4","R_2SeN5zexpMzx541","discrete","4","LP","13.0392072382594","19.373","NaN","26.752","7.379","NaN","0","9"
"5","R_2SeN5zexpMzx541","discrete","5","LP","2.15079707022835","27.758","29.914","48.29","20.532","18.376","3","12"
"6","R_2SeN5zexpMzx541","discrete","6","LP","19.8235243429556","49.298","NaN","58.527","9.229","NaN","0","12"
"7","R_2SeN5zexpMzx541","discrete","7","LP","30","59.543","NaN","68.534","8.991","NaN","0","12"
"8","R_2SeN5zexpMzx541","discrete","8","LP","13.0392072382594","69.542","NaN","75.336","5.794","NaN","0","12"
"9","R_2SeN5zexpMzx541","discrete","9","LP","19.8235243429556","76.341","NaN","82.33","5.989","NaN","0","12"
"10","R_2SeN5zexpMzx541","discrete","10","LP","3.49090909090909","83.335","86.839","87.436","4.101","0.597","3","15"
"11","R_2SeN5zexpMzx541","discrete","11","LP","2.15079707022835","88.439","90.598","91.033","2.594","0.435","3","18"
"12","R_2SeN5zexpMzx541","discrete","12","LP","0.264713485566566","92.037","92.311","92.777","0.74","0.466","3","21"
"13","R_2SeN5zexpMzx541","discrete","13","LP","8.51632916846187","93.789","NaN","96.703","2.914","NaN","0","21"
"14","R_2SeN5zexpMzx541","discrete","14","LP","2.15079707022835","97.723","99.888","100.308","2.585","0.42","3","24"
"15","R_2SeN5zexpMzx541","discrete","15","LP","5.5010771219302","101.315","NaN","106.199","4.884","NaN","0","24"
"16","R_2SeN5zexpMzx541","discrete","16","LP","30","107.211","NaN","116.081","8.87","NaN","0","24"
"17","R_2SeN5zexpMzx541","discrete","17","LP","1.25738905644119","117.084","118.348","118.865","1.781","0.517","3","27"
"18","R_2SeN5zexpMzx541","discrete","18","LP","30","119.869","NaN","123.433","3.564","NaN","0","27"
"19","R_2SeN5zexpMzx541","discrete","19","LP","2.15079707022835","124.436","126.589","127.062","2.626","0.473","3","30"
"20","R_2SeN5zexpMzx541","discrete","20","LP","0.264713485566566","128.068","128.341","128.754","0.686","0.413","3","33"
"21","R_2SeN5zexpMzx541","discrete","21","LP","30","129.756","NaN","131.869","2.113","NaN","0","33"
"22","R_2SeN5zexpMzx541","discrete","22","LP","8.51632916846187","132.877","NaN","136.687","3.81","NaN","0","33"
"23","R_2SeN5zexpMzx541","discrete","23","LP","0.264713485566566","137.7","137.98","138.453","0.753","0.473","3","36"
"24","R_2SeN5zexpMzx541","discrete","24","LP","0.264713485566566","139.464","139.744","140.161","0.697","0.417","3","39"
"25","R_2SeN5zexpMzx541","discrete","25","LP","5.5010771219302","141.165","NaN","143.639","2.474","NaN","0","39"
"26","R_2SeN5zexpMzx541","discrete","26","LP","13.0392072382594","144.641","NaN","146.856","2.215","NaN","0","39"
"27","R_2SeN5zexpMzx541","discrete","27","LP","13.0392072382594","147.861","NaN","149.835","1.974","NaN","0","39"
"28","R_2SeN5zexpMzx541","discrete","28","LP","0.661783713916415","150.845","151.51","151.794","0.949","0.284","3","42"
"29","R_2SeN5zexpMzx541","discrete","29","LP","13.0392072382594","152.805","NaN","155.27","2.465","NaN","0","42"
"30","R_2SeN5zexpMzx541","discrete","30","LP","19.8235243429556","156.277","NaN","158.445","2.168","NaN","0","42"
"31","R_2SeN5zexpMzx541","discrete","31","LP","0.264713485566566","159.448","159.725","160.128","0.68","0.403","3","45"
"32","R_2SeN5zexpMzx541","discrete","32","LP","3.49090909090909","161.144","NaN","163.101","1.957","NaN","0","45"
"33","R_2SeN5zexpMzx541","discrete","33","LP","2.15079707022835","164.131","166.285","166.498","2.367","0.213","3","48"
"34","R_2SeN5zexpMzx541","discrete","34","LP","3.49090909090909","167.501","NaN","169.783","2.282","NaN","0","48"
"35","R_2SeN5zexpMzx541","discrete","35","LP","2.15079707022835","170.804","172.958","173.004","2.2","0.046","3","51"
"36","R_2SeN5zexpMzx541","discrete","36","LP","3.49090909090909","174.011","NaN","176.262","2.251","NaN","0","51"
"37","R_2SeN5zexpMzx541","discrete","37","LP","8.51632916846187","177.27","NaN","179.637","2.367","NaN","0","51"
"38","R_2SeN5zexpMzx541","discrete","38","LP","0.264713485566566","180.645","180.925","181.316","0.671","0.391","3","54"
"39","R_2SeN5zexpMzx541","discrete","39","LP","5.5010771219302","182.32","NaN","184.574","2.254","NaN","0","54"
"40","R_2SeN5zexpMzx541","discrete","40","LP","0.264713485566566","185.581","185.853","186.286","0.705","0.433","3","57"
"41","R_2SeN5zexpMzx541","discrete","41","LP","5.5010771219302","187.309","NaN","189.54","2.231","NaN","0","57"
"42","R_2SeN5zexpMzx541","discrete","42","LP","8.51632916846187","190.542","NaN","192.756","2.214","NaN","0","57"
"43","R_2SeN5zexpMzx541","discrete","43","LP","30","193.767","NaN","196.249","2.482","NaN","0","57"
"44","R_2SeN5zexpMzx541","discrete","44","LP","0.264713485566566","197.253","197.52","197.941","0.688","0.421","3","60"
"45","R_2SeN5zexpMzx541","discrete","45","LP","5.5010771219302","198.949","NaN","201.553","2.604","NaN","0","60"
"46","R_2SeN5zexpMzx541","discrete","46","LP","8.51632916846187","202.56","NaN","204.794","2.234","NaN","0","60"
"47","R_2SeN5zexpMzx541","discrete","47","LP","0.264713485566566","205.806","206.084","206.542","0.736","0.458","3","63"
"48","R_2SeN5zexpMzx541","discrete","48","LP","2.15079707022835","207.549","209.701","210.081","2.532","0.38","3","66"
"49","R_2SeN5zexpMzx541","discrete","49","LP","0.661783713916415","211.086","211.75","212.39","1.304","0.64","3","69"
"50","R_2SeN5zexpMzx541","discrete","50","LP","13.0392072382594","213.399","NaN","218.186","4.787","NaN","0","69"
"51","R_2SeN5zexpMzx541","discrete","51","LP","1.25738905644119","219.189","220.456","220.949","1.76","0.493","3","72"
"52","R_2SeN5zexpMzx541","discrete","52","LP","19.8235243429556","221.957","NaN","225.898","3.941","NaN","0","72"
"53","R_2SeN5zexpMzx541","discrete","53","LP","2.15079707022835","226.915","229.069","229.345","2.43","0.276","3","75"
"54","R_2SeN5zexpMzx541","discrete","54","LP","5.5010771219302","230.355","235.865","236.225","5.87","0.36","3","78"
"55","R_2SeN5zexpMzx541","discrete","55","LP","5.5010771219302","237.229","NaN","241.968","4.739","NaN","0","78"
"56","R_2SeN5zexpMzx541","discrete","56","LP","0.264713485566566","242.973","243.239","243.639","0.666","0.4","3","81"
"57","R_2SeN5zexpMzx541","discrete","57","LP","13.0392072382594","244.643","NaN","249.523","4.88","NaN","0","81"
