"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_2SiZOfEDxwRagk4","standard","1","LP","1.25738905644119","0","1.26","1.994","1.994","0.734","3","3"
"2","R_2SiZOfEDxwRagk4","standard","2","LP","19.8235243429556","3.003","NaN","13.274","10.271","NaN","0","3"
"3","R_2SiZOfEDxwRagk4","standard","3","LP","1.25738905644119","14.277","15.538","19.154","4.877","3.616","3","6"
"4","R_2SiZOfEDxwRagk4","standard","4","LP","8.51632916846187","20.159","28.688","29.054","8.895","0.366","3","9"
"5","R_2SiZOfEDxwRagk4","standard","5","LP","13.0392072382594","30.064","43.109","43.53","13.466","0.421","3","12"
"6","R_2SiZOfEDxwRagk4","standard","6","LP","8.51632916846187","44.545","53.076","53.93","9.385","0.854","3","15"
"7","R_2SiZOfEDxwRagk4","standard","7","LP","1.25738905644119","54.933","56.197","59.69","4.757","3.493","3","18"
"8","R_2SiZOfEDxwRagk4","standard","8","LP","19.8235243429556","60.703","80.532","83.308","22.605","2.776","3","21"
"9","R_2SiZOfEDxwRagk4","standard","9","LP","30","84.309","114.31","114.696","30.387","0.386","3","24"
"10","R_2SiZOfEDxwRagk4","standard","10","LP","0.264713485566566","115.704","115.972","116.489","0.785","0.517","3","27"
"11","R_2SiZOfEDxwRagk4","standard","11","LP","13.0392072382594","117.502","NaN","125.076","7.574","NaN","0","27"
"12","R_2SiZOfEDxwRagk4","standard","12","LP","5.5010771219302","126.085","NaN","131.18","5.095","NaN","0","27"
"13","R_2SiZOfEDxwRagk4","standard","13","LP","2.15079707022835","132.183","134.353","134.842","2.659","0.489","3","30"
"14","R_2SiZOfEDxwRagk4","standard","14","LP","0.264713485566566","135.844","136.11","136.556","0.712","0.446","3","33"
"15","R_2SiZOfEDxwRagk4","standard","15","LP","3.49090909090909","137.557","141.056","141.403","3.846","0.347","3","36"
"16","R_2SiZOfEDxwRagk4","standard","16","LP","19.8235243429556","142.405","NaN","147.465","5.06","NaN","0","36"
"17","R_2SiZOfEDxwRagk4","standard","17","LP","30","148.471","NaN","154.844","6.373","NaN","0","36"
"18","R_2SiZOfEDxwRagk4","standard","18","LP","30","155.857","NaN","161.882","6.025","NaN","0","36"
"19","R_2SiZOfEDxwRagk4","standard","19","LP","5.5010771219302","162.885","168.388","169.643","6.758","1.255","3","39"
"20","R_2SiZOfEDxwRagk4","standard","20","LP","8.51632916846187","170.645","179.165","179.761","9.116","0.596","3","42"
"21","R_2SiZOfEDxwRagk4","standard","21","LP","2.15079707022835","180.765","182.918","184.153","3.388","1.235","3","45"
"22","R_2SiZOfEDxwRagk4","standard","22","LP","3.49090909090909","185.156","188.656","189.962","4.806","1.306","3","48"
"23","R_2SiZOfEDxwRagk4","standard","23","LP","13.0392072382594","190.97","NaN","201.379","10.409","NaN","0","48"
"24","R_2SiZOfEDxwRagk4","standard","24","LP","2.15079707022835","202.382","204.541","209.273","6.891","4.732","3","51"
"25","R_2SiZOfEDxwRagk4","standard","25","LP","0.264713485566566","210.278","210.548","213.988","3.71","3.44","3","54"
"26","R_2SiZOfEDxwRagk4","standard","26","LP","2.15079707022835","215.007","217.165","220.005","4.998","2.84","3","57"
"27","R_2SiZOfEDxwRagk4","standard","27","LP","0.661783713916415","221.02","221.687","222.218","1.198","0.531","3","60"
"28","R_2SiZOfEDxwRagk4","standard","28","LP","3.49090909090909","223.226","226.719","227.593","4.367","0.874","3","63"
"29","R_2SiZOfEDxwRagk4","standard","29","LP","5.5010771219302","228.596","234.101","235.147","6.551","1.046","3","66"
"30","R_2SiZOfEDxwRagk4","standard","30","LP","1.25738905644119","236.149","237.413","238.666","2.517","1.253","3","69"
"31","R_2SiZOfEDxwRagk4","standard","31","LP","2.15079707022835","239.675","241.831","243.704","4.029","1.873","3","72"
"32","R_2SiZOfEDxwRagk4","standard","32","LP","1.25738905644119","244.722","245.986","247.393","2.671","1.407","3","75"
"33","R_2SiZOfEDxwRagk4","standard","33","LP","30","248.396","NaN","256.268","7.872","NaN","0","75"
"34","R_2SiZOfEDxwRagk4","standard","34","LP","5.5010771219302","257.282","262.792","264.785","7.503","1.993","3","78"
"35","R_2SiZOfEDxwRagk4","standard","35","LP","8.51632916846187","265.796","274.317","274.436","8.64","0.119","3","81"
"36","R_2SiZOfEDxwRagk4","standard","36","LP","2.15079707022835","275.446","277.606","280.46","5.014","2.854","3","84"
"37","R_2SiZOfEDxwRagk4","standard","37","LP","30","281.47","NaN","288.036","6.566","NaN","0","84"
"38","R_2SiZOfEDxwRagk4","standard","38","LP","19.8235243429556","289.046","NaN","296.981","7.935","NaN","0","84"
"39","R_2SiZOfEDxwRagk4","standard","39","LP","5.5010771219302","297.996","303.507","305.34","7.344","1.833","3","87"
"40","R_2SiZOfEDxwRagk4","standard","40","LP","30","306.344","NaN","313.836","7.492","NaN","0","87"
"41","R_2SiZOfEDxwRagk4","standard","41","LP","1.25738905644119","314.855","316.119","318.568","3.713","2.449","3","90"
"42","R_2SiZOfEDxwRagk4","standard","42","LP","5.5010771219302","319.581","325.084","325.683","6.102","0.599","3","93"
"43","R_2SiZOfEDxwRagk4","standard","43","LP","0.661783713916415","326.685","327.354","330.313","3.628","2.959","3","96"
"44","R_2SiZOfEDxwRagk4","standard","44","LP","1.25738905644119","331.315","332.593","333.84","2.525","1.247","3","99"
"45","R_2SiZOfEDxwRagk4","standard","45","LP","3.49090909090909","334.844","338.337","339.435","4.591","1.098","3","102"
"46","R_2SiZOfEDxwRagk4","standard","46","LP","5.5010771219302","340.436","345.944","348.769","8.333","2.825","3","105"
"47","R_2SiZOfEDxwRagk4","standard","47","LP","13.0392072382594","349.772","NaN","356.944","7.172","NaN","0","105"
"48","R_2SiZOfEDxwRagk4","standard","48","LP","0.264713485566566","357.948","358.223","359.74","1.792","1.517","3","108"
"49","R_2SiZOfEDxwRagk4","standard","49","LP","8.51632916846187","360.752","NaN","367.905","7.153","NaN","0","108"
"50","R_2SiZOfEDxwRagk4","standard","50","LP","19.8235243429556","368.908","NaN","375.12","6.212","NaN","0","108"
"51","R_2SiZOfEDxwRagk4","standard","51","LP","3.49090909090909","376.13","379.624","380.992","4.862","1.368","3","111"
"52","R_2SiZOfEDxwRagk4","standard","52","LP","13.0392072382594","382.006","NaN","388.666","6.66","NaN","0","111"
"53","R_2SiZOfEDxwRagk4","standard","53","LP","3.49090909090909","389.669","393.166","395.234","5.565","2.068","3","114"
"54","R_2SiZOfEDxwRagk4","standard","54","LP","1.25738905644119","396.235","397.501","399.976","3.741","2.475","3","117"
"55","R_2SiZOfEDxwRagk4","standard","55","LP","2.15079707022835","400.99","403.141","406.228","5.238","3.087","3","120"
"56","R_2SiZOfEDxwRagk4","standard","56","LP","1.25738905644119","407.236","408.51","410.177","2.941","1.667","3","123"
"57","R_2SiZOfEDxwRagk4","standard","57","LP","0.661783713916415","411.192","411.865","414.257","3.065","2.392","3","126"
"58","R_2SiZOfEDxwRagk4","standard","58","LP","3.49090909090909","415.267","418.764","420.02","4.753","1.256","3","129"
"59","R_2SiZOfEDxwRagk4","standard","59","LP","1.25738905644119","421.022","422.296","423.051","2.029","0.755","3","132"
"60","R_2SiZOfEDxwRagk4","standard","60","LP","3.49090909090909","424.06","427.559","428.459","4.399","0.9","3","135"
"61","R_2SiZOfEDxwRagk4","standard","61","LP","0.661783713916415","429.46","430.128","430.705","1.245","0.577","3","138"
"62","R_2SiZOfEDxwRagk4","standard","62","LP","19.8235243429556","431.714","NaN","439.675","7.961","NaN","0","138"
"63","R_2SiZOfEDxwRagk4","standard","63","LP","5.5010771219302","440.679","446.189","448.845","8.166","2.656","3","141"
"64","R_2SiZOfEDxwRagk4","standard","64","LP","8.51632916846187","449.852","458.383","458.746","8.894","0.363","3","144"
"65","R_2SiZOfEDxwRagk4","standard","65","LP","0.264713485566566","459.75","460.026","461.404","1.654","1.378","3","147"
"66","R_2SiZOfEDxwRagk4","standard","66","LP","1.25738905644119","462.412","463.674","465.364","2.952","1.69","3","150"
