"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_2WOUoRvpQRFglNl","standard","1","LP","2.15079707022835","0","2.157","2.494","2.494","0.337","3","3"
"2","R_2WOUoRvpQRFglNl","standard","2","LP","13.0392072382594","3.5","16.54","16.838","13.338","0.298","3","6"
"3","R_2WOUoRvpQRFglNl","standard","3","LP","19.8235243429556","17.844","NaN","22.849","5.005","NaN","0","6"
"4","R_2WOUoRvpQRFglNl","standard","4","LP","0.661783713916415","23.853","24.516","24.795","0.942","0.279","3","9"
"5","R_2WOUoRvpQRFglNl","standard","5","LP","8.51632916846187","25.803","NaN","30.354","4.551","NaN","0","9"
"6","R_2WOUoRvpQRFglNl","standard","6","LP","13.0392072382594","31.357","NaN","37.104","5.747","NaN","0","9"
"7","R_2WOUoRvpQRFglNl","standard","7","LP","13.0392072382594","38.109","NaN","47.452","9.343","NaN","0","9"
"8","R_2WOUoRvpQRFglNl","standard","8","LP","13.0392072382594","48.46","NaN","61.455","12.995","NaN","0","9"
"9","R_2WOUoRvpQRFglNl","standard","9","LP","30","62.46","NaN","74.464","12.004","NaN","0","9"
"10","R_2WOUoRvpQRFglNl","standard","10","LP","3.49090909090909","75.469","78.965","79.29","3.821","0.325","3","12"
"11","R_2WOUoRvpQRFglNl","standard","11","LP","0.264713485566566","80.294","80.565","80.878","0.584","0.313","3","15"
"12","R_2WOUoRvpQRFglNl","standard","12","LP","1.25738905644119","81.885","83.149","83.46","1.575","0.311","3","18"
"13","R_2WOUoRvpQRFglNl","standard","13","LP","3.49090909090909","84.469","87.964","88.272","3.803","0.308","3","21"
"14","R_2WOUoRvpQRFglNl","standard","14","LP","5.5010771219302","89.277","94.781","95.112","5.835","0.331","3","24"
"15","R_2WOUoRvpQRFglNl","standard","15","LP","1.25738905644119","96.114","97.373","97.674","1.56","0.301","3","27"
"16","R_2WOUoRvpQRFglNl","standard","16","LP","8.51632916846187","98.676","NaN","105.645","6.969","NaN","0","27"
"17","R_2WOUoRvpQRFglNl","standard","17","LP","13.0392072382594","106.653","NaN","116.35","9.697","NaN","0","27"
"18","R_2WOUoRvpQRFglNl","standard","18","LP","19.8235243429556","117.356","NaN","127.253","9.897","NaN","0","27"
"19","R_2WOUoRvpQRFglNl","standard","19","LP","30","128.261","NaN","138.499","10.238","NaN","0","27"
"20","R_2WOUoRvpQRFglNl","standard","20","LP","13.0392072382594","139.502","NaN","149.458","9.956","NaN","0","27"
"21","R_2WOUoRvpQRFglNl","standard","21","LP","30","150.461","NaN","161.329","10.868","NaN","0","27"
"22","R_2WOUoRvpQRFglNl","standard","22","LP","3.49090909090909","162.333","165.829","166.176","3.843","0.347","3","30"
"23","R_2WOUoRvpQRFglNl","standard","23","LP","19.8235243429556","167.181","NaN","177.932","10.751","NaN","0","30"
"24","R_2WOUoRvpQRFglNl","standard","24","LP","0.661783713916415","178.94","179.605","179.932","0.992","0.327","3","33"
"25","R_2WOUoRvpQRFglNl","standard","25","LP","30","180.934","NaN","190.883","9.949","NaN","0","33"
"26","R_2WOUoRvpQRFglNl","standard","26","LP","13.0392072382594","191.885","NaN","201.55","9.665","NaN","0","33"
"27","R_2WOUoRvpQRFglNl","standard","27","LP","2.15079707022835","202.556","204.709","204.997","2.441","0.288","3","36"
"28","R_2WOUoRvpQRFglNl","standard","28","LP","3.49090909090909","206.004","209.501","209.794","3.79","0.293","3","39"
"29","R_2WOUoRvpQRFglNl","standard","29","LP","5.5010771219302","210.798","216.301","216.62","5.822","0.319","3","42"
"30","R_2WOUoRvpQRFglNl","standard","30","LP","5.5010771219302","217.629","223.133","223.474","5.845","0.341","3","45"
"31","R_2WOUoRvpQRFglNl","standard","31","LP","0.661783713916415","224.477","225.141","225.529","1.052","0.388","3","48"
"32","R_2WOUoRvpQRFglNl","standard","32","LP","1.25738905644119","226.533","227.797","228.111","1.578","0.314","3","51"
"33","R_2WOUoRvpQRFglNl","standard","33","LP","19.8235243429556","229.114","NaN","238.332","9.218","NaN","0","51"
"34","R_2WOUoRvpQRFglNl","standard","34","LP","13.0392072382594","239.34","NaN","249.3","9.96","NaN","0","51"
"35","R_2WOUoRvpQRFglNl","standard","35","LP","13.0392072382594","250.309","NaN","259.47","9.161","NaN","0","51"
"36","R_2WOUoRvpQRFglNl","standard","36","LP","8.51632916846187","260.477","268.997","269.41","8.933","0.413","3","54"
"37","R_2WOUoRvpQRFglNl","standard","37","LP","1.25738905644119","270.411","271.676","271.999","1.588","0.323","3","57"
"38","R_2WOUoRvpQRFglNl","standard","38","LP","30","273.006","NaN","283.6","10.594","NaN","0","57"
"39","R_2WOUoRvpQRFglNl","standard","39","LP","0.264713485566566","284.605","284.877","285.284","0.679","0.407","3","60"
"40","R_2WOUoRvpQRFglNl","standard","40","LP","19.8235243429556","286.294","NaN","297.373","11.079","NaN","0","60"
"41","R_2WOUoRvpQRFglNl","standard","41","LP","3.49090909090909","298.381","301.876","302.227","3.846","0.351","3","63"
"42","R_2WOUoRvpQRFglNl","standard","42","LP","0.661783713916415","303.237","303.9","304.348","1.111","0.448","3","66"
"43","R_2WOUoRvpQRFglNl","standard","43","LP","5.5010771219302","305.356","310.86","311.145","5.789","0.285","3","69"
"44","R_2WOUoRvpQRFglNl","standard","44","LP","1.25738905644119","312.148","313.409","313.763","1.615","0.354","3","72"
"45","R_2WOUoRvpQRFglNl","standard","45","LP","19.8235243429556","314.765","NaN","325.652","10.887","NaN","0","72"
"46","R_2WOUoRvpQRFglNl","standard","46","LP","8.51632916846187","326.66","335.18","335.464","8.804","0.284","3","75"
"47","R_2WOUoRvpQRFglNl","standard","47","LP","2.15079707022835","336.469","338.62","338.884","2.415","0.264","3","78"
"48","R_2WOUoRvpQRFglNl","standard","48","LP","3.49090909090909","339.892","343.388","343.662","3.77","0.274","3","81"
"49","R_2WOUoRvpQRFglNl","standard","49","LP","19.8235243429556","344.668","NaN","354.56","9.892","NaN","0","81"
"50","R_2WOUoRvpQRFglNl","standard","50","LP","2.15079707022835","355.564","357.715","358.058","2.494","0.343","3","84"
"51","R_2WOUoRvpQRFglNl","standard","51","LP","0.264713485566566","359.06","359.333","359.645","0.585","0.312","3","87"
"52","R_2WOUoRvpQRFglNl","standard","52","LP","0.264713485566566","360.652","360.917","361.203","0.551","0.286","3","90"
"53","R_2WOUoRvpQRFglNl","standard","53","LP","3.49090909090909","362.205","365.701","366.013","3.808","0.312","3","93"
"54","R_2WOUoRvpQRFglNl","standard","54","LP","30","367.016","NaN","377.015","9.999","NaN","0","93"
"55","R_2WOUoRvpQRFglNl","standard","55","LP","8.51632916846187","378.018","386.54","386.879","8.861","0.339","3","96"
"56","R_2WOUoRvpQRFglNl","standard","56","LP","30","387.886","NaN","397.287","9.401","NaN","0","96"
"57","R_2WOUoRvpQRFglNl","standard","57","LP","19.8235243429556","398.292","NaN","408.532","10.24","NaN","0","96"
"58","R_2WOUoRvpQRFglNl","standard","58","LP","0.661783713916415","409.541","410.206","410.559","1.018","0.353","3","99"
"59","R_2WOUoRvpQRFglNl","standard","59","LP","30","411.565","NaN","421.439","9.874","NaN","0","99"
