"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_2Ylc8Ak0sxqhlH5","discrete","1","LP","30","0","30.002","30.522","30.522","0.52","3","3"
"2","R_2Ylc8Ak0sxqhlH5","discrete","2","LP","0.264713485566566","31.524","31.789","32.179","0.655","0.39","3","6"
"3","R_2Ylc8Ak0sxqhlH5","discrete","3","LP","5.5010771219302","33.181","38.683","38.962","5.781","0.279","3","9"
"4","R_2Ylc8Ak0sxqhlH5","discrete","4","LP","30","39.964","69.966","70.237","30.273","0.271","3","12"
"5","R_2Ylc8Ak0sxqhlH5","discrete","5","LP","13.0392072382594","71.238","84.279","84.574","13.336","0.295","3","15"
"6","R_2Ylc8Ak0sxqhlH5","discrete","6","LP","8.51632916846187","85.575","94.092","94.442","8.867","0.35","3","18"
"7","R_2Ylc8Ak0sxqhlH5","discrete","7","LP","5.5010771219302","95.443","100.946","101.226","5.783","0.28","3","21"
"8","R_2Ylc8Ak0sxqhlH5","discrete","8","LP","0.264713485566566","102.228","102.493","102.981","0.753","0.488","3","24"
"9","R_2Ylc8Ak0sxqhlH5","discrete","9","LP","2.15079707022835","103.983","106.134","106.458","2.475","0.324","3","27"
"10","R_2Ylc8Ak0sxqhlH5","discrete","10","LP","5.5010771219302","107.459","112.961","113.345","5.886","0.384","3","30"
"11","R_2Ylc8Ak0sxqhlH5","discrete","11","LP","30","114.347","144.348","144.633","30.286","0.285","3","33"
"12","R_2Ylc8Ak0sxqhlH5","discrete","12","LP","2.15079707022835","145.634","147.785","148.079","2.445","0.294","3","36"
"13","R_2Ylc8Ak0sxqhlH5","discrete","13","LP","2.15079707022835","149.08","151.231","151.586","2.506","0.355","3","39"
"14","R_2Ylc8Ak0sxqhlH5","discrete","14","LP","5.5010771219302","152.587","158.089","158.448","5.861","0.359","3","42"
"15","R_2Ylc8Ak0sxqhlH5","discrete","15","LP","8.51632916846187","159.45","167.967","168.308","8.858","0.341","3","45"
"16","R_2Ylc8Ak0sxqhlH5","discrete","16","LP","19.8235243429556","169.309","189.134","189.448","20.139","0.314","3","48"
"17","R_2Ylc8Ak0sxqhlH5","discrete","17","LP","13.0392072382594","190.449","203.49","203.815","13.366","0.325","3","51"
"18","R_2Ylc8Ak0sxqhlH5","discrete","18","LP","19.8235243429556","204.816","224.64","224.968","20.152","0.328","3","54"
"19","R_2Ylc8Ak0sxqhlH5","discrete","19","LP","0.661783713916415","225.97","226.632","226.972","1.002","0.34","3","57"
"20","R_2Ylc8Ak0sxqhlH5","discrete","20","LP","13.0392072382594","227.973","241.014","241.311","13.338","0.297","3","60"
"21","R_2Ylc8Ak0sxqhlH5","discrete","21","LP","0.661783713916415","242.312","242.974","243.292","0.98","0.318","3","63"
"22","R_2Ylc8Ak0sxqhlH5","discrete","22","LP","0.264713485566566","244.293","244.558","244.928","0.635","0.37","3","66"
"23","R_2Ylc8Ak0sxqhlH5","discrete","23","LP","13.0392072382594","245.929","258.969","259.391","13.462","0.422","3","69"
"24","R_2Ylc8Ak0sxqhlH5","discrete","24","LP","5.5010771219302","260.392","265.894","266.267","5.875","0.373","3","72"
"25","R_2Ylc8Ak0sxqhlH5","discrete","25","LP","3.49090909090909","267.268","270.759","271.088","3.82","0.329","3","75"
"26","R_2Ylc8Ak0sxqhlH5","discrete","26","LP","1.25738905644119","272.088","273.346","273.644","1.556","0.298","3","78"
"27","R_2Ylc8Ak0sxqhlH5","discrete","27","LP","0.264713485566566","274.644","274.909","275.25","0.606","0.341","3","81"
"28","R_2Ylc8Ak0sxqhlH5","discrete","28","LP","19.8235243429556","276.251","296.076","296.35","20.099","0.274","3","84"
"29","R_2Ylc8Ak0sxqhlH5","discrete","29","LP","2.15079707022835","297.351","299.502","299.898","2.547","0.396","3","87"
"30","R_2Ylc8Ak0sxqhlH5","discrete","30","LP","5.5010771219302","300.899","306.402","306.752","5.853","0.35","3","90"
"31","R_2Ylc8Ak0sxqhlH5","discrete","31","LP","5.5010771219302","307.753","NaN","308.862","1.109","NaN","0","90"
"32","R_2Ylc8Ak0sxqhlH5","discrete","32","LP","0.661783713916415","309.864","310.526","310.862","0.998","0.336","3","93"
"33","R_2Ylc8Ak0sxqhlH5","discrete","33","LP","1.25738905644119","311.863","313.121","313.481","1.618","0.36","3","96"
"34","R_2Ylc8Ak0sxqhlH5","discrete","34","LP","1.25738905644119","314.482","315.74","316.055","1.573","0.315","3","99"
"35","R_2Ylc8Ak0sxqhlH5","discrete","35","LP","2.15079707022835","317.056","319.208","319.603","2.547","0.395","3","102"
