"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_2anpRv55seQBdPA","standard","1","LP","5.5010771219302","0","NaN","1.442","1.442","NaN","0","0"
"2","R_2anpRv55seQBdPA","standard","2","LP","5.5010771219302","2.467","7.97","8.032","5.565","0.062","3","3"
"3","R_2anpRv55seQBdPA","standard","3","LP","19.8235243429556","9.158","NaN","12.479","3.321","NaN","0","3"
"4","R_2anpRv55seQBdPA","standard","4","LP","1.25738905644119","13.483","NaN","14.11","0.627","NaN","0","3"
"5","R_2anpRv55seQBdPA","standard","5","LP","0.661783713916415","15.111","15.779","16.725","1.614","0.946","3","6"
"6","R_2anpRv55seQBdPA","standard","6","LP","3.49090909090909","17.73","21.227","21.778","4.048","0.551","3","9"
"7","R_2anpRv55seQBdPA","standard","7","LP","19.8235243429556","22.783","NaN","38.217","15.434","NaN","0","9"
"8","R_2anpRv55seQBdPA","standard","8","LP","3.49090909090909","39.218","42.715","43.395","4.177","0.68","3","12"
"9","R_2anpRv55seQBdPA","standard","9","LP","3.49090909090909","44.419","47.921","49.728","5.309","1.807","3","15"
"10","R_2anpRv55seQBdPA","standard","10","LP","5.5010771219302","50.737","NaN","56.199","5.462","NaN","0","15"
"11","R_2anpRv55seQBdPA","standard","11","LP","2.15079707022835","57.215","59.409","61.546","4.331","2.137","3","18"
"12","R_2anpRv55seQBdPA","standard","12","LP","0.264713485566566","62.558","62.835","63.624","1.066","0.789","3","21"
"13","R_2anpRv55seQBdPA","standard","13","LP","5.5010771219302","64.627","70.132","70.898","6.271","0.766","3","24"
"14","R_2anpRv55seQBdPA","standard","14","LP","5.5010771219302","71.898","77.402","78.064","6.166","0.662","3","27"
"15","R_2anpRv55seQBdPA","standard","15","LP","0.264713485566566","79.104","79.372","80.11","1.006","0.738","3","30"
"16","R_2anpRv55seQBdPA","standard","16","LP","19.8235243429556","81.114","NaN","97.208","16.094","NaN","0","30"
"17","R_2anpRv55seQBdPA","standard","17","LP","0.264713485566566","98.236","98.527","99.768","1.532","1.241","3","33"
"18","R_2anpRv55seQBdPA","standard","18","LP","8.51632916846187","100.771","NaN","102.773","2.002","NaN","0","33"
"19","R_2anpRv55seQBdPA","standard","19","LP","5.5010771219302","103.785","109.309","110.12","6.335","0.811","3","36"
"20","R_2anpRv55seQBdPA","standard","20","LP","5.5010771219302","111.125","116.626","117.485","6.36","0.859","3","39"
"21","R_2anpRv55seQBdPA","standard","21","LP","2.15079707022835","118.493","120.699","121.698","3.205","0.999","3","42"
"22","R_2anpRv55seQBdPA","standard","22","LP","5.5010771219302","122.715","128.22","128.886","6.171","0.666","3","45"
"23","R_2anpRv55seQBdPA","standard","23","LP","5.5010771219302","129.89","135.399","136.302","6.412","0.903","3","48"
"24","R_2anpRv55seQBdPA","standard","24","LP","13.0392072382594","137.313","NaN","141.714","4.401","NaN","0","48"
"25","R_2anpRv55seQBdPA","standard","25","LP","13.0392072382594","142.752","155.794","156.536","13.784","0.742","3","51"
"26","R_2anpRv55seQBdPA","standard","26","LP","5.5010771219302","157.537","163.075","164.119","6.582","1.044","3","54"
"27","R_2anpRv55seQBdPA","standard","27","LP","1.25738905644119","165.123","166.412","167.768","2.645","1.356","3","57"
"28","R_2anpRv55seQBdPA","standard","28","LP","1.25738905644119","168.77","170.031","170.789","2.019","0.758","3","60"
"29","R_2anpRv55seQBdPA","standard","29","LP","0.661783713916415","171.797","172.458","173.238","1.441","0.78","3","63"
"30","R_2anpRv55seQBdPA","standard","30","LP","8.51632916846187","174.275","182.794","183.552","9.277","0.758","3","66"
"31","R_2anpRv55seQBdPA","standard","31","LP","0.661783713916415","184.555","185.224","187.195","2.64","1.971","3","69"
"32","R_2anpRv55seQBdPA","standard","32","LP","0.264713485566566","188.203","188.474","189.621","1.418","1.147","3","72"
"33","R_2anpRv55seQBdPA","standard","33","LP","30","190.625","NaN","210.675","20.05","NaN","0","72"
"34","R_2anpRv55seQBdPA","standard","34","LP","30","211.69","NaN","230.478","18.788","NaN","0","72"
"35","R_2anpRv55seQBdPA","standard","35","LP","19.8235243429556","231.486","NaN","234.209","2.723","NaN","0","72"
"36","R_2anpRv55seQBdPA","standard","36","LP","13.0392072382594","235.211","248.251","250.119","14.908","1.868","3","75"
"37","R_2anpRv55seQBdPA","standard","37","LP","1.25738905644119","251.133","252.395","253.524","2.391","1.129","3","78"
"38","R_2anpRv55seQBdPA","standard","38","LP","19.8235243429556","254.581","NaN","272.259","17.678","NaN","0","78"
"39","R_2anpRv55seQBdPA","standard","39","LP","19.8235243429556","273.41","NaN","284.614","11.204","NaN","0","78"
"40","R_2anpRv55seQBdPA","standard","40","LP","0.661783713916415","285.619","286.283","287.119","1.5","0.836","3","81"
"41","R_2anpRv55seQBdPA","standard","41","LP","13.0392072382594","288.124","NaN","290.84","2.716","NaN","0","81"
"42","R_2anpRv55seQBdPA","standard","42","LP","30","291.843","NaN","309.443","17.6","NaN","0","81"
"43","R_2anpRv55seQBdPA","standard","43","LP","8.51632916846187","310.446","318.971","319.884","9.438","0.913","3","84"
"44","R_2anpRv55seQBdPA","standard","44","LP","13.0392072382594","320.891","333.937","337.388","16.497","3.451","3","87"
"45","R_2anpRv55seQBdPA","standard","45","LP","0.264713485566566","338.394","338.658","339.642","1.248","0.984","3","90"
"46","R_2anpRv55seQBdPA","standard","46","LP","5.5010771219302","340.651","346.154","348.846","8.195","2.692","3","93"
"47","R_2anpRv55seQBdPA","standard","47","LP","13.0392072382594","349.85","362.898","363.425","13.575","0.527","3","96"
"48","R_2anpRv55seQBdPA","standard","48","LP","1.25738905644119","364.427","365.705","367.703","3.276","1.998","3","99"
"49","R_2anpRv55seQBdPA","standard","49","LP","0.661783713916415","368.707","369.371","370.127","1.42","0.756","3","102"
"50","R_2anpRv55seQBdPA","standard","50","LP","19.8235243429556","371.131","390.961","391.736","20.605","0.775","3","105"
"51","R_2anpRv55seQBdPA","standard","51","LP","5.5010771219302","392.737","398.241","399.029","6.292","0.788","3","108"
"52","R_2anpRv55seQBdPA","standard","52","LP","8.51632916846187","400.071","408.594","409.334","9.263","0.74","3","111"
"53","R_2anpRv55seQBdPA","standard","53","LP","13.0392072382594","410.348","423.394","424.143","13.795","0.749","3","114"
"54","R_2anpRv55seQBdPA","standard","54","LP","2.15079707022835","425.204","427.361","428.113","2.909","0.752","3","117"
"55","R_2anpRv55seQBdPA","standard","55","LP","2.15079707022835","429.114","431.265","432.141","3.027","0.876","3","120"
"56","R_2anpRv55seQBdPA","standard","56","LP","8.51632916846187","433.145","441.667","443.074","9.929","1.407","3","123"
"57","R_2anpRv55seQBdPA","standard","57","LP","5.5010771219302","444.101","449.602","451.455","7.354","1.853","3","126"
"58","R_2anpRv55seQBdPA","standard","58","LP","19.8235243429556","452.458","NaN","470.369","17.911","NaN","0","126"
"59","R_2anpRv55seQBdPA","standard","59","LP","0.264713485566566","471.371","471.643","473.326","1.955","1.683","3","129"
"60","R_2anpRv55seQBdPA","standard","60","LP","1.25738905644119","474.33","475.643","476.478","2.148","0.835","3","132"
"61","R_2anpRv55seQBdPA","standard","61","LP","0.661783713916415","477.481","478.145","478.914","1.433","0.769","3","135"
"62","R_2anpRv55seQBdPA","standard","62","LP","0.661783713916415","479.941","480.606","481.328","1.387","0.722","3","138"
"63","R_2anpRv55seQBdPA","standard","63","LP","1.25738905644119","482.364","483.623","484.326","1.962","0.703","3","141"
"64","R_2anpRv55seQBdPA","standard","64","LP","0.264713485566566","485.332","485.603","486.317","0.985","0.714","3","144"
"65","R_2anpRv55seQBdPA","standard","65","LP","0.661783713916415","487.322","487.988","488.575","1.253","0.587","3","147"
"66","R_2anpRv55seQBdPA","standard","66","LP","8.51632916846187","489.599","498.124","498.883","9.284","0.759","3","150"
"67","R_2anpRv55seQBdPA","standard","67","LP","8.51632916846187","499.889","508.408","509.238","9.349","0.83","3","153"
"68","R_2anpRv55seQBdPA","standard","68","LP","5.5010771219302","510.258","515.762","516.479","6.221","0.717","3","156"
"69","R_2anpRv55seQBdPA","standard","69","LP","30","517.482","NaN","537.502","20.02","NaN","0","156"
"70","R_2anpRv55seQBdPA","standard","70","LP","2.15079707022835","538.528","540.682","541.576","3.048","0.894","3","159"
"71","R_2anpRv55seQBdPA","standard","71","LP","3.49090909090909","542.579","546.074","546.943","4.364","0.869","3","162"
"72","R_2anpRv55seQBdPA","standard","72","LP","19.8235243429556","547.946","NaN","551.528","3.582","NaN","0","162"
"73","R_2anpRv55seQBdPA","standard","73","LP","13.0392072382594","552.582","565.624","566.586","14.004","0.962","3","165"
"74","R_2anpRv55seQBdPA","standard","74","LP","2.15079707022835","567.653","569.812","570.476","2.823","0.664","3","168"
"75","R_2anpRv55seQBdPA","standard","75","LP","19.8235243429556","571.482","NaN","590.265","18.783","NaN","0","168"
"76","R_2anpRv55seQBdPA","standard","76","LP","0.264713485566566","591.27","591.538","592.321","1.051","0.783","3","171"
"77","R_2anpRv55seQBdPA","standard","77","LP","8.51632916846187","593.321","601.841","602.411","9.09","0.57","3","174"
"78","R_2anpRv55seQBdPA","standard","78","LP","2.15079707022835","603.418","605.571","606.353","2.935","0.782","3","177"
"79","R_2anpRv55seQBdPA","standard","79","LP","5.5010771219302","607.355","612.91","613.867","6.512","0.957","3","180"
"80","R_2anpRv55seQBdPA","standard","80","LP","2.15079707022835","614.874","617.026","619.207","4.333","2.181","3","183"
"81","R_2anpRv55seQBdPA","standard","81","LP","5.5010771219302","620.211","625.772","629.383","9.172","3.611","3","186"
"82","R_2anpRv55seQBdPA","standard","82","LP","5.5010771219302","630.387","635.891","636.757","6.37","0.866","3","189"
"83","R_2anpRv55seQBdPA","standard","83","LP","3.49090909090909","637.758","641.249","641.984","4.226","0.735","3","192"
"84","R_2anpRv55seQBdPA","standard","84","LP","13.0392072382594","642.986","656.026","656.92","13.934","0.894","3","195"
"85","R_2anpRv55seQBdPA","standard","85","LP","3.49090909090909","657.935","661.427","662.332","4.397","0.905","3","198"
"86","R_2anpRv55seQBdPA","standard","86","LP","2.15079707022835","663.35","665.535","666.767","3.417","1.232","3","201"
"87","R_2anpRv55seQBdPA","standard","87","LP","5.5010771219302","667.77","673.274","674.718","6.948","1.444","3","204"
"88","R_2anpRv55seQBdPA","standard","88","LP","8.51632916846187","675.72","684.242","685.213","9.493","0.971","3","207"
