"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_2bQpLuj4H53PnSo","discrete","1","LP","0.661783713916415","0","0.669","3.754","3.754","3.085","3","3"
"2","R_2bQpLuj4H53PnSo","discrete","2","LP","13.0392072382594","4.764","NaN","10.922","6.158","NaN","0","3"
"3","R_2bQpLuj4H53PnSo","discrete","3","LP","0.264713485566566","11.929","12.197","13.209","1.28","1.012","3","6"
"4","R_2bQpLuj4H53PnSo","discrete","4","LP","30","14.214","NaN","31.219","17.005","NaN","0","6"
"5","R_2bQpLuj4H53PnSo","discrete","5","LP","3.49090909090909","32.224","35.725","36.177","3.953","0.452","3","9"
"6","R_2bQpLuj4H53PnSo","discrete","6","LP","0.264713485566566","37.181","37.455","38.321","1.14","0.866","3","12"
"7","R_2bQpLuj4H53PnSo","discrete","7","LP","2.15079707022835","39.325","41.477","42.065","2.74","0.588","3","15"
"8","R_2bQpLuj4H53PnSo","discrete","8","LP","0.264713485566566","43.069","43.333","45.249","2.18","1.916","3","18"
"9","R_2bQpLuj4H53PnSo","discrete","9","LP","30","46.257","NaN","61.411","15.154","NaN","0","18"
"10","R_2bQpLuj4H53PnSo","discrete","10","LP","30","62.418","NaN","73.722","11.304","NaN","0","18"
"11","R_2bQpLuj4H53PnSo","discrete","11","LP","8.51632916846187","74.726","83.245","83.737","9.011","0.492","3","21"
"12","R_2bQpLuj4H53PnSo","discrete","12","LP","8.51632916846187","84.742","93.262","93.658","8.916","0.396","3","24"
"13","R_2bQpLuj4H53PnSo","discrete","13","LP","13.0392072382594","94.662","107.709","108.122","13.46","0.413","3","27"
"14","R_2bQpLuj4H53PnSo","discrete","14","LP","1.25738905644119","109.131","110.391","110.962","1.831","0.571","3","30"
"15","R_2bQpLuj4H53PnSo","discrete","15","LP","8.51632916846187","111.975","120.494","120.898","8.923","0.404","3","33"
"16","R_2bQpLuj4H53PnSo","discrete","16","LP","8.51632916846187","121.902","130.533","130.914","9.012","0.381","3","36"
"17","R_2bQpLuj4H53PnSo","discrete","17","LP","19.8235243429556","131.921","151.75","152.266","20.345","0.516","3","39"
"18","R_2bQpLuj4H53PnSo","discrete","18","LP","3.49090909090909","153.27","156.771","157.331","4.061","0.56","3","42"
"19","R_2bQpLuj4H53PnSo","discrete","19","LP","5.5010771219302","158.333","164.086","164.474","6.141","0.388","3","45"
"20","R_2bQpLuj4H53PnSo","discrete","20","LP","1.25738905644119","165.478","166.743","167.202","1.724","0.459","3","48"
"21","R_2bQpLuj4H53PnSo","discrete","21","LP","1.25738905644119","168.207","169.47","169.977","1.77","0.507","3","51"
"22","R_2bQpLuj4H53PnSo","discrete","22","LP","0.661783713916415","170.984","171.645","172.169","1.185","0.524","3","54"
"23","R_2bQpLuj4H53PnSo","discrete","23","LP","5.5010771219302","173.18","178.689","179.129","5.949","0.44","3","57"
"24","R_2bQpLuj4H53PnSo","discrete","24","LP","19.8235243429556","180.133","199.957","200.313","20.18","0.356","3","60"
