"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_2dm979RDxPcgym6","discrete","1","LP","8.51632916846187","0","8.519","8.544","8.544","0.025","3","3"
"2","R_2dm979RDxPcgym6","discrete","2","LP","5.5010771219302","9.549","15.052","15.812","6.263","0.76","3","6"
"3","R_2dm979RDxPcgym6","discrete","3","LP","5.5010771219302","16.814","22.327","22.831","6.017","0.504","3","9"
"4","R_2dm979RDxPcgym6","discrete","4","LP","13.0392072382594","23.897","36.942","37.53","13.633","0.588","3","12"
"5","R_2dm979RDxPcgym6","discrete","5","LP","13.0392072382594","38.533","51.574","52.096","13.563","0.522","3","15"
"6","R_2dm979RDxPcgym6","discrete","6","LP","19.8235243429556","53.13","NaN","66.921","13.791","NaN","0","15"
"7","R_2dm979RDxPcgym6","discrete","7","LP","30","67.925","97.933","98.298","30.373","0.365","3","18"
"8","R_2dm979RDxPcgym6","discrete","8","LP","8.51632916846187","99.31","107.836","108.478","9.168","0.642","3","21"
"9","R_2dm979RDxPcgym6","discrete","9","LP","19.8235243429556","109.495","129.325","129.88","20.385","0.555","3","24"
"10","R_2dm979RDxPcgym6","discrete","10","LP","8.51632916846187","130.894","139.545","140.191","9.297","0.646","3","27"
"11","R_2dm979RDxPcgym6","discrete","11","LP","30","141.197","NaN","154.735","13.538","NaN","0","27"
"12","R_2dm979RDxPcgym6","discrete","12","LP","0.661783713916415","155.742","156.406","157.299","1.557","0.893","3","30"
"13","R_2dm979RDxPcgym6","discrete","13","LP","0.661783713916415","158.302","159.007","159.86","1.558","0.853","3","33"
"14","R_2dm979RDxPcgym6","discrete","14","LP","3.49090909090909","160.862","NaN","162.469","1.607","NaN","0","33"
"15","R_2dm979RDxPcgym6","discrete","15","LP","13.0392072382594","163.469","176.531","177.377","13.908","0.846","3","36"
