"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_2roxVf5O5NZZ02D","standard","1","LP","5.5010771219302","0","NaN","2.404","2.404","NaN","0","0"
"2","R_2roxVf5O5NZZ02D","standard","2","LP","0.264713485566566","3.405","3.679","5.873","2.468","2.194","3","3"
"3","R_2roxVf5O5NZZ02D","standard","3","LP","2.15079707022835","6.879","9.037","9.955","3.076","0.918","3","6"
"4","R_2roxVf5O5NZZ02D","standard","4","LP","8.51632916846187","10.957","19.477","21.091","10.134","1.614","3","9"
"5","R_2roxVf5O5NZZ02D","standard","5","LP","5.5010771219302","22.097","27.616","28.764","6.667","1.148","3","12"
"6","R_2roxVf5O5NZZ02D","standard","6","LP","0.661783713916415","29.764","30.429","31.956","2.192","1.527","3","15"
"7","R_2roxVf5O5NZZ02D","standard","7","LP","0.661783713916415","32.957","33.636","34.884","1.927","1.248","3","18"
"8","R_2roxVf5O5NZZ02D","standard","8","LP","1.25738905644119","35.902","37.167","39.722","3.82","2.555","3","21"
"9","R_2roxVf5O5NZZ02D","standard","9","LP","8.51632916846187","40.724","49.245","49.992","9.268","0.747","3","24"
"10","R_2roxVf5O5NZZ02D","standard","10","LP","0.264713485566566","50.997","51.269","52.163","1.166","0.894","3","27"
"11","R_2roxVf5O5NZZ02D","standard","11","LP","19.8235243429556","53.164","73.004","74.485","21.321","1.481","3","30"
"12","R_2roxVf5O5NZZ02D","standard","12","LP","0.264713485566566","75.493","75.764","77.586","2.093","1.822","3","33"
"13","R_2roxVf5O5NZZ02D","standard","13","LP","5.5010771219302","78.59","84.095","86.808","8.218","2.713","3","36"
"14","R_2roxVf5O5NZZ02D","standard","14","LP","8.51632916846187","87.813","96.332","99.489","11.676","3.157","3","39"
"15","R_2roxVf5O5NZZ02D","standard","15","LP","19.8235243429556","100.499","120.324","121.365","20.866","1.041","3","42"
"16","R_2roxVf5O5NZZ02D","standard","16","LP","5.5010771219302","122.373","127.879","130.168","7.795","2.289","3","45"
"17","R_2roxVf5O5NZZ02D","standard","17","LP","13.0392072382594","131.173","144.214","145.528","14.355","1.314","3","48"
"18","R_2roxVf5O5NZZ02D","standard","18","LP","1.25738905644119","146.532","147.805","149.704","3.172","1.899","3","51"
"19","R_2roxVf5O5NZZ02D","standard","19","LP","5.5010771219302","150.711","156.212","160.547","9.836","4.335","3","54"
"20","R_2roxVf5O5NZZ02D","standard","20","LP","30","161.548","191.549","192.43","30.882","0.881","3","57"
"21","R_2roxVf5O5NZZ02D","standard","21","LP","19.8235243429556","193.436","213.261","214.385","20.949","1.124","3","60"
"22","R_2roxVf5O5NZZ02D","standard","22","LP","30","215.399","245.404","246.283","30.884","0.879","3","63"
