"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_2sb6Nv2LdIZ0sUz","discrete","1","LP","5.5010771219302","0.001","NaN","3.547","3.546","NaN","0","0"
"2","R_2sb6Nv2LdIZ0sUz","discrete","2","LP","5.5010771219302","4.599","10.119","10.949","6.35","0.83","3","3"
"3","R_2sb6Nv2LdIZ0sUz","discrete","3","LP","8.51632916846187","11.951","20.485","21.13","9.179","0.645","3","6"
"4","R_2sb6Nv2LdIZ0sUz","discrete","4","LP","19.8235243429556","22.137","41.967","42.489","20.352","0.522","3","9"
"5","R_2sb6Nv2LdIZ0sUz","discrete","5","LP","1.25738905644119","43.52","44.783","45.381","1.861","0.598","3","12"
"6","R_2sb6Nv2LdIZ0sUz","discrete","6","LP","8.51632916846187","46.398","54.918","55.578","9.18","0.66","3","15"
"7","R_2sb6Nv2LdIZ0sUz","discrete","7","LP","19.8235243429556","56.584","76.415","76.998","20.414","0.583","3","18"
"8","R_2sb6Nv2LdIZ0sUz","discrete","8","LP","30","78.015","108.016","108.547","30.532","0.531","3","21"
"9","R_2sb6Nv2LdIZ0sUz","discrete","9","LP","30","109.55","139.599","140.067","30.517","0.468","3","24"
"10","R_2sb6Nv2LdIZ0sUz","discrete","10","LP","0.264713485566566","141.077","141.346","142.458","1.381","1.112","3","27"
"11","R_2sb6Nv2LdIZ0sUz","discrete","11","LP","0.661783713916415","143.461","144.125","144.844","1.383","0.719","3","30"
"12","R_2sb6Nv2LdIZ0sUz","discrete","12","LP","30","145.845","175.855","176.763","30.918","0.908","3","33"
"13","R_2sb6Nv2LdIZ0sUz","discrete","13","LP","1.25738905644119","177.794","179.054","181.099","3.305","2.045","3","36"
"14","R_2sb6Nv2LdIZ0sUz","discrete","14","LP","19.8235243429556","182.107","201.935","202.571","20.464","0.636","3","39"
"15","R_2sb6Nv2LdIZ0sUz","discrete","15","LP","19.8235243429556","203.575","223.458","224.26","20.685","0.802","3","42"
"16","R_2sb6Nv2LdIZ0sUz","discrete","16","LP","8.51632916846187","225.292","233.813","234.802","9.51","0.989","3","45"
"17","R_2sb6Nv2LdIZ0sUz","discrete","17","LP","2.15079707022835","235.815","237.968","239.022","3.207","1.054","3","48"
"18","R_2sb6Nv2LdIZ0sUz","discrete","18","LP","1.25738905644119","240.023","241.293","241.935","1.912","0.642","3","51"
"19","R_2sb6Nv2LdIZ0sUz","discrete","19","LP","5.5010771219302","242.943","248.448","249.069","6.126","0.621","3","54"
"20","R_2sb6Nv2LdIZ0sUz","discrete","20","LP","13.0392072382594","250.075","263.118","263.765","13.69","0.647","3","57"
"21","R_2sb6Nv2LdIZ0sUz","discrete","21","LP","3.49090909090909","264.774","268.272","268.919","4.145","0.647","3","60"
"22","R_2sb6Nv2LdIZ0sUz","discrete","22","LP","0.264713485566566","269.927","270.198","270.935","1.008","0.737","3","63"
"23","R_2sb6Nv2LdIZ0sUz","discrete","23","LP","5.5010771219302","271.943","277.446","278.068","6.125","0.622","3","66"
"24","R_2sb6Nv2LdIZ0sUz","discrete","24","LP","3.49090909090909","279.07","282.567","283.323","4.253","0.756","3","69"
"25","R_2sb6Nv2LdIZ0sUz","discrete","25","LP","2.15079707022835","284.326","286.489","287.145","2.819","0.656","3","72"
"26","R_2sb6Nv2LdIZ0sUz","discrete","26","LP","8.51632916846187","288.149","NaN","292.671","4.522","NaN","0","72"
"27","R_2sb6Nv2LdIZ0sUz","discrete","27","LP","1.25738905644119","293.689","294.95","297.557","3.868","2.607","3","75"
"28","R_2sb6Nv2LdIZ0sUz","discrete","28","LP","3.49090909090909","298.566","302.061","302.765","4.199","0.704","3","78"
"29","R_2sb6Nv2LdIZ0sUz","discrete","29","LP","1.25738905644119","303.787","305.053","305.744","1.957","0.691","3","81"
"30","R_2sb6Nv2LdIZ0sUz","discrete","30","LP","13.0392072382594","306.749","319.79","320.41","13.661","0.62","3","84"
"31","R_2sb6Nv2LdIZ0sUz","discrete","31","LP","2.15079707022835","321.411","323.566","326.006","4.595","2.44","3","87"
"32","R_2sb6Nv2LdIZ0sUz","discrete","32","LP","0.661783713916415","327.022","327.686","329.019","1.997","1.333","3","90"
"33","R_2sb6Nv2LdIZ0sUz","discrete","33","LP","19.8235243429556","330.021","349.887","350.462","20.441","0.575","3","93"
"34","R_2sb6Nv2LdIZ0sUz","discrete","34","LP","30","351.471","381.489","381.971","30.5","0.482","3","96"
"35","R_2sb6Nv2LdIZ0sUz","discrete","35","LP","2.15079707022835","382.989","385.143","385.77","2.781","0.627","3","99"
"36","R_2sb6Nv2LdIZ0sUz","discrete","36","LP","0.661783713916415","386.775","387.437","388.073","1.298","0.636","3","102"
"37","R_2sb6Nv2LdIZ0sUz","discrete","37","LP","13.0392072382594","389.086","402.126","402.693","13.607","0.567","3","105"
"38","R_2sb6Nv2LdIZ0sUz","discrete","38","LP","0.264713485566566","403.709","403.986","404.714","1.005","0.728","3","108"
"39","R_2sb6Nv2LdIZ0sUz","discrete","39","LP","19.8235243429556","405.719","425.543","426.107","20.388","0.564","3","111"
"40","R_2sb6Nv2LdIZ0sUz","discrete","40","LP","2.15079707022835","427.117","429.271","429.852","2.735","0.581","3","114"
"41","R_2sb6Nv2LdIZ0sUz","discrete","41","LP","19.8235243429556","430.899","450.743","451.336","20.437","0.593","3","117"
"42","R_2sb6Nv2LdIZ0sUz","discrete","42","LP","2.15079707022835","452.344","454.64","455.417","3.073","0.777","3","120"
"43","R_2sb6Nv2LdIZ0sUz","discrete","43","LP","2.15079707022835","456.418","458.574","459.347","2.929","0.773","3","123"
"44","R_2sb6Nv2LdIZ0sUz","discrete","44","LP","13.0392072382594","460.35","473.397","474.083","13.733","0.686","3","126"
"45","R_2sb6Nv2LdIZ0sUz","discrete","45","LP","8.51632916846187","475.098","483.617","484.26","9.162","0.643","3","129"
"46","R_2sb6Nv2LdIZ0sUz","discrete","46","LP","2.15079707022835","485.266","487.423","488.557","3.291","1.134","3","132"
"47","R_2sb6Nv2LdIZ0sUz","discrete","47","LP","0.264713485566566","489.564","489.83","490.534","0.97","0.704","3","135"
"48","R_2sb6Nv2LdIZ0sUz","discrete","48","LP","0.661783713916415","491.535","492.199","492.926","1.391","0.727","3","138"
"49","R_2sb6Nv2LdIZ0sUz","discrete","49","LP","5.5010771219302","493.926","499.432","500.135","6.209","0.703","3","141"
"50","R_2sb6Nv2LdIZ0sUz","discrete","50","LP","30","501.143","531.15","531.672","30.529","0.522","3","144"
"51","R_2sb6Nv2LdIZ0sUz","discrete","51","LP","8.51632916846187","532.679","541.21","541.88","9.201","0.67","3","147"
"52","R_2sb6Nv2LdIZ0sUz","discrete","52","LP","13.0392072382594","542.911","555.963","556.635","13.724","0.672","3","150"
"53","R_2sb6Nv2LdIZ0sUz","discrete","53","LP","0.661783713916415","557.638","558.381","564.119","6.481","5.738","3","153"
"54","R_2sb6Nv2LdIZ0sUz","discrete","54","LP","0.264713485566566","565.126","565.41","566.263","1.137","0.853","3","156"
"55","R_2sb6Nv2LdIZ0sUz","discrete","55","LP","30","567.294","597.318","597.486","30.192","0.168","3","159"
"56","R_2sb6Nv2LdIZ0sUz","discrete","56","LP","1.25738905644119","598.51","599.774","601.024","2.514","1.25","3","162"
"57","R_2sb6Nv2LdIZ0sUz","discrete","57","LP","0.661783713916415","602.03","602.694","604.364","2.334","1.67","3","165"
"58","R_2sb6Nv2LdIZ0sUz","discrete","58","LP","2.15079707022835","605.393","607.625","608.234","2.841","0.609","3","168"
"59","R_2sb6Nv2LdIZ0sUz","discrete","59","LP","0.661783713916415","609.239","609.903","610.823","1.584","0.92","3","171"
"60","R_2sb6Nv2LdIZ0sUz","discrete","60","LP","1.25738905644119","611.828","NaN","612.365","0.537","NaN","0","171"
"61","R_2sb6Nv2LdIZ0sUz","discrete","61","LP","2.15079707022835","613.377","615.535","616.293","2.916","0.758","3","174"
"62","R_2sb6Nv2LdIZ0sUz","discrete","62","LP","0.661783713916415","617.308","617.975","618.73","1.422","0.755","3","177"
"63","R_2sb6Nv2LdIZ0sUz","discrete","63","LP","5.5010771219302","619.731","625.239","625.861","6.13","0.622","3","180"
"64","R_2sb6Nv2LdIZ0sUz","discrete","64","LP","2.15079707022835","626.893","629.047","629.697","2.804","0.65","3","183"
"65","R_2sb6Nv2LdIZ0sUz","discrete","65","LP","19.8235243429556","630.709","650.536","651.348","20.639","0.812","3","186"
"66","R_2sb6Nv2LdIZ0sUz","discrete","66","LP","2.15079707022835","652.35","654.508","655.381","3.031","0.873","3","189"
"67","R_2sb6Nv2LdIZ0sUz","discrete","67","LP","3.49090909090909","656.391","659.896","662.085","5.694","2.189","3","192"
"68","R_2sb6Nv2LdIZ0sUz","discrete","68","LP","19.8235243429556","663.087","682.911","683.591","20.504","0.68","3","195"
"69","R_2sb6Nv2LdIZ0sUz","discrete","69","LP","1.25738905644119","684.607","685.875","686.682","2.075","0.807","3","198"
"70","R_2sb6Nv2LdIZ0sUz","discrete","70","LP","8.51632916846187","687.69","696.226","696.987","9.297","0.761","3","201"
"71","R_2sb6Nv2LdIZ0sUz","discrete","71","LP","13.0392072382594","698.006","711.048","711.601","13.595","0.553","3","204"
"72","R_2sb6Nv2LdIZ0sUz","discrete","72","LP","0.661783713916415","712.619","713.287","716.492","3.873","3.205","3","207"
"73","R_2sb6Nv2LdIZ0sUz","discrete","73","LP","0.661783713916415","717.509","718.175","719.167","1.658","0.992","3","210"
"74","R_2sb6Nv2LdIZ0sUz","discrete","74","LP","3.49090909090909","720.176","723.723","724.66","4.484","0.937","3","213"
"75","R_2sb6Nv2LdIZ0sUz","discrete","75","LP","30","725.664","755.67","756.24","30.576","0.57","3","216"
"76","R_2sb6Nv2LdIZ0sUz","discrete","76","LP","0.661783713916415","757.246","757.908","759.033","1.787","1.125","3","219"
"77","R_2sb6Nv2LdIZ0sUz","discrete","77","LP","13.0392072382594","760.039","773.088","773.86","13.821","0.772","3","222"
"78","R_2sb6Nv2LdIZ0sUz","discrete","78","LP","2.15079707022835","774.871","777.024","777.851","2.98","0.827","3","225"
"79","R_2sb6Nv2LdIZ0sUz","discrete","79","LP","13.0392072382594","778.854","791.895","792.49","13.636","0.595","3","228"
"80","R_2sb6Nv2LdIZ0sUz","discrete","80","LP","30","793.517","823.519","824.109","30.592","0.59","3","231"
"81","R_2sb6Nv2LdIZ0sUz","discrete","81","LP","0.264713485566566","825.11","825.387","826.136","1.026","0.749","3","234"
"82","R_2sb6Nv2LdIZ0sUz","discrete","82","LP","2.15079707022835","827.143","829.306","830.206","3.063","0.9","3","237"
"83","R_2sb6Nv2LdIZ0sUz","discrete","83","LP","3.49090909090909","831.207","834.716","835.37","4.163","0.654","3","240"
"84","R_2sb6Nv2LdIZ0sUz","discrete","84","LP","1.25738905644119","836.381","837.647","838.542","2.161","0.895","3","243"
"85","R_2sb6Nv2LdIZ0sUz","discrete","85","LP","13.0392072382594","839.547","852.601","853.201","13.654","0.6","3","246"
"86","R_2sb6Nv2LdIZ0sUz","discrete","86","LP","2.15079707022835","854.218","856.374","857.038","2.82","0.664","3","249"
"87","R_2sb6Nv2LdIZ0sUz","discrete","87","LP","8.51632916846187","858.046","866.568","867.173","9.127","0.605","3","252"
"88","R_2sb6Nv2LdIZ0sUz","discrete","88","LP","1.25738905644119","868.182","869.447","870.034","1.852","0.587","3","255"
"89","R_2sb6Nv2LdIZ0sUz","discrete","89","LP","13.0392072382594","871.038","884.084","884.714","13.676","0.63","3","258"
"90","R_2sb6Nv2LdIZ0sUz","discrete","90","LP","1.25738905644119","885.718","886.982","887.619","1.901","0.637","3","261"
