"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_2tFQdyN1oxSsZ6x","standard","1","LP","2.15079707022835","0","2.172","20.423","20.423","18.251","3","3"
"2","R_2tFQdyN1oxSsZ6x","standard","2","LP","0.264713485566566","21.429","21.703","32.348","10.919","10.645","3","6"
"3","R_2tFQdyN1oxSsZ6x","standard","3","LP","30","33.372","NaN","59.209","25.837","NaN","0","6"
"4","R_2tFQdyN1oxSsZ6x","standard","4","LP","2.15079707022835","60.217","62.383","65.368","5.151","2.985","3","9"
"5","R_2tFQdyN1oxSsZ6x","standard","5","LP","0.661783713916415","66.376","67.044","68.225","1.849","1.181","3","12"
"6","R_2tFQdyN1oxSsZ6x","standard","6","LP","8.51632916846187","69.241","77.766","78.824","9.583","1.058","3","15"
"7","R_2tFQdyN1oxSsZ6x","standard","7","LP","19.8235243429556","79.83","NaN","94.598","14.768","NaN","0","15"
"8","R_2tFQdyN1oxSsZ6x","standard","8","LP","30","95.614","NaN","109.551","13.937","NaN","0","15"
"9","R_2tFQdyN1oxSsZ6x","standard","9","LP","5.5010771219302","110.553","116.063","117.058","6.505","0.995","3","18"
"10","R_2tFQdyN1oxSsZ6x","standard","10","LP","13.0392072382594","118.063","NaN","128.564","10.501","NaN","0","18"
"11","R_2tFQdyN1oxSsZ6x","standard","11","LP","0.264713485566566","129.566","129.836","130.459","0.893","0.623","3","21"
"12","R_2tFQdyN1oxSsZ6x","standard","12","LP","0.264713485566566","131.464","131.73","132.316","0.852","0.586","3","24"
"13","R_2tFQdyN1oxSsZ6x","standard","13","LP","30","133.323","NaN","141.867","8.544","NaN","0","24"
"14","R_2tFQdyN1oxSsZ6x","standard","14","LP","5.5010771219302","142.873","148.382","149.184","6.311","0.802","3","27"
"15","R_2tFQdyN1oxSsZ6x","standard","15","LP","1.25738905644119","150.19","151.448","152.506","2.316","1.058","3","30"
"16","R_2tFQdyN1oxSsZ6x","standard","16","LP","13.0392072382594","153.51","NaN","164.546","11.036","NaN","0","30"
"17","R_2tFQdyN1oxSsZ6x","standard","17","LP","19.8235243429556","165.551","NaN","174.377","8.826","NaN","0","30"
"18","R_2tFQdyN1oxSsZ6x","standard","18","LP","0.264713485566566","175.39","175.674","176.629","1.239","0.955","3","33"
"19","R_2tFQdyN1oxSsZ6x","standard","19","LP","5.5010771219302","177.64","183.15","183.567","5.927","0.417","3","36"
"20","R_2tFQdyN1oxSsZ6x","standard","20","LP","30","184.582","NaN","193.05","8.468","NaN","0","36"
"21","R_2tFQdyN1oxSsZ6x","standard","21","LP","3.49090909090909","194.055","197.554","198.027","3.972","0.473","3","39"
"22","R_2tFQdyN1oxSsZ6x","standard","22","LP","19.8235243429556","199.031","NaN","210.525","11.494","NaN","0","39"
"23","R_2tFQdyN1oxSsZ6x","standard","23","LP","30","211.54","NaN","231.443","19.903","NaN","0","39"
"24","R_2tFQdyN1oxSsZ6x","standard","24","LP","30","232.476","NaN","239.394","6.918","NaN","0","39"
"25","R_2tFQdyN1oxSsZ6x","standard","25","LP","5.5010771219302","240.411","245.924","246.946","6.535","1.022","3","42"
"26","R_2tFQdyN1oxSsZ6x","standard","26","LP","8.51632916846187","247.956","256.481","256.906","8.95","0.425","3","45"
"27","R_2tFQdyN1oxSsZ6x","standard","27","LP","2.15079707022835","257.913","260.071","260.762","2.849","0.691","3","48"
"28","R_2tFQdyN1oxSsZ6x","standard","28","LP","19.8235243429556","261.775","NaN","271.975","10.2","NaN","0","48"
"29","R_2tFQdyN1oxSsZ6x","standard","29","LP","30","273.021","NaN","286.752","13.731","NaN","0","48"
"30","R_2tFQdyN1oxSsZ6x","standard","30","LP","1.25738905644119","287.762","289.022","289.646","1.884","0.624","3","51"
