"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_2wMmREhFQknIyai","standard","1","LP","13.0392072382594","0","13.045","13.369","13.369","0.324","3","3"
"2","R_2wMmREhFQknIyai","standard","2","LP","30","14.379","44.385","44.758","30.379","0.373","3","6"
"3","R_2wMmREhFQknIyai","standard","3","LP","8.51632916846187","45.773","54.305","54.729","8.956","0.424","3","9"
"4","R_2wMmREhFQknIyai","standard","4","LP","1.25738905644119","55.746","57.014","57.484","1.738","0.47","3","12"
"5","R_2wMmREhFQknIyai","standard","5","LP","5.5010771219302","58.499","64.014","64.434","5.935","0.42","3","15"
"6","R_2wMmREhFQknIyai","standard","6","LP","0.264713485566566","65.441","65.719","66.09","0.649","0.371","3","18"
"7","R_2wMmREhFQknIyai","standard","7","LP","8.51632916846187","67.107","75.628","75.958","8.851","0.33","3","21"
"8","R_2wMmREhFQknIyai","standard","8","LP","13.0392072382594","76.964","90.005","90.371","13.407","0.366","3","24"
"9","R_2wMmREhFQknIyai","standard","9","LP","2.15079707022835","91.372","93.537","94","2.628","0.463","3","27"
"10","R_2wMmREhFQknIyai","standard","10","LP","0.661783713916415","95.011","95.676","96.033","1.022","0.357","3","30"
"11","R_2wMmREhFQknIyai","standard","11","LP","19.8235243429556","97.051","NaN","99.368","2.317","NaN","0","30"
"12","R_2wMmREhFQknIyai","standard","12","LP","3.49090909090909","100.379","103.881","104.482","4.103","0.601","3","33"
"13","R_2wMmREhFQknIyai","standard","13","LP","1.25738905644119","105.491","106.749","107.076","1.585","0.327","3","36"
"14","R_2wMmREhFQknIyai","standard","14","LP","1.25738905644119","108.085","109.354","109.753","1.668","0.399","3","39"
"15","R_2wMmREhFQknIyai","standard","15","LP","13.0392072382594","110.768","123.813","124.25","13.482","0.437","3","42"
"16","R_2wMmREhFQknIyai","standard","16","LP","5.5010771219302","125.254","130.762","131.223","5.969","0.461","3","45"
"17","R_2wMmREhFQknIyai","standard","17","LP","1.25738905644119","132.228","133.497","133.926","1.698","0.429","3","48"
"18","R_2wMmREhFQknIyai","standard","18","LP","5.5010771219302","134.932","140.434","140.868","5.936","0.434","3","51"
"19","R_2wMmREhFQknIyai","standard","19","LP","19.8235243429556","141.879","161.714","162.136","20.257","0.422","3","54"
"20","R_2wMmREhFQknIyai","standard","20","LP","3.49090909090909","163.144","166.638","167.122","3.978","0.484","3","57"
"21","R_2wMmREhFQknIyai","standard","21","LP","5.5010771219302","168.123","173.629","174.01","5.887","0.381","3","60"
"22","R_2wMmREhFQknIyai","standard","22","LP","0.661783713916415","175.014","175.68","176.145","1.131","0.465","3","63"
"23","R_2wMmREhFQknIyai","standard","23","LP","30","177.151","207.159","207.55","30.399","0.391","3","66"
"24","R_2wMmREhFQknIyai","standard","24","LP","2.15079707022835","208.558","210.709","211.105","2.547","0.396","3","69"
"25","R_2wMmREhFQknIyai","standard","25","LP","19.8235243429556","212.115","231.952","232.559","20.444","0.607","3","72"
"26","R_2wMmREhFQknIyai","standard","26","LP","0.264713485566566","233.575","233.853","234.303","0.728","0.45","3","75"
"27","R_2wMmREhFQknIyai","standard","27","LP","2.15079707022835","235.304","237.461","237.997","2.693","0.536","3","78"
