"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_2yemCPbKswT0oMG","standard","1","LP","19.8235243429556","0.001","NaN","16.656","16.655","NaN","0","0"
"2","R_2yemCPbKswT0oMG","standard","2","LP","1.25738905644119","17.658","18.923","19.455","1.797","0.532","3","3"
"3","R_2yemCPbKswT0oMG","standard","3","LP","19.8235243429556","20.471","NaN","32.566","12.095","NaN","0","3"
"4","R_2yemCPbKswT0oMG","standard","4","LP","0.264713485566566","33.567","33.839","34.269","0.702","0.43","3","6"
"5","R_2yemCPbKswT0oMG","standard","5","LP","1.25738905644119","35.272","36.535","36.997","1.725","0.462","3","9"
"6","R_2yemCPbKswT0oMG","standard","6","LP","13.0392072382594","38","NaN","45.789","7.789","NaN","0","9"
"7","R_2yemCPbKswT0oMG","standard","7","LP","1.25738905644119","46.792","48.056","48.357","1.565","0.301","3","12"
"8","R_2yemCPbKswT0oMG","standard","8","LP","3.49090909090909","49.359","52.856","53.269","3.91","0.413","3","15"
"9","R_2yemCPbKswT0oMG","standard","9","LP","0.264713485566566","54.282","54.551","55.021","0.739","0.47","3","18"
"10","R_2yemCPbKswT0oMG","standard","10","LP","8.51632916846187","56.023","NaN","63.022","6.999","NaN","0","18"
"11","R_2yemCPbKswT0oMG","standard","11","LP","0.661783713916415","64.023","64.699","64.989","0.966","0.29","3","21"
"12","R_2yemCPbKswT0oMG","standard","12","LP","5.5010771219302","65.991","71.505","71.933","5.942","0.428","3","24"
"13","R_2yemCPbKswT0oMG","standard","13","LP","0.661783713916415","72.936","73.599","73.95","1.014","0.351","3","27"
"14","R_2yemCPbKswT0oMG","standard","14","LP","8.51632916846187","74.96","NaN","81.981","7.021","NaN","0","27"
"15","R_2yemCPbKswT0oMG","standard","15","LP","0.661783713916415","82.983","83.645","83.955","0.972","0.31","3","30"
"16","R_2yemCPbKswT0oMG","standard","16","LP","30","84.957","NaN","91.684","6.727","NaN","0","30"
"17","R_2yemCPbKswT0oMG","standard","17","LP","3.49090909090909","92.685","96.181","96.523","3.838","0.342","3","33"
"18","R_2yemCPbKswT0oMG","standard","18","LP","1.25738905644119","97.524","98.789","99.123","1.599","0.334","3","36"
"19","R_2yemCPbKswT0oMG","standard","19","LP","13.0392072382594","100.124","NaN","109.444","9.32","NaN","0","36"
"20","R_2yemCPbKswT0oMG","standard","20","LP","19.8235243429556","110.445","NaN","120.787","10.342","NaN","0","36"
"21","R_2yemCPbKswT0oMG","standard","21","LP","2.15079707022835","121.789","123.941","124.323","2.534","0.382","3","39"
"22","R_2yemCPbKswT0oMG","standard","22","LP","3.49090909090909","125.326","128.821","129.267","3.941","0.446","3","42"
"23","R_2yemCPbKswT0oMG","standard","23","LP","13.0392072382594","130.269","NaN","137.052","6.783","NaN","0","42"
"24","R_2yemCPbKswT0oMG","standard","24","LP","13.0392072382594","138.053","NaN","147.458","9.405","NaN","0","42"
"25","R_2yemCPbKswT0oMG","standard","25","LP","2.15079707022835","148.461","150.612","151.018","2.557","0.406","3","45"
"26","R_2yemCPbKswT0oMG","standard","26","LP","5.5010771219302","152.02","157.524","157.906","5.886","0.382","3","48"
"27","R_2yemCPbKswT0oMG","standard","27","LP","30","158.91","NaN","169.186","10.276","NaN","0","48"
