"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_31L6dPoFjcm1YBg","standard","1","LP","30","0","NaN","12.345","12.345","NaN","0","0"
"2","R_31L6dPoFjcm1YBg","standard","2","LP","13.0392072382594","13.36","26.412","26.762","13.402","0.35","3","3"
"3","R_31L6dPoFjcm1YBg","standard","3","LP","8.51632916846187","27.767","36.287","40.092","12.325","3.805","3","6"
"4","R_31L6dPoFjcm1YBg","standard","4","LP","2.15079707022835","41.098","43.255","44.787","3.689","1.532","3","9"
"5","R_31L6dPoFjcm1YBg","standard","5","LP","0.661783713916415","45.791","46.459","48.24","2.449","1.781","3","12"
"6","R_31L6dPoFjcm1YBg","standard","6","LP","0.661783713916415","49.243","49.905","51.075","1.832","1.17","3","15"
"7","R_31L6dPoFjcm1YBg","standard","7","LP","0.661783713916415","52.092","52.758","53.448","1.356","0.69","3","18"
"8","R_31L6dPoFjcm1YBg","standard","8","LP","3.49090909090909","54.459","57.952","58.352","3.893","0.4","3","21"
"9","R_31L6dPoFjcm1YBg","standard","9","LP","2.15079707022835","59.358","61.518","61.915","2.557","0.397","3","24"
"10","R_31L6dPoFjcm1YBg","standard","10","LP","3.49090909090909","62.916","66.407","66.87","3.954","0.463","3","27"
"11","R_31L6dPoFjcm1YBg","standard","11","LP","19.8235243429556","67.885","NaN","76.766","8.881","NaN","0","27"
"12","R_31L6dPoFjcm1YBg","standard","12","LP","8.51632916846187","77.771","86.295","86.669","8.898","0.374","3","30"
"13","R_31L6dPoFjcm1YBg","standard","13","LP","30","87.67","NaN","98.526","10.856","NaN","0","30"
"14","R_31L6dPoFjcm1YBg","standard","14","LP","13.0392072382594","99.527","112.574","112.863","13.336","0.289","3","33"
"15","R_31L6dPoFjcm1YBg","standard","15","LP","19.8235243429556","113.871","NaN","123.003","9.132","NaN","0","33"
"16","R_31L6dPoFjcm1YBg","standard","16","LP","3.49090909090909","124.007","127.524","127.994","3.987","0.47","3","36"
"17","R_31L6dPoFjcm1YBg","standard","17","LP","0.661783713916415","129.003","129.671","130.022","1.019","0.351","3","39"
"18","R_31L6dPoFjcm1YBg","standard","18","LP","13.0392072382594","131.023","NaN","140.17","9.147","NaN","0","39"
"19","R_31L6dPoFjcm1YBg","standard","19","LP","30","141.175","NaN","150.716","9.541","NaN","0","39"
"20","R_31L6dPoFjcm1YBg","standard","20","LP","2.15079707022835","151.723","153.878","154.338","2.615","0.46","3","42"
"21","R_31L6dPoFjcm1YBg","standard","21","LP","5.5010771219302","155.343","160.847","161.207","5.864","0.36","3","45"
"22","R_31L6dPoFjcm1YBg","standard","22","LP","3.49090909090909","162.209","165.703","165.989","3.78","0.286","3","48"
"23","R_31L6dPoFjcm1YBg","standard","23","LP","0.661783713916415","166.992","167.655","168.57","1.578","0.915","3","51"
"24","R_31L6dPoFjcm1YBg","standard","24","LP","8.51632916846187","169.575","178.095","178.484","8.909","0.389","3","54"
"25","R_31L6dPoFjcm1YBg","standard","25","LP","3.49090909090909","179.486","182.983","183.358","3.872","0.375","3","57"
"26","R_31L6dPoFjcm1YBg","standard","26","LP","13.0392072382594","184.366","NaN","193.69","9.324","NaN","0","57"
"27","R_31L6dPoFjcm1YBg","standard","27","LP","13.0392072382594","194.706","NaN","204.793","10.087","NaN","0","57"
"28","R_31L6dPoFjcm1YBg","standard","28","LP","8.51632916846187","205.811","214.338","214.728","8.917","0.39","3","60"
"29","R_31L6dPoFjcm1YBg","standard","29","LP","0.661783713916415","215.738","216.406","216.701","0.963","0.295","3","63"
"30","R_31L6dPoFjcm1YBg","standard","30","LP","30","217.712","NaN","227.012","9.3","NaN","0","63"
"31","R_31L6dPoFjcm1YBg","standard","31","LP","2.15079707022835","228.018","230.18","230.582","2.564","0.402","3","66"
"32","R_31L6dPoFjcm1YBg","standard","32","LP","19.8235243429556","231.591","NaN","241.533","9.942","NaN","0","66"
"33","R_31L6dPoFjcm1YBg","standard","33","LP","2.15079707022835","242.535","244.686","245.057","2.522","0.371","3","69"
