"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_31ux0uZLZMMic2W","discrete","1","LP","19.8235243429556","0.001","NaN","8.83","8.829","NaN","0","0"
"2","R_31ux0uZLZMMic2W","discrete","2","LP","8.51632916846187","9.832","NaN","13.563","3.731","NaN","0","0"
"3","R_31ux0uZLZMMic2W","discrete","3","LP","13.0392072382594","14.568","NaN","18.27","3.702","NaN","0","0"
"4","R_31ux0uZLZMMic2W","discrete","4","LP","13.0392072382594","19.272","NaN","22.927","3.655","NaN","0","0"
"5","R_31ux0uZLZMMic2W","discrete","5","LP","2.15079707022835","23.928","26.081","26.808","2.88","0.727","3","3"
"6","R_31ux0uZLZMMic2W","discrete","6","LP","2.15079707022835","27.809","29.959","30.857","3.048","0.898","3","6"
"7","R_31ux0uZLZMMic2W","discrete","7","LP","1.25738905644119","31.863","33.128","33.439","1.576","0.311","3","9"
"8","R_31ux0uZLZMMic2W","discrete","8","LP","5.5010771219302","34.449","NaN","38.265","3.816","NaN","0","9"
"9","R_31ux0uZLZMMic2W","discrete","9","LP","3.49090909090909","39.273","42.768","42.957","3.684","0.189","3","12"
"10","R_31ux0uZLZMMic2W","discrete","10","LP","3.49090909090909","43.961","NaN","46.479","2.518","NaN","0","12"
"11","R_31ux0uZLZMMic2W","discrete","11","LP","19.8235243429556","47.481","NaN","49.891","2.41","NaN","0","12"
"12","R_31ux0uZLZMMic2W","discrete","12","LP","13.0392072382594","50.897","NaN","53.185","2.288","NaN","0","12"
"13","R_31ux0uZLZMMic2W","discrete","13","LP","8.51632916846187","54.192","NaN","56.567","2.375","NaN","0","12"
"14","R_31ux0uZLZMMic2W","discrete","14","LP","30","57.568","NaN","59.872","2.304","NaN","0","12"
"15","R_31ux0uZLZMMic2W","discrete","15","LP","19.8235243429556","60.88","NaN","63.27","2.39","NaN","0","12"
"16","R_31ux0uZLZMMic2W","discrete","16","LP","3.49090909090909","64.272","NaN","66.671","2.399","NaN","0","12"
"17","R_31ux0uZLZMMic2W","discrete","17","LP","2.15079707022835","67.673","NaN","68.275","0.602","NaN","0","12"
"18","R_31ux0uZLZMMic2W","discrete","18","LP","8.51632916846187","69.28","NaN","69.789","0.509","NaN","0","12"
"19","R_31ux0uZLZMMic2W","discrete","19","LP","2.15079707022835","70.792","NaN","71.307","0.515","NaN","0","12"
"20","R_31ux0uZLZMMic2W","discrete","20","LP","0.264713485566566","72.312","72.584","72.853","0.541","0.269","3","15"
"21","R_31ux0uZLZMMic2W","discrete","21","LP","1.25738905644119","73.857","NaN","74.367","0.51","NaN","0","15"
"22","R_31ux0uZLZMMic2W","discrete","22","LP","5.5010771219302","75.369","NaN","75.848","0.479","NaN","0","15"
"23","R_31ux0uZLZMMic2W","discrete","23","LP","2.15079707022835","76.857","NaN","77.844","0.987","NaN","0","15"
"24","R_31ux0uZLZMMic2W","discrete","24","LP","0.661783713916415","78.849","79.512","79.821","0.972","0.309","3","18"
"25","R_31ux0uZLZMMic2W","discrete","25","LP","0.264713485566566","80.822","81.089","81.455","0.633","0.366","3","21"
"26","R_31ux0uZLZMMic2W","discrete","26","LP","1.25738905644119","82.456","NaN","83.333","0.877","NaN","0","21"
"27","R_31ux0uZLZMMic2W","discrete","27","LP","3.49090909090909","84.336","NaN","85.164","0.828","NaN","0","21"
"28","R_31ux0uZLZMMic2W","discrete","28","LP","19.8235243429556","86.168","NaN","87.042","0.874","NaN","0","21"
"29","R_31ux0uZLZMMic2W","discrete","29","LP","0.661783713916415","88.048","88.713","88.894","0.846","0.181","3","24"
"30","R_31ux0uZLZMMic2W","discrete","30","LP","13.0392072382594","89.896","NaN","90.708","0.812","NaN","0","24"
"31","R_31ux0uZLZMMic2W","discrete","31","LP","2.15079707022835","91.713","NaN","92.561","0.848","NaN","0","24"
"32","R_31ux0uZLZMMic2W","discrete","32","LP","0.661783713916415","93.568","94.233","94.338","0.77","0.105","3","27"
"33","R_31ux0uZLZMMic2W","discrete","33","LP","30","95.344","NaN","96.188","0.844","NaN","0","27"
"34","R_31ux0uZLZMMic2W","discrete","34","LP","19.8235243429556","97.192","NaN","98.17","0.978","NaN","0","27"
"35","R_31ux0uZLZMMic2W","discrete","35","LP","5.5010771219302","99.177","NaN","100.151","0.974","NaN","0","27"
"36","R_31ux0uZLZMMic2W","discrete","36","LP","0.661783713916415","101.16","101.825","102.101","0.941","0.276","3","30"
"37","R_31ux0uZLZMMic2W","discrete","37","LP","0.661783713916415","103.104","103.769","103.968","0.864","0.199","3","33"
"38","R_31ux0uZLZMMic2W","discrete","38","LP","5.5010771219302","104.976","NaN","105.841","0.865","NaN","0","33"
"39","R_31ux0uZLZMMic2W","discrete","39","LP","1.25738905644119","106.848","NaN","107.654","0.806","NaN","0","33"
"40","R_31ux0uZLZMMic2W","discrete","40","LP","19.8235243429556","108.658","NaN","109.527","0.869","NaN","0","33"
"41","R_31ux0uZLZMMic2W","discrete","41","LP","3.49090909090909","110.529","NaN","111.374","0.845","NaN","0","33"
"42","R_31ux0uZLZMMic2W","discrete","42","LP","5.5010771219302","112.376","NaN","113.304","0.928","NaN","0","33"
"43","R_31ux0uZLZMMic2W","discrete","43","LP","5.5010771219302","114.305","NaN","115.156","0.851","NaN","0","33"
"44","R_31ux0uZLZMMic2W","discrete","44","LP","0.264713485566566","116.16","116.433","116.939","0.779","0.506","3","36"
"45","R_31ux0uZLZMMic2W","discrete","45","LP","30","117.945","NaN","118.792","0.847","NaN","0","36"
"46","R_31ux0uZLZMMic2W","discrete","46","LP","8.51632916846187","119.8","NaN","120.757","0.957","NaN","0","36"
"47","R_31ux0uZLZMMic2W","discrete","47","LP","1.25738905644119","121.761","NaN","122.651","0.89","NaN","0","36"
"48","R_31ux0uZLZMMic2W","discrete","48","LP","3.49090909090909","123.656","NaN","124.655","0.999","NaN","0","36"
"49","R_31ux0uZLZMMic2W","discrete","49","LP","5.5010771219302","125.656","NaN","126.652","0.996","NaN","0","36"
"50","R_31ux0uZLZMMic2W","discrete","50","LP","0.264713485566566","127.657","127.929","128.566","0.909","0.637","3","39"
"51","R_31ux0uZLZMMic2W","discrete","51","LP","5.5010771219302","129.568","NaN","130.238","0.67","NaN","0","39"
"52","R_31ux0uZLZMMic2W","discrete","52","LP","0.264713485566566","131.24","131.504","132.139","0.899","0.635","3","42"
"53","R_31ux0uZLZMMic2W","discrete","53","LP","0.661783713916415","133.146","133.808","134.064","0.918","0.256","3","45"
"54","R_31ux0uZLZMMic2W","discrete","54","LP","13.0392072382594","135.072","NaN","135.95","0.878","NaN","0","45"
"55","R_31ux0uZLZMMic2W","discrete","55","LP","30","136.953","NaN","137.789","0.836","NaN","0","45"
"56","R_31ux0uZLZMMic2W","discrete","56","LP","3.49090909090909","138.792","NaN","139.625","0.833","NaN","0","45"
"57","R_31ux0uZLZMMic2W","discrete","57","LP","30","140.632","NaN","141.528","0.896","NaN","0","45"
"58","R_31ux0uZLZMMic2W","discrete","58","LP","8.51632916846187","142.536","NaN","143.458","0.922","NaN","0","45"
"59","R_31ux0uZLZMMic2W","discrete","59","LP","0.264713485566566","144.464","144.737","145.302","0.838","0.565","3","48"
"60","R_31ux0uZLZMMic2W","discrete","60","LP","2.15079707022835","146.304","NaN","147.192","0.888","NaN","0","48"
"61","R_31ux0uZLZMMic2W","discrete","61","LP","19.8235243429556","148.202","NaN","149.071","0.869","NaN","0","48"
"62","R_31ux0uZLZMMic2W","discrete","62","LP","2.15079707022835","150.074","NaN","150.895","0.821","NaN","0","48"
"63","R_31ux0uZLZMMic2W","discrete","63","LP","3.49090909090909","151.898","NaN","152.798","0.9","NaN","0","48"
"64","R_31ux0uZLZMMic2W","discrete","64","LP","13.0392072382594","153.801","NaN","154.695","0.894","NaN","0","48"
"65","R_31ux0uZLZMMic2W","discrete","65","LP","8.51632916846187","155.696","NaN","156.62","0.924","NaN","0","48"
"66","R_31ux0uZLZMMic2W","discrete","66","LP","2.15079707022835","157.624","NaN","158.562","0.938","NaN","0","48"
"67","R_31ux0uZLZMMic2W","discrete","67","LP","19.8235243429556","159.568","NaN","160.493","0.925","NaN","0","48"
"68","R_31ux0uZLZMMic2W","discrete","68","LP","2.15079707022835","161.497","NaN","162.417","0.92","NaN","0","48"
"69","R_31ux0uZLZMMic2W","discrete","69","LP","3.49090909090909","163.423","NaN","164.325","0.902","NaN","0","48"
"70","R_31ux0uZLZMMic2W","discrete","70","LP","3.49090909090909","165.329","NaN","166.201","0.872","NaN","0","48"
"71","R_31ux0uZLZMMic2W","discrete","71","LP","13.0392072382594","167.209","NaN","168.218","1.009","NaN","0","48"
"72","R_31ux0uZLZMMic2W","discrete","72","LP","2.15079707022835","169.222","NaN","170.252","1.03","NaN","0","48"
"73","R_31ux0uZLZMMic2W","discrete","73","LP","3.49090909090909","171.257","NaN","172.053","0.796","NaN","0","48"
"74","R_31ux0uZLZMMic2W","discrete","74","LP","5.5010771219302","173.057","NaN","173.928","0.871","NaN","0","48"
"75","R_31ux0uZLZMMic2W","discrete","75","LP","8.51632916846187","174.937","NaN","175.636","0.699","NaN","0","48"
"76","R_31ux0uZLZMMic2W","discrete","76","LP","13.0392072382594","176.641","NaN","177.53","0.889","NaN","0","48"
"77","R_31ux0uZLZMMic2W","discrete","77","LP","30","178.537","NaN","179.472","0.935","NaN","0","48"
"78","R_31ux0uZLZMMic2W","discrete","78","LP","2.15079707022835","180.481","NaN","181.402","0.921","NaN","0","48"
"79","R_31ux0uZLZMMic2W","discrete","79","LP","19.8235243429556","182.411","NaN","183.314","0.903","NaN","0","48"
"80","R_31ux0uZLZMMic2W","discrete","80","LP","19.8235243429556","184.322","NaN","185.327","1.005","NaN","0","48"
"81","R_31ux0uZLZMMic2W","discrete","81","LP","8.51632916846187","186.329","NaN","187.214","0.885","NaN","0","48"
"82","R_31ux0uZLZMMic2W","discrete","82","LP","0.661783713916415","188.218","188.88","189.166","0.948","0.286","3","51"
"83","R_31ux0uZLZMMic2W","discrete","83","LP","13.0392072382594","190.169","NaN","191.177","1.008","NaN","0","51"
"84","R_31ux0uZLZMMic2W","discrete","84","LP","0.264713485566566","192.184","192.457","193.03","0.846","0.573","3","54"
"85","R_31ux0uZLZMMic2W","discrete","85","LP","0.264713485566566","194.033","194.305","194.799","0.766","0.494","3","57"
"86","R_31ux0uZLZMMic2W","discrete","86","LP","3.49090909090909","195.801","NaN","196.67","0.869","NaN","0","57"
"87","R_31ux0uZLZMMic2W","discrete","87","LP","1.25738905644119","197.673","NaN","198.519","0.846","NaN","0","57"
"88","R_31ux0uZLZMMic2W","discrete","88","LP","5.5010771219302","199.521","NaN","200.353","0.832","NaN","0","57"
"89","R_31ux0uZLZMMic2W","discrete","89","LP","13.0392072382594","201.36","NaN","202.125","0.765","NaN","0","57"
"90","R_31ux0uZLZMMic2W","discrete","90","LP","13.0392072382594","203.126","NaN","204.048","0.922","NaN","0","57"
"91","R_31ux0uZLZMMic2W","discrete","91","LP","1.25738905644119","205.057","NaN","206.089","1.032","NaN","0","57"
"92","R_31ux0uZLZMMic2W","discrete","92","LP","0.661783713916415","207.096","207.761","208.043","0.947","0.282","3","60"
"93","R_31ux0uZLZMMic2W","discrete","93","LP","3.49090909090909","209.048","NaN","210.041","0.993","NaN","0","60"
"94","R_31ux0uZLZMMic2W","discrete","94","LP","30","211.048","NaN","212.05","1.002","NaN","0","60"
