"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_31zwbb5g73znURJ","standard","1","LP","2.15079707022835","0.001","2.156","2.566","2.565","0.41","3","3"
"2","R_31zwbb5g73znURJ","standard","2","LP","0.661783713916415","3.572","4.236","4.709","1.137","0.473","3","6"
"3","R_31zwbb5g73znURJ","standard","3","LP","8.51632916846187","5.716","NaN","10.181","4.465","NaN","0","6"
"4","R_31zwbb5g73znURJ","standard","4","LP","19.8235243429556","11.188","NaN","23.685","12.497","NaN","0","6"
"5","R_31zwbb5g73znURJ","standard","5","LP","13.0392072382594","24.692","37.733","38.326","13.634","0.593","3","9"
"6","R_31zwbb5g73znURJ","standard","6","LP","30","39.333","69.341","69.766","30.433","0.425","3","12"
"7","R_31zwbb5g73znURJ","standard","7","LP","5.5010771219302","70.773","76.277","76.725","5.952","0.448","3","15"
"8","R_31zwbb5g73znURJ","standard","8","LP","5.5010771219302","77.733","83.237","83.718","5.985","0.481","3","18"
"9","R_31zwbb5g73znURJ","standard","9","LP","0.661783713916415","84.726","85.39","86.838","2.112","1.448","3","21"
"10","R_31zwbb5g73znURJ","standard","10","LP","3.49090909090909","87.845","91.339","91.766","3.921","0.427","3","24"
"11","R_31zwbb5g73znURJ","standard","11","LP","1.25738905644119","92.774","94.038","94.422","1.648","0.384","3","27"
"12","R_31zwbb5g73znURJ","standard","12","LP","13.0392072382594","95.43","NaN","101.19","5.76","NaN","0","27"
"13","R_31zwbb5g73znURJ","standard","13","LP","13.0392072382594","102.198","115.238","115.702","13.504","0.464","3","30"
"14","R_31zwbb5g73znURJ","standard","14","LP","3.49090909090909","116.711","120.206","120.709","3.998","0.503","3","33"
"15","R_31zwbb5g73znURJ","standard","15","LP","13.0392072382594","121.71","NaN","128.566","6.856","NaN","0","33"
"16","R_31zwbb5g73znURJ","standard","16","LP","13.0392072382594","129.574","NaN","135.813","6.239","NaN","0","33"
"17","R_31zwbb5g73znURJ","standard","17","LP","13.0392072382594","136.814","149.854","150.31","13.496","0.456","3","36"
"18","R_31zwbb5g73znURJ","standard","18","LP","1.25738905644119","151.311","152.574","153.381","2.07","0.807","3","39"
"19","R_31zwbb5g73znURJ","standard","19","LP","3.49090909090909","154.382","157.878","158.374","3.992","0.496","3","42"
"20","R_31zwbb5g73znURJ","standard","20","LP","1.25738905644119","159.382","160.646","161.221","1.839","0.575","3","45"
"21","R_31zwbb5g73znURJ","standard","21","LP","1.25738905644119","162.23","163.494","163.957","1.727","0.463","3","48"
"22","R_31zwbb5g73znURJ","standard","22","LP","19.8235243429556","164.958","184.782","185.397","20.439","0.615","3","51"
"23","R_31zwbb5g73znURJ","standard","23","LP","3.49090909090909","186.398","189.894","190.405","4.007","0.511","3","54"
"24","R_31zwbb5g73znURJ","standard","24","LP","5.5010771219302","191.406","196.91","197.445","6.039","0.535","3","57"
"25","R_31zwbb5g73znURJ","standard","25","LP","0.264713485566566","198.448","198.718","199.573","1.125","0.855","3","60"
"26","R_31zwbb5g73znURJ","standard","26","LP","0.264713485566566","200.573","200.846","201.317","0.744","0.471","3","63"
"27","R_31zwbb5g73znURJ","standard","27","LP","19.8235243429556","202.317","NaN","212.614","10.297","NaN","0","63"
"28","R_31zwbb5g73znURJ","standard","28","LP","13.0392072382594","213.615","NaN","220.55","6.935","NaN","0","63"
"29","R_31zwbb5g73znURJ","standard","29","LP","8.51632916846187","221.551","230.071","230.502","8.951","0.431","3","66"
