"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_3DjsVsvH6eIIDWx","discrete","1","LP","2.15079707022835","0","2.163","2.703","2.703","0.54","3","3"
"2","R_3DjsVsvH6eIIDWx","discrete","2","LP","5.5010771219302","3.711","9.272","9.682","5.971","0.41","3","6"
"3","R_3DjsVsvH6eIIDWx","discrete","3","LP","3.49090909090909","10.69","14.199","14.979","4.289","0.78","3","9"
"4","R_3DjsVsvH6eIIDWx","discrete","4","LP","19.8235243429556","16.003","NaN","30.721","14.718","NaN","0","9"
"5","R_3DjsVsvH6eIIDWx","discrete","5","LP","19.8235243429556","31.723","NaN","45.824","14.101","NaN","0","9"
"6","R_3DjsVsvH6eIIDWx","discrete","6","LP","0.661783713916415","46.831","47.502","47.835","1.004","0.333","3","12"
"7","R_3DjsVsvH6eIIDWx","discrete","7","LP","13.0392072382594","48.843","NaN","53.712","4.869","NaN","0","12"
"8","R_3DjsVsvH6eIIDWx","discrete","8","LP","0.264713485566566","54.717","55.003","55.57","0.853","0.567","3","15"
"9","R_3DjsVsvH6eIIDWx","discrete","9","LP","30","56.587","NaN","62.855","6.268","NaN","0","15"
"10","R_3DjsVsvH6eIIDWx","discrete","10","LP","0.264713485566566","63.867","64.139","64.485","0.618","0.346","3","18"
"11","R_3DjsVsvH6eIIDWx","discrete","11","LP","2.15079707022835","65.499","67.653","68.198","2.699","0.545","3","21"
"12","R_3DjsVsvH6eIIDWx","discrete","12","LP","1.25738905644119","69.218","70.48","70.885","1.667","0.405","3","24"
"13","R_3DjsVsvH6eIIDWx","discrete","13","LP","0.264713485566566","71.9","72.187","74.739","2.839","2.552","3","27"
"14","R_3DjsVsvH6eIIDWx","discrete","14","LP","3.49090909090909","75.748","79.248","79.69","3.942","0.442","3","30"
"15","R_3DjsVsvH6eIIDWx","discrete","15","LP","30","80.703","NaN","90.595","9.892","NaN","0","30"
"16","R_3DjsVsvH6eIIDWx","discrete","16","LP","0.661783713916415","91.601","92.269","93.047","1.446","0.778","3","33"
"17","R_3DjsVsvH6eIIDWx","discrete","17","LP","3.49090909090909","94.056","98.272","98.566","4.51","0.294","3","36"
"18","R_3DjsVsvH6eIIDWx","discrete","18","LP","13.0392072382594","99.58","NaN","109.508","9.928","NaN","0","36"
"19","R_3DjsVsvH6eIIDWx","discrete","19","LP","0.264713485566566","110.511","110.783","111.269","0.758","0.486","3","39"
"20","R_3DjsVsvH6eIIDWx","discrete","20","LP","13.0392072382594","112.284","126.28","126.685","14.401","0.405","3","42"
"21","R_3DjsVsvH6eIIDWx","discrete","21","LP","19.8235243429556","127.707","NaN","137.549","9.842","NaN","0","42"
"22","R_3DjsVsvH6eIIDWx","discrete","22","LP","5.5010771219302","138.569","144.282","144.675","6.106","0.393","3","45"
"23","R_3DjsVsvH6eIIDWx","discrete","23","LP","0.264713485566566","145.684","145.971","146.687","1.003","0.716","3","48"
"24","R_3DjsVsvH6eIIDWx","discrete","24","LP","1.25738905644119","147.695","148.971","149.322","1.627","0.351","3","51"
"25","R_3DjsVsvH6eIIDWx","discrete","25","LP","30","151.281","NaN","157.872","6.591","NaN","0","51"
"26","R_3DjsVsvH6eIIDWx","discrete","26","LP","8.51632916846187","158.887","NaN","165.6","6.713","NaN","0","51"
"27","R_3DjsVsvH6eIIDWx","discrete","27","LP","3.49090909090909","166.607","170.108","170.558","3.951","0.45","3","54"
"28","R_3DjsVsvH6eIIDWx","discrete","28","LP","2.15079707022835","171.578","173.735","174.077","2.499","0.342","3","57"
"29","R_3DjsVsvH6eIIDWx","discrete","29","LP","0.661783713916415","175.095","176.279","176.589","1.494","0.31","3","60"
"30","R_3DjsVsvH6eIIDWx","discrete","30","LP","3.49090909090909","177.604","181.103","181.437","3.833","0.334","3","63"
"31","R_3DjsVsvH6eIIDWx","discrete","31","LP","1.25738905644119","183.281","185.271","185.636","2.355","0.365","3","66"
"32","R_3DjsVsvH6eIIDWx","discrete","32","LP","2.15079707022835","186.645","188.802","189.105","2.46","0.303","3","69"
"33","R_3DjsVsvH6eIIDWx","discrete","33","LP","3.49090909090909","190.115","194.28","194.679","4.564","0.399","3","72"
"34","R_3DjsVsvH6eIIDWx","discrete","34","LP","8.51632916846187","195.685","NaN","202.592","6.907","NaN","0","72"
"35","R_3DjsVsvH6eIIDWx","discrete","35","LP","0.264713485566566","203.606","203.877","204.362","0.756","0.485","3","75"
"36","R_3DjsVsvH6eIIDWx","discrete","36","LP","30","205.38","NaN","211.679","6.299","NaN","0","75"
"37","R_3DjsVsvH6eIIDWx","discrete","37","LP","13.0392072382594","212.693","NaN","219.577","6.884","NaN","0","75"
"38","R_3DjsVsvH6eIIDWx","discrete","38","LP","30","220.591","NaN","226.904","6.313","NaN","0","75"
"39","R_3DjsVsvH6eIIDWx","discrete","39","LP","5.5010771219302","227.924","NaN","231.879","3.955","NaN","0","75"
"40","R_3DjsVsvH6eIIDWx","discrete","40","LP","0.661783713916415","232.9","233.571","233.95","1.05","0.379","3","78"
"41","R_3DjsVsvH6eIIDWx","discrete","41","LP","13.0392072382594","234.958","NaN","239.293","4.335","NaN","0","78"
"42","R_3DjsVsvH6eIIDWx","discrete","42","LP","8.51632916846187","240.315","NaN","246.771","6.456","NaN","0","78"
"43","R_3DjsVsvH6eIIDWx","discrete","43","LP","0.264713485566566","247.786","248.058","248.493","0.707","0.435","3","81"
"44","R_3DjsVsvH6eIIDWx","discrete","44","LP","5.5010771219302","249.515","255.276","255.633","6.118","0.357","3","84"
"45","R_3DjsVsvH6eIIDWx","discrete","45","LP","19.8235243429556","256.647","NaN","263.63","6.983","NaN","0","84"
"46","R_3DjsVsvH6eIIDWx","discrete","46","LP","19.8235243429556","264.636","NaN","271.596","6.96","NaN","0","84"
"47","R_3DjsVsvH6eIIDWx","discrete","47","LP","30","272.603","NaN","276.652","4.049","NaN","0","84"
"48","R_3DjsVsvH6eIIDWx","discrete","48","LP","30","277.669","NaN","284.691","7.022","NaN","0","84"
"49","R_3DjsVsvH6eIIDWx","discrete","49","LP","30","285.692","NaN","292.578","6.886","NaN","0","84"
"50","R_3DjsVsvH6eIIDWx","discrete","50","LP","30","293.584","NaN","302.82","9.236","NaN","0","84"
"51","R_3DjsVsvH6eIIDWx","discrete","51","LP","0.661783713916415","303.832","304.501","305.074","1.242","0.573","3","87"
"52","R_3DjsVsvH6eIIDWx","discrete","52","LP","2.15079707022835","306.08","308.283","308.641","2.561","0.358","3","90"
"53","R_3DjsVsvH6eIIDWx","discrete","53","LP","30","309.653","NaN","316.592","6.939","NaN","0","90"
"54","R_3DjsVsvH6eIIDWx","discrete","54","LP","3.49090909090909","317.605","321.115","321.773","4.168","0.658","3","93"
"55","R_3DjsVsvH6eIIDWx","discrete","55","LP","13.0392072382594","322.788","NaN","329.612","6.824","NaN","0","93"
"56","R_3DjsVsvH6eIIDWx","discrete","56","LP","13.0392072382594","330.614","NaN","337.59","6.976","NaN","0","93"
"57","R_3DjsVsvH6eIIDWx","discrete","57","LP","1.25738905644119","338.608","339.871","340.266","1.658","0.395","3","96"
"58","R_3DjsVsvH6eIIDWx","discrete","58","LP","5.5010771219302","341.275","347.276","347.663","6.388","0.387","3","99"
"59","R_3DjsVsvH6eIIDWx","discrete","59","LP","2.15079707022835","348.683","350.836","351.248","2.565","0.412","3","102"
"60","R_3DjsVsvH6eIIDWx","discrete","60","LP","13.0392072382594","352.256","NaN","358.657","6.401","NaN","0","102"
"61","R_3DjsVsvH6eIIDWx","discrete","61","LP","5.5010771219302","359.666","365.273","365.728","6.062","0.455","3","105"
"62","R_3DjsVsvH6eIIDWx","discrete","62","LP","8.51632916846187","366.742","375.284","376.143","9.401","0.859","3","108"
"63","R_3DjsVsvH6eIIDWx","discrete","63","LP","19.8235243429556","377.153","NaN","383.651","6.498","NaN","0","108"
"64","R_3DjsVsvH6eIIDWx","discrete","64","LP","3.49090909090909","384.662","388.163","388.72","4.058","0.557","3","111"
"65","R_3DjsVsvH6eIIDWx","discrete","65","LP","1.25738905644119","389.729","390.992","391.367","1.638","0.375","3","114"
"66","R_3DjsVsvH6eIIDWx","discrete","66","LP","1.25738905644119","392.376","393.638","394.411","2.035","0.773","3","117"
"67","R_3DjsVsvH6eIIDWx","discrete","67","LP","19.8235243429556","395.422","NaN","399.359","3.937","NaN","0","117"
"68","R_3DjsVsvH6eIIDWx","discrete","68","LP","2.15079707022835","400.371","402.526","403.113","2.742","0.587","3","120"
"69","R_3DjsVsvH6eIIDWx","discrete","69","LP","1.25738905644119","404.113","406.27","406.675","2.562","0.405","3","123"
"70","R_3DjsVsvH6eIIDWx","discrete","70","LP","30","407.691","NaN","411.639","3.948","NaN","0","123"
"71","R_3DjsVsvH6eIIDWx","discrete","71","LP","0.264713485566566","412.659","412.929","413.483","0.824","0.554","3","126"
"72","R_3DjsVsvH6eIIDWx","discrete","72","LP","0.661783713916415","414.497","415.167","415.634","1.137","0.467","3","129"
"73","R_3DjsVsvH6eIIDWx","discrete","73","LP","3.49090909090909","416.639","420.269","420.585","3.946","0.316","3","132"
"74","R_3DjsVsvH6eIIDWx","discrete","74","LP","13.0392072382594","421.592","NaN","425.604","4.012","NaN","0","132"
"75","R_3DjsVsvH6eIIDWx","discrete","75","LP","13.0392072382594","426.605","NaN","430.654","4.049","NaN","0","132"
"76","R_3DjsVsvH6eIIDWx","discrete","76","LP","0.264713485566566","431.67","431.942","432.385","0.715","0.443","3","135"
