"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_3Du6MJv1GZjmIMo","standard","1","LP","3.49090909090909","0.001","3.495","5.717","5.716","2.222","3","3"
"2","R_3Du6MJv1GZjmIMo","standard","2","LP","2.15079707022835","6.72","8.887","19.333","12.613","10.446","3","6"
"3","R_3Du6MJv1GZjmIMo","standard","3","LP","3.49090909090909","20.354","23.861","24.35","3.996","0.489","3","9"
"4","R_3Du6MJv1GZjmIMo","standard","4","LP","0.264713485566566","25.357","25.643","26.423","1.066","0.78","3","12"
"5","R_3Du6MJv1GZjmIMo","standard","5","LP","13.0392072382594","27.43","40.49","41.074","13.644","0.584","3","15"
"6","R_3Du6MJv1GZjmIMo","standard","6","LP","5.5010771219302","42.089","47.607","48.194","6.105","0.587","3","18"
"7","R_3Du6MJv1GZjmIMo","standard","7","LP","8.51632916846187","49.204","57.722","58.084","8.88","0.362","3","21"
"8","R_3Du6MJv1GZjmIMo","standard","8","LP","1.25738905644119","59.093","60.357","61.162","2.069","0.805","3","24"
"9","R_3Du6MJv1GZjmIMo","standard","9","LP","5.5010771219302","62.165","67.672","67.993","5.828","0.321","3","27"
"10","R_3Du6MJv1GZjmIMo","standard","10","LP","30","69.004","NaN","89.106","20.102","NaN","0","27"
"11","R_3Du6MJv1GZjmIMo","standard","11","LP","5.5010771219302","90.121","95.625","96.089","5.968","0.464","3","30"
"12","R_3Du6MJv1GZjmIMo","standard","12","LP","30","97.101","NaN","107.613","10.512","NaN","0","30"
"13","R_3Du6MJv1GZjmIMo","standard","13","LP","13.0392072382594","108.617","121.666","122.192","13.575","0.526","3","33"
"14","R_3Du6MJv1GZjmIMo","standard","14","LP","0.661783713916415","123.199","123.865","124.431","1.232","0.566","3","36"
"15","R_3Du6MJv1GZjmIMo","standard","15","LP","19.8235243429556","125.45","145.281","151.875","26.425","6.594","3","39"
"16","R_3Du6MJv1GZjmIMo","standard","16","LP","5.5010771219302","152.877","158.394","158.984","6.107","0.59","3","42"
"17","R_3Du6MJv1GZjmIMo","standard","17","LP","0.264713485566566","159.994","160.261","161.029","1.035","0.768","3","45"
"18","R_3Du6MJv1GZjmIMo","standard","18","LP","8.51632916846187","162.04","170.561","170.957","8.917","0.396","3","48"
"19","R_3Du6MJv1GZjmIMo","standard","19","LP","0.661783713916415","171.978","172.645","173.214","1.236","0.569","3","51"
"20","R_3Du6MJv1GZjmIMo","standard","20","LP","13.0392072382594","174.228","NaN","180.646","6.418","NaN","0","51"
"21","R_3Du6MJv1GZjmIMo","standard","21","LP","13.0392072382594","181.657","194.72","195.181","13.524","0.461","3","54"
"22","R_3Du6MJv1GZjmIMo","standard","22","LP","13.0392072382594","196.193","209.238","209.66","13.467","0.422","3","57"
"23","R_3Du6MJv1GZjmIMo","standard","23","LP","13.0392072382594","210.673","223.721","224.219","13.546","0.498","3","60"
"24","R_3Du6MJv1GZjmIMo","standard","24","LP","30","225.222","255.223","255.636","30.414","0.413","3","63"
"25","R_3Du6MJv1GZjmIMo","standard","25","LP","13.0392072382594","256.652","269.698","271.047","14.395","1.349","3","66"
"26","R_3Du6MJv1GZjmIMo","standard","26","LP","2.15079707022835","272.051","274.214","275.386","3.335","1.172","3","69"
"27","R_3Du6MJv1GZjmIMo","standard","27","LP","13.0392072382594","276.388","289.449","289.873","13.485","0.424","3","72"
"28","R_3Du6MJv1GZjmIMo","standard","28","LP","30","290.877","320.893","321.316","30.439","0.423","3","75"
"29","R_3Du6MJv1GZjmIMo","standard","29","LP","5.5010771219302","322.328","327.838","328.708","6.38","0.87","3","78"
"30","R_3Du6MJv1GZjmIMo","standard","30","LP","3.49090909090909","329.712","333.21","339.097","9.385","5.887","3","81"
"31","R_3Du6MJv1GZjmIMo","standard","31","LP","3.49090909090909","340.108","343.604","344.428","4.32","0.824","3","84"
"32","R_3Du6MJv1GZjmIMo","standard","32","LP","5.5010771219302","345.429","350.941","351.402","5.973","0.461","3","87"
"33","R_3Du6MJv1GZjmIMo","standard","33","LP","0.264713485566566","352.406","352.69","355.101","2.695","2.411","3","90"
"34","R_3Du6MJv1GZjmIMo","standard","34","LP","19.8235243429556","356.125","375.956","376.872","20.747","0.916","3","93"
"35","R_3Du6MJv1GZjmIMo","standard","35","LP","1.25738905644119","377.887","379.156","380.533","2.646","1.377","3","96"
"36","R_3Du6MJv1GZjmIMo","standard","36","LP","2.15079707022835","381.543","383.703","385.147","3.604","1.444","3","99"
"37","R_3Du6MJv1GZjmIMo","standard","37","LP","3.49090909090909","386.149","389.652","390.667","4.518","1.015","3","102"
