"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_3EWM6hxYK9WZmCf","discrete","1","LP","0.264713485566566","0","0.27","13.842","13.842","13.572","3","3"
"2","R_3EWM6hxYK9WZmCf","discrete","2","LP","13.0392072382594","14.848","27.894","28.281","13.433","0.387","3","6"
"3","R_3EWM6hxYK9WZmCf","discrete","3","LP","2.15079707022835","29.287","31.438","32.689","3.402","1.251","3","9"
"4","R_3EWM6hxYK9WZmCf","discrete","4","LP","0.264713485566566","33.694","33.967","34.498","0.804","0.531","3","12"
"5","R_3EWM6hxYK9WZmCf","discrete","5","LP","1.25738905644119","35.502","36.766","37.154","1.652","0.388","3","15"
"6","R_3EWM6hxYK9WZmCf","discrete","6","LP","3.49090909090909","38.158","41.654","42.066","3.908","0.412","3","18"
"7","R_3EWM6hxYK9WZmCf","discrete","7","LP","30","43.072","NaN","63.546","20.474","NaN","0","18"
"8","R_3EWM6hxYK9WZmCf","discrete","8","LP","8.51632916846187","64.55","NaN","65.546","0.996","NaN","0","18"
"9","R_3EWM6hxYK9WZmCf","discrete","9","LP","0.661783713916415","66.55","67.216","67.674","1.124","0.458","3","21"
"10","R_3EWM6hxYK9WZmCf","discrete","10","LP","1.25738905644119","68.679","69.937","70.409","1.73","0.472","3","24"
"11","R_3EWM6hxYK9WZmCf","discrete","11","LP","3.49090909090909","71.415","74.91","75.37","3.955","0.46","3","27"
"12","R_3EWM6hxYK9WZmCf","discrete","12","LP","0.264713485566566","76.373","76.647","77.225","0.852","0.578","3","30"
"13","R_3EWM6hxYK9WZmCf","discrete","13","LP","19.8235243429556","78.23","NaN","87.418","9.188","NaN","0","30"
"14","R_3EWM6hxYK9WZmCf","discrete","14","LP","1.25738905644119","88.422","89.686","90.225","1.803","0.539","3","33"
"15","R_3EWM6hxYK9WZmCf","discrete","15","LP","8.51632916846187","91.229","99.75","100.25","9.021","0.5","3","36"
"16","R_3EWM6hxYK9WZmCf","discrete","16","LP","1.25738905644119","101.253","102.517","103.009","1.756","0.492","3","39"
"17","R_3EWM6hxYK9WZmCf","discrete","17","LP","1.25738905644119","104.013","105.278","105.649","1.636","0.371","3","42"
"18","R_3EWM6hxYK9WZmCf","discrete","18","LP","8.51632916846187","106.654","NaN","108.712","2.058","NaN","0","42"
"19","R_3EWM6hxYK9WZmCf","discrete","19","LP","13.0392072382594","109.717","NaN","118.817","9.1","NaN","0","42"
"20","R_3EWM6hxYK9WZmCf","discrete","20","LP","19.8235243429556","119.821","NaN","133.577","13.756","NaN","0","42"
"21","R_3EWM6hxYK9WZmCf","discrete","21","LP","0.661783713916415","134.588","135.255","135.729","1.141","0.474","3","45"
"22","R_3EWM6hxYK9WZmCf","discrete","22","LP","0.264713485566566","136.734","137.005","137.481","0.747","0.476","3","48"
"23","R_3EWM6hxYK9WZmCf","discrete","23","LP","2.15079707022835","138.485","140.646","141.089","2.604","0.443","3","51"
"24","R_3EWM6hxYK9WZmCf","discrete","24","LP","5.5010771219302","142.093","147.597","148.057","5.964","0.46","3","54"
"25","R_3EWM6hxYK9WZmCf","discrete","25","LP","1.25738905644119","149.062","150.326","150.753","1.691","0.427","3","57"
"26","R_3EWM6hxYK9WZmCf","discrete","26","LP","8.51632916846187","151.757","160.278","160.753","8.996","0.475","3","60"
"27","R_3EWM6hxYK9WZmCf","discrete","27","LP","1.25738905644119","161.758","163.022","163.514","1.756","0.492","3","63"
"28","R_3EWM6hxYK9WZmCf","discrete","28","LP","30","164.518","194.521","194.954","30.436","0.433","3","66"
"29","R_3EWM6hxYK9WZmCf","discrete","29","LP","1.25738905644119","195.958","197.221","197.601","1.643","0.38","3","69"
"30","R_3EWM6hxYK9WZmCf","discrete","30","LP","5.5010771219302","198.607","204.11","204.537","5.93","0.427","3","72"
"31","R_3EWM6hxYK9WZmCf","discrete","31","LP","13.0392072382594","205.541","NaN","211.538","5.997","NaN","0","72"
"32","R_3EWM6hxYK9WZmCf","discrete","32","LP","3.49090909090909","212.541","NaN","214","1.459","NaN","0","72"
"33","R_3EWM6hxYK9WZmCf","discrete","33","LP","19.8235243429556","215.005","NaN","217.385","2.38","NaN","0","72"
"34","R_3EWM6hxYK9WZmCf","discrete","34","LP","8.51632916846187","218.39","226.909","227.297","8.907","0.388","3","75"
"35","R_3EWM6hxYK9WZmCf","discrete","35","LP","3.49090909090909","228.301","NaN","229.393","1.092","NaN","0","75"
"36","R_3EWM6hxYK9WZmCf","discrete","36","LP","0.661783713916415","230.398","231.061","231.473","1.075","0.412","3","78"
"37","R_3EWM6hxYK9WZmCf","discrete","37","LP","8.51632916846187","232.477","NaN","238.537","6.06","NaN","0","78"
"38","R_3EWM6hxYK9WZmCf","discrete","38","LP","30","239.541","NaN","241.897","2.356","NaN","0","78"
"39","R_3EWM6hxYK9WZmCf","discrete","39","LP","0.264713485566566","242.902","243.173","243.657","0.755","0.484","3","81"
"40","R_3EWM6hxYK9WZmCf","discrete","40","LP","0.661783713916415","244.662","245.325","245.776","1.114","0.451","3","84"
"41","R_3EWM6hxYK9WZmCf","discrete","41","LP","0.264713485566566","246.781","247.053","247.449","0.668","0.396","3","87"
"42","R_3EWM6hxYK9WZmCf","discrete","42","LP","30","248.453","NaN","257.697","9.244","NaN","0","87"
"43","R_3EWM6hxYK9WZmCf","discrete","43","LP","0.264713485566566","258.702","258.973","259.401","0.699","0.428","3","90"
"44","R_3EWM6hxYK9WZmCf","discrete","44","LP","0.264713485566566","260.403","260.687","261.049","0.646","0.362","3","93"
"45","R_3EWM6hxYK9WZmCf","discrete","45","LP","5.5010771219302","262.053","267.557","268.097","6.044","0.54","3","96"
"46","R_3EWM6hxYK9WZmCf","discrete","46","LP","13.0392072382594","269.222","NaN","275.233","6.011","NaN","0","96"
"47","R_3EWM6hxYK9WZmCf","discrete","47","LP","5.5010771219302","276.237","NaN","276.954","0.717","NaN","0","96"
"48","R_3EWM6hxYK9WZmCf","discrete","48","LP","30","277.957","NaN","282.194","4.237","NaN","0","96"
"49","R_3EWM6hxYK9WZmCf","discrete","49","LP","0.264713485566566","283.197","283.47","284.018","0.821","0.548","3","99"
"50","R_3EWM6hxYK9WZmCf","discrete","50","LP","13.0392072382594","285.022","NaN","285.49","0.468","NaN","0","99"
"51","R_3EWM6hxYK9WZmCf","discrete","51","LP","1.25738905644119","286.494","NaN","287.466","0.972","NaN","0","99"
"52","R_3EWM6hxYK9WZmCf","discrete","52","LP","30","288.469","NaN","289.074","0.605","NaN","0","99"
"53","R_3EWM6hxYK9WZmCf","discrete","53","LP","19.8235243429556","290.077","NaN","290.714","0.637","NaN","0","99"
"54","R_3EWM6hxYK9WZmCf","discrete","54","LP","0.661783713916415","291.718","292.382","292.938","1.22","0.556","3","102"
"55","R_3EWM6hxYK9WZmCf","discrete","55","LP","0.661783713916415","293.941","294.606","295.05","1.109","0.444","3","105"
"56","R_3EWM6hxYK9WZmCf","discrete","56","LP","8.51632916846187","296.055","NaN","297.874","1.819","NaN","0","105"
"57","R_3EWM6hxYK9WZmCf","discrete","57","LP","13.0392072382594","298.877","NaN","301.322","2.445","NaN","0","105"
"58","R_3EWM6hxYK9WZmCf","discrete","58","LP","13.0392072382594","302.325","NaN","306.098","3.773","NaN","0","105"
"59","R_3EWM6hxYK9WZmCf","discrete","59","LP","0.661783713916415","307.102","307.765","308.258","1.156","0.493","3","108"
"60","R_3EWM6hxYK9WZmCf","discrete","60","LP","8.51632916846187","309.261","317.782","318.202","8.941","0.42","3","111"
"61","R_3EWM6hxYK9WZmCf","discrete","61","LP","8.51632916846187","319.207","NaN","324.962","5.755","NaN","0","111"
"62","R_3EWM6hxYK9WZmCf","discrete","62","LP","8.51632916846187","325.965","NaN","326.954","0.989","NaN","0","111"
"63","R_3EWM6hxYK9WZmCf","discrete","63","LP","8.51632916846187","327.958","NaN","331.85","3.892","NaN","0","111"
"64","R_3EWM6hxYK9WZmCf","discrete","64","LP","1.25738905644119","332.853","334.118","334.682","1.829","0.564","3","114"
"65","R_3EWM6hxYK9WZmCf","discrete","65","LP","13.0392072382594","335.685","NaN","344.627","8.942","NaN","0","114"
"66","R_3EWM6hxYK9WZmCf","discrete","66","LP","30","345.63","NaN","358.923","13.293","NaN","0","114"
"67","R_3EWM6hxYK9WZmCf","discrete","67","LP","0.264713485566566","359.925","360.198","360.761","0.836","0.563","3","117"
"68","R_3EWM6hxYK9WZmCf","discrete","68","LP","2.15079707022835","361.766","NaN","362.954","1.188","NaN","0","117"
