"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_3Hug3ppKMTLYyhD","standard","1","LP","0.661783713916415","0","0.664","1.391","1.391","0.727","3","3"
"2","R_3Hug3ppKMTLYyhD","standard","2","LP","0.264713485566566","2.4","2.671","3.216","0.816","0.545","3","6"
"3","R_3Hug3ppKMTLYyhD","standard","3","LP","2.15079707022835","4.216","6.368","6.991","2.775","0.623","3","9"
"4","R_3Hug3ppKMTLYyhD","standard","4","LP","19.8235243429556","7.991","27.823","28.544","20.553","0.721","3","12"
"5","R_3Hug3ppKMTLYyhD","standard","5","LP","0.264713485566566","29.551","29.822","30.856","1.305","1.034","3","15"
"6","R_3Hug3ppKMTLYyhD","standard","6","LP","19.8235243429556","31.864","51.688","52.793","20.929","1.105","3","18"
"7","R_3Hug3ppKMTLYyhD","standard","7","LP","0.661783713916415","53.799","54.462","55.281","1.482","0.819","3","21"
"8","R_3Hug3ppKMTLYyhD","standard","8","LP","5.5010771219302","56.289","61.793","62.577","6.288","0.784","3","24"
"9","R_3Hug3ppKMTLYyhD","standard","9","LP","3.49090909090909","63.593","67.088","67.85","4.257","0.762","3","27"
"10","R_3Hug3ppKMTLYyhD","standard","10","LP","1.25738905644119","68.856","70.121","71.314","2.458","1.193","3","30"
"11","R_3Hug3ppKMTLYyhD","standard","11","LP","2.15079707022835","72.32","74.473","75.286","2.966","0.813","3","33"
"12","R_3Hug3ppKMTLYyhD","standard","12","LP","0.264713485566566","76.288","76.552","77.314","1.026","0.762","3","36"
"13","R_3Hug3ppKMTLYyhD","standard","13","LP","19.8235243429556","78.321","98.145","98.811","20.49","0.666","3","39"
"14","R_3Hug3ppKMTLYyhD","standard","14","LP","13.0392072382594","99.824","112.865","113.524","13.7","0.659","3","42"
"15","R_3Hug3ppKMTLYyhD","standard","15","LP","30","114.527","144.528","145.18","30.653","0.652","3","45"
"16","R_3Hug3ppKMTLYyhD","standard","16","LP","13.0392072382594","146.184","159.233","159.916","13.732","0.683","3","48"
"17","R_3Hug3ppKMTLYyhD","standard","17","LP","3.49090909090909","160.92","164.417","165.131","4.211","0.714","3","51"
"18","R_3Hug3ppKMTLYyhD","standard","18","LP","13.0392072382594","166.136","179.177","179.813","13.677","0.636","3","54"
"19","R_3Hug3ppKMTLYyhD","standard","19","LP","13.0392072382594","180.825","193.864","194.573","13.748","0.709","3","57"
"20","R_3Hug3ppKMTLYyhD","standard","20","LP","0.264713485566566","195.577","195.849","196.741","1.164","0.892","3","60"
"21","R_3Hug3ppKMTLYyhD","standard","21","LP","30","197.745","227.753","228.358","30.613","0.605","3","63"
"22","R_3Hug3ppKMTLYyhD","standard","22","LP","1.25738905644119","229.361","230.62","231.382","2.021","0.762","3","66"
"23","R_3Hug3ppKMTLYyhD","standard","23","LP","30","232.385","262.392","262.431","30.046","0.039","3","69"
"24","R_3Hug3ppKMTLYyhD","standard","24","LP","13.0392072382594","263.432","276.473","277.192","13.76","0.719","3","72"
"25","R_3Hug3ppKMTLYyhD","standard","25","LP","2.15079707022835","278.201","280.352","281.089","2.888","0.737","3","75"
"26","R_3Hug3ppKMTLYyhD","standard","26","LP","8.51632916846187","282.097","290.616","291.399","9.302","0.783","3","78"
"27","R_3Hug3ppKMTLYyhD","standard","27","LP","8.51632916846187","292.4","300.92","301.666","9.266","0.746","3","81"
"28","R_3Hug3ppKMTLYyhD","standard","28","LP","1.25738905644119","302.675","303.943","304.673","1.998","0.73","3","84"
"29","R_3Hug3ppKMTLYyhD","standard","29","LP","13.0392072382594","305.68","318.721","319.44","13.76","0.719","3","87"
"30","R_3Hug3ppKMTLYyhD","standard","30","LP","0.661783713916415","320.44","321.105","321.887","1.447","0.782","3","90"
"31","R_3Hug3ppKMTLYyhD","standard","31","LP","13.0392072382594","322.889","335.928","336.625","13.736","0.697","3","93"
"32","R_3Hug3ppKMTLYyhD","standard","32","LP","3.49090909090909","337.633","341.128","341.9","4.267","0.772","3","96"
"33","R_3Hug3ppKMTLYyhD","standard","33","LP","8.51632916846187","342.904","351.424","352.146","9.242","0.722","3","99"
"34","R_3Hug3ppKMTLYyhD","standard","34","LP","13.0392072382594","353.151","366.193","366.948","13.797","0.755","3","102"
"35","R_3Hug3ppKMTLYyhD","standard","35","LP","13.0392072382594","367.953","380.993","381.715","13.762","0.722","3","105"
"36","R_3Hug3ppKMTLYyhD","standard","36","LP","3.49090909090909","382.721","386.212","387.05","4.329","0.838","3","108"
"37","R_3Hug3ppKMTLYyhD","standard","37","LP","13.0392072382594","388.057","401.105","401.867","13.81","0.762","3","111"
"38","R_3Hug3ppKMTLYyhD","standard","38","LP","1.25738905644119","402.869","404.129","404.995","2.126","0.866","3","114"
"39","R_3Hug3ppKMTLYyhD","standard","39","LP","0.661783713916415","406.01","406.673","407.386","1.376","0.713","3","117"
"40","R_3Hug3ppKMTLYyhD","standard","40","LP","2.15079707022835","408.393","410.544","411.339","2.946","0.795","3","120"
"41","R_3Hug3ppKMTLYyhD","standard","41","LP","1.25738905644119","412.339","413.6","414.315","1.976","0.715","3","123"
"42","R_3Hug3ppKMTLYyhD","standard","42","LP","3.49090909090909","415.321","418.824","419.537","4.216","0.713","3","126"
"43","R_3Hug3ppKMTLYyhD","standard","43","LP","5.5010771219302","420.545","426.049","426.717","6.172","0.668","3","129"
"44","R_3Hug3ppKMTLYyhD","standard","44","LP","1.25738905644119","427.721","428.985","429.613","1.892","0.628","3","132"
"45","R_3Hug3ppKMTLYyhD","standard","45","LP","19.8235243429556","430.617","450.44","451.15","20.533","0.71","3","135"
"46","R_3Hug3ppKMTLYyhD","standard","46","LP","8.51632916846187","452.151","460.673","461.399","9.248","0.726","3","138"
"47","R_3Hug3ppKMTLYyhD","standard","47","LP","5.5010771219302","462.415","467.921","468.63","6.215","0.709","3","141"
"48","R_3Hug3ppKMTLYyhD","standard","48","LP","13.0392072382594","469.633","482.672","483.38","13.747","0.708","3","144"
"49","R_3Hug3ppKMTLYyhD","standard","49","LP","19.8235243429556","484.385","504.209","504.962","20.577","0.753","3","147"
"50","R_3Hug3ppKMTLYyhD","standard","50","LP","0.661783713916415","505.962","506.624","507.415","1.453","0.791","3","150"
"51","R_3Hug3ppKMTLYyhD","standard","51","LP","13.0392072382594","508.418","521.462","522.183","13.765","0.721","3","153"
"52","R_3Hug3ppKMTLYyhD","standard","52","LP","5.5010771219302","523.185","528.688","529.397","6.212","0.709","3","156"
"53","R_3Hug3ppKMTLYyhD","standard","53","LP","8.51632916846187","530.401","538.918","539.607","9.206","0.689","3","159"
"54","R_3Hug3ppKMTLYyhD","standard","54","LP","30","540.622","570.623","571.32","30.698","0.697","3","162"
"55","R_3Hug3ppKMTLYyhD","standard","55","LP","19.8235243429556","572.367","592.2","592.943","20.576","0.743","3","165"
"56","R_3Hug3ppKMTLYyhD","standard","56","LP","2.15079707022835","593.951","596.106","596.849","2.898","0.743","3","168"
"57","R_3Hug3ppKMTLYyhD","standard","57","LP","19.8235243429556","597.856","617.681","618.434","20.578","0.753","3","171"
"58","R_3Hug3ppKMTLYyhD","standard","58","LP","19.8235243429556","619.44","639.265","640.218","20.778","0.953","3","174"
"59","R_3Hug3ppKMTLYyhD","standard","59","LP","13.0392072382594","641.225","654.286","655.026","13.801","0.74","3","177"
"60","R_3Hug3ppKMTLYyhD","standard","60","LP","3.49090909090909","656.026","659.519","660.265","4.239","0.746","3","180"
"61","R_3Hug3ppKMTLYyhD","standard","61","LP","19.8235243429556","661.272","681.104","681.813","20.541","0.709","3","183"
"62","R_3Hug3ppKMTLYyhD","standard","62","LP","19.8235243429556","682.822","702.647","703.366","20.544","0.719","3","186"
"63","R_3Hug3ppKMTLYyhD","standard","63","LP","5.5010771219302","704.368","709.907","710.651","6.283","0.744","3","189"
"64","R_3Hug3ppKMTLYyhD","standard","64","LP","8.51632916846187","711.656","720.177","720.913","9.257","0.736","3","192"
"65","R_3Hug3ppKMTLYyhD","standard","65","LP","19.8235243429556","721.921","741.744","742.53","20.609","0.786","3","195"
"66","R_3Hug3ppKMTLYyhD","standard","66","LP","3.49090909090909","743.537","747.033","747.787","4.25","0.754","3","198"
"67","R_3Hug3ppKMTLYyhD","standard","67","LP","19.8235243429556","748.792","768.617","769.315","20.523","0.698","3","201"
"68","R_3Hug3ppKMTLYyhD","standard","68","LP","13.0392072382594","770.321","783.36","784.115","13.794","0.755","3","204"
