"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_3J2cED0KslC4BcY","discrete","1","LP","0.264713485566566","0.001","0.272","1.049","1.048","0.777","3","3"
"2","R_3J2cED0KslC4BcY","discrete","2","LP","2.15079707022835","2.054","4.213","4.803","2.749","0.59","3","6"
"3","R_3J2cED0KslC4BcY","discrete","3","LP","2.15079707022835","5.818","7.984","8.488","2.67","0.504","3","9"
"4","R_3J2cED0KslC4BcY","discrete","4","LP","0.264713485566566","9.494","9.766","10.553","1.059","0.787","3","12"
"5","R_3J2cED0KslC4BcY","discrete","5","LP","1.25738905644119","11.558","NaN","12.251","0.693","NaN","0","12"
"6","R_3J2cED0KslC4BcY","discrete","6","LP","0.264713485566566","13.268","13.537","13.851","0.583","0.314","3","15"
"7","R_3J2cED0KslC4BcY","discrete","7","LP","13.0392072382594","14.883","27.937","28.554","13.671","0.617","3","18"
"8","R_3J2cED0KslC4BcY","discrete","8","LP","2.15079707022835","29.566","31.716","32.298","2.732","0.582","3","21"
"9","R_3J2cED0KslC4BcY","discrete","9","LP","3.49090909090909","33.315","36.815","37.384","4.069","0.569","3","24"
"10","R_3J2cED0KslC4BcY","discrete","10","LP","30","38.398","68.404","68.899","30.501","0.495","3","27"
"11","R_3J2cED0KslC4BcY","discrete","11","LP","8.51632916846187","69.912","78.431","78.979","9.067","0.548","3","30"
"12","R_3J2cED0KslC4BcY","discrete","12","LP","5.5010771219302","79.994","85.509","86.056","6.062","0.547","3","33"
"13","R_3J2cED0KslC4BcY","discrete","13","LP","13.0392072382594","87.062","100.11","100.738","13.676","0.628","3","36"
"14","R_3J2cED0KslC4BcY","discrete","14","LP","1.25738905644119","101.74","103.009","103.832","2.092","0.823","3","39"
"15","R_3J2cED0KslC4BcY","discrete","15","LP","2.15079707022835","104.835","106.995","107.951","3.116","0.956","3","42"
"16","R_3J2cED0KslC4BcY","discrete","16","LP","13.0392072382594","108.961","122.016","122.617","13.656","0.601","3","45"
"17","R_3J2cED0KslC4BcY","discrete","17","LP","1.25738905644119","123.62","124.893","125.574","1.954","0.681","3","48"
"18","R_3J2cED0KslC4BcY","discrete","18","LP","0.264713485566566","126.592","126.86","127.511","0.919","0.651","3","51"
"19","R_3J2cED0KslC4BcY","discrete","19","LP","3.49090909090909","128.512","132.007","132.569","4.057","0.562","3","54"
"20","R_3J2cED0KslC4BcY","discrete","20","LP","0.264713485566566","133.577","133.844","134.513","0.936","0.669","3","57"
"21","R_3J2cED0KslC4BcY","discrete","21","LP","8.51632916846187","135.516","144.036","144.682","9.166","0.646","3","60"
"22","R_3J2cED0KslC4BcY","discrete","22","LP","0.264713485566566","145.692","145.975","146.623","0.931","0.648","3","63"
"23","R_3J2cED0KslC4BcY","discrete","23","LP","8.51632916846187","147.628","156.148","156.746","9.118","0.598","3","66"
"24","R_3J2cED0KslC4BcY","discrete","24","LP","0.264713485566566","157.758","158.023","158.942","1.184","0.919","3","69"
"25","R_3J2cED0KslC4BcY","discrete","25","LP","19.8235243429556","159.959","179.805","180.331","20.372","0.526","3","72"
"26","R_3J2cED0KslC4BcY","discrete","26","LP","0.661783713916415","181.332","182.01","182.778","1.446","0.768","3","75"
"27","R_3J2cED0KslC4BcY","discrete","27","LP","5.5010771219302","183.79","189.368","189.912","6.122","0.544","3","78"
"28","R_3J2cED0KslC4BcY","discrete","28","LP","13.0392072382594","190.916","203.971","204.491","13.575","0.52","3","81"
"29","R_3J2cED0KslC4BcY","discrete","29","LP","3.49090909090909","205.507","209.004","209.617","4.11","0.613","3","84"
"30","R_3J2cED0KslC4BcY","discrete","30","LP","30","210.62","240.62","241.168","30.548","0.548","3","87"
"31","R_3J2cED0KslC4BcY","discrete","31","LP","19.8235243429556","242.17","262.002","262.551","20.381","0.549","3","90"
"32","R_3J2cED0KslC4BcY","discrete","32","LP","30","263.553","293.566","294.088","30.535","0.522","3","93"
"33","R_3J2cED0KslC4BcY","discrete","33","LP","0.264713485566566","295.101","295.384","296.521","1.42","1.137","3","96"
"34","R_3J2cED0KslC4BcY","discrete","34","LP","8.51632916846187","297.529","NaN","299.184","1.655","NaN","0","96"
"35","R_3J2cED0KslC4BcY","discrete","35","LP","0.264713485566566","300.2","300.467","301.385","1.185","0.918","3","99"
"36","R_3J2cED0KslC4BcY","discrete","36","LP","0.264713485566566","302.4","302.667","303.474","1.074","0.807","3","102"
"37","R_3J2cED0KslC4BcY","discrete","37","LP","0.264713485566566","304.486","304.754","305.417","0.931","0.663","3","105"
"38","R_3J2cED0KslC4BcY","discrete","38","LP","0.264713485566566","306.417","306.684","307.297","0.88","0.613","3","108"
"39","R_3J2cED0KslC4BcY","discrete","39","LP","0.264713485566566","308.299","308.585","309.185","0.886","0.6","3","111"
