"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_3J7TAVztFWdes0F","discrete","1","LP","3.49090909090909","0.001","NaN","1.103","1.102","NaN","0","0"
"2","R_3J7TAVztFWdes0F","discrete","2","LP","1.25738905644119","2.105","3.371","4.504","2.399","1.133","3","3"
"3","R_3J7TAVztFWdes0F","discrete","3","LP","30","5.51","NaN","7.975","2.465","NaN","0","3"
"4","R_3J7TAVztFWdes0F","discrete","4","LP","8.51632916846187","8.984","NaN","12.793","3.809","NaN","0","3"
"5","R_3J7TAVztFWdes0F","discrete","5","LP","19.8235243429556","13.795","NaN","23.505","9.71","NaN","0","3"
"6","R_3J7TAVztFWdes0F","discrete","6","LP","5.5010771219302","24.511","30.013","32.685","8.174","2.672","3","6"
"7","R_3J7TAVztFWdes0F","discrete","7","LP","8.51632916846187","33.691","NaN","33.872","0.181","NaN","0","6"
"8","R_3J7TAVztFWdes0F","discrete","8","LP","0.661783713916415","34.874","35.54","38.61","3.736","3.07","3","9"
"9","R_3J7TAVztFWdes0F","discrete","9","LP","2.15079707022835","39.613","41.771","45.521","5.908","3.75","3","12"
"10","R_3J7TAVztFWdes0F","discrete","10","LP","1.25738905644119","46.523","47.787","55.385","8.862","7.598","3","15"
"11","R_3J7TAVztFWdes0F","discrete","11","LP","30","56.386","NaN","60.179","3.793","NaN","0","15"
"12","R_3J7TAVztFWdes0F","discrete","12","LP","8.51632916846187","61.187","69.709","70.585","9.398","0.876","3","18"
"13","R_3J7TAVztFWdes0F","discrete","13","LP","30","71.599","NaN","75.296","3.697","NaN","0","18"
"14","R_3J7TAVztFWdes0F","discrete","14","LP","0.264713485566566","76.298","76.564","80.139","3.841","3.575","3","21"
"15","R_3J7TAVztFWdes0F","discrete","15","LP","0.661783713916415","81.146","81.814","87.238","6.092","5.424","3","24"
"16","R_3J7TAVztFWdes0F","discrete","16","LP","1.25738905644119","88.24","89.507","92.762","4.522","3.255","3","27"
"17","R_3J7TAVztFWdes0F","discrete","17","LP","5.5010771219302","93.763","99.266","99.334","5.571","0.068","3","30"
"18","R_3J7TAVztFWdes0F","discrete","18","LP","30","100.337","NaN","103.899","3.562","NaN","0","30"
"19","R_3J7TAVztFWdes0F","discrete","19","LP","19.8235243429556","104.901","NaN","110.931","6.03","NaN","0","30"
"20","R_3J7TAVztFWdes0F","discrete","20","LP","19.8235243429556","111.937","NaN","120.963","9.026","NaN","0","30"
"21","R_3J7TAVztFWdes0F","discrete","21","LP","0.264713485566566","121.965","122.234","135.417","13.452","13.183","3","33"
"22","R_3J7TAVztFWdes0F","discrete","22","LP","2.15079707022835","136.42","138.58","145.453","9.033","6.873","3","36"
"23","R_3J7TAVztFWdes0F","discrete","23","LP","19.8235243429556","146.461","NaN","163.069","16.608","NaN","0","36"
"24","R_3J7TAVztFWdes0F","discrete","24","LP","0.661783713916415","164.075","164.741","166.501","2.426","1.76","3","39"
"25","R_3J7TAVztFWdes0F","discrete","25","LP","13.0392072382594","167.513","180.554","181.518","14.005","0.964","3","42"
"26","R_3J7TAVztFWdes0F","discrete","26","LP","3.49090909090909","182.522","186.015","186.773","4.251","0.758","3","45"
"27","R_3J7TAVztFWdes0F","discrete","27","LP","13.0392072382594","187.774","200.818","201.718","13.944","0.9","3","48"
"28","R_3J7TAVztFWdes0F","discrete","28","LP","2.15079707022835","202.723","204.882","205.878","3.155","0.996","3","51"
"29","R_3J7TAVztFWdes0F","discrete","29","LP","5.5010771219302","206.882","212.385","213.263","6.381","0.878","3","54"
"30","R_3J7TAVztFWdes0F","discrete","30","LP","30","214.267","244.268","245.02","30.753","0.752","3","57"
"31","R_3J7TAVztFWdes0F","discrete","31","LP","19.8235243429556","246.026","NaN","260.234","14.208","NaN","0","57"
"32","R_3J7TAVztFWdes0F","discrete","32","LP","19.8235243429556","261.236","NaN","275.898","14.662","NaN","0","57"
"33","R_3J7TAVztFWdes0F","discrete","33","LP","0.264713485566566","276.899","277.17","278.049","1.15","0.879","3","60"
