"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_3JaAx1PkYOxeU7R","discrete","1","LP","19.8235243429556","0","NaN","14.338","14.338","NaN","0","0"
"2","R_3JaAx1PkYOxeU7R","discrete","2","LP","2.15079707022835","15.344","17.496","17.908","2.564","0.412","3","3"
"3","R_3JaAx1PkYOxeU7R","discrete","3","LP","19.8235243429556","18.91","NaN","35.389","16.479","NaN","0","3"
"4","R_3JaAx1PkYOxeU7R","discrete","4","LP","3.49090909090909","36.392","39.888","40.308","3.916","0.42","3","6"
"5","R_3JaAx1PkYOxeU7R","discrete","5","LP","0.264713485566566","41.312","41.584","43.718","2.406","2.134","3","9"
"6","R_3JaAx1PkYOxeU7R","discrete","6","LP","3.49090909090909","44.72","48.21","48.887","4.167","0.677","3","12"
"7","R_3JaAx1PkYOxeU7R","discrete","7","LP","0.264713485566566","49.896","50.167","50.77","0.874","0.603","3","15"
"8","R_3JaAx1PkYOxeU7R","discrete","8","LP","1.25738905644119","51.776","53.04","53.506","1.73","0.466","3","18"
"9","R_3JaAx1PkYOxeU7R","discrete","9","LP","30","54.508","NaN","64.007","9.499","NaN","0","18"
"10","R_3JaAx1PkYOxeU7R","discrete","10","LP","19.8235243429556","65.011","NaN","74.097","9.086","NaN","0","18"
"11","R_3JaAx1PkYOxeU7R","discrete","11","LP","3.49090909090909","75.104","78.599","78.908","3.804","0.309","3","21"
"12","R_3JaAx1PkYOxeU7R","discrete","12","LP","30","79.912","NaN","85.858","5.946","NaN","0","21"
"13","R_3JaAx1PkYOxeU7R","discrete","13","LP","1.25738905644119","86.864","88.128","88.527","1.663","0.399","3","24"
"14","R_3JaAx1PkYOxeU7R","discrete","14","LP","0.661783713916415","89.528","90.192","90.546","1.018","0.354","3","27"
"15","R_3JaAx1PkYOxeU7R","discrete","15","LP","1.25738905644119","91.552","92.81","93.443","1.891","0.633","3","30"
"16","R_3JaAx1PkYOxeU7R","discrete","16","LP","2.15079707022835","94.448","96.6","96.948","2.5","0.348","3","33"
"17","R_3JaAx1PkYOxeU7R","discrete","17","LP","8.51632916846187","97.951","NaN","104.207","6.256","NaN","0","33"
"18","R_3JaAx1PkYOxeU7R","discrete","18","LP","1.25738905644119","105.208","106.472","106.795","1.587","0.323","3","36"
"19","R_3JaAx1PkYOxeU7R","discrete","19","LP","8.51632916846187","107.8","NaN","111.852","4.052","NaN","0","36"
"20","R_3JaAx1PkYOxeU7R","discrete","20","LP","0.661783713916415","112.856","113.519","113.982","1.126","0.463","3","39"
"21","R_3JaAx1PkYOxeU7R","discrete","21","LP","13.0392072382594","114.984","NaN","120.952","5.968","NaN","0","39"
"22","R_3JaAx1PkYOxeU7R","discrete","22","LP","0.264713485566566","121.96","122.232","122.695","0.735","0.463","3","42"
"23","R_3JaAx1PkYOxeU7R","discrete","23","LP","8.51632916846187","123.696","NaN","129.65","5.954","NaN","0","42"
"24","R_3JaAx1PkYOxeU7R","discrete","24","LP","2.15079707022835","130.656","132.81","133.13","2.474","0.32","3","45"
"25","R_3JaAx1PkYOxeU7R","discrete","25","LP","19.8235243429556","134.135","NaN","140.147","6.012","NaN","0","45"
"26","R_3JaAx1PkYOxeU7R","discrete","26","LP","30","141.152","NaN","147.149","5.997","NaN","0","45"
"27","R_3JaAx1PkYOxeU7R","discrete","27","LP","5.5010771219302","148.152","NaN","152.026","3.874","NaN","0","45"
"28","R_3JaAx1PkYOxeU7R","discrete","28","LP","2.15079707022835","153.032","155.184","155.598","2.566","0.414","3","48"
"29","R_3JaAx1PkYOxeU7R","discrete","29","LP","5.5010771219302","156.6","NaN","160.616","4.016","NaN","0","48"
"30","R_3JaAx1PkYOxeU7R","discrete","30","LP","1.25738905644119","161.619","162.88","163.29","1.671","0.41","3","51"
"31","R_3JaAx1PkYOxeU7R","discrete","31","LP","0.661783713916415","164.296","164.96","165.359","1.063","0.399","3","54"
"32","R_3JaAx1PkYOxeU7R","discrete","32","LP","19.8235243429556","166.368","NaN","172.196","5.828","NaN","0","54"
"33","R_3JaAx1PkYOxeU7R","discrete","33","LP","0.264713485566566","173.2","173.472","174.003","0.803","0.531","3","57"
"34","R_3JaAx1PkYOxeU7R","discrete","34","LP","13.0392072382594","175.008","NaN","179.035","4.027","NaN","0","57"
"35","R_3JaAx1PkYOxeU7R","discrete","35","LP","1.25738905644119","180.04","181.303","181.646","1.606","0.343","3","60"
"36","R_3JaAx1PkYOxeU7R","discrete","36","LP","0.264713485566566","182.648","182.919","183.487","0.839","0.568","3","63"
"37","R_3JaAx1PkYOxeU7R","discrete","37","LP","19.8235243429556","184.496","NaN","190.801","6.305","NaN","0","63"
"38","R_3JaAx1PkYOxeU7R","discrete","38","LP","1.25738905644119","191.808","193.072","193.375","1.567","0.303","3","66"
"39","R_3JaAx1PkYOxeU7R","discrete","39","LP","0.264713485566566","194.376","194.648","195.008","0.632","0.36","3","69"
"40","R_3JaAx1PkYOxeU7R","discrete","40","LP","5.5010771219302","196.01","NaN","199.954","3.944","NaN","0","69"
"41","R_3JaAx1PkYOxeU7R","discrete","41","LP","2.15079707022835","200.96","203.112","203.432","2.472","0.32","3","72"
"42","R_3JaAx1PkYOxeU7R","discrete","42","LP","0.264713485566566","204.44","204.704","205.202","0.762","0.498","3","75"
"43","R_3JaAx1PkYOxeU7R","discrete","43","LP","5.5010771219302","206.208","NaN","210.18","3.972","NaN","0","75"
"44","R_3JaAx1PkYOxeU7R","discrete","44","LP","3.49090909090909","211.184","214.681","214.996","3.812","0.315","3","78"
"45","R_3JaAx1PkYOxeU7R","discrete","45","LP","19.8235243429556","216","NaN","222.215","6.215","NaN","0","78"
"46","R_3JaAx1PkYOxeU7R","discrete","46","LP","2.15079707022835","223.216","225.368","225.704","2.488","0.336","3","81"
"47","R_3JaAx1PkYOxeU7R","discrete","47","LP","3.49090909090909","226.706","230.2","230.562","3.856","0.362","3","84"
"48","R_3JaAx1PkYOxeU7R","discrete","48","LP","3.49090909090909","231.568","235.064","235.341","3.773","0.277","3","87"
