"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_3MFOtW0p1dZZXIU","discrete","1","LP","1.25738905644119","0","1.26","1.962","1.962","0.702","3","3"
"2","R_3MFOtW0p1dZZXIU","discrete","2","LP","8.51632916846187","2.971","11.492","11.843","8.872","0.351","3","6"
"3","R_3MFOtW0p1dZZXIU","discrete","3","LP","8.51632916846187","12.844","21.364","21.939","9.095","0.575","3","9"
"4","R_3MFOtW0p1dZZXIU","discrete","4","LP","5.5010771219302","22.948","28.452","28.777","5.829","0.325","3","12"
"5","R_3MFOtW0p1dZZXIU","discrete","5","LP","30","29.78","NaN","43.463","13.683","NaN","0","12"
"6","R_3MFOtW0p1dZZXIU","discrete","6","LP","3.49090909090909","44.468","47.969","48.289","3.821","0.32","3","15"
"7","R_3MFOtW0p1dZZXIU","discrete","7","LP","13.0392072382594","49.291","62.333","62.645","13.354","0.312","3","18"
"8","R_3MFOtW0p1dZZXIU","discrete","8","LP","3.49090909090909","63.651","67.149","67.506","3.855","0.357","3","21"
"9","R_3MFOtW0p1dZZXIU","discrete","9","LP","8.51632916846187","68.509","77.029","77.364","8.855","0.335","3","24"
"10","R_3MFOtW0p1dZZXIU","discrete","10","LP","0.661783713916415","78.373","79.036","79.602","1.229","0.566","3","27"
"11","R_3MFOtW0p1dZZXIU","discrete","11","LP","5.5010771219302","80.605","86.109","86.426","5.821","0.317","3","30"
"12","R_3MFOtW0p1dZZXIU","discrete","12","LP","3.49090909090909","87.429","90.925","91.229","3.8","0.304","3","33"
"13","R_3MFOtW0p1dZZXIU","discrete","13","LP","5.5010771219302","92.234","97.741","98.057","5.823","0.316","3","36"
"14","R_3MFOtW0p1dZZXIU","discrete","14","LP","13.0392072382594","99.062","NaN","108.109","9.047","NaN","0","36"
"15","R_3MFOtW0p1dZZXIU","discrete","15","LP","3.49090909090909","109.113","112.622","112.946","3.833","0.324","3","39"
"16","R_3MFOtW0p1dZZXIU","discrete","16","LP","1.25738905644119","113.949","115.211","115.578","1.629","0.367","3","42"
"17","R_3MFOtW0p1dZZXIU","discrete","17","LP","1.25738905644119","116.58","117.844","118.174","1.594","0.33","3","45"
"18","R_3MFOtW0p1dZZXIU","discrete","18","LP","2.15079707022835","119.18","121.332","121.61","2.43","0.278","3","48"
"19","R_3MFOtW0p1dZZXIU","discrete","19","LP","13.0392072382594","122.613","NaN","131.74","9.127","NaN","0","48"
"20","R_3MFOtW0p1dZZXIU","discrete","20","LP","5.5010771219302","132.748","138.254","138.538","5.79","0.284","3","51"
"21","R_3MFOtW0p1dZZXIU","discrete","21","LP","13.0392072382594","139.541","NaN","148.708","9.167","NaN","0","51"
"22","R_3MFOtW0p1dZZXIU","discrete","22","LP","8.51632916846187","149.71","158.228","158.514","8.804","0.286","3","54"
"23","R_3MFOtW0p1dZZXIU","discrete","23","LP","0.264713485566566","159.516","159.788","160.11","0.594","0.322","3","57"
"24","R_3MFOtW0p1dZZXIU","discrete","24","LP","8.51632916846187","161.115","169.634","169.947","8.832","0.313","3","60"
"25","R_3MFOtW0p1dZZXIU","discrete","25","LP","19.8235243429556","170.95","NaN","180.174","9.224","NaN","0","60"
"26","R_3MFOtW0p1dZZXIU","discrete","26","LP","0.264713485566566","181.18","181.453","181.898","0.718","0.445","3","63"
"27","R_3MFOtW0p1dZZXIU","discrete","27","LP","2.15079707022835","182.912","NaN","183.387","0.475","NaN","0","63"
"28","R_3MFOtW0p1dZZXIU","discrete","28","LP","30","184.39","NaN","193.397","9.007","NaN","0","63"
"29","R_3MFOtW0p1dZZXIU","discrete","29","LP","19.8235243429556","194.405","NaN","203.363","8.958","NaN","0","63"
"30","R_3MFOtW0p1dZZXIU","discrete","30","LP","13.0392072382594","204.365","NaN","213.333","8.968","NaN","0","63"
"31","R_3MFOtW0p1dZZXIU","discrete","31","LP","0.661783713916415","214.342","215.006","215.33","0.988","0.324","3","66"
"32","R_3MFOtW0p1dZZXIU","discrete","32","LP","0.661783713916415","216.333","216.996","217.338","1.005","0.342","3","69"
"33","R_3MFOtW0p1dZZXIU","discrete","33","LP","0.661783713916415","218.341","219.006","219.33","0.989","0.324","3","72"
"34","R_3MFOtW0p1dZZXIU","discrete","34","LP","0.661783713916415","220.333","220.998","221.316","0.983","0.318","3","75"
"35","R_3MFOtW0p1dZZXIU","discrete","35","LP","2.15079707022835","222.319","224.477","224.797","2.478","0.32","3","78"
"36","R_3MFOtW0p1dZZXIU","discrete","36","LP","13.0392072382594","225.804","NaN","234.859","9.055","NaN","0","78"
"37","R_3MFOtW0p1dZZXIU","discrete","37","LP","0.661783713916415","235.868","236.533","236.825","0.957","0.292","3","81"
"38","R_3MFOtW0p1dZZXIU","discrete","38","LP","19.8235243429556","237.828","NaN","246.925","9.097","NaN","0","81"
"39","R_3MFOtW0p1dZZXIU","discrete","39","LP","1.25738905644119","247.932","249.197","249.674","1.742","0.477","3","84"
"40","R_3MFOtW0p1dZZXIU","discrete","40","LP","1.25738905644119","250.676","251.941","252.258","1.582","0.317","3","87"
"41","R_3MFOtW0p1dZZXIU","discrete","41","LP","0.661783713916415","253.261","253.924","254.266","1.005","0.342","3","90"
"42","R_3MFOtW0p1dZZXIU","discrete","42","LP","13.0392072382594","255.269","NaN","264.26","8.991","NaN","0","90"
"43","R_3MFOtW0p1dZZXIU","discrete","43","LP","0.264713485566566","265.269","265.534","265.889","0.62","0.355","3","93"
"44","R_3MFOtW0p1dZZXIU","discrete","44","LP","0.264713485566566","266.892","267.164","267.49","0.598","0.326","3","96"
"45","R_3MFOtW0p1dZZXIU","discrete","45","LP","8.51632916846187","268.493","277.011","277.229","8.736","0.218","3","99"
"46","R_3MFOtW0p1dZZXIU","discrete","46","LP","8.51632916846187","278.234","286.756","287.073","8.839","0.317","3","102"
"47","R_3MFOtW0p1dZZXIU","discrete","47","LP","5.5010771219302","288.077","293.58","293.981","5.904","0.401","3","105"
"48","R_3MFOtW0p1dZZXIU","discrete","48","LP","1.25738905644119","294.989","296.252","296.666","1.677","0.414","3","108"
"49","R_3MFOtW0p1dZZXIU","discrete","49","LP","0.264713485566566","297.683","297.948","298.362","0.679","0.414","3","111"
"50","R_3MFOtW0p1dZZXIU","discrete","50","LP","0.661783713916415","299.365","300.028","300.506","1.141","0.478","3","114"
"51","R_3MFOtW0p1dZZXIU","discrete","51","LP","5.5010771219302","301.509","307.013","307.396","5.887","0.383","3","117"
"52","R_3MFOtW0p1dZZXIU","discrete","52","LP","13.0392072382594","308.405","NaN","314.372","5.967","NaN","0","117"
"53","R_3MFOtW0p1dZZXIU","discrete","53","LP","8.51632916846187","315.38","NaN","321.253","5.873","NaN","0","117"
"54","R_3MFOtW0p1dZZXIU","discrete","54","LP","5.5010771219302","322.26","327.764","328.091","5.831","0.327","3","120"
"55","R_3MFOtW0p1dZZXIU","discrete","55","LP","19.8235243429556","329.097","NaN","334.956","5.859","NaN","0","120"
"56","R_3MFOtW0p1dZZXIU","discrete","56","LP","0.264713485566566","335.965","336.234","336.594","0.629","0.36","3","123"
"57","R_3MFOtW0p1dZZXIU","discrete","57","LP","1.25738905644119","337.597","338.86","339.178","1.581","0.318","3","126"
"58","R_3MFOtW0p1dZZXIU","discrete","58","LP","30","340.181","NaN","346.141","5.96","NaN","0","126"
"59","R_3MFOtW0p1dZZXIU","discrete","59","LP","8.51632916846187","347.149","NaN","353.178","6.029","NaN","0","126"
"60","R_3MFOtW0p1dZZXIU","discrete","60","LP","0.661783713916415","354.181","354.844","355.217","1.036","0.373","3","129"
"61","R_3MFOtW0p1dZZXIU","discrete","61","LP","8.51632916846187","356.218","NaN","362.115","5.897","NaN","0","129"
"62","R_3MFOtW0p1dZZXIU","discrete","62","LP","5.5010771219302","363.117","368.619","368.972","5.855","0.353","3","132"
"63","R_3MFOtW0p1dZZXIU","discrete","63","LP","13.0392072382594","369.981","NaN","375.796","5.815","NaN","0","132"
"64","R_3MFOtW0p1dZZXIU","discrete","64","LP","13.0392072382594","376.804","NaN","382.794","5.99","NaN","0","132"
"65","R_3MFOtW0p1dZZXIU","discrete","65","LP","30","383.81","NaN","389.747","5.937","NaN","0","132"
"66","R_3MFOtW0p1dZZXIU","discrete","66","LP","2.15079707022835","390.756","392.909","393.235","2.479","0.326","3","135"
"67","R_3MFOtW0p1dZZXIU","discrete","67","LP","5.5010771219302","394.244","399.748","400.053","5.809","0.305","3","138"
"68","R_3MFOtW0p1dZZXIU","discrete","68","LP","13.0392072382594","401.059","NaN","410.049","8.99","NaN","0","138"
"69","R_3MFOtW0p1dZZXIU","discrete","69","LP","1.25738905644119","411.052","412.313","412.613","1.561","0.3","3","141"
"70","R_3MFOtW0p1dZZXIU","discrete","70","LP","19.8235243429556","413.618","NaN","419.451","5.833","NaN","0","141"
"71","R_3MFOtW0p1dZZXIU","discrete","71","LP","0.661783713916415","420.453","421.114","421.466","1.013","0.352","3","144"
"72","R_3MFOtW0p1dZZXIU","discrete","72","LP","0.264713485566566","422.47","422.751","423.07","0.6","0.319","3","147"
"73","R_3MFOtW0p1dZZXIU","discrete","73","LP","0.661783713916415","424.077","424.741","425.042","0.965","0.301","3","150"
"74","R_3MFOtW0p1dZZXIU","discrete","74","LP","2.15079707022835","426.057","428.211","428.61","2.553","0.399","3","153"
"75","R_3MFOtW0p1dZZXIU","discrete","75","LP","0.661783713916415","429.613","430.277","430.586","0.973","0.309","3","156"
"76","R_3MFOtW0p1dZZXIU","discrete","76","LP","1.25738905644119","431.596","432.86","433.157","1.561","0.297","3","159"
"77","R_3MFOtW0p1dZZXIU","discrete","77","LP","19.8235243429556","434.164","NaN","440.05","5.886","NaN","0","159"
"78","R_3MFOtW0p1dZZXIU","discrete","78","LP","5.5010771219302","441.052","446.556","446.875","5.823","0.319","3","162"
"79","R_3MFOtW0p1dZZXIU","discrete","79","LP","3.49090909090909","447.878","451.373","451.674","3.796","0.301","3","165"
"80","R_3MFOtW0p1dZZXIU","discrete","80","LP","2.15079707022835","452.676","454.828","455.162","2.486","0.334","3","168"
"81","R_3MFOtW0p1dZZXIU","discrete","81","LP","30","456.164","NaN","462.044","5.88","NaN","0","168"
"82","R_3MFOtW0p1dZZXIU","discrete","82","LP","0.661783713916415","463.052","463.717","464.026","0.974","0.309","3","171"
"83","R_3MFOtW0p1dZZXIU","discrete","83","LP","3.49090909090909","465.029","468.525","468.834","3.805","0.309","3","174"
"84","R_3MFOtW0p1dZZXIU","discrete","84","LP","3.49090909090909","469.837","473.333","473.717","3.88","0.384","3","177"
"85","R_3MFOtW0p1dZZXIU","discrete","85","LP","19.8235243429556","474.725","NaN","480.626","5.901","NaN","0","177"
"86","R_3MFOtW0p1dZZXIU","discrete","86","LP","30","481.629","NaN","487.591","5.962","NaN","0","177"
"87","R_3MFOtW0p1dZZXIU","discrete","87","LP","13.0392072382594","488.598","NaN","494.531","5.933","NaN","0","177"
"88","R_3MFOtW0p1dZZXIU","discrete","88","LP","3.49090909090909","495.533","499.028","499.349","3.816","0.321","3","180"
"89","R_3MFOtW0p1dZZXIU","discrete","89","LP","5.5010771219302","500.356","NaN","504.17","3.814","NaN","0","180"
"90","R_3MFOtW0p1dZZXIU","discrete","90","LP","3.49090909090909","505.172","508.675","509.026","3.854","0.351","3","183"
"91","R_3MFOtW0p1dZZXIU","discrete","91","LP","5.5010771219302","510.028","NaN","513.996","3.968","NaN","0","183"
"92","R_3MFOtW0p1dZZXIU","discrete","92","LP","2.15079707022835","515.004","517.156","517.547","2.543","0.391","3","186"
"93","R_3MFOtW0p1dZZXIU","discrete","93","LP","1.25738905644119","518.548","519.81","520.155","1.607","0.345","3","189"
"94","R_3MFOtW0p1dZZXIU","discrete","94","LP","8.51632916846187","521.156","NaN","525.149","3.993","NaN","0","189"
