"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_3NQE4UCJfX4lAJo","standard","1","LP","5.5010771219302","0","5.506","5.964","5.964","0.458","3","3"
"2","R_3NQE4UCJfX4lAJo","standard","2","LP","5.5010771219302","6.969","12.473","12.833","5.864","0.36","3","6"
"3","R_3NQE4UCJfX4lAJo","standard","3","LP","3.49090909090909","13.834","17.329","17.725","3.891","0.396","3","9"
"4","R_3NQE4UCJfX4lAJo","standard","4","LP","0.264713485566566","18.73","19.002","19.514","0.784","0.512","3","12"
"5","R_3NQE4UCJfX4lAJo","standard","5","LP","8.51632916846187","20.517","29.042","29.416","8.899","0.374","3","15"
"6","R_3NQE4UCJfX4lAJo","standard","6","LP","30","30.418","NaN","43.887","13.469","NaN","0","15"
"7","R_3NQE4UCJfX4lAJo","standard","7","LP","19.8235243429556","44.89","NaN","57.061","12.171","NaN","0","15"
"8","R_3NQE4UCJfX4lAJo","standard","8","LP","3.49090909090909","58.065","61.563","61.958","3.893","0.395","3","18"
"9","R_3NQE4UCJfX4lAJo","standard","9","LP","19.8235243429556","62.963","NaN","75.175","12.212","NaN","0","18"
"10","R_3NQE4UCJfX4lAJo","standard","10","LP","2.15079707022835","76.178","78.33","78.66","2.482","0.33","3","21"
"11","R_3NQE4UCJfX4lAJo","standard","11","LP","5.5010771219302","79.666","85.169","85.492","5.826","0.323","3","24"
"12","R_3NQE4UCJfX4lAJo","standard","12","LP","19.8235243429556","86.499","NaN","98.651","12.152","NaN","0","24"
"13","R_3NQE4UCJfX4lAJo","standard","13","LP","0.661783713916415","99.658","100.322","100.712","1.054","0.39","3","27"
"14","R_3NQE4UCJfX4lAJo","standard","14","LP","8.51632916846187","101.714","110.234","110.593","8.879","0.359","3","30"
"15","R_3NQE4UCJfX4lAJo","standard","15","LP","8.51632916846187","111.602","120.122","120.454","8.852","0.332","3","33"
"16","R_3NQE4UCJfX4lAJo","standard","16","LP","19.8235243429556","121.458","NaN","133.461","12.003","NaN","0","33"
"17","R_3NQE4UCJfX4lAJo","standard","17","LP","5.5010771219302","134.466","139.971","140.252","5.786","0.281","3","36"
"18","R_3NQE4UCJfX4lAJo","standard","18","LP","3.49090909090909","141.258","144.754","145.075","3.817","0.321","3","39"
"19","R_3NQE4UCJfX4lAJo","standard","19","LP","2.15079707022835","146.082","148.234","148.632","2.55","0.398","3","42"
"20","R_3NQE4UCJfX4lAJo","standard","20","LP","2.15079707022835","149.635","151.794","152.123","2.488","0.329","3","45"
"21","R_3NQE4UCJfX4lAJo","standard","21","LP","19.8235243429556","153.13","NaN","165.076","11.946","NaN","0","45"
"22","R_3NQE4UCJfX4lAJo","standard","22","LP","0.661783713916415","166.082","166.747","167.058","0.976","0.311","3","48"
"23","R_3NQE4UCJfX4lAJo","standard","23","LP","0.264713485566566","168.066","168.337","168.691","0.625","0.354","3","51"
"24","R_3NQE4UCJfX4lAJo","standard","24","LP","0.661783713916415","169.699","170.362","170.644","0.945","0.282","3","54"
"25","R_3NQE4UCJfX4lAJo","standard","25","LP","1.25738905644119","171.65","172.914","173.204","1.554","0.29","3","57"
"26","R_3NQE4UCJfX4lAJo","standard","26","LP","5.5010771219302","174.21","179.714","180","5.79","0.286","3","60"
"27","R_3NQE4UCJfX4lAJo","standard","27","LP","13.0392072382594","181.002","NaN","193.091","12.089","NaN","0","60"
"28","R_3NQE4UCJfX4lAJo","standard","28","LP","2.15079707022835","194.098","196.249","196.557","2.459","0.308","3","63"
"29","R_3NQE4UCJfX4lAJo","standard","29","LP","2.15079707022835","197.562","199.714","200.193","2.631","0.479","3","66"
"30","R_3NQE4UCJfX4lAJo","standard","30","LP","30","201.202","NaN","213.351","12.149","NaN","0","66"
"31","R_3NQE4UCJfX4lAJo","standard","31","LP","30","214.354","NaN","226.317","11.963","NaN","0","66"
"32","R_3NQE4UCJfX4lAJo","standard","32","LP","30","227.319","NaN","239.427","12.108","NaN","0","66"
"33","R_3NQE4UCJfX4lAJo","standard","33","LP","0.264713485566566","240.435","240.706","241.304","0.869","0.598","3","69"
"34","R_3NQE4UCJfX4lAJo","standard","34","LP","1.25738905644119","242.307","243.57","243.879","1.572","0.309","3","72"
"35","R_3NQE4UCJfX4lAJo","standard","35","LP","30","244.882","NaN","251.828","6.946","NaN","0","72"
"36","R_3NQE4UCJfX4lAJo","standard","36","LP","5.5010771219302","252.834","258.338","258.855","6.021","0.517","3","75"
"37","R_3NQE4UCJfX4lAJo","standard","37","LP","2.15079707022835","259.859","262.011","262.449","2.59","0.438","3","78"
"38","R_3NQE4UCJfX4lAJo","standard","38","LP","3.49090909090909","263.458","266.954","267.332","3.874","0.378","3","81"
"39","R_3NQE4UCJfX4lAJo","standard","39","LP","2.15079707022835","268.339","270.49","270.907","2.568","0.417","3","84"
"40","R_3NQE4UCJfX4lAJo","standard","40","LP","1.25738905644119","271.914","273.178","273.546","1.632","0.368","3","87"
"41","R_3NQE4UCJfX4lAJo","standard","41","LP","1.25738905644119","274.555","275.813","276.111","1.556","0.298","3","90"
"42","R_3NQE4UCJfX4lAJo","standard","42","LP","2.15079707022835","277.115","279.267","279.647","2.532","0.38","3","93"
"43","R_3NQE4UCJfX4lAJo","standard","43","LP","8.51632916846187","280.649","NaN","289.1","8.451","NaN","0","93"
"44","R_3NQE4UCJfX4lAJo","standard","44","LP","2.15079707022835","290.106","292.258","292.6","2.494","0.342","3","96"
"45","R_3NQE4UCJfX4lAJo","standard","45","LP","13.0392072382594","293.602","NaN","303.233","9.631","NaN","0","96"
"46","R_3NQE4UCJfX4lAJo","standard","46","LP","8.51632916846187","304.234","312.754","313.173","8.939","0.419","3","99"
"47","R_3NQE4UCJfX4lAJo","standard","47","LP","0.264713485566566","314.178","314.45","320.558","6.38","6.108","3","102"
"48","R_3NQE4UCJfX4lAJo","standard","48","LP","3.49090909090909","321.562","325.059","325.383","3.821","0.324","3","105"
"49","R_3NQE4UCJfX4lAJo","standard","49","LP","0.661783713916415","326.386","327.05","327.408","1.022","0.358","3","108"
"50","R_3NQE4UCJfX4lAJo","standard","50","LP","2.15079707022835","328.41","330.563","330.871","2.461","0.308","3","111"
"51","R_3NQE4UCJfX4lAJo","standard","51","LP","1.25738905644119","331.874","333.139","333.438","1.564","0.299","3","114"
"52","R_3NQE4UCJfX4lAJo","standard","52","LP","0.264713485566566","334.442","334.707","335.048","0.606","0.341","3","117"
"53","R_3NQE4UCJfX4lAJo","standard","53","LP","1.25738905644119","336.05","337.315","337.566","1.516","0.251","3","120"
"54","R_3NQE4UCJfX4lAJo","standard","54","LP","0.661783713916415","338.57","339.234","339.558","0.988","0.324","3","123"
"55","R_3NQE4UCJfX4lAJo","standard","55","LP","8.51632916846187","340.562","349.082","349.476","8.914","0.394","3","126"
"56","R_3NQE4UCJfX4lAJo","standard","56","LP","1.25738905644119","350.482","351.745","352.181","1.699","0.436","3","129"
"57","R_3NQE4UCJfX4lAJo","standard","57","LP","13.0392072382594","353.186","NaN","362.757","9.571","NaN","0","129"
"58","R_3NQE4UCJfX4lAJo","standard","58","LP","19.8235243429556","363.762","NaN","373.363","9.601","NaN","0","129"
"59","R_3NQE4UCJfX4lAJo","standard","59","LP","13.0392072382594","374.37","NaN","383.948","9.578","NaN","0","129"
"60","R_3NQE4UCJfX4lAJo","standard","60","LP","2.15079707022835","384.954","387.106","387.476","2.522","0.37","3","132"
"61","R_3NQE4UCJfX4lAJo","standard","61","LP","0.661783713916415","388.482","389.146","389.437","0.955","0.291","3","135"
