"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_3PHTSF9CnGSvAKn","discrete","1","LP","8.51632916846187","0.001","NaN","7.628","7.627","NaN","0","0"
"2","R_3PHTSF9CnGSvAKn","discrete","2","LP","0.661783713916415","8.63","9.293","24.568","15.938","15.275","3","3"
"3","R_3PHTSF9CnGSvAKn","discrete","3","LP","2.15079707022835","25.572","27.724","29.527","3.955","1.803","3","6"
"4","R_3PHTSF9CnGSvAKn","discrete","4","LP","0.264713485566566","30.532","30.804","39.517","8.985","8.713","3","9"
"5","R_3PHTSF9CnGSvAKn","discrete","5","LP","1.25738905644119","40.524","41.789","42.446","1.922","0.657","3","12"
"6","R_3PHTSF9CnGSvAKn","discrete","6","LP","8.51632916846187","43.452","51.973","53.363","9.911","1.39","3","15"
"7","R_3PHTSF9CnGSvAKn","discrete","7","LP","13.0392072382594","54.364","67.405","68.512","14.148","1.107","3","18"
"8","R_3PHTSF9CnGSvAKn","discrete","8","LP","2.15079707022835","69.517","71.669","79.095","9.578","7.426","3","21"
"9","R_3PHTSF9CnGSvAKn","discrete","9","LP","30","80.101","110.109","110.49","30.389","0.381","3","24"
"10","R_3PHTSF9CnGSvAKn","discrete","10","LP","8.51632916846187","111.492","120.013","121.06","9.568","1.047","3","27"
"11","R_3PHTSF9CnGSvAKn","discrete","11","LP","30","122.061","152.069","152.394","30.333","0.325","3","30"
"12","R_3PHTSF9CnGSvAKn","discrete","12","LP","8.51632916846187","153.397","161.917","162.451","9.054","0.534","3","33"
"13","R_3PHTSF9CnGSvAKn","discrete","13","LP","2.15079707022835","163.453","165.605","166.661","3.208","1.056","3","36"
"14","R_3PHTSF9CnGSvAKn","discrete","14","LP","30","167.669","197.677","197.958","30.289","0.281","3","39"
"15","R_3PHTSF9CnGSvAKn","discrete","15","LP","13.0392072382594","198.964","212.005","212.688","13.724","0.683","3","42"
"16","R_3PHTSF9CnGSvAKn","discrete","16","LP","0.661783713916415","213.692","214.356","220.087","6.395","5.731","3","45"
"17","R_3PHTSF9CnGSvAKn","discrete","17","LP","5.5010771219302","221.093","226.596","227.327","6.234","0.731","3","48"
"18","R_3PHTSF9CnGSvAKn","discrete","18","LP","30","228.33","258.333","259.002","30.672","0.669","3","51"
"19","R_3PHTSF9CnGSvAKn","discrete","19","LP","8.51632916846187","260.004","268.525","269.576","9.572","1.051","3","54"
"20","R_3PHTSF9CnGSvAKn","discrete","20","LP","2.15079707022835","270.58","272.732","274.739","4.159","2.007","3","57"
"21","R_3PHTSF9CnGSvAKn","discrete","21","LP","0.661783713916415","275.74","276.404","277.298","1.558","0.894","3","60"
"22","R_3PHTSF9CnGSvAKn","discrete","22","LP","5.5010771219302","278.3","283.805","284.35","6.05","0.545","3","63"
"23","R_3PHTSF9CnGSvAKn","discrete","23","LP","1.25738905644119","285.356","286.62","287.308","1.952","0.688","3","66"
"24","R_3PHTSF9CnGSvAKn","discrete","24","LP","5.5010771219302","288.309","293.813","294.25","5.941","0.437","3","69"
"25","R_3PHTSF9CnGSvAKn","discrete","25","LP","30","295.253","325.261","325.519","30.266","0.258","3","72"
"26","R_3PHTSF9CnGSvAKn","discrete","26","LP","3.49090909090909","326.524","330.02","331.345","4.821","1.325","3","75"
"27","R_3PHTSF9CnGSvAKn","discrete","27","LP","0.661783713916415","332.349","333.012","333.758","1.409","0.746","3","78"
"28","R_3PHTSF9CnGSvAKn","discrete","28","LP","19.8235243429556","334.764","354.588","354.908","20.144","0.32","3","81"
"29","R_3PHTSF9CnGSvAKn","discrete","29","LP","8.51632916846187","355.909","364.428","364.831","8.922","0.403","3","84"
"30","R_3PHTSF9CnGSvAKn","discrete","30","LP","2.15079707022835","365.833","367.989","368.752","2.919","0.763","3","87"
"31","R_3PHTSF9CnGSvAKn","discrete","31","LP","5.5010771219302","369.756","375.26","375.836","6.08","0.576","3","90"
"32","R_3PHTSF9CnGSvAKn","discrete","32","LP","30","376.837","NaN","397.507","20.67","NaN","0","90"
"33","R_3PHTSF9CnGSvAKn","discrete","33","LP","2.15079707022835","398.509","400.661","401.064","2.555","0.403","3","93"
"34","R_3PHTSF9CnGSvAKn","discrete","34","LP","0.264713485566566","402.069","402.336","402.888","0.819","0.552","3","96"
"35","R_3PHTSF9CnGSvAKn","discrete","35","LP","0.661783713916415","403.893","404.557","404.96","1.067","0.403","3","99"
"36","R_3PHTSF9CnGSvAKn","discrete","36","LP","0.661783713916415","405.965","406.629","407","1.035","0.371","3","102"
"37","R_3PHTSF9CnGSvAKn","discrete","37","LP","19.8235243429556","408.005","NaN","413.815","5.81","NaN","0","102"
"38","R_3PHTSF9CnGSvAKn","discrete","38","LP","3.49090909090909","414.821","418.316","418.728","3.907","0.412","3","105"
"39","R_3PHTSF9CnGSvAKn","discrete","39","LP","13.0392072382594","419.733","NaN","429.195","9.462","NaN","0","105"
"40","R_3PHTSF9CnGSvAKn","discrete","40","LP","13.0392072382594","430.197","NaN","436.627","6.43","NaN","0","105"
"41","R_3PHTSF9CnGSvAKn","discrete","41","LP","5.5010771219302","437.629","443.132","443.556","5.927","0.424","3","108"
"42","R_3PHTSF9CnGSvAKn","discrete","42","LP","19.8235243429556","444.564","NaN","453.788","9.224","NaN","0","108"
"43","R_3PHTSF9CnGSvAKn","discrete","43","LP","0.264713485566566","454.796","455.069","455.666","0.87","0.597","3","111"
"44","R_3PHTSF9CnGSvAKn","discrete","44","LP","30","456.669","NaN","465.54","8.871","NaN","0","111"
"45","R_3PHTSF9CnGSvAKn","discrete","45","LP","19.8235243429556","466.548","NaN","472.351","5.803","NaN","0","111"
"46","R_3PHTSF9CnGSvAKn","discrete","46","LP","13.0392072382594","473.357","NaN","478.849","5.492","NaN","0","111"
