"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_3PiZgfD9YJEDkmp","standard","1","LP","0.661783713916415","0","0.668","1.778","1.778","1.11","3","3"
"2","R_3PiZgfD9YJEDkmp","standard","2","LP","19.8235243429556","2.78","NaN","10.723","7.943","NaN","0","3"
"3","R_3PiZgfD9YJEDkmp","standard","3","LP","19.8235243429556","11.723","NaN","26.957","15.234","NaN","0","3"
"4","R_3PiZgfD9YJEDkmp","standard","4","LP","5.5010771219302","27.964","33.478","33.861","5.897","0.383","3","6"
"5","R_3PiZgfD9YJEDkmp","standard","5","LP","1.25738905644119","34.871","36.132","36.67","1.799","0.538","3","9"
"6","R_3PiZgfD9YJEDkmp","standard","6","LP","3.49090909090909","37.676","41.184","41.71","4.034","0.526","3","12"
"7","R_3PiZgfD9YJEDkmp","standard","7","LP","13.0392072382594","42.717","NaN","51.648","8.931","NaN","0","12"
"8","R_3PiZgfD9YJEDkmp","standard","8","LP","2.15079707022835","52.658","54.827","55.256","2.598","0.429","3","15"
"9","R_3PiZgfD9YJEDkmp","standard","9","LP","5.5010771219302","56.263","61.772","62.137","5.874","0.365","3","18"
"10","R_3PiZgfD9YJEDkmp","standard","10","LP","19.8235243429556","63.145","NaN","72.474","9.329","NaN","0","18"
"11","R_3PiZgfD9YJEDkmp","standard","11","LP","0.264713485566566","73.481","73.748","74.194","0.713","0.446","3","21"
"12","R_3PiZgfD9YJEDkmp","standard","12","LP","0.661783713916415","75.207","75.878","76.33","1.123","0.452","3","24"
"13","R_3PiZgfD9YJEDkmp","standard","13","LP","30","77.342","NaN","86.38","9.038","NaN","0","24"
"14","R_3PiZgfD9YJEDkmp","standard","14","LP","0.264713485566566","87.39","87.66","88.084","0.694","0.424","3","27"
"15","R_3PiZgfD9YJEDkmp","standard","15","LP","0.264713485566566","89.096","89.368","89.732","0.636","0.364","3","30"
"16","R_3PiZgfD9YJEDkmp","standard","16","LP","5.5010771219302","90.74","96.243","96.837","6.097","0.594","3","33"
"17","R_3PiZgfD9YJEDkmp","standard","17","LP","3.49090909090909","97.844","101.347","101.805","3.961","0.458","3","36"
"18","R_3PiZgfD9YJEDkmp","standard","18","LP","8.51632916846187","102.814","NaN","110.11","7.296","NaN","0","36"
"19","R_3PiZgfD9YJEDkmp","standard","19","LP","30","111.111","NaN","119.431","8.32","NaN","0","36"
"20","R_3PiZgfD9YJEDkmp","standard","20","LP","2.15079707022835","120.45","122.62","123.232","2.782","0.612","3","39"
"21","R_3PiZgfD9YJEDkmp","standard","21","LP","3.49090909090909","124.236","NaN","127.12","2.884","NaN","0","39"
"22","R_3PiZgfD9YJEDkmp","standard","22","LP","5.5010771219302","128.123","NaN","132.049","3.926","NaN","0","39"
"23","R_3PiZgfD9YJEDkmp","standard","23","LP","3.49090909090909","133.058","136.556","137.018","3.96","0.462","3","42"
"24","R_3PiZgfD9YJEDkmp","standard","24","LP","13.0392072382594","138.02","NaN","142.738","4.718","NaN","0","42"
"25","R_3PiZgfD9YJEDkmp","standard","25","LP","8.51632916846187","143.74","NaN","148.739","4.999","NaN","0","42"
"26","R_3PiZgfD9YJEDkmp","standard","26","LP","19.8235243429556","149.747","NaN","154.644","4.897","NaN","0","42"
"27","R_3PiZgfD9YJEDkmp","standard","27","LP","30","155.665","NaN","160.668","5.003","NaN","0","42"
"28","R_3PiZgfD9YJEDkmp","standard","28","LP","0.661783713916415","161.679","162.35","162.957","1.278","0.607","3","45"
"29","R_3PiZgfD9YJEDkmp","standard","29","LP","0.264713485566566","163.965","164.236","164.733","0.768","0.497","3","48"
"30","R_3PiZgfD9YJEDkmp","standard","30","LP","3.49090909090909","165.735","169.228","169.893","4.158","0.665","3","51"
