"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_3PmHEiWxC5aQmPB","standard","1","LP","8.51632916846187","0","NaN","7.525","7.525","NaN","0","0"
"2","R_3PmHEiWxC5aQmPB","standard","2","LP","1.25738905644119","8.53","9.792","10.536","2.006","0.744","3","3"
"3","R_3PmHEiWxC5aQmPB","standard","3","LP","13.0392072382594","11.544","NaN","20.054","8.51","NaN","0","3"
"4","R_3PmHEiWxC5aQmPB","standard","4","LP","5.5010771219302","21.068","26.576","26.947","5.879","0.371","3","6"
"5","R_3PmHEiWxC5aQmPB","standard","5","LP","30","27.952","NaN","37.013","9.061","NaN","0","6"
"6","R_3PmHEiWxC5aQmPB","standard","6","LP","3.49090909090909","38.022","41.524","41.857","3.835","0.333","3","9"
"7","R_3PmHEiWxC5aQmPB","standard","7","LP","1.25738905644119","42.864","44.127","44.743","1.879","0.616","3","12"
"8","R_3PmHEiWxC5aQmPB","standard","8","LP","30","45.743","NaN","52.131","6.388","NaN","0","12"
"9","R_3PmHEiWxC5aQmPB","standard","9","LP","3.49090909090909","53.145","56.64","57.142","3.997","0.502","3","15"
"10","R_3PmHEiWxC5aQmPB","standard","10","LP","5.5010771219302","58.144","63.648","64.014","5.87","0.366","3","18"
"11","R_3PmHEiWxC5aQmPB","standard","11","LP","0.264713485566566","65.027","65.305","66.438","1.411","1.133","3","21"
"12","R_3PmHEiWxC5aQmPB","standard","12","LP","3.49090909090909","67.44","70.934","71.386","3.946","0.452","3","24"
"13","R_3PmHEiWxC5aQmPB","standard","13","LP","0.661783713916415","72.391","73.053","74.702","2.311","1.649","3","27"
"14","R_3PmHEiWxC5aQmPB","standard","14","LP","8.51632916846187","75.703","NaN","81.825","6.122","NaN","0","27"
"15","R_3PmHEiWxC5aQmPB","standard","15","LP","0.264713485566566","82.837","83.106","83.47","0.633","0.364","3","30"
"16","R_3PmHEiWxC5aQmPB","standard","16","LP","0.264713485566566","84.471","84.739","85.118","0.647","0.379","3","33"
"17","R_3PmHEiWxC5aQmPB","standard","17","LP","5.5010771219302","86.119","91.633","92.079","5.96","0.446","3","36"
"18","R_3PmHEiWxC5aQmPB","standard","18","LP","5.5010771219302","93.087","98.591","98.934","5.847","0.343","3","39"
"19","R_3PmHEiWxC5aQmPB","standard","19","LP","13.0392072382594","99.936","NaN","105.922","5.986","NaN","0","39"
"20","R_3PmHEiWxC5aQmPB","standard","20","LP","13.0392072382594","106.931","NaN","112.126","5.195","NaN","0","39"
"21","R_3PmHEiWxC5aQmPB","standard","21","LP","8.51632916846187","113.133","NaN","120.006","6.873","NaN","0","39"
"22","R_3PmHEiWxC5aQmPB","standard","22","LP","0.661783713916415","121.02","121.687","122.073","1.053","0.386","3","42"
"23","R_3PmHEiWxC5aQmPB","standard","23","LP","19.8235243429556","123.079","NaN","128.024","4.945","NaN","0","42"
"24","R_3PmHEiWxC5aQmPB","standard","24","LP","13.0392072382594","129.043","NaN","134.1","5.057","NaN","0","42"
"25","R_3PmHEiWxC5aQmPB","standard","25","LP","1.25738905644119","135.118","136.375","136.746","1.628","0.371","3","45"
"26","R_3PmHEiWxC5aQmPB","standard","26","LP","3.49090909090909","137.752","141.248","141.575","3.823","0.327","3","48"
"27","R_3PmHEiWxC5aQmPB","standard","27","LP","5.5010771219302","142.584","148.095","148.438","5.854","0.343","3","51"
"28","R_3PmHEiWxC5aQmPB","standard","28","LP","0.661783713916415","149.441","150.104","150.736","1.295","0.632","3","54"
"29","R_3PmHEiWxC5aQmPB","standard","29","LP","13.0392072382594","151.741","NaN","157.031","5.29","NaN","0","54"
"30","R_3PmHEiWxC5aQmPB","standard","30","LP","3.49090909090909","158.035","161.538","161.86","3.825","0.322","3","57"
"31","R_3PmHEiWxC5aQmPB","standard","31","LP","5.5010771219302","162.869","NaN","167.669","4.8","NaN","0","57"
"32","R_3PmHEiWxC5aQmPB","standard","32","LP","13.0392072382594","168.672","NaN","174.543","5.871","NaN","0","57"
"33","R_3PmHEiWxC5aQmPB","standard","33","LP","8.51632916846187","175.543","NaN","181.676","6.133","NaN","0","57"
"34","R_3PmHEiWxC5aQmPB","standard","34","LP","19.8235243429556","182.68","NaN","188.968","6.288","NaN","0","57"
"35","R_3PmHEiWxC5aQmPB","standard","35","LP","5.5010771219302","189.974","195.479","195.827","5.853","0.348","3","60"
"36","R_3PmHEiWxC5aQmPB","standard","36","LP","1.25738905644119","196.83","198.095","198.847","2.017","0.752","3","63"
"37","R_3PmHEiWxC5aQmPB","standard","37","LP","2.15079707022835","199.855","202.019","202.349","2.494","0.33","3","66"
"38","R_3PmHEiWxC5aQmPB","standard","38","LP","8.51632916846187","203.351","NaN","211.452","8.101","NaN","0","66"
"39","R_3PmHEiWxC5aQmPB","standard","39","LP","3.49090909090909","212.455","215.951","216.273","3.818","0.322","3","69"
"40","R_3PmHEiWxC5aQmPB","standard","40","LP","0.661783713916415","217.279","217.941","218.535","1.256","0.594","3","72"
"41","R_3PmHEiWxC5aQmPB","standard","41","LP","0.661783713916415","219.542","220.208","220.546","1.004","0.338","3","75"
"42","R_3PmHEiWxC5aQmPB","standard","42","LP","0.661783713916415","221.551","222.215","222.558","1.007","0.343","3","78"
"43","R_3PmHEiWxC5aQmPB","standard","43","LP","30","223.569","NaN","229.23","5.661","NaN","0","78"
"44","R_3PmHEiWxC5aQmPB","standard","44","LP","19.8235243429556","230.231","NaN","235.906","5.675","NaN","0","78"
"45","R_3PmHEiWxC5aQmPB","standard","45","LP","19.8235243429556","236.906","NaN","242.444","5.538","NaN","0","78"
"46","R_3PmHEiWxC5aQmPB","standard","46","LP","30","243.447","NaN","248.815","5.368","NaN","0","78"
"47","R_3PmHEiWxC5aQmPB","standard","47","LP","3.49090909090909","249.82","253.313","253.654","3.834","0.341","3","81"
"48","R_3PmHEiWxC5aQmPB","standard","48","LP","0.661783713916415","254.656","255.332","255.728","1.072","0.396","3","84"
"49","R_3PmHEiWxC5aQmPB","standard","49","LP","13.0392072382594","256.733","NaN","263.658","6.925","NaN","0","84"
"50","R_3PmHEiWxC5aQmPB","standard","50","LP","1.25738905644119","264.663","265.929","266.272","1.609","0.343","3","87"
"51","R_3PmHEiWxC5aQmPB","standard","51","LP","0.661783713916415","267.28","267.944","268.284","1.004","0.34","3","90"
"52","R_3PmHEiWxC5aQmPB","standard","52","LP","5.5010771219302","269.288","274.792","275.237","5.949","0.445","3","93"
"53","R_3PmHEiWxC5aQmPB","standard","53","LP","30","276.239","NaN","285.571","9.332","NaN","0","93"
"54","R_3PmHEiWxC5aQmPB","standard","54","LP","19.8235243429556","286.576","NaN","293.58","7.004","NaN","0","93"
"55","R_3PmHEiWxC5aQmPB","standard","55","LP","13.0392072382594","294.584","NaN","302.251","7.667","NaN","0","93"
"56","R_3PmHEiWxC5aQmPB","standard","56","LP","5.5010771219302","303.256","308.759","309.149","5.893","0.39","3","96"
"57","R_3PmHEiWxC5aQmPB","standard","57","LP","3.49090909090909","310.152","313.647","313.953","3.801","0.306","3","99"
"58","R_3PmHEiWxC5aQmPB","standard","58","LP","30","314.967","NaN","322.142","7.175","NaN","0","99"
"59","R_3PmHEiWxC5aQmPB","standard","59","LP","0.264713485566566","323.143","323.408","324.003","0.86","0.595","3","102"
